time,enrolled,available,waitlisted,total
2023-09-28T16:06:47,0,50,0,50
2023-09-28T16:19:50,0,50,0,50
2023-09-28T16:33:13,0,50,0,50
2023-09-28T16:46:15,0,50,0,50
2023-09-28T16:59:32,0,50,0,50
2023-09-28T17:12:36,0,50,0,50
2023-09-28T17:25:58,0,50,0,50
2023-09-28T17:39:00,0,50,0,50
2023-09-28T17:52:02,0,50,0,50
2023-09-28T18:05:28,0,50,0,50
2023-09-28T18:18:30,0,50,0,50
2023-09-28T18:31:32,0,50,0,50
2023-09-28T18:44:34,0,50,0,50
2023-09-28T18:57:48,0,50,0,50
2023-09-28T19:10:49,0,50,0,50
2023-09-28T19:23:51,0,50,0,50
2023-09-28T19:36:53,0,50,0,50
2023-09-28T19:50:05,0,50,0,50
2023-09-28T20:03:06,0,50,0,50
2023-09-28T20:16:08,0,50,0,50
2023-09-28T20:29:10,0,50,0,50
2023-09-28T20:42:22,0,50,0,50
2023-09-28T20:55:23,0,50,0,50
2023-09-28T21:08:25,0,50,0,50
2023-09-28T21:21:27,0,50,0,50
2023-09-28T21:34:39,0,50,0,50
2023-09-28T21:47:42,0,50,0,50
2023-09-28T22:00:44,0,50,0,50
2023-09-28T22:13:45,0,50,0,50
2023-09-28T22:26:47,0,50,0,50
2023-09-28T22:40:00,0,50,0,50
2023-09-28T22:53:03,0,50,0,50
2023-09-28T23:06:05,0,50,0,50
2023-09-28T23:19:08,0,50,0,50
2023-09-28T23:32:20,0,50,0,50
2023-09-28T23:45:23,0,50,0,50
2023-09-28T23:58:25,0,50,0,50
2023-09-29T00:11:30,0,50,0,50
2023-09-29T00:24:41,0,50,0,50
2023-09-29T00:37:55,0,50,0,50
2023-09-29T00:51:03,0,50,0,50
2023-09-29T01:04:10,0,50,0,50
2023-09-29T01:17:17,0,50,0,50
2023-09-29T01:30:23,0,50,0,50
2023-09-29T01:44:20,0,50,0,50
2023-09-29T01:57:28,0,50,0,50
2023-09-29T02:10:35,0,50,0,50
2023-09-29T02:23:40,0,50,0,50
2023-09-29T02:36:44,0,50,0,50
2023-09-29T02:49:48,0,50,0,50
2023-09-29T03:03:06,0,50,0,50
2023-09-29T03:16:23,0,50,0,50
2023-09-29T03:29:31,0,50,0,50
2023-09-29T03:42:38,0,50,0,50
2023-09-29T03:55:45,0,50,0,50
2023-09-29T04:08:53,0,50,0,50
2023-09-29T04:28:29,0,50,0,50
2023-09-29T04:42:02,0,50,0,50
2023-09-29T04:55:10,0,50,0,50
2023-09-29T05:08:19,0,50,0,50
2023-09-29T05:21:25,0,50,0,50
2023-09-29T05:34:32,0,50,0,50
2023-09-29T05:47:38,0,50,0,50
2023-09-29T06:00:47,0,50,0,50
2023-09-29T06:13:51,0,50,0,50
2023-09-29T06:26:56,0,50,0,50
2023-09-29T06:40:00,0,50,0,50
2023-09-29T06:53:07,0,50,0,50
2023-09-29T07:06:12,0,50,0,50
2023-09-29T07:19:16,0,50,0,50
2023-09-29T07:32:20,0,50,0,50
2023-09-29T07:45:40,0,50,0,50
2023-09-29T07:58:43,0,50,0,50
2023-09-29T08:11:46,0,50,0,50
2023-09-29T08:24:48,0,50,0,50
2023-09-29T08:37:50,0,50,0,50
2023-09-29T08:51:01,0,50,0,50
2023-09-29T09:04:04,0,50,0,50
2023-09-29T09:17:06,0,50,0,50
2023-09-29T09:30:17,0,50,0,50
2023-09-29T09:43:19,0,50,0,50
2023-09-29T09:56:21,0,50,0,50
2023-09-29T10:09:32,0,50,0,50
2023-09-29T10:22:35,0,50,0,50
2023-09-29T10:35:46,0,50,0,50
2023-09-29T10:48:48,0,50,0,50
2023-09-29T11:02:00,0,50,0,50
2023-09-29T11:15:02,0,50,0,50
2023-09-29T11:28:23,0,50,0,50
2023-09-29T11:41:25,0,50,0,50
2023-09-29T11:54:36,0,50,0,50
2023-09-29T12:07:38,0,50,0,50
2023-09-29T12:20:59,0,50,0,50
2023-09-29T12:34:00,0,50,0,50
2023-09-29T12:47:15,0,50,0,50
2023-09-29T13:00:16,0,50,0,50
2023-09-29T13:13:18,0,50,0,50
2023-09-29T13:26:38,0,50,0,50
2023-09-29T13:39:40,0,50,0,50
2023-09-29T13:52:52,0,50,0,50
2023-09-29T14:05:55,0,50,0,50
2023-09-29T14:19:14,0,50,0,50
2023-09-29T14:32:16,0,50,0,50
2023-09-29T14:45:18,0,50,0,50
2023-09-29T14:58:31,0,50,0,50
2023-09-29T15:11:33,0,50,0,50
2023-09-29T15:24:53,0,50,0,50
