time,enrolled,available,waitlisted,total
2023-05-25T01:13:25,0,100,0,100
2023-05-25T01:25:02,0,100,0,100
2023-05-25T01:36:37,0,100,0,100
2023-05-25T01:48:22,0,100,0,100
2023-05-25T01:59:57,0,100,0,100
2023-05-25T02:11:33,0,100,0,100
2023-05-25T02:23:10,0,100,0,100
2023-05-25T02:34:43,0,100,0,100
2023-05-25T02:46:17,0,100,0,100
2023-05-25T02:57:50,0,100,0,100
2023-05-25T03:09:25,0,100,0,100
2023-05-25T03:21:04,0,100,0,100
2023-05-25T03:33:02,0,100,0,100
2023-05-25T03:44:38,0,100,0,100
2023-05-25T03:56:14,0,100,0,100
2023-05-25T04:15:35,0,100,0,100
2023-05-25T04:27:37,0,100,0,100
2023-05-25T04:39:14,0,100,0,100
2023-05-25T04:50:50,0,100,0,100
2023-05-25T05:02:25,0,100,0,100
2023-05-25T05:14:03,0,100,0,100
2023-05-25T05:25:38,0,100,0,100
2023-05-25T05:37:15,0,100,0,100
2023-05-25T05:48:51,0,100,0,100
2023-05-25T06:00:28,0,100,0,100
2023-05-25T06:12:04,0,100,0,100
2023-05-25T06:23:38,0,100,0,100
2023-05-25T06:35:13,0,100,0,100
2023-05-25T06:46:49,0,100,0,100
2023-05-25T06:58:24,0,100,0,100
2023-05-25T07:10:00,0,100,0,100
2023-05-25T07:21:34,0,100,0,100
2023-05-25T07:33:08,0,100,0,100
2023-05-25T07:44:44,0,100,0,100
2023-05-25T07:56:20,0,100,0,100
2023-05-25T08:07:55,0,100,0,100
2023-05-25T08:19:29,0,100,0,100
2023-05-25T08:31:14,0,100,0,100
2023-05-25T08:42:46,0,100,0,100
2023-05-25T08:54:18,0,100,0,100
2023-05-25T09:05:52,0,100,0,100
2023-05-25T09:17:25,0,100,0,100
2023-05-25T09:28:58,0,100,0,100
2023-05-25T09:40:30,0,100,0,100
2023-05-25T09:52:03,0,100,0,100
2023-05-25T10:03:37,0,100,0,100
2023-05-25T10:15:21,0,100,0,100
2023-05-25T10:26:54,0,100,0,100
2023-05-25T10:38:27,0,100,0,100
2023-05-25T10:49:59,0,100,0,100
2023-05-25T11:01:42,0,100,0,100
2023-05-25T11:13:14,0,100,0,100
2023-05-25T11:24:47,0,100,0,100
2023-05-25T11:36:20,0,100,0,100
2023-05-25T11:47:53,0,100,0,100
2023-05-25T11:59:37,0,100,0,100
2023-05-25T12:11:10,0,100,0,100
2023-05-25T12:22:43,0,100,0,100
2023-05-25T12:34:16,0,100,0,100
2023-05-25T12:45:48,0,100,0,100
2023-05-25T12:57:21,0,100,0,100
2023-05-25T13:09:04,0,100,0,100
2023-05-25T13:20:37,0,100,0,100
2023-05-25T13:32:10,0,100,0,100
2023-05-25T13:43:43,0,100,0,100
2023-05-25T13:55:17,0,100,0,100
2023-05-25T14:07:01,0,100,0,100
2023-05-25T14:18:35,0,100,0,100
2023-05-25T14:30:08,0,100,0,100
2023-05-25T14:41:41,0,100,0,100
2023-05-25T14:53:14,0,100,0,100
2023-05-25T15:04:58,0,100,0,100
2023-05-25T15:16:32,0,100,0,100
2023-05-25T15:28:07,0,100,0,100
2023-05-25T15:39:41,0,100,0,100
2023-05-25T15:51:16,0,100,0,100
2023-05-25T16:02:51,0,100,0,100
2023-05-25T16:14:36,0,100,0,100
2023-05-25T16:26:11,0,100,0,100
2023-05-25T16:37:46,0,100,0,100
2023-05-25T16:49:22,0,100,0,100
2023-05-25T17:00:57,0,100,0,100
2023-05-25T17:12:34,0,100,0,100
2023-05-25T17:24:21,0,100,0,100
2023-05-25T17:35:56,0,100,0,100
2023-05-25T17:47:33,0,100,0,100
2023-05-25T17:59:08,0,100,0,100
2023-05-25T18:10:45,0,100,0,100
2023-05-25T18:22:21,0,100,0,100
2023-05-25T18:33:56,0,100,0,100
2023-05-25T18:45:41,0,100,0,100
2023-05-25T18:57:17,0,100,0,100
2023-05-25T19:08:53,0,100,0,100
2023-05-25T19:20:29,0,100,0,100
2023-05-25T19:32:05,0,100,0,100
2023-05-25T19:43:41,0,100,0,100
2023-05-25T19:55:27,0,100,0,100
2023-05-25T20:07:02,0,100,0,100
2023-05-25T20:18:38,0,100,0,100
2023-05-25T20:30:14,0,100,0,100
2023-05-25T20:41:50,0,100,0,100
2023-05-25T20:53:26,0,100,0,100
2023-05-25T21:05:01,0,100,0,100
2023-05-25T21:16:38,0,100,0,100
2023-05-25T21:28:24,0,100,0,100
2023-05-25T21:40:00,0,100,0,100
