time,enrolled,available,waitlisted,total
2023-07-06T14:34:08,0,18,0,18
2023-07-06T14:46:33,0,18,0,18
2023-07-06T14:58:57,0,18,0,18
2023-07-06T15:11:22,0,18,0,18
2023-07-06T15:23:46,0,18,0,18
2023-07-06T15:36:11,0,18,0,18
2023-07-06T15:48:36,0,18,0,18
2023-07-06T16:01:11,0,18,0,18
2023-07-06T16:13:36,0,18,0,18
2023-07-06T16:26:01,0,18,0,18
2023-07-06T16:38:26,0,18,0,18
2023-07-06T16:50:51,0,18,0,18
2023-07-06T17:03:16,0,18,0,18
2023-07-06T17:15:43,0,18,0,18
2023-07-06T17:28:08,0,18,0,18
2023-07-06T17:40:46,0,18,0,18
2023-07-06T17:53:18,0,18,0,18
2023-07-06T18:05:43,0,18,0,18
2023-07-06T18:18:08,0,18,0,18
2023-07-06T18:30:32,0,18,0,18
2023-07-06T18:42:57,0,18,0,18
2023-07-06T18:55:22,0,18,0,18
2023-07-06T19:07:48,0,18,0,18
2023-07-06T19:20:13,0,18,0,18
2023-07-06T19:32:38,0,18,0,18
2023-07-06T19:45:03,0,18,0,18
2023-07-06T19:57:28,0,18,0,18
2023-07-06T20:10:04,0,18,0,18
2023-07-06T20:22:29,0,18,0,18
2023-07-06T20:34:54,0,18,0,18
2023-07-06T20:47:19,0,18,0,18
2023-07-06T20:59:44,0,18,0,18
2023-07-06T21:12:09,0,18,0,18
2023-07-06T21:24:34,0,18,0,18
2023-07-06T21:36:59,0,18,0,18
2023-07-06T21:49:25,0,18,0,18
2023-07-06T22:01:50,0,18,0,18
2023-07-06T22:14:15,0,18,0,18
2023-07-06T22:26:40,0,18,0,18
2023-07-06T22:39:05,0,18,0,18
2023-07-06T22:51:29,0,18,0,18
2023-07-06T23:04:05,0,18,0,18
2023-07-06T23:16:31,0,18,0,18
2023-07-06T23:28:56,0,18,0,18
2023-07-06T23:41:22,0,18,0,18
2023-07-06T23:53:48,0,18,0,18
2023-07-07T00:06:14,0,18,0,18
2023-07-07T00:18:46,0,18,0,18
2023-07-07T00:31:14,0,18,0,18
2023-07-07T00:43:43,0,18,0,18
2023-07-07T00:56:12,0,18,0,18
2023-07-07T01:08:41,0,18,0,18
2023-07-07T01:21:10,0,18,0,18
2023-07-07T01:33:40,0,18,0,18
2023-07-07T01:46:11,0,18,0,18
2023-07-07T01:58:39,0,18,0,18
2023-07-07T02:11:10,0,18,0,18
2023-07-07T02:23:47,0,18,0,18
2023-07-07T02:36:28,0,18,0,18
2023-07-07T02:48:58,0,18,0,18
2023-07-07T03:01:26,0,18,0,18
2023-07-07T03:13:54,0,18,0,18
2023-07-07T03:26:22,0,18,0,18
2023-07-07T03:38:50,0,18,0,18
2023-07-07T03:51:18,0,18,0,18
2023-07-07T04:03:45,0,18,0,18
2023-07-07T04:16:13,0,18,0,18
2023-07-07T04:27:00,0,18,0,18
2023-07-07T04:39:58,0,18,0,18
2023-07-07T04:52:29,0,18,0,18
2023-07-07T05:04:58,0,18,0,18
2023-07-07T05:17:25,0,18,0,18
2023-07-07T05:29:55,0,18,0,18
2023-07-07T05:42:23,0,18,0,18
2023-07-07T05:54:53,0,18,0,18
2023-07-07T06:07:21,0,18,0,18
2023-07-07T06:19:48,0,18,0,18
2023-07-07T06:32:16,0,18,0,18
2023-07-07T06:44:44,0,18,0,18
2023-07-07T06:57:13,0,18,0,18
2023-07-07T07:09:41,0,18,0,18
2023-07-07T07:22:08,0,18,0,18
2023-07-07T07:34:34,0,18,0,18
2023-07-07T07:47:00,0,18,0,18
2023-07-07T07:59:24,0,18,0,18
2023-07-07T08:11:52,0,18,0,18
2023-07-07T08:24:17,0,18,0,18
2023-07-07T08:36:51,0,18,0,18
2023-07-07T08:49:16,0,18,0,18
2023-07-07T09:01:41,0,18,0,18
2023-07-07T09:14:06,0,18,0,18
2023-07-07T09:26:32,0,18,0,18
2023-07-07T09:38:57,0,18,0,18
2023-07-07T09:51:22,0,18,0,18
2023-07-07T10:03:47,0,18,0,18
2023-07-07T10:16:11,0,18,0,18
2023-07-07T10:28:36,0,18,0,18
2023-07-07T10:41:01,0,18,0,18
2023-07-07T10:53:26,0,18,0,18
2023-07-07T11:05:50,0,18,0,18
2023-07-07T11:18:27,0,18,0,18
2023-07-07T11:30:53,0,18,0,18
2023-07-07T11:43:17,0,18,0,18
2023-07-07T11:55:42,0,18,0,18
2023-07-07T12:08:07,0,18,0,18
2023-07-07T12:20:31,0,18,0,18
2023-07-07T12:32:56,0,18,0,18
2023-07-07T12:45:21,0,18,0,18
2023-07-07T12:57:45,0,18,0,18
2023-07-07T13:10:11,0,18,0,18
2023-07-07T13:22:36,0,18,0,18
2023-07-07T13:35:01,0,18,0,18
2023-07-07T13:47:26,0,18,0,18
2023-07-07T14:00:04,0,18,0,18
2023-07-07T14:12:28,0,18,0,18
2023-07-07T14:24:53,0,18,0,18
2023-07-07T14:37:18,0,18,0,18
2023-07-07T14:49:43,0,18,0,18
2023-07-07T15:02:09,0,18,0,18
2023-07-07T15:14:34,0,18,0,18
2023-07-07T15:26:58,0,18,0,18
2023-07-07T15:39:23,0,18,0,18
2023-07-07T15:51:47,0,18,0,18
2023-07-07T16:04:12,0,18,0,18
2023-07-07T16:16:37,0,18,1,18
2023-07-07T16:29:13,0,18,1,18
2023-07-07T16:41:39,0,18,1,18
2023-07-07T16:54:03,0,18,1,18
2023-07-07T17:06:29,0,18,1,18
2023-07-07T17:18:55,0,18,1,18
2023-07-07T17:31:20,0,18,1,18
2023-07-07T17:43:45,0,18,1,18
2023-07-07T17:56:09,0,18,1,18
2023-07-07T18:08:33,0,18,1,18
2023-07-07T18:20:58,0,18,1,18
2023-07-07T18:33:22,0,18,1,18
2023-07-07T18:45:57,0,18,1,18
2023-07-07T18:58:22,0,18,1,18
2023-07-07T19:10:47,0,18,1,18
2023-07-07T19:23:12,0,18,1,18
2023-07-07T19:35:37,0,18,1,18
2023-07-07T19:48:02,0,18,1,18
2023-07-07T20:00:27,0,18,1,18
2023-07-07T20:12:53,0,18,1,18
2023-07-07T20:25:18,0,18,1,18
2023-07-07T20:37:43,0,18,1,18
2023-07-07T20:50:08,0,18,1,18
2023-07-07T21:02:32,0,18,1,18
2023-07-07T21:14:59,0,18,1,18
2023-07-07T21:27:25,0,18,1,18
2023-07-07T21:39:49,0,18,1,18
2023-07-07T21:52:15,0,18,1,18
2023-07-07T22:04:39,0,18,1,18
2023-07-07T22:17:04,0,18,1,18
2023-07-07T22:29:40,1,17,0,18
2023-07-07T22:42:05,1,17,0,18
2023-07-07T22:54:30,1,17,0,18
2023-07-07T23:06:55,1,17,0,18
2023-07-07T23:19:21,1,17,0,18
2023-07-07T23:31:46,1,17,0,18
2023-07-07T23:44:11,1,17,0,18
2023-07-07T23:56:37,1,17,0,18
2023-07-08T00:09:04,1,17,0,18
2023-07-08T00:21:37,1,17,0,18
2023-07-08T00:34:06,1,17,0,18
2023-07-08T00:46:35,1,17,0,18
2023-07-08T00:59:04,1,17,0,18
2023-07-08T01:11:32,1,17,0,18
2023-07-08T01:24:01,1,17,0,18
2023-07-08T01:36:31,1,17,0,18
2023-07-08T01:49:02,1,17,0,18
2023-07-08T02:01:31,1,17,0,18
2023-07-08T02:14:10,1,17,0,18
2023-07-08T02:26:37,1,17,0,18
2023-07-08T02:39:03,1,17,0,18
2023-07-08T02:51:28,1,17,0,18
2023-07-08T03:03:52,1,17,0,18
2023-07-08T03:16:19,1,17,0,18
2023-07-08T03:28:46,1,17,0,18
2023-07-08T03:41:13,1,17,0,18
2023-07-08T03:53:41,1,17,0,18
2023-07-08T04:06:09,1,17,0,18
2023-07-08T04:25:55,1,17,0,18
2023-07-08T04:38:25,1,17,0,18
2023-07-08T04:50:53,1,17,0,18
2023-07-08T05:03:20,1,17,0,18
2023-07-08T05:17:33,1,17,0,18
2023-07-08T05:30:03,1,17,0,18
2023-07-08T05:42:32,1,17,0,18
2023-07-08T05:55:01,1,17,0,18
2023-07-08T06:07:30,1,17,0,18
2023-07-08T06:20:00,1,17,0,18
2023-07-08T06:32:29,1,17,0,18
2023-07-08T06:44:57,1,17,0,18
2023-07-08T06:57:26,1,17,0,18
2023-07-08T07:09:54,1,17,0,18
2023-07-08T07:22:22,1,17,0,18
2023-07-08T07:34:49,1,17,0,18
2023-07-08T07:47:16,1,17,0,18
2023-07-08T07:59:55,1,17,0,18
2023-07-08T08:12:23,1,17,0,18
2023-07-08T08:24:51,1,17,0,18
2023-07-08T08:37:18,1,17,0,18
2023-07-08T08:49:46,1,17,0,18
2023-07-08T09:02:13,1,17,0,18
2023-07-08T09:14:41,1,17,0,18
2023-07-08T09:27:08,1,17,0,18
2023-07-08T09:39:35,1,17,0,18
2023-07-08T09:52:03,1,17,0,18
2023-07-08T10:04:31,1,17,0,18
2023-07-08T10:16:59,1,17,0,18
2023-07-08T10:29:26,1,17,0,18
2023-07-08T10:41:53,1,17,0,18
2023-07-08T10:54:20,1,17,0,18
2023-07-08T11:06:47,1,17,0,18
2023-07-08T11:19:21,1,17,0,18
2023-07-08T11:31:45,1,17,0,18
2023-07-08T11:44:10,1,17,0,18
2023-07-08T11:56:34,1,17,0,18
2023-07-08T12:08:58,1,17,0,18
2023-07-08T12:21:22,1,17,0,18
2023-07-08T12:33:47,1,17,0,18
2023-07-08T12:46:11,1,17,0,18
2023-07-08T12:58:35,1,17,0,18
2023-07-08T13:11:00,1,17,0,18
2023-07-08T13:23:24,1,17,0,18
2023-07-08T13:35:49,1,17,0,18
2023-07-08T13:48:13,1,17,0,18
2023-07-08T14:00:39,1,17,0,18
2023-07-08T14:13:04,1,17,0,18
2023-07-08T14:25:29,1,17,0,18
2023-07-08T14:37:53,1,17,0,18
2023-07-08T14:50:17,1,17,0,18
2023-07-08T15:02:42,1,17,0,18
2023-07-08T15:15:16,1,17,0,18
2023-07-08T15:27:40,1,17,0,18
2023-07-08T15:40:04,1,17,0,18
2023-07-08T15:52:28,1,17,0,18
2023-07-08T16:04:52,1,17,0,18
2023-07-08T16:17:17,1,17,0,18
2023-07-08T16:29:42,1,17,0,18
2023-07-08T16:42:06,1,17,0,18
2023-07-08T16:54:31,1,17,0,18
2023-07-08T17:06:56,1,17,0,18
2023-07-08T17:19:22,1,17,0,18
2023-07-08T17:31:46,1,17,0,18
2023-07-08T17:44:11,1,17,0,18
2023-07-08T17:56:35,1,17,0,18
2023-07-08T18:08:59,1,17,0,18
