time,enrolled,available,waitlisted,total
2023-05-25T01:13:53,0,170,0,170
2023-05-25T01:25:29,0,170,0,170
2023-05-25T01:37:05,0,170,0,170
2023-05-25T01:48:49,0,170,0,170
2023-05-25T02:00:24,0,170,0,170
2023-05-25T02:12:00,0,170,0,170
2023-05-25T02:23:37,0,170,0,170
2023-05-25T02:35:11,0,170,0,170
2023-05-25T02:46:44,0,170,0,170
2023-05-25T02:58:17,0,170,0,170
2023-05-25T03:09:52,0,170,0,170
2023-05-25T03:21:32,0,170,0,170
2023-05-25T03:33:29,0,170,0,170
2023-05-25T03:45:05,0,170,0,170
2023-05-25T03:56:41,0,170,0,170
2023-05-25T04:16:03,0,170,0,170
2023-05-25T04:28:04,0,170,0,170
2023-05-25T04:39:41,0,170,0,170
2023-05-25T04:51:17,0,170,0,170
2023-05-25T05:02:53,0,170,0,170
2023-05-25T05:14:30,0,170,0,170
2023-05-25T05:26:06,0,170,0,170
2023-05-25T05:37:43,0,170,0,170
2023-05-25T05:49:19,0,170,0,170
2023-05-25T06:00:55,0,170,0,170
2023-05-25T06:12:31,0,170,0,170
2023-05-25T06:24:06,0,170,0,170
2023-05-25T06:35:41,0,170,0,170
2023-05-25T06:47:16,0,170,0,170
2023-05-25T06:58:51,0,170,0,170
2023-05-25T07:10:27,0,170,0,170
2023-05-25T07:22:01,0,170,0,170
2023-05-25T07:33:35,0,170,0,170
2023-05-25T07:45:12,0,170,0,170
2023-05-25T07:56:48,0,170,0,170
2023-05-25T08:08:22,0,170,0,170
2023-05-25T08:19:57,0,170,0,170
2023-05-25T08:31:41,0,170,0,170
2023-05-25T08:43:14,0,170,0,170
2023-05-25T08:54:46,0,170,0,170
2023-05-25T09:06:20,0,170,0,170
2023-05-25T09:17:52,0,170,0,170
2023-05-25T09:29:25,0,170,0,170
2023-05-25T09:40:57,0,170,0,170
2023-05-25T09:52:30,0,170,0,170
2023-05-25T10:04:04,0,170,0,170
2023-05-25T10:15:48,0,170,0,170
2023-05-25T10:27:21,0,170,0,170
2023-05-25T10:38:54,0,170,0,170
2023-05-25T10:50:26,0,170,0,170
2023-05-25T11:02:09,0,170,0,170
2023-05-25T11:13:41,0,170,0,170
2023-05-25T11:25:15,0,170,0,170
2023-05-25T11:36:47,0,170,0,170
2023-05-25T11:48:20,0,170,0,170
2023-05-25T12:00:04,0,170,0,170
2023-05-25T12:11:37,0,170,0,170
2023-05-25T12:23:10,0,170,0,170
2023-05-25T12:34:43,0,170,0,170
2023-05-25T12:46:16,0,170,0,170
2023-05-25T12:57:49,0,170,0,170
2023-05-25T13:09:32,0,170,0,170
2023-05-25T13:21:04,0,170,0,170
2023-05-25T13:32:38,0,170,0,170
2023-05-25T13:44:11,0,170,0,170
2023-05-25T13:55:44,0,170,0,170
2023-05-25T14:07:29,0,170,0,170
2023-05-25T14:19:02,0,170,0,170
2023-05-25T14:30:35,0,170,0,170
2023-05-25T14:42:08,0,170,0,170
2023-05-25T14:53:42,0,170,0,170
2023-05-25T15:05:25,0,170,0,170
2023-05-25T15:17:00,0,170,0,170
2023-05-25T15:28:34,0,170,0,170
2023-05-25T15:40:09,0,170,0,170
2023-05-25T15:51:43,0,170,0,170
2023-05-25T16:03:18,0,170,0,170
2023-05-25T16:15:04,0,170,0,170
2023-05-25T16:26:39,0,170,0,170
2023-05-25T16:38:13,0,170,0,170
2023-05-25T16:49:49,0,170,0,170
2023-05-25T17:01:25,0,170,0,170
2023-05-25T17:13:02,0,170,0,170
2023-05-25T17:24:48,0,170,0,170
2023-05-25T17:36:24,0,170,0,170
2023-05-25T17:48:00,0,170,0,170
2023-05-25T17:59:35,0,170,0,170
2023-05-25T18:11:12,0,170,0,170
2023-05-25T18:22:48,0,170,0,170
2023-05-25T18:34:23,0,170,0,170
2023-05-25T18:46:08,0,170,0,170
2023-05-25T18:57:44,0,170,0,170
2023-05-25T19:09:21,0,170,0,170
2023-05-25T19:20:57,0,170,0,170
2023-05-25T19:32:32,0,170,0,170
2023-05-25T19:44:09,0,170,0,170
2023-05-25T19:55:54,0,170,0,170
2023-05-25T20:07:29,0,170,0,170
2023-05-25T20:19:05,0,170,0,170
2023-05-25T20:30:42,0,170,0,170
2023-05-25T20:42:17,0,170,0,170
2023-05-25T20:53:53,0,170,0,170
2023-05-25T21:05:28,0,170,0,170
2023-05-25T21:17:05,0,170,0,170
2023-05-25T21:28:51,0,170,0,170
2023-05-25T21:40:27,0,170,0,170
2023-05-25T21:52:03,0,170,0,170
2023-05-25T22:03:38,0,170,0,170
2023-05-25T22:15:13,0,170,0,170
2023-05-25T22:26:49,0,170,0,170
2023-05-25T22:38:24,0,170,0,170
2023-05-25T22:50:11,0,170,0,170
2023-05-25T23:01:46,0,170,0,170
2023-05-25T23:13:24,0,170,0,170
2023-05-25T23:25:00,0,170,0,170
2023-05-25T23:36:36,0,170,0,170
2023-05-25T23:48:12,0,170,0,170
2023-05-25T23:59:48,0,170,0,170
2023-05-26T00:11:45,0,170,0,170
2023-05-26T00:23:26,0,170,0,170
2023-05-26T00:35:05,0,170,0,170
2023-05-26T00:46:43,0,170,0,170
2023-05-26T00:58:22,0,170,0,170
2023-05-26T01:10:01,0,170,0,170
2023-05-26T01:21:40,0,170,0,170
2023-05-26T01:33:18,0,170,0,170
2023-05-26T01:45:06,0,170,0,170
2023-05-26T01:56:45,0,170,0,170
2023-05-26T02:08:26,0,170,0,170
2023-05-26T02:20:04,0,170,0,170
2023-05-26T02:31:41,0,170,0,170
2023-05-26T02:43:29,0,170,0,170
2023-05-26T02:55:10,0,170,0,170
2023-05-26T03:06:50,0,170,0,170
2023-05-26T03:18:31,0,170,0,170
2023-05-26T03:30:10,0,170,0,170
2023-05-26T03:41:48,0,170,0,170
2023-05-26T03:53:26,0,170,0,170
2023-05-26T04:05:05,0,170,0,170
2023-05-26T04:17:59,0,170,0,170
2023-05-26T04:27:13,0,170,0,170
2023-05-26T04:39:17,0,170,0,170
2023-05-26T04:50:59,0,170,0,170
2023-05-26T05:02:39,0,170,0,170
2023-05-26T05:14:21,0,170,0,170
2023-05-26T05:25:59,0,170,0,170
2023-05-26T05:37:38,0,170,0,170
2023-05-26T05:49:17,0,170,0,170
2023-05-26T06:00:56,0,170,0,170
