time,enrolled,available,waitlisted,total
2023-05-25T01:14:07,0,10,0,10
2023-05-25T01:25:43,0,10,0,10
2023-05-25T01:37:18,0,10,0,10
2023-05-25T01:49:03,0,10,0,10
2023-05-25T02:00:38,0,10,0,10
2023-05-25T02:12:14,0,10,0,10
2023-05-25T02:23:51,0,10,0,10
2023-05-25T02:35:24,0,10,0,10
2023-05-25T02:46:58,0,10,0,10
2023-05-25T02:58:31,0,10,0,10
2023-05-25T03:10:06,0,10,0,10
2023-05-25T03:21:45,0,10,0,10
2023-05-25T03:33:43,0,10,0,10
2023-05-25T03:45:19,0,10,0,10
2023-05-25T03:56:55,0,10,0,10
2023-05-25T04:16:17,0,10,0,10
2023-05-25T04:28:18,0,10,0,10
2023-05-25T04:39:55,0,10,0,10
2023-05-25T04:51:31,0,10,0,10
2023-05-25T05:03:06,0,10,0,10
2023-05-25T05:14:44,0,10,0,10
2023-05-25T05:26:20,0,10,0,10
2023-05-25T05:37:56,0,10,0,10
2023-05-25T05:49:32,0,10,0,10
2023-05-25T06:01:09,0,10,0,10
2023-05-25T06:12:45,0,10,0,10
2023-05-25T06:24:20,0,10,0,10
2023-05-25T06:35:54,0,10,0,10
2023-05-25T06:47:30,0,10,0,10
2023-05-25T06:59:05,0,10,0,10
2023-05-25T07:10:41,0,10,0,10
2023-05-25T07:22:15,0,10,0,10
2023-05-25T07:33:49,0,10,0,10
2023-05-25T07:45:25,0,10,0,10
2023-05-25T07:57:01,0,10,0,10
2023-05-25T08:08:36,0,10,0,10
2023-05-25T08:20:10,0,10,0,10
2023-05-25T08:31:55,0,10,0,10
2023-05-25T08:43:27,0,10,0,10
2023-05-25T08:54:59,0,10,0,10
2023-05-25T09:06:33,0,10,0,10
2023-05-25T09:18:06,0,10,0,10
2023-05-25T09:29:39,0,10,0,10
2023-05-25T09:41:11,0,10,0,10
2023-05-25T09:52:44,0,10,0,10
2023-05-25T10:04:17,0,10,0,10
2023-05-25T10:16:02,0,10,0,10
2023-05-25T10:27:35,0,10,0,10
2023-05-25T10:39:07,0,10,0,10
2023-05-25T10:50:40,0,10,0,10
2023-05-25T11:02:23,0,10,0,10
2023-05-25T11:13:55,0,10,0,10
2023-05-25T11:25:28,0,10,0,10
2023-05-25T11:37:01,0,10,0,10
2023-05-25T11:48:34,0,10,0,10
2023-05-25T12:00:18,0,10,0,10
2023-05-25T12:11:51,0,10,0,10
2023-05-25T12:23:24,0,10,0,10
2023-05-25T12:34:57,0,10,0,10
2023-05-25T12:46:29,0,10,0,10
2023-05-25T12:58:02,0,10,0,10
2023-05-25T13:09:45,0,10,0,10
2023-05-25T13:21:18,0,10,0,10
2023-05-25T13:32:51,0,10,0,10
2023-05-25T13:44:24,0,10,0,10
2023-05-25T13:55:58,0,10,0,10
2023-05-25T14:07:42,0,10,0,10
2023-05-25T14:19:16,0,10,0,10
2023-05-25T14:30:49,0,10,0,10
2023-05-25T14:42:22,0,10,0,10
2023-05-25T14:53:55,0,10,0,10
2023-05-25T15:05:39,0,10,0,10
2023-05-25T15:17:13,0,10,0,10
2023-05-25T15:28:48,0,10,0,10
2023-05-25T15:40:22,0,10,0,10
2023-05-25T15:51:57,0,10,0,10
2023-05-25T16:03:32,0,10,0,10
2023-05-25T16:15:17,0,10,0,10
2023-05-25T16:26:52,0,10,0,10
2023-05-25T16:38:27,0,10,0,10
2023-05-25T16:50:03,0,10,0,10
2023-05-25T17:01:38,0,10,0,10
2023-05-25T17:13:15,0,10,0,10
2023-05-25T17:25:02,0,10,0,10
2023-05-25T17:36:37,0,10,0,10
2023-05-25T17:48:13,0,10,0,10
2023-05-25T17:59:49,0,10,0,10
2023-05-25T18:11:26,0,10,0,10
2023-05-25T18:23:01,0,10,0,10
2023-05-25T18:34:37,0,10,0,10
2023-05-25T18:46:22,0,10,0,10
2023-05-25T18:57:58,0,10,0,10
2023-05-25T19:09:34,0,10,0,10
2023-05-25T19:21:10,0,10,0,10
2023-05-25T19:32:46,0,10,0,10
2023-05-25T19:44:22,0,10,0,10
2023-05-25T19:56:08,0,10,0,10
2023-05-25T20:07:43,0,10,0,10
2023-05-25T20:19:19,0,10,0,10
2023-05-25T20:30:55,0,10,0,10
2023-05-25T20:42:31,0,10,0,10
2023-05-25T20:54:06,0,10,0,10
2023-05-25T21:05:42,0,10,0,10
2023-05-25T21:17:18,0,10,0,10
2023-05-25T21:29:05,0,10,0,10
2023-05-25T21:40:41,0,10,0,10
