time,enrolled,available,waitlisted,total
2023-05-25T01:14:16,0,194,0,194
2023-05-25T01:25:52,0,194,0,194
2023-05-25T01:37:28,0,194,0,194
2023-05-25T01:49:12,0,194,0,194
2023-05-25T02:00:48,0,194,0,194
2023-05-25T02:12:23,0,194,0,194
2023-05-25T02:24:00,0,194,0,194
2023-05-25T02:35:34,0,194,0,194
2023-05-25T02:47:07,0,194,0,194
2023-05-25T02:58:40,0,194,0,194
2023-05-25T03:10:16,0,194,0,194
2023-05-25T03:21:55,0,194,0,194
2023-05-25T03:33:52,0,194,0,194
2023-05-25T03:45:29,0,194,0,194
2023-05-25T03:57:04,0,194,0,194
2023-05-25T04:16:26,0,194,0,194
2023-05-25T04:28:28,0,194,0,194
2023-05-25T04:40:04,0,194,0,194
2023-05-25T04:51:40,0,194,0,194
2023-05-25T05:03:16,0,194,0,194
2023-05-25T05:14:53,0,194,0,194
2023-05-25T05:26:29,0,194,0,194
2023-05-25T05:38:06,0,194,0,194
2023-05-25T05:49:42,0,194,0,194
2023-05-25T06:01:19,0,194,0,194
2023-05-25T06:12:54,0,194,0,194
2023-05-25T06:24:29,0,194,0,194
2023-05-25T06:36:04,0,194,0,194
2023-05-25T06:47:39,0,194,0,194
2023-05-25T06:59:14,0,194,0,194
2023-05-25T07:10:50,0,194,0,194
2023-05-25T07:22:25,0,194,0,194
2023-05-25T07:33:58,0,194,0,194
2023-05-25T07:45:35,0,194,0,194
2023-05-25T07:57:11,0,194,0,194
2023-05-25T08:08:45,0,194,0,194
2023-05-25T08:20:20,0,194,0,194
2023-05-25T08:32:04,0,194,0,194
2023-05-25T08:43:37,0,194,0,194
2023-05-25T08:55:09,0,194,0,194
2023-05-25T09:06:43,0,194,0,194
2023-05-25T09:18:15,0,194,0,194
2023-05-25T09:29:48,0,194,0,194
2023-05-25T09:41:21,0,194,0,194
2023-05-25T09:52:53,0,194,0,194
2023-05-25T10:04:27,0,194,0,194
2023-05-25T10:16:11,0,194,0,194
2023-05-25T10:27:44,0,194,0,194
2023-05-25T10:39:17,0,194,0,194
2023-05-25T10:50:49,0,194,0,194
2023-05-25T11:02:32,0,194,0,194
2023-05-25T11:14:05,0,194,0,194
2023-05-25T11:25:38,0,194,0,194
2023-05-25T11:37:10,0,194,0,194
2023-05-25T11:48:43,0,194,0,194
2023-05-25T12:00:27,0,194,0,194
2023-05-25T12:12:00,0,194,0,194
2023-05-25T12:23:33,0,194,0,194
2023-05-25T12:35:06,0,194,0,194
2023-05-25T12:46:39,0,194,0,194
2023-05-25T12:58:12,0,194,0,194
2023-05-25T13:09:55,0,194,0,194
2023-05-25T13:21:27,0,194,0,194
2023-05-25T13:33:01,0,194,0,194
2023-05-25T13:44:34,0,194,0,194
2023-05-25T13:56:07,0,194,0,194
2023-05-25T14:07:52,0,194,0,194
2023-05-25T14:19:25,0,194,0,194
2023-05-25T14:30:58,0,194,0,194
2023-05-25T14:42:31,0,194,0,194
2023-05-25T14:54:05,0,194,0,194
2023-05-25T15:05:49,0,194,0,194
2023-05-25T15:17:23,0,194,0,194
2023-05-25T15:28:57,0,194,0,194
2023-05-25T15:40:32,0,194,0,194
2023-05-25T15:52:06,0,194,0,194
2023-05-25T16:03:41,0,194,0,194
2023-05-25T16:15:27,0,194,0,194
2023-05-25T16:27:02,0,194,0,194
2023-05-25T16:38:36,0,194,0,194
2023-05-25T16:50:12,0,194,0,194
2023-05-25T17:01:48,0,194,0,194
2023-05-25T17:13:25,0,194,0,194
2023-05-25T17:25:11,0,194,0,194
2023-05-25T17:36:47,0,194,0,194
2023-05-25T17:48:23,0,194,0,194
2023-05-25T17:59:58,0,194,0,194
2023-05-25T18:11:35,0,194,0,194
2023-05-25T18:23:11,0,194,0,194
2023-05-25T18:34:46,0,194,0,194
2023-05-25T18:46:31,0,194,0,194
2023-05-25T18:58:07,0,194,0,194
2023-05-25T19:09:44,0,194,0,194
2023-05-25T19:21:20,0,194,0,194
2023-05-25T19:32:55,0,194,0,194
2023-05-25T19:44:32,0,194,0,194
2023-05-25T19:56:17,0,194,0,194
2023-05-25T20:07:52,0,194,0,194
2023-05-25T20:19:28,0,194,0,194
2023-05-25T20:31:05,0,194,0,194
2023-05-25T20:42:40,0,194,0,194
2023-05-25T20:54:16,0,194,0,194
2023-05-25T21:05:51,0,194,0,194
2023-05-25T21:17:28,0,194,0,194
2023-05-25T21:29:14,0,194,0,194
2023-05-25T21:40:50,0,194,0,194
2023-05-25T21:52:26,0,194,0,194
2023-05-25T22:04:01,0,194,0,194
2023-05-25T22:15:36,0,194,0,194
2023-05-25T22:27:12,0,194,0,194
2023-05-25T22:38:47,0,194,0,194
2023-05-25T22:50:34,0,194,0,194
2023-05-25T23:02:10,0,194,0,194
2023-05-25T23:13:47,0,194,0,194
2023-05-25T23:25:23,0,194,0,194
2023-05-25T23:36:59,0,194,0,194
2023-05-25T23:48:35,0,194,0,194
2023-05-26T00:00:12,0,194,0,194
2023-05-26T00:12:09,0,194,0,194
2023-05-26T00:23:49,0,194,0,194
2023-05-26T00:35:28,0,194,0,194
2023-05-26T00:47:06,0,194,0,194
2023-05-26T00:58:46,0,194,0,194
2023-05-26T01:10:25,0,194,0,194
2023-05-26T01:22:03,0,194,0,194
2023-05-26T01:33:41,0,194,0,194
2023-05-26T01:45:29,0,194,0,194
2023-05-26T01:57:08,0,194,0,194
2023-05-26T02:08:50,0,194,0,194
2023-05-26T02:20:27,0,194,0,194
2023-05-26T02:32:04,0,194,0,194
2023-05-26T02:43:52,0,194,0,194
2023-05-26T02:55:33,0,194,0,194
2023-05-26T03:07:13,0,194,0,194
2023-05-26T03:18:55,0,194,0,194
2023-05-26T03:30:33,0,194,0,194
2023-05-26T03:42:11,0,194,0,194
2023-05-26T03:53:50,0,194,0,194
2023-05-26T04:05:38,0,194,0,194
2023-05-26T04:27:37,0,194,0,194
2023-05-26T04:39:41,0,194,0,194
2023-05-26T04:51:22,0,194,0,194
2023-05-26T05:03:03,0,194,0,194
2023-05-26T05:14:44,0,194,0,194
2023-05-26T05:26:23,0,194,0,194
2023-05-26T05:38:01,0,194,0,194
2023-05-26T05:49:40,0,194,0,194
2023-05-26T06:01:19,0,194,0,194
2023-05-26T06:12:58,0,194,0,194
2023-05-26T06:24:37,0,194,0,194
2023-05-26T06:36:16,0,194,0,194
2023-05-26T06:47:54,0,194,0,194
2023-05-26T06:59:32,0,194,0,194
2023-05-26T07:11:11,0,194,0,194
2023-05-26T07:22:50,0,194,0,194
2023-05-26T07:34:35,0,194,0,194
2023-05-26T07:46:12,0,194,0,194
2023-05-26T07:57:50,0,194,0,194
2023-05-26T08:09:25,0,194,0,194
2023-05-26T08:21:02,0,194,0,194
2023-05-26T08:32:38,0,194,0,194
2023-05-26T08:44:14,0,194,0,194
2023-05-26T08:55:50,0,194,0,194
2023-05-26T09:07:26,0,194,0,194
2023-05-26T09:19:03,0,194,0,194
2023-05-26T09:30:50,0,194,0,194
2023-05-26T09:42:26,0,194,0,194
2023-05-26T09:54:02,0,194,0,194
2023-05-26T10:05:38,0,194,0,194
2023-05-26T10:17:15,0,194,0,194
2023-05-26T10:28:51,0,194,0,194
2023-05-26T10:40:39,0,194,0,194
2023-05-26T10:52:16,0,194,0,194
2023-05-26T11:03:52,0,194,0,194
2023-05-26T11:15:29,0,194,0,194
2023-05-26T11:27:05,0,194,0,194
2023-05-26T11:38:51,0,194,0,194
2023-05-26T11:50:27,0,194,0,194
2023-05-26T12:02:03,0,194,0,194
2023-05-26T12:13:40,0,194,0,194
2023-05-26T12:25:15,0,194,0,194
2023-05-26T12:36:51,0,194,0,194
2023-05-26T12:48:39,0,194,0,194
2023-05-26T13:00:15,0,194,0,194
2023-05-26T13:11:51,0,194,0,194
2023-05-26T13:23:26,0,194,0,194
2023-05-26T13:35:13,0,194,0,194
2023-05-26T13:46:49,0,194,0,194
2023-05-26T13:58:24,0,194,0,194
2023-05-26T14:10:00,0,194,0,194
2023-05-26T14:21:47,0,194,0,194
2023-05-26T14:33:24,0,194,0,194
2023-05-26T14:45:00,0,194,0,194
2023-05-26T14:56:36,0,194,0,194
2023-05-26T15:08:14,0,194,0,194
2023-05-26T15:19:50,0,194,0,194
2023-05-26T15:31:36,0,194,0,194
2023-05-26T15:43:12,0,194,0,194
2023-05-26T15:54:48,0,194,0,194
2023-05-26T16:06:24,0,194,0,194
2023-05-26T16:18:00,0,194,0,194
2023-05-26T16:29:35,0,194,0,194
2023-05-26T16:41:21,0,194,0,194
2023-05-26T16:52:56,0,194,0,194
2023-05-26T17:04:32,0,194,0,194
2023-05-26T17:16:09,0,194,0,194
2023-05-26T17:27:45,0,194,0,194
2023-05-26T17:39:20,0,194,0,194
2023-05-26T17:51:06,0,194,0,194
2023-05-26T18:02:42,0,194,0,194
2023-05-26T18:14:18,0,194,0,194
2023-05-26T18:25:54,0,194,0,194
2023-05-26T18:37:29,0,194,0,194
2023-05-26T18:49:15,0,194,0,194
2023-05-26T19:00:51,0,194,0,194
2023-05-26T19:12:27,0,194,0,194
2023-05-26T19:24:03,0,194,0,194
2023-05-26T19:35:39,0,194,0,194
2023-05-26T19:47:15,0,194,0,194
2023-05-26T19:58:50,0,194,0,194
2023-05-26T20:10:26,0,194,0,194
2023-05-26T20:22:12,0,194,0,194
2023-05-26T20:33:48,0,194,0,194
2023-05-26T20:45:23,0,194,0,194
2023-05-26T20:56:58,0,194,0,194
2023-05-26T21:08:34,0,194,0,194
2023-05-26T21:20:11,0,194,0,194
2023-05-26T21:31:47,0,194,0,194
2023-05-26T21:43:33,0,194,0,194
2023-05-26T21:55:10,0,194,0,194
2023-05-26T22:06:45,0,194,0,194
2023-05-26T22:18:21,0,194,0,194
2023-05-26T22:29:57,0,194,0,194
2023-05-26T22:41:33,0,194,0,194
2023-05-26T22:53:09,0,194,0,194
2023-05-26T23:04:48,0,194,0,194
2023-05-26T23:16:34,0,194,0,194
