time,enrolled,available,waitlisted,total
2023-05-25T01:14:25,0,35,0,35
2023-05-25T01:26:01,0,35,0,35
2023-05-25T01:37:36,0,35,0,35
2023-05-25T01:49:21,0,35,0,35
2023-05-25T02:00:56,0,35,0,35
2023-05-25T02:12:32,0,35,0,35
2023-05-25T02:24:09,0,35,0,35
2023-05-25T02:35:42,0,35,0,35
2023-05-25T02:47:16,0,35,0,35
2023-05-25T02:58:48,0,35,0,35
2023-05-25T03:10:24,0,35,0,35
2023-05-25T03:22:03,0,35,0,35
2023-05-25T03:34:01,0,35,0,35
2023-05-25T03:45:37,0,35,0,35
2023-05-25T03:57:13,0,35,0,35
2023-05-25T04:16:35,0,35,0,35
2023-05-25T04:28:36,0,35,0,35
2023-05-25T04:40:13,0,35,0,35
2023-05-25T04:51:49,0,35,0,35
2023-05-25T05:03:25,0,35,0,35
2023-05-25T05:15:02,0,35,0,35
2023-05-25T05:26:38,0,35,0,35
2023-05-25T05:38:14,0,35,0,35
2023-05-25T05:49:50,0,35,0,35
2023-05-25T06:01:27,0,35,0,35
2023-05-25T06:13:03,0,35,0,35
2023-05-25T06:24:38,0,35,0,35
2023-05-25T06:36:12,0,35,0,35
2023-05-25T06:47:48,0,35,0,35
2023-05-25T06:59:23,0,35,0,35
2023-05-25T07:10:59,0,35,0,35
2023-05-25T07:22:33,0,35,0,35
2023-05-25T07:34:07,0,35,0,35
2023-05-25T07:45:43,0,35,0,35
2023-05-25T07:57:19,0,35,0,35
2023-05-25T08:08:54,0,35,0,35
2023-05-25T08:20:38,0,35,0,35
2023-05-25T08:32:13,0,35,0,35
2023-05-25T08:43:45,0,35,0,35
2023-05-25T08:55:17,0,35,0,35
2023-05-25T09:06:51,0,35,0,35
2023-05-25T09:18:24,0,35,0,35
2023-05-25T09:29:57,0,35,0,35
2023-05-25T09:41:29,0,35,0,35
2023-05-25T09:53:02,0,35,0,35
2023-05-25T10:04:35,0,35,0,35
2023-05-25T10:16:20,0,35,0,35
2023-05-25T10:27:53,0,35,0,35
2023-05-25T10:39:25,0,35,0,35
2023-05-25T10:50:58,0,35,0,35
2023-05-25T11:02:41,0,35,0,35
2023-05-25T11:14:13,0,35,0,35
2023-05-25T11:25:46,0,35,0,35
2023-05-25T11:37:19,0,35,0,35
2023-05-25T11:48:52,0,35,0,35
2023-05-25T12:00:36,0,35,0,35
2023-05-25T12:12:09,0,35,0,35
2023-05-25T12:23:41,0,35,0,35
2023-05-25T12:35:14,0,35,0,35
2023-05-25T12:46:47,0,35,0,35
2023-05-25T12:58:31,0,35,0,35
2023-05-25T13:10:03,0,35,0,35
2023-05-25T13:21:36,0,35,0,35
2023-05-25T13:33:09,0,35,0,35
2023-05-25T13:44:42,0,35,0,35
2023-05-25T13:56:16,0,35,0,35
2023-05-25T14:08:00,0,35,0,35
2023-05-25T14:19:34,0,35,0,35
2023-05-25T14:31:07,0,35,0,35
2023-05-25T14:42:39,0,35,0,35
2023-05-25T14:54:13,0,35,0,35
2023-05-25T15:05:57,0,35,0,35
2023-05-25T15:17:31,0,35,0,35
2023-05-25T15:29:06,0,35,0,35
2023-05-25T15:40:40,0,35,0,35
2023-05-25T15:52:15,0,35,0,35
2023-05-25T16:03:50,0,35,0,35
2023-05-25T16:15:35,0,35,0,35
2023-05-25T16:27:10,0,35,0,35
2023-05-25T16:38:45,0,35,0,35
2023-05-25T16:50:21,0,35,0,35
2023-05-25T17:01:56,0,35,0,35
2023-05-25T17:13:33,0,35,0,35
2023-05-25T17:25:20,0,35,0,35
2023-05-25T17:36:55,0,35,0,35
2023-05-25T17:48:31,0,35,0,35
2023-05-25T18:00:07,0,35,0,35
2023-05-25T18:11:44,0,35,0,35
2023-05-25T18:23:19,0,35,0,35
2023-05-25T18:34:54,0,35,0,35
2023-05-25T18:46:40,0,35,0,35
2023-05-25T18:58:16,0,35,0,35
2023-05-25T19:09:52,0,35,0,35
2023-05-25T19:21:28,0,35,0,35
2023-05-25T19:33:04,0,35,0,35
2023-05-25T19:44:40,0,35,0,35
2023-05-25T19:56:25,0,35,0,35
2023-05-25T20:08:01,0,35,0,35
2023-05-25T20:19:37,0,35,0,35
2023-05-25T20:31:13,0,35,0,35
2023-05-25T20:42:49,0,35,0,35
2023-05-25T20:54:24,0,35,0,35
2023-05-25T21:05:59,0,35,0,35
2023-05-25T21:17:36,0,35,0,35
2023-05-25T21:29:22,0,35,0,35
2023-05-25T21:40:59,0,35,0,35
2023-05-25T21:52:34,0,35,0,35
2023-05-25T22:04:10,0,35,0,35
2023-05-25T22:15:45,0,35,0,35
2023-05-25T22:27:20,0,35,0,35
2023-05-25T22:38:56,0,35,0,35
2023-05-25T22:50:42,0,35,0,35
2023-05-25T23:02:19,0,35,0,35
2023-05-25T23:13:56,0,35,0,35
2023-05-25T23:25:32,0,35,0,35
2023-05-25T23:37:08,0,35,0,35
2023-05-25T23:48:43,0,35,0,35
2023-05-26T00:00:21,0,35,0,35
2023-05-26T00:12:17,0,35,0,35
2023-05-26T00:23:57,0,35,0,35
2023-05-26T00:35:37,0,35,0,35
2023-05-26T00:47:15,0,35,0,35
2023-05-26T00:58:54,0,35,0,35
2023-05-26T01:10:33,0,35,0,35
2023-05-26T01:22:12,0,35,0,35
2023-05-26T01:33:50,0,35,0,35
2023-05-26T01:45:37,0,35,0,35
2023-05-26T01:57:17,0,35,0,35
2023-05-26T02:08:58,0,35,0,35
2023-05-26T02:20:35,0,35,0,35
2023-05-26T02:32:13,0,35,0,35
2023-05-26T02:44:01,0,35,0,35
2023-05-26T02:55:42,0,35,0,35
2023-05-26T03:07:22,0,35,0,35
2023-05-26T03:19:03,0,35,0,35
2023-05-26T03:30:42,0,35,0,35
2023-05-26T03:42:20,0,35,0,35
2023-05-26T03:53:58,0,35,0,35
2023-05-26T04:05:47,0,35,0,35
2023-05-26T04:27:45,0,35,0,35
2023-05-26T04:39:49,0,35,0,35
2023-05-26T04:51:31,0,35,0,35
2023-05-26T05:03:11,0,35,0,35
2023-05-26T05:14:52,0,35,0,35
2023-05-26T05:26:31,0,35,0,35
2023-05-26T05:38:10,0,35,0,35
2023-05-26T05:49:49,0,35,0,35
2023-05-26T06:01:27,0,35,0,35
2023-05-26T06:13:07,0,35,0,35
2023-05-26T06:24:46,0,35,0,35
2023-05-26T06:36:24,0,35,0,35
2023-05-26T06:48:03,0,35,0,35
2023-05-26T06:59:40,0,35,0,35
2023-05-26T07:11:20,0,35,0,35
2023-05-26T07:22:58,0,35,0,35
2023-05-26T07:34:44,0,35,0,35
2023-05-26T07:46:21,0,35,0,35
2023-05-26T07:57:58,0,35,0,35
2023-05-26T08:09:34,0,35,0,35
2023-05-26T08:21:10,0,35,0,35
2023-05-26T08:32:46,0,35,0,35
2023-05-26T08:44:22,0,35,0,35
2023-05-26T08:55:58,0,35,0,35
2023-05-26T09:07:35,0,35,0,35
2023-05-26T09:19:11,0,35,0,35
2023-05-26T09:30:58,0,35,0,35
2023-05-26T09:42:34,0,35,0,35
2023-05-26T09:54:11,0,35,0,35
2023-05-26T10:05:46,0,35,0,35
2023-05-26T10:17:23,0,35,0,35
2023-05-26T10:29:00,0,35,0,35
2023-05-26T10:40:48,0,35,0,35
2023-05-26T10:52:24,0,35,0,35
2023-05-26T11:04:00,0,35,0,35
2023-05-26T11:15:37,0,35,0,35
2023-05-26T11:27:13,0,35,0,35
2023-05-26T11:39:00,0,35,0,35
2023-05-26T11:50:36,0,35,0,35
2023-05-26T12:02:12,0,35,0,35
2023-05-26T12:13:48,0,35,0,35
2023-05-26T12:25:24,0,35,0,35
2023-05-26T12:37:00,0,35,0,35
2023-05-26T12:48:47,0,35,0,35
2023-05-26T13:00:24,0,35,0,35
2023-05-26T13:11:59,0,35,0,35
2023-05-26T13:23:35,0,35,0,35
2023-05-26T13:35:21,0,35,0,35
2023-05-26T13:46:57,0,35,0,35
2023-05-26T13:58:33,0,35,0,35
2023-05-26T14:10:09,0,35,0,35
2023-05-26T14:21:56,0,35,0,35
2023-05-26T14:33:32,0,35,0,35
2023-05-26T14:45:08,0,35,0,35
2023-05-26T14:56:44,0,35,0,35
2023-05-26T15:08:23,0,35,0,35
2023-05-26T15:19:58,0,35,0,35
2023-05-26T15:31:45,0,35,0,35
2023-05-26T15:43:20,0,35,0,35
2023-05-26T15:54:56,0,35,0,35
2023-05-26T16:06:32,0,35,0,35
2023-05-26T16:18:08,0,35,0,35
2023-05-26T16:29:43,0,35,0,35
2023-05-26T16:41:29,0,35,0,35
2023-05-26T16:53:05,0,35,0,35
2023-05-26T17:04:41,0,35,0,35
2023-05-26T17:16:18,0,35,0,35
2023-05-26T17:27:54,0,35,0,35
2023-05-26T17:39:29,0,35,0,35
2023-05-26T17:51:15,0,35,0,35
2023-05-26T18:02:51,0,35,0,35
2023-05-26T18:14:26,0,35,0,35
2023-05-26T18:26:02,0,35,0,35
2023-05-26T18:37:38,0,35,0,35
2023-05-26T18:49:24,0,35,0,35
2023-05-26T19:00:59,0,35,0,35
2023-05-26T19:12:36,0,35,0,35
2023-05-26T19:24:12,0,35,0,35
2023-05-26T19:35:48,0,35,0,35
2023-05-26T19:47:23,0,35,0,35
2023-05-26T19:58:59,0,35,0,35
2023-05-26T20:10:35,0,35,0,35
2023-05-26T20:22:20,0,35,0,35
2023-05-26T20:33:56,0,35,0,35
2023-05-26T20:45:31,0,35,0,35
2023-05-26T20:57:07,0,35,0,35
2023-05-26T21:08:42,0,35,0,35
2023-05-26T21:20:20,0,35,0,35
2023-05-26T21:31:55,0,35,0,35
2023-05-26T21:43:42,0,35,0,35
2023-05-26T21:55:18,0,35,0,35
2023-05-26T22:06:54,0,35,0,35
2023-05-26T22:18:30,0,35,0,35
2023-05-26T22:30:06,0,35,0,35
2023-05-26T22:41:42,0,35,0,35
2023-05-26T22:53:17,0,35,0,35
2023-05-26T23:04:57,0,35,0,35
2023-05-26T23:16:43,0,35,0,35
2023-05-26T23:28:19,0,35,0,35
2023-05-26T23:39:55,0,35,0,35
2023-05-26T23:51:32,0,35,0,35
2023-05-27T00:03:08,0,35,0,35
2023-05-27T00:14:48,0,35,0,35
2023-05-27T00:26:27,0,35,0,35
2023-05-27T00:38:06,0,35,0,35
2023-05-27T00:49:45,0,35,0,35
2023-05-27T01:01:24,0,35,0,35
2023-05-27T01:13:03,0,35,0,35
2023-05-27T01:24:52,0,35,0,35
2023-05-27T01:36:31,0,35,0,35
2023-05-27T01:48:10,0,35,0,35
2023-05-27T01:59:48,0,35,0,35
2023-05-27T02:11:27,0,35,0,35
2023-05-27T02:23:04,0,35,0,35
2023-05-27T02:34:41,0,35,0,35
2023-05-27T02:46:17,0,35,0,35
2023-05-27T02:57:53,0,35,0,35
2023-05-27T03:09:31,0,35,0,35
2023-05-27T03:21:09,0,35,0,35
2023-05-27T03:32:46,0,35,0,35
2023-05-27T03:44:23,0,35,0,35
2023-05-27T03:56:01,0,35,0,35
2023-05-27T04:07:41,0,35,0,35
2023-05-27T04:19:44,0,35,0,35
2023-05-27T04:29:14,0,35,0,35
2023-05-27T04:42:10,0,35,0,35
2023-05-27T04:54:06,0,35,0,35
2023-05-27T05:05:46,0,35,0,35
2023-05-27T05:17:25,0,35,0,35
2023-05-27T05:29:04,0,35,0,35
2023-05-27T05:40:44,0,35,0,35
2023-05-27T05:52:22,0,35,0,35
2023-05-27T06:04:01,0,35,0,35
2023-05-27T06:15:39,0,35,0,35
2023-05-27T06:27:20,0,35,0,35
2023-05-27T06:38:59,0,35,0,35
2023-05-27T06:50:37,0,35,0,35
2023-05-27T07:02:15,0,35,0,35
2023-05-27T07:13:53,0,35,0,35
2023-05-27T07:25:32,0,35,0,35
2023-05-27T07:37:09,0,35,0,35
2023-05-27T07:48:47,0,35,0,35
2023-05-27T08:00:37,0,35,0,35
2023-05-27T08:12:14,0,35,0,35
2023-05-27T08:23:52,0,35,0,35
2023-05-27T08:35:31,0,35,0,35
2023-05-27T08:47:09,0,35,0,35
2023-05-27T08:58:47,0,35,0,35
2023-05-27T09:10:25,0,35,0,35
2023-05-27T09:22:02,0,35,0,35
2023-05-27T09:33:42,0,35,0,35
2023-05-27T09:45:20,0,35,0,35
2023-05-27T09:56:57,0,35,0,35
2023-05-27T10:08:52,0,35,0,35
2023-05-27T10:20:28,0,35,0,35
2023-05-27T10:32:06,0,35,0,35
2023-05-27T10:43:43,0,35,0,35
2023-05-27T10:55:20,0,35,0,35
2023-05-27T11:06:55,0,35,0,35
2023-05-27T11:18:31,0,35,0,35
2023-05-27T11:30:06,0,35,0,35
2023-05-27T11:41:41,0,35,0,35
2023-05-27T11:53:16,0,35,0,35
2023-05-27T12:05:00,0,35,0,35
2023-05-27T12:16:36,0,35,0,35
2023-05-27T12:28:11,0,35,0,35
2023-05-27T12:39:46,0,35,0,35
2023-05-27T12:51:22,0,35,0,35
2023-05-27T13:02:57,0,35,0,35
2023-05-27T13:14:32,0,35,0,35
2023-05-27T13:26:07,0,35,0,35
2023-05-27T13:38:02,0,35,0,35
2023-05-27T13:49:37,0,35,0,35
2023-05-27T14:01:13,0,35,0,35
2023-05-27T14:12:48,0,35,0,35
2023-05-27T14:24:24,0,35,0,35
2023-05-27T14:35:59,0,35,0,35
2023-05-27T14:47:34,0,35,0,35
2023-05-27T14:59:20,0,35,0,35
2023-05-27T15:10:55,0,35,0,35
2023-05-27T15:22:30,0,35,0,35
2023-05-27T15:34:05,0,35,0,35
2023-05-27T15:45:41,0,35,0,35
2023-05-27T15:57:15,0,35,0,35
