time,enrolled,available,waitlisted,total
2023-05-25T01:14:33,0,999,0,999
2023-05-25T01:26:09,0,999,0,999
2023-05-25T01:37:44,0,999,0,999
2023-05-25T01:49:29,0,999,0,999
2023-05-25T02:01:04,0,999,0,999
2023-05-25T02:12:40,0,999,0,999
2023-05-25T02:24:17,0,999,0,999
2023-05-25T02:35:50,0,999,0,999
2023-05-25T02:47:24,0,999,0,999
2023-05-25T02:58:57,0,999,0,999
2023-05-25T03:10:32,0,999,0,999
2023-05-25T03:22:12,0,999,0,999
2023-05-25T03:34:09,0,999,0,999
2023-05-25T03:45:45,0,999,0,999
2023-05-25T03:57:21,0,999,0,999
2023-05-25T04:16:43,0,999,0,999
2023-05-25T04:28:44,0,999,0,999
2023-05-25T04:40:21,0,999,0,999
2023-05-25T04:51:57,0,999,0,999
2023-05-25T05:03:33,0,999,0,999
2023-05-25T05:15:10,0,999,0,999
2023-05-25T05:26:46,0,999,0,999
2023-05-25T05:38:23,0,999,0,999
2023-05-25T05:49:59,0,999,0,999
2023-05-25T06:01:35,0,999,0,999
2023-05-25T06:13:11,0,999,0,999
2023-05-25T06:24:46,0,999,0,999
2023-05-25T06:36:20,0,999,0,999
2023-05-25T06:47:56,0,999,0,999
2023-05-25T06:59:31,0,999,0,999
2023-05-25T07:11:07,0,999,0,999
2023-05-25T07:22:41,0,999,0,999
2023-05-25T07:34:15,0,999,0,999
2023-05-25T07:45:52,0,999,0,999
2023-05-25T07:57:27,0,999,0,999
2023-05-25T08:09:02,0,999,0,999
2023-05-25T08:20:46,0,999,0,999
2023-05-25T08:32:21,0,999,0,999
2023-05-25T08:43:53,0,999,0,999
2023-05-25T08:55:25,0,999,0,999
2023-05-25T09:06:59,0,999,0,999
2023-05-25T09:18:32,0,999,0,999
2023-05-25T09:30:05,0,999,0,999
2023-05-25T09:41:37,0,999,0,999
2023-05-25T09:53:10,0,999,0,999
2023-05-25T10:04:44,0,999,0,999
2023-05-25T10:16:28,0,999,0,999
2023-05-25T10:28:01,0,999,0,999
2023-05-25T10:39:34,0,999,0,999
2023-05-25T10:51:06,0,999,0,999
2023-05-25T11:02:49,0,999,0,999
2023-05-25T11:14:21,0,999,0,999
2023-05-25T11:25:54,0,999,0,999
2023-05-25T11:37:27,0,999,0,999
2023-05-25T11:49:00,0,999,0,999
2023-05-25T12:00:44,0,999,0,999
2023-05-25T12:12:17,0,999,0,999
2023-05-25T12:23:50,0,999,0,999
2023-05-25T12:35:23,0,999,0,999
2023-05-25T12:46:56,0,999,0,999
2023-05-25T12:58:39,0,999,0,999
2023-05-25T13:10:11,0,999,0,999
2023-05-25T13:21:44,0,999,0,999
2023-05-25T13:33:17,0,999,0,999
2023-05-25T13:44:50,0,999,0,999
2023-05-25T13:56:24,0,999,0,999
2023-05-25T14:08:08,0,999,0,999
2023-05-25T14:19:42,0,999,0,999
2023-05-25T14:31:15,0,999,0,999
2023-05-25T14:42:48,0,999,0,999
2023-05-25T14:54:21,0,999,0,999
2023-05-25T15:06:05,0,999,0,999
2023-05-25T15:17:39,0,999,0,999
2023-05-25T15:29:14,0,999,0,999
2023-05-25T15:40:48,0,999,0,999
2023-05-25T15:52:23,0,999,0,999
2023-05-25T16:03:58,0,999,0,999
2023-05-25T16:15:43,0,999,0,999
2023-05-25T16:27:18,0,999,0,999
2023-05-25T16:38:53,0,999,0,999
2023-05-25T16:50:29,0,999,0,999
2023-05-25T17:02:04,0,999,0,999
2023-05-25T17:13:41,0,999,0,999
2023-05-25T17:25:28,0,999,0,999
2023-05-25T17:37:03,0,999,0,999
2023-05-25T17:48:39,0,999,0,999
2023-05-25T18:00:15,0,999,0,999
2023-05-25T18:11:52,0,999,0,999
2023-05-25T18:23:27,0,999,0,999
2023-05-25T18:35:02,0,999,0,999
2023-05-25T18:46:48,0,999,0,999
2023-05-25T18:58:24,0,999,0,999
2023-05-25T19:10:00,0,999,0,999
2023-05-25T19:21:36,0,999,0,999
2023-05-25T19:33:12,0,999,0,999
2023-05-25T19:44:48,0,999,0,999
2023-05-25T19:56:33,0,999,0,999
2023-05-25T20:08:09,0,999,0,999
2023-05-25T20:19:45,0,999,0,999
2023-05-25T20:31:21,0,999,0,999
2023-05-25T20:42:57,0,999,0,999
2023-05-25T20:54:32,0,999,0,999
2023-05-25T21:06:08,0,999,0,999
2023-05-25T21:17:44,0,999,0,999
2023-05-25T21:29:31,0,999,0,999
2023-05-25T21:41:07,0,999,0,999
2023-05-25T21:52:43,0,999,0,999
2023-05-25T22:04:18,0,999,0,999
2023-05-25T22:15:53,0,999,0,999
2023-05-25T22:27:28,0,999,0,999
2023-05-25T22:39:04,0,999,0,999
2023-05-25T22:50:50,0,999,0,999
2023-05-25T23:02:27,0,999,0,999
2023-05-25T23:14:04,0,999,0,999
2023-05-25T23:25:40,0,999,0,999
2023-05-25T23:37:16,0,999,0,999
2023-05-25T23:48:51,0,999,0,999
2023-05-26T00:00:29,0,999,0,999
2023-05-26T00:12:25,0,999,0,999
2023-05-26T00:24:06,0,999,0,999
2023-05-26T00:35:45,0,999,0,999
2023-05-26T00:47:23,0,999,0,999
2023-05-26T00:59:02,0,999,0,999
2023-05-26T01:10:41,0,999,0,999
2023-05-26T01:22:20,0,999,0,999
2023-05-26T01:33:58,0,999,0,999
