time,enrolled,available,waitlisted,total
2023-05-25T01:14:37,0,120,0,120
2023-05-25T01:26:13,0,120,0,120
2023-05-25T01:37:49,0,120,0,120
2023-05-25T01:49:33,0,120,0,120
2023-05-25T02:01:09,0,120,0,120
2023-05-25T02:12:44,0,120,0,120
2023-05-25T02:24:21,0,120,0,120
2023-05-25T02:35:55,0,120,0,120
2023-05-25T02:47:28,0,120,0,120
2023-05-25T02:59:01,0,120,0,120
2023-05-25T03:10:37,0,120,0,120
2023-05-25T03:22:16,0,120,0,120
2023-05-25T03:34:13,0,120,0,120
2023-05-25T03:45:50,0,120,0,120
2023-05-25T03:57:25,0,120,0,120
2023-05-25T04:16:47,0,120,0,120
2023-05-25T04:28:49,0,120,0,120
2023-05-25T04:40:25,0,120,0,120
2023-05-25T04:52:01,0,120,0,120
2023-05-25T05:03:37,0,120,0,120
2023-05-25T05:15:14,0,120,0,120
2023-05-25T05:26:50,0,120,0,120
2023-05-25T05:38:27,0,120,0,120
2023-05-25T05:50:03,0,120,0,120
2023-05-25T06:01:40,0,120,0,120
2023-05-25T06:13:15,0,120,0,120
2023-05-25T06:24:50,0,120,0,120
2023-05-25T06:36:25,0,120,0,120
2023-05-25T06:48:00,0,120,0,120
2023-05-25T06:59:35,0,120,0,120
2023-05-25T07:11:11,0,120,0,120
2023-05-25T07:22:46,0,120,0,120
2023-05-25T07:34:19,0,120,0,120
2023-05-25T07:45:56,0,120,0,120
2023-05-25T07:57:32,0,120,0,120
2023-05-25T08:09:06,0,120,0,120
2023-05-25T08:20:51,0,120,0,120
2023-05-25T08:32:25,0,120,0,120
2023-05-25T08:43:58,0,120,0,120
2023-05-25T08:55:29,0,120,0,120
2023-05-25T09:07:04,0,120,0,120
2023-05-25T09:18:36,0,120,0,120
2023-05-25T09:30:09,0,120,0,120
2023-05-25T09:41:41,0,120,0,120
2023-05-25T09:53:14,0,120,0,120
2023-05-25T10:04:48,0,120,0,120
2023-05-25T10:16:32,0,120,0,120
2023-05-25T10:28:05,0,120,0,120
2023-05-25T10:39:38,0,120,0,120
2023-05-25T10:51:10,0,120,0,120
2023-05-25T11:02:53,0,120,0,120
2023-05-25T11:14:25,0,120,0,120
2023-05-25T11:25:58,0,120,0,120
2023-05-25T11:37:31,0,120,0,120
2023-05-25T11:49:04,0,120,0,120
2023-05-25T12:00:48,0,120,0,120
2023-05-25T12:12:21,0,120,0,120
2023-05-25T12:23:54,0,120,0,120
2023-05-25T12:35:27,0,120,0,120
2023-05-25T12:47:00,0,120,0,120
2023-05-25T12:58:43,0,120,0,120
2023-05-25T13:10:16,0,120,0,120
2023-05-25T13:21:48,0,120,0,120
2023-05-25T13:33:22,0,120,0,120
2023-05-25T13:44:55,0,120,0,120
2023-05-25T13:56:28,0,120,0,120
2023-05-25T14:08:13,0,120,0,120
2023-05-25T14:19:46,0,120,0,120
2023-05-25T14:31:19,0,120,0,120
2023-05-25T14:42:52,0,120,0,120
2023-05-25T14:54:26,0,120,0,120
2023-05-25T15:06:09,0,120,0,120
2023-05-25T15:17:44,0,120,0,120
2023-05-25T15:29:18,0,120,0,120
2023-05-25T15:40:53,0,120,0,120
2023-05-25T15:52:27,0,120,0,120
2023-05-25T16:04:02,0,120,0,120
2023-05-25T16:15:47,0,120,0,120
2023-05-25T16:27:22,0,120,0,120
2023-05-25T16:38:57,0,120,0,120
2023-05-25T16:50:33,0,120,0,120
2023-05-25T17:02:09,0,120,0,120
2023-05-25T17:13:46,0,120,0,120
2023-05-25T17:25:32,0,120,0,120
2023-05-25T17:37:08,0,120,0,120
2023-05-25T17:48:44,0,120,0,120
2023-05-25T18:00:19,0,120,0,120
2023-05-25T18:11:56,0,120,0,120
2023-05-25T18:23:32,0,120,0,120
2023-05-25T18:35:07,0,120,0,120
2023-05-25T18:46:52,0,120,0,120
2023-05-25T18:58:28,0,120,0,120
2023-05-25T19:10:05,0,120,0,120
2023-05-25T19:21:41,0,120,0,120
2023-05-25T19:33:16,0,120,0,120
2023-05-25T19:44:53,0,120,0,120
2023-05-25T19:56:38,0,120,0,120
2023-05-25T20:08:14,0,120,0,120
2023-05-25T20:19:49,0,120,0,120
2023-05-25T20:31:26,0,120,0,120
2023-05-25T20:43:01,0,120,0,120
2023-05-25T20:54:37,0,120,0,120
2023-05-25T21:06:12,0,120,0,120
2023-05-25T21:17:49,0,120,0,120
2023-05-25T21:29:35,0,120,0,120
2023-05-25T21:41:11,0,120,0,120
2023-05-25T21:52:47,0,120,0,120
2023-05-25T22:04:22,0,120,0,120
2023-05-25T22:15:57,0,120,0,120
2023-05-25T22:27:33,0,120,0,120
2023-05-25T22:39:08,0,120,0,120
2023-05-25T22:50:54,0,120,0,120
2023-05-25T23:02:31,0,120,0,120
2023-05-25T23:14:08,0,120,0,120
2023-05-25T23:25:44,0,120,0,120
2023-05-25T23:37:20,0,120,0,120
2023-05-25T23:48:56,0,120,0,120
2023-05-26T00:00:33,0,120,0,120
2023-05-26T00:12:30,0,120,0,120
2023-05-26T00:24:10,0,120,0,120
2023-05-26T00:35:49,0,120,0,120
2023-05-26T00:47:27,0,120,0,120
2023-05-26T00:59:07,0,120,0,120
2023-05-26T01:10:46,0,120,0,120
2023-05-26T01:22:24,0,120,0,120
2023-05-26T01:34:02,0,120,0,120
2023-05-26T01:45:50,0,120,0,120
2023-05-26T01:57:29,0,120,0,120
2023-05-26T02:09:10,0,120,0,120
2023-05-26T02:20:48,0,120,0,120
2023-05-26T02:32:25,0,120,0,120
2023-05-26T02:44:14,0,120,0,120
2023-05-26T02:55:54,0,120,0,120
2023-05-26T03:07:34,0,120,0,120
2023-05-26T03:19:16,0,120,0,120
2023-05-26T03:30:54,0,120,0,120
2023-05-26T03:42:32,0,120,0,120
2023-05-26T03:54:11,0,120,0,120
2023-05-26T04:05:59,0,120,0,120
2023-05-26T04:27:58,0,120,0,120
2023-05-26T04:40:02,0,120,0,120
2023-05-26T04:51:43,0,120,0,120
2023-05-26T05:03:24,0,120,0,120
2023-05-26T05:15:05,0,120,0,120
2023-05-26T05:26:43,0,120,0,120
2023-05-26T05:38:22,0,120,0,120
2023-05-26T05:50:01,0,120,0,120
2023-05-26T06:01:40,0,120,0,120
2023-05-26T06:13:19,0,120,0,120
2023-05-26T06:24:58,0,120,0,120
2023-05-26T06:36:37,0,120,0,120
2023-05-26T06:48:15,0,120,0,120
2023-05-26T06:59:53,0,120,0,120
2023-05-26T07:11:32,0,120,0,120
2023-05-26T07:23:11,0,120,0,120
2023-05-26T07:34:56,0,120,0,120
2023-05-26T07:46:33,0,120,0,120
2023-05-26T07:58:11,0,120,0,120
2023-05-26T08:09:46,0,120,0,120
2023-05-26T08:21:22,0,120,0,120
2023-05-26T08:32:59,0,120,0,120
2023-05-26T08:44:35,0,120,0,120
2023-05-26T08:56:11,0,120,0,120
2023-05-26T09:07:47,0,120,0,120
2023-05-26T09:19:24,0,120,0,120
2023-05-26T09:31:11,0,120,0,120
2023-05-26T09:42:47,0,120,0,120
2023-05-26T09:54:23,0,120,0,120
2023-05-26T10:05:59,0,120,0,120
2023-05-26T10:17:36,0,120,0,120
2023-05-26T10:29:12,0,120,0,120
2023-05-26T10:41:00,0,120,0,120
2023-05-26T10:52:36,0,120,0,120
2023-05-26T11:04:13,0,120,0,120
2023-05-26T11:15:50,0,120,0,120
2023-05-26T11:27:26,0,120,0,120
2023-05-26T11:39:12,0,120,0,120
2023-05-26T11:50:48,0,120,0,120
2023-05-26T12:02:24,0,120,0,120
2023-05-26T12:14:00,0,120,0,120
2023-05-26T12:25:36,0,120,0,120
2023-05-26T12:37:12,0,120,0,120
2023-05-26T12:49:00,0,120,0,120
2023-05-26T13:00:36,0,120,0,120
2023-05-26T13:12:12,0,120,0,120
2023-05-26T13:23:47,0,120,0,120
2023-05-26T13:35:34,0,120,0,120
2023-05-26T13:47:10,0,120,0,120
2023-05-26T13:58:45,0,120,0,120
2023-05-26T14:10:21,0,120,0,120
2023-05-26T14:22:08,0,120,0,120
2023-05-26T14:33:44,0,120,0,120
2023-05-26T14:45:21,0,120,0,120
2023-05-26T14:56:57,0,120,0,120
2023-05-26T15:08:35,0,120,0,120
2023-05-26T15:20:11,0,120,0,120
2023-05-26T15:31:57,0,120,0,120
2023-05-26T15:43:33,0,120,0,120
2023-05-26T15:55:09,0,120,0,120
2023-05-26T16:06:45,0,120,0,120
2023-05-26T16:18:20,0,120,0,120
2023-05-26T16:29:56,0,120,0,120
2023-05-26T16:41:42,0,120,0,120
2023-05-26T16:53:17,0,120,0,120
2023-05-26T17:04:53,0,120,0,120
2023-05-26T17:16:30,0,120,0,120
2023-05-26T17:28:06,0,120,0,120
2023-05-26T17:39:41,0,120,0,120
2023-05-26T17:51:27,0,120,0,120
2023-05-26T18:03:03,0,120,0,120
2023-05-26T18:14:39,0,120,0,120
2023-05-26T18:26:14,0,120,0,120
2023-05-26T18:37:50,0,120,0,120
2023-05-26T18:49:36,0,120,0,120
2023-05-26T19:01:12,0,120,0,120
2023-05-26T19:12:48,0,120,0,120
2023-05-26T19:24:24,0,120,0,120
2023-05-26T19:36:00,0,120,0,120
2023-05-26T19:47:36,0,120,0,120
2023-05-26T19:59:11,0,120,0,120
2023-05-26T20:10:57,0,120,0,120
2023-05-26T20:22:33,0,120,0,120
2023-05-26T20:34:08,0,120,0,120
2023-05-26T20:45:44,0,120,0,120
2023-05-26T20:57:19,0,120,0,120
