time,enrolled,available,waitlisted,total
2023-05-25T01:15:01,0,40,0,40
2023-05-25T01:26:37,0,40,0,40
2023-05-25T01:38:13,0,40,0,40
2023-05-25T01:49:57,0,40,0,40
2023-05-25T02:01:33,0,40,0,40
2023-05-25T02:13:09,0,40,0,40
2023-05-25T02:24:45,0,40,0,40
2023-05-25T02:36:19,0,40,0,40
2023-05-25T02:47:52,0,40,0,40
2023-05-25T02:59:25,0,40,0,40
2023-05-25T03:11:01,0,40,0,40
2023-05-25T03:22:40,0,40,0,40
2023-05-25T03:34:38,0,40,0,40
2023-05-25T03:46:14,0,40,0,40
2023-05-25T03:57:49,0,40,0,40
2023-05-25T04:17:12,0,40,0,40
2023-05-25T04:29:13,0,40,0,40
2023-05-25T04:40:49,0,40,0,40
2023-05-25T04:52:25,0,40,0,40
2023-05-25T05:04:01,0,40,0,40
2023-05-25T05:15:38,0,40,0,40
2023-05-25T05:27:14,0,40,0,40
2023-05-25T05:38:51,0,40,0,40
2023-05-25T05:50:27,0,40,0,40
2023-05-25T06:02:04,0,40,0,40
2023-05-25T06:13:39,0,40,0,40
2023-05-25T06:25:14,0,40,0,40
2023-05-25T06:36:49,0,40,0,40
2023-05-25T06:48:24,0,40,0,40
2023-05-25T06:59:59,0,40,0,40
2023-05-25T07:11:35,0,40,0,40
2023-05-25T07:23:10,0,40,0,40
2023-05-25T07:34:43,0,40,0,40
2023-05-25T07:46:20,0,40,0,40
2023-05-25T07:57:56,0,40,0,40
2023-05-25T08:09:30,0,40,0,40
2023-05-25T08:21:15,0,40,0,40
2023-05-25T08:32:49,0,40,0,40
2023-05-25T08:44:21,0,40,0,40
2023-05-25T08:55:53,0,40,0,40
2023-05-25T09:07:27,0,40,0,40
2023-05-25T09:19:00,0,40,0,40
2023-05-25T09:30:33,0,40,0,40
2023-05-25T09:42:05,0,40,0,40
2023-05-25T09:53:38,0,40,0,40
2023-05-25T10:05:12,0,40,0,40
2023-05-25T10:16:56,0,40,0,40
2023-05-25T10:28:29,0,40,0,40
2023-05-25T10:40:02,0,40,0,40
2023-05-25T10:51:34,0,40,0,40
2023-05-25T11:03:17,0,40,0,40
2023-05-25T11:14:49,0,40,0,40
2023-05-25T11:26:22,0,40,0,40
2023-05-25T11:37:55,0,40,0,40
2023-05-25T11:49:28,0,40,0,40
2023-05-25T12:01:12,0,40,0,40
2023-05-25T12:12:45,0,40,0,40
2023-05-25T12:24:18,0,40,0,40
2023-05-25T12:35:51,0,40,0,40
2023-05-25T12:47:24,0,40,0,40
2023-05-25T12:59:07,0,40,0,40
2023-05-25T13:10:39,0,40,0,40
2023-05-25T13:22:12,0,40,0,40
2023-05-25T13:33:46,0,40,0,40
2023-05-25T13:45:19,0,40,0,40
2023-05-25T13:56:52,0,40,0,40
2023-05-25T14:08:37,0,40,0,40
2023-05-25T14:20:10,0,40,0,40
2023-05-25T14:31:43,0,40,0,40
2023-05-25T14:43:16,0,40,0,40
2023-05-25T14:54:50,0,40,0,40
2023-05-25T15:06:33,0,40,0,40
2023-05-25T15:18:08,0,40,0,40
2023-05-25T15:29:42,0,40,0,40
2023-05-25T15:41:17,0,40,0,40
2023-05-25T15:52:51,0,40,0,40
2023-05-25T16:04:26,0,40,0,40
2023-05-25T16:16:11,0,40,0,40
2023-05-25T16:27:46,0,40,0,40
2023-05-25T16:39:21,0,40,0,40
2023-05-25T16:50:57,0,40,0,40
2023-05-25T17:02:33,0,40,0,40
2023-05-25T17:14:21,0,40,0,40
2023-05-25T17:25:56,0,40,0,40
2023-05-25T17:37:31,0,40,0,40
2023-05-25T17:49:08,0,40,0,40
2023-05-25T18:00:43,0,40,0,40
2023-05-25T18:12:20,0,40,0,40
2023-05-25T18:23:56,0,40,0,40
2023-05-25T18:35:41,0,40,0,40
2023-05-25T18:47:16,0,40,0,40
2023-05-25T18:58:52,0,40,0,40
2023-05-25T19:10:29,0,40,0,40
2023-05-25T19:22:04,0,40,0,40
2023-05-25T19:33:40,0,40,0,40
2023-05-25T19:45:17,0,40,0,40
2023-05-25T19:57:02,0,40,0,40
2023-05-25T20:08:38,0,40,0,40
2023-05-25T20:20:13,0,40,0,40
2023-05-25T20:31:49,0,40,0,40
2023-05-25T20:43:25,0,40,0,40
2023-05-25T20:55:01,0,40,0,40
2023-05-25T21:06:36,0,40,0,40
2023-05-25T21:18:13,0,40,0,40
2023-05-25T21:29:59,0,40,0,40
2023-05-25T21:41:35,0,40,0,40
2023-05-25T21:53:11,0,40,0,40
2023-05-25T22:04:46,0,40,0,40
2023-05-25T22:16:21,0,40,0,40
2023-05-25T22:27:57,0,40,0,40
2023-05-25T22:39:32,0,40,0,40
2023-05-25T22:51:18,0,40,0,40
2023-05-25T23:02:55,0,40,0,40
2023-05-25T23:14:32,0,40,0,40
2023-05-25T23:26:08,0,40,0,40
2023-05-25T23:37:44,0,40,0,40
2023-05-25T23:49:20,0,40,0,40
2023-05-26T00:00:57,0,40,0,40
2023-05-26T00:12:54,0,40,0,40
2023-05-26T00:24:34,0,40,0,40
2023-05-26T00:36:13,0,40,0,40
2023-05-26T00:47:51,0,40,0,40
2023-05-26T00:59:31,0,40,0,40
2023-05-26T01:11:10,0,40,0,40
2023-05-26T01:22:48,0,40,0,40
2023-05-26T01:34:26,0,40,0,40
2023-05-26T01:46:14,0,40,0,40
2023-05-26T01:57:53,0,40,0,40
2023-05-26T02:09:34,0,40,0,40
2023-05-26T02:21:12,0,40,0,40
2023-05-26T02:32:49,0,40,0,40
2023-05-26T02:44:38,0,40,0,40
2023-05-26T02:56:18,0,40,0,40
2023-05-26T03:07:58,0,40,0,40
2023-05-26T03:19:40,0,40,0,40
2023-05-26T03:31:18,0,40,0,40
2023-05-26T03:42:56,0,40,0,40
2023-05-26T03:54:35,0,40,0,40
2023-05-26T04:06:23,0,40,0,40
2023-05-26T04:28:22,0,40,0,40
2023-05-26T04:40:26,0,40,0,40
2023-05-26T04:52:07,0,40,0,40
2023-05-26T05:03:48,0,40,0,40
2023-05-26T05:15:29,0,40,0,40
2023-05-26T05:27:07,0,40,0,40
2023-05-26T05:38:46,0,40,0,40
2023-05-26T05:50:25,0,40,0,40
2023-05-26T06:02:04,0,40,0,40
2023-05-26T06:13:43,0,40,0,40
2023-05-26T06:25:22,0,40,0,40
2023-05-26T06:37:01,0,40,0,40
2023-05-26T06:48:39,0,40,0,40
2023-05-26T07:00:17,0,40,0,40
2023-05-26T07:11:56,0,40,0,40
2023-05-26T07:23:34,0,40,0,40
2023-05-26T07:35:20,0,40,0,40
2023-05-26T07:46:57,0,40,0,40
2023-05-26T07:58:34,0,40,0,40
2023-05-26T08:10:10,0,40,0,40
2023-05-26T08:21:46,0,40,0,40
2023-05-26T08:33:23,0,40,0,40
2023-05-26T08:44:59,0,40,0,40
2023-05-26T08:56:35,0,40,0,40
2023-05-26T09:08:11,0,40,0,40
2023-05-26T09:19:48,0,40,0,40
2023-05-26T09:31:35,0,40,0,40
2023-05-26T09:43:11,0,40,0,40
2023-05-26T09:54:47,0,40,0,40
2023-05-26T10:06:23,0,40,0,40
2023-05-26T10:17:59,1,39,0,40
2023-05-26T10:29:36,1,39,0,40
2023-05-26T10:41:24,1,39,0,40
2023-05-26T10:53:00,1,39,0,40
2023-05-26T11:04:36,1,39,0,40
2023-05-26T11:16:13,1,39,0,40
2023-05-26T11:27:49,1,39,0,40
2023-05-26T11:39:36,1,39,0,40
2023-05-26T11:51:12,1,39,0,40
2023-05-26T12:02:48,1,39,0,40
2023-05-26T12:14:24,1,39,0,40
2023-05-26T12:26:00,1,39,0,40
2023-05-26T12:37:36,1,39,0,40
2023-05-26T12:49:24,1,39,0,40
2023-05-26T13:01:00,1,39,0,40
2023-05-26T13:12:35,1,39,0,40
2023-05-26T13:24:11,1,39,0,40
2023-05-26T13:35:58,1,39,0,40
2023-05-26T13:47:33,1,39,0,40
2023-05-26T13:59:09,1,39,0,40
2023-05-26T14:10:45,1,39,0,40
2023-05-26T14:22:32,1,39,0,40
2023-05-26T14:34:08,1,39,0,40
2023-05-26T14:45:44,1,39,0,40
2023-05-26T14:57:21,1,39,0,40
2023-05-26T15:08:59,1,39,0,40
2023-05-26T15:20:34,1,39,0,40
2023-05-26T15:32:21,1,39,0,40
2023-05-26T15:43:56,1,39,0,40
2023-05-26T15:55:33,1,39,0,40
2023-05-26T16:07:09,1,39,0,40
2023-05-26T16:18:44,1,39,0,40
2023-05-26T16:30:20,1,39,0,40
2023-05-26T16:42:06,1,39,0,40
2023-05-26T16:53:41,1,39,0,40
2023-05-26T17:05:17,1,39,0,40
2023-05-26T17:16:54,1,39,0,40
2023-05-26T17:28:30,1,39,0,40
2023-05-26T17:40:05,1,39,0,40
2023-05-26T17:51:51,1,39,0,40
2023-05-26T18:03:27,1,39,0,40
2023-05-26T18:15:02,1,39,0,40
2023-05-26T18:26:38,1,39,0,40
2023-05-26T18:38:14,1,39,0,40
2023-05-26T18:50:00,1,39,0,40
2023-05-26T19:01:36,1,39,0,40
2023-05-26T19:13:12,1,39,0,40
2023-05-26T19:24:49,1,39,0,40
2023-05-26T19:36:24,1,39,0,40
2023-05-26T19:48:00,1,39,0,40
2023-05-26T19:59:35,1,39,0,40
2023-05-26T20:11:21,1,39,0,40
2023-05-26T20:22:57,1,39,0,40
2023-05-26T20:34:32,1,39,0,40
2023-05-26T20:46:07,1,39,0,40
2023-05-26T20:57:43,1,39,0,40
2023-05-26T21:09:19,1,39,0,40
2023-05-26T21:20:56,1,39,0,40
2023-05-26T21:32:32,1,39,0,40
2023-05-26T21:44:18,1,39,0,40
2023-05-26T21:55:54,1,39,0,40
2023-05-26T22:07:30,2,38,0,40
2023-05-26T22:19:06,2,38,0,40
2023-05-26T22:30:42,2,38,0,40
2023-05-26T22:42:18,2,38,0,40
2023-05-26T22:53:54,2,38,0,40
2023-05-26T23:05:33,2,38,0,40
2023-05-26T23:17:19,2,38,0,40
