time,enrolled,available,waitlisted,total
2023-05-25T01:15:19,0,328,0,328
2023-05-25T01:26:55,0,328,0,328
2023-05-25T01:38:30,0,328,0,328
2023-05-25T01:50:15,0,328,0,328
2023-05-25T02:01:50,0,328,0,328
2023-05-25T02:13:26,0,328,0,328
2023-05-25T02:25:03,0,328,0,328
2023-05-25T02:36:36,0,328,0,328
2023-05-25T02:48:10,0,328,0,328
2023-05-25T02:59:42,0,328,0,328
2023-05-25T03:11:19,0,328,0,328
2023-05-25T03:22:58,0,328,0,328
2023-05-25T03:34:55,0,328,0,328
2023-05-25T03:46:31,0,328,0,328
2023-05-25T03:58:07,0,328,0,328
2023-05-25T04:17:29,0,328,0,328
2023-05-25T04:29:30,0,328,0,328
2023-05-25T04:41:07,0,328,0,328
2023-05-25T04:52:43,0,328,0,328
2023-05-25T05:04:19,0,328,0,328
2023-05-25T05:15:56,0,328,0,328
2023-05-25T05:27:32,0,328,0,328
2023-05-25T05:39:08,0,328,0,328
2023-05-25T05:50:44,0,328,0,328
2023-05-25T06:02:21,0,328,0,328
2023-05-25T06:13:57,0,328,0,328
2023-05-25T06:25:32,0,328,0,328
2023-05-25T06:37:06,0,328,0,328
2023-05-25T06:48:42,0,328,0,328
2023-05-25T07:00:17,0,328,0,328
2023-05-25T07:11:53,0,328,0,328
2023-05-25T07:23:27,0,328,0,328
2023-05-25T07:35:01,0,328,0,328
2023-05-25T07:46:38,0,328,0,328
2023-05-25T07:58:13,0,328,0,328
2023-05-25T08:09:48,0,328,0,328
2023-05-25T08:21:32,0,328,0,328
2023-05-25T08:33:06,0,328,0,328
2023-05-25T08:44:39,0,328,0,328
2023-05-25T08:56:11,0,328,0,328
2023-05-25T09:07:45,0,328,0,328
2023-05-25T09:19:18,0,328,0,328
2023-05-25T09:30:50,0,328,0,328
2023-05-25T09:42:23,0,328,0,328
2023-05-25T09:53:56,0,328,0,328
2023-05-25T10:05:29,0,328,0,328
2023-05-25T10:17:14,0,328,0,328
2023-05-25T10:28:47,0,328,0,328
2023-05-25T10:40:19,0,328,0,328
2023-05-25T10:52:02,0,328,0,328
2023-05-25T11:03:34,0,328,0,328
2023-05-25T11:15:07,0,328,0,328
2023-05-25T11:26:40,0,328,0,328
2023-05-25T11:38:12,0,328,0,328
2023-05-25T11:49:46,0,328,0,328
2023-05-25T12:01:30,0,328,0,328
2023-05-25T12:13:03,0,328,0,328
2023-05-25T12:24:35,0,328,0,328
2023-05-25T12:36:08,0,328,0,328
2023-05-25T12:47:41,0,328,0,328
2023-05-25T12:59:24,0,328,0,328
2023-05-25T13:10:57,0,328,0,328
2023-05-25T13:22:30,0,328,0,328
2023-05-25T13:34:03,0,328,0,328
2023-05-25T13:45:36,0,328,0,328
2023-05-25T13:57:10,0,328,0,328
2023-05-25T14:08:54,0,328,0,328
2023-05-25T14:20:27,0,328,0,328
2023-05-25T14:32:00,0,328,0,328
2023-05-25T14:43:33,0,328,0,328
2023-05-25T14:55:07,0,328,0,328
2023-05-25T15:06:51,0,328,0,328
2023-05-25T15:18:25,0,328,0,328
2023-05-25T15:29:59,0,328,0,328
2023-05-25T15:41:34,0,328,0,328
2023-05-25T15:53:08,0,328,0,328
2023-05-25T16:04:43,0,328,0,328
2023-05-25T16:16:29,0,328,0,328
2023-05-25T16:28:04,0,328,0,328
2023-05-25T16:39:39,0,328,0,328
2023-05-25T16:51:14,0,328,0,328
2023-05-25T17:02:50,0,328,0,328
2023-05-25T17:14:38,0,328,0,328
2023-05-25T17:26:14,0,328,0,328
2023-05-25T17:37:49,0,328,0,328
2023-05-25T17:49:25,0,328,0,328
2023-05-25T18:01:01,0,328,0,328
2023-05-25T18:12:37,0,328,0,328
2023-05-25T18:24:13,0,328,0,328
2023-05-25T18:35:58,0,328,0,328
2023-05-25T18:47:34,0,328,0,328
2023-05-25T18:59:10,0,328,0,328
2023-05-25T19:10:46,0,328,0,328
2023-05-25T19:22:22,0,328,0,328
2023-05-25T19:33:57,0,328,0,328
2023-05-25T19:45:34,0,328,0,328
2023-05-25T19:57:19,0,328,0,328
2023-05-25T20:08:55,0,328,0,328
2023-05-25T20:20:31,0,328,0,328
2023-05-25T20:32:07,0,328,0,328
2023-05-25T20:43:42,0,328,0,328
2023-05-25T20:55:18,0,328,0,328
2023-05-25T21:06:53,0,328,0,328
2023-05-25T21:18:30,0,328,0,328
2023-05-25T21:30:17,0,328,0,328
2023-05-25T21:41:52,0,328,0,328
2023-05-25T21:53:28,0,328,0,328
2023-05-25T22:05:03,0,328,0,328
2023-05-25T22:16:39,0,328,0,328
2023-05-25T22:28:14,0,328,0,328
2023-05-25T22:39:50,0,328,0,328
2023-05-25T22:51:36,0,328,0,328
2023-05-25T23:03:13,0,328,0,328
2023-05-25T23:14:50,0,328,0,328
2023-05-25T23:26:25,0,328,0,328
2023-05-25T23:38:01,0,328,0,328
2023-05-25T23:49:37,0,328,0,328
2023-05-26T00:01:17,0,328,0,328
2023-05-26T00:13:12,1,327,0,328
2023-05-26T00:24:52,1,327,0,328
2023-05-26T00:36:30,1,327,0,328
2023-05-26T00:48:09,1,327,0,328
2023-05-26T00:59:48,1,327,0,328
2023-05-26T01:11:27,1,327,0,328
2023-05-26T01:23:06,1,327,0,328
2023-05-26T01:34:44,1,327,0,328
2023-05-26T01:46:31,1,327,0,328
2023-05-26T01:58:11,1,327,0,328
2023-05-26T02:09:52,1,327,0,328
2023-05-26T02:21:29,1,327,0,328
2023-05-26T02:33:07,1,327,0,328
2023-05-26T02:44:55,1,327,0,328
2023-05-26T02:56:36,1,327,0,328
2023-05-26T03:08:16,1,327,0,328
2023-05-26T03:19:57,1,327,0,328
2023-05-26T03:31:36,1,327,0,328
2023-05-26T03:43:14,1,327,0,328
2023-05-26T03:54:52,1,327,0,328
2023-05-26T04:06:41,1,327,0,328
2023-05-26T04:28:40,1,327,0,328
2023-05-26T04:40:43,1,327,0,328
2023-05-26T04:52:25,1,327,0,328
2023-05-26T05:04:06,1,327,0,328
2023-05-26T05:15:46,1,327,0,328
2023-05-26T05:27:25,1,327,0,328
2023-05-26T05:39:04,1,327,0,328
2023-05-26T05:50:43,1,327,0,328
2023-05-26T06:02:21,1,327,0,328
2023-05-26T06:14:01,1,327,0,328
2023-05-26T06:25:40,1,327,0,328
2023-05-26T06:37:18,1,327,0,328
2023-05-26T06:48:57,1,327,0,328
2023-05-26T07:00:34,1,327,0,328
2023-05-26T07:12:14,1,327,0,328
2023-05-26T07:23:52,1,327,0,328
2023-05-26T07:35:38,1,327,0,328
2023-05-26T07:47:15,1,327,0,328
2023-05-26T07:58:52,1,327,0,328
2023-05-26T08:10:28,1,327,0,328
2023-05-26T08:22:04,1,327,0,328
2023-05-26T08:33:40,1,327,0,328
2023-05-26T08:45:16,1,327,0,328
2023-05-26T08:56:52,1,327,0,328
2023-05-26T09:08:28,1,327,0,328
2023-05-26T09:20:05,2,326,0,328
2023-05-26T09:31:52,2,326,0,328
2023-05-26T09:43:28,1,327,0,328
2023-05-26T09:55:04,2,326,0,328
2023-05-26T10:06:40,2,326,0,328
2023-05-26T10:18:17,2,326,0,328
2023-05-26T10:29:53,2,326,0,328
2023-05-26T10:41:41,2,326,0,328
2023-05-26T10:53:18,3,325,0,328
2023-05-26T11:04:54,3,325,0,328
2023-05-26T11:16:31,3,325,0,328
2023-05-26T11:28:07,4,324,0,328
2023-05-26T11:39:54,4,324,0,328
2023-05-26T11:51:30,5,323,0,328
2023-05-26T12:03:05,5,323,0,328
2023-05-26T12:14:42,5,323,0,328
2023-05-26T12:26:18,5,323,0,328
2023-05-26T12:37:54,5,323,0,328
