time,enrolled,available,waitlisted,total
2023-05-25T01:15:21,0,40,0,40
2023-05-25T01:26:57,0,40,0,40
2023-05-25T01:38:33,0,40,0,40
2023-05-25T01:50:17,0,40,0,40
2023-05-25T02:01:53,0,40,0,40
2023-05-25T02:13:29,0,40,0,40
2023-05-25T02:25:05,0,40,0,40
2023-05-25T02:36:39,0,40,0,40
2023-05-25T02:48:12,0,40,0,40
2023-05-25T02:59:45,0,40,0,40
2023-05-25T03:11:21,0,40,0,40
2023-05-25T03:23:01,0,40,0,40
2023-05-25T03:34:58,0,40,0,40
2023-05-25T03:46:34,0,40,0,40
2023-05-25T03:58:09,0,40,0,40
2023-05-25T04:17:32,0,40,0,40
2023-05-25T04:29:33,0,40,0,40
2023-05-25T04:41:09,0,40,0,40
2023-05-25T04:52:45,0,40,0,40
2023-05-25T05:04:21,0,40,0,40
2023-05-25T05:15:58,0,40,0,40
2023-05-25T05:27:34,0,40,0,40
2023-05-25T05:39:11,0,40,0,40
2023-05-25T05:50:47,0,40,0,40
2023-05-25T06:02:24,0,40,0,40
2023-05-25T06:13:59,0,40,0,40
2023-05-25T06:25:34,0,40,0,40
2023-05-25T06:37:09,0,40,0,40
2023-05-25T06:48:44,0,40,0,40
2023-05-25T07:00:20,0,40,0,40
2023-05-25T07:11:55,0,40,0,40
2023-05-25T07:23:30,0,40,0,40
2023-05-25T07:35:03,0,40,0,40
2023-05-25T07:46:40,0,40,0,40
2023-05-25T07:58:16,0,40,0,40
2023-05-25T08:09:50,0,40,0,40
2023-05-25T08:21:35,0,40,0,40
2023-05-25T08:33:09,0,40,0,40
2023-05-25T08:44:42,0,40,0,40
2023-05-25T08:56:13,0,40,0,40
2023-05-25T09:07:47,0,40,0,40
2023-05-25T09:19:20,0,40,0,40
2023-05-25T09:30:53,0,40,0,40
2023-05-25T09:42:25,0,40,0,40
2023-05-25T09:53:58,0,40,0,40
2023-05-25T10:05:32,0,40,0,40
2023-05-25T10:17:16,0,40,0,40
2023-05-25T10:28:49,0,40,0,40
2023-05-25T10:40:22,0,40,0,40
2023-05-25T10:52:04,0,40,0,40
2023-05-25T11:03:37,0,40,0,40
2023-05-25T11:15:09,0,40,0,40
2023-05-25T11:26:42,0,40,0,40
2023-05-25T11:38:15,0,40,0,40
2023-05-25T11:49:48,0,40,0,40
2023-05-25T12:01:32,0,40,0,40
2023-05-25T12:13:05,0,40,0,40
2023-05-25T12:24:38,0,40,0,40
2023-05-25T12:36:11,0,40,0,40
2023-05-25T12:47:44,0,40,0,40
2023-05-25T12:59:27,0,40,0,40
2023-05-25T13:10:59,0,40,0,40
2023-05-25T13:22:32,0,40,0,40
2023-05-25T13:34:06,0,40,0,40
2023-05-25T13:45:39,0,40,0,40
2023-05-25T13:57:12,0,40,0,40
2023-05-25T14:08:57,0,40,0,40
2023-05-25T14:20:30,0,40,0,40
2023-05-25T14:32:03,0,40,0,40
2023-05-25T14:43:36,0,40,0,40
2023-05-25T14:55:10,0,40,0,40
2023-05-25T15:06:53,0,40,0,40
2023-05-25T15:18:28,0,40,0,40
2023-05-25T15:30:02,0,40,0,40
2023-05-25T15:41:37,0,40,0,40
2023-05-25T15:53:11,0,40,0,40
2023-05-25T16:04:46,0,40,0,40
2023-05-25T16:16:31,0,40,0,40
2023-05-25T16:28:06,0,40,0,40
2023-05-25T16:39:41,0,40,0,40
2023-05-25T16:51:17,0,40,0,40
2023-05-25T17:02:53,0,40,0,40
2023-05-25T17:14:41,0,40,0,40
2023-05-25T17:26:16,0,40,0,40
2023-05-25T17:37:52,0,40,0,40
2023-05-25T17:49:28,0,40,0,40
2023-05-25T18:01:03,0,40,0,40
2023-05-25T18:12:40,0,40,0,40
2023-05-25T18:24:15,0,40,0,40
2023-05-25T18:36:01,0,40,0,40
2023-05-25T18:47:36,0,40,0,40
2023-05-25T18:59:12,0,40,0,40
2023-05-25T19:10:49,0,40,0,40
2023-05-25T19:22:24,0,40,0,40
2023-05-25T19:34:00,0,40,0,40
2023-05-25T19:45:37,0,40,0,40
2023-05-25T19:57:22,0,40,0,40
2023-05-25T20:08:58,0,40,0,40
2023-05-25T20:20:33,0,40,0,40
2023-05-25T20:32:10,0,40,0,40
2023-05-25T20:43:45,0,40,0,40
2023-05-25T20:55:21,0,40,0,40
2023-05-25T21:06:56,0,40,0,40
2023-05-25T21:18:33,0,40,0,40
2023-05-25T21:30:19,0,40,0,40
2023-05-25T21:41:55,0,40,0,40
2023-05-25T21:53:31,0,40,0,40
2023-05-25T22:05:06,0,40,0,40
2023-05-25T22:16:41,0,40,0,40
2023-05-25T22:28:17,0,40,0,40
2023-05-25T22:39:52,0,40,0,40
2023-05-25T22:51:38,0,40,0,40
2023-05-25T23:03:16,0,40,0,40
2023-05-25T23:14:52,0,40,0,40
2023-05-25T23:26:28,0,40,0,40
2023-05-25T23:38:04,0,40,0,40
2023-05-25T23:49:40,0,40,0,40
2023-05-26T00:01:20,0,40,0,40
2023-05-26T00:13:14,0,40,0,40
2023-05-26T00:24:54,0,40,0,40
2023-05-26T00:36:33,0,40,0,40
2023-05-26T00:48:11,0,40,0,40
2023-05-26T00:59:51,0,40,0,40
2023-05-26T01:11:30,0,40,0,40
2023-05-26T01:23:08,0,40,0,40
2023-05-26T01:34:46,0,40,0,40
2023-05-26T01:46:34,0,40,0,40
2023-05-26T01:58:14,0,40,0,40
2023-05-26T02:09:54,0,40,0,40
2023-05-26T02:21:32,0,40,0,40
2023-05-26T02:33:09,0,40,0,40
2023-05-26T02:44:58,0,40,0,40
2023-05-26T02:56:38,0,40,0,40
2023-05-26T03:08:18,0,40,0,40
2023-05-26T03:20:00,0,40,0,40
2023-05-26T03:31:38,0,40,0,40
2023-05-26T03:43:16,0,40,0,40
2023-05-26T03:54:55,0,40,0,40
2023-05-26T04:06:44,0,40,0,40
2023-05-26T04:28:42,0,40,0,40
2023-05-26T04:40:46,0,40,0,40
2023-05-26T04:52:28,0,40,0,40
2023-05-26T05:04:08,0,40,0,40
2023-05-26T05:15:49,0,40,0,40
2023-05-26T05:27:28,0,40,0,40
2023-05-26T05:39:06,0,40,0,40
2023-05-26T05:50:46,0,40,0,40
2023-05-26T06:02:24,0,40,0,40
2023-05-26T06:14:03,0,40,0,40
2023-05-26T06:25:42,0,40,0,40
2023-05-26T06:37:21,0,40,0,40
2023-05-26T06:48:59,0,40,0,40
2023-05-26T07:00:37,0,40,0,40
2023-05-26T07:12:16,0,40,0,40
2023-05-26T07:23:55,0,40,0,40
2023-05-26T07:35:40,0,40,0,40
2023-05-26T07:47:17,0,40,0,40
2023-05-26T07:58:54,0,40,0,40
2023-05-26T08:10:30,0,40,0,40
2023-05-26T08:22:06,0,40,0,40
2023-05-26T08:33:43,0,40,0,40
2023-05-26T08:45:19,0,40,0,40
2023-05-26T08:56:55,0,40,0,40
2023-05-26T09:08:31,0,40,0,40
2023-05-26T09:20:08,0,40,0,40
2023-05-26T09:31:55,0,40,0,40
2023-05-26T09:43:31,0,40,0,40
2023-05-26T09:55:07,0,40,0,40
2023-05-26T10:06:43,0,40,0,40
2023-05-26T10:18:20,0,40,0,40
2023-05-26T10:29:56,0,40,0,40
2023-05-26T10:41:44,0,40,0,40
2023-05-26T10:53:20,0,40,0,40
2023-05-26T11:04:56,0,40,0,40
2023-05-26T11:16:34,0,40,0,40
2023-05-26T11:28:09,0,40,0,40
2023-05-26T11:39:56,0,40,0,40
2023-05-26T11:51:32,0,40,0,40
2023-05-26T12:03:08,0,40,0,40
2023-05-26T12:14:44,0,40,0,40
2023-05-26T12:26:20,0,40,0,40
2023-05-26T12:37:56,0,40,0,40
2023-05-26T12:49:44,0,40,0,40
2023-05-26T13:01:20,0,40,0,40
2023-05-26T13:12:55,0,40,0,40
2023-05-26T13:24:31,0,40,0,40
2023-05-26T13:36:18,0,40,0,40
2023-05-26T13:47:53,0,40,0,40
2023-05-26T13:59:29,0,40,0,40
2023-05-26T14:11:05,0,40,0,40
2023-05-26T14:22:52,0,40,0,40
2023-05-26T14:34:28,0,40,0,40
2023-05-26T14:46:05,0,40,0,40
2023-05-26T14:57:41,0,40,0,40
2023-05-26T15:09:19,0,40,0,40
2023-05-26T15:20:54,0,40,0,40
2023-05-26T15:32:41,0,40,0,40
2023-05-26T15:44:17,0,40,0,40
2023-05-26T15:55:53,0,40,0,40
2023-05-26T16:07:29,0,40,0,40
2023-05-26T16:19:04,0,40,0,40
2023-05-26T16:30:40,0,40,0,40
2023-05-26T16:42:26,0,40,0,40
2023-05-26T16:54:01,0,40,0,40
2023-05-26T17:05:37,0,40,0,40
2023-05-26T17:17:14,0,40,0,40
2023-05-26T17:28:50,0,40,0,40
2023-05-26T17:40:35,0,40,0,40
2023-05-26T17:52:11,0,40,0,40
2023-05-26T18:03:47,0,40,0,40
2023-05-26T18:15:22,0,40,0,40
