time,enrolled,available,waitlisted,total
2023-05-25T01:15:33,0,80,0,80
2023-05-25T01:27:09,0,80,0,80
2023-05-25T01:38:44,0,80,0,80
2023-05-25T01:50:29,0,80,0,80
2023-05-25T02:02:04,0,80,0,80
2023-05-25T02:13:41,0,80,0,80
2023-05-25T02:25:17,0,80,0,80
2023-05-25T02:36:50,0,80,0,80
2023-05-25T02:48:24,0,80,0,80
2023-05-25T02:59:56,0,80,0,80
2023-05-25T03:11:33,0,80,0,80
2023-05-25T03:23:32,0,80,0,80
2023-05-25T03:35:10,0,80,0,80
2023-05-25T03:46:45,0,80,0,80
2023-05-25T03:58:21,0,80,0,80
2023-05-25T04:17:44,0,80,0,80
2023-05-25T04:29:44,0,80,0,80
2023-05-25T04:41:21,0,80,0,80
2023-05-25T04:52:57,0,80,0,80
2023-05-25T05:04:33,0,80,0,80
2023-05-25T05:16:10,0,80,0,80
2023-05-25T05:27:46,0,80,0,80
2023-05-25T05:39:23,0,80,0,80
2023-05-25T05:50:59,0,80,0,80
2023-05-25T06:02:35,0,80,0,80
2023-05-25T06:14:11,0,80,0,80
2023-05-25T06:25:46,0,80,0,80
2023-05-25T06:37:20,0,80,0,80
2023-05-25T06:48:56,0,80,0,80
2023-05-25T07:00:31,0,80,0,80
2023-05-25T07:12:07,0,80,0,80
2023-05-25T07:23:41,0,80,0,80
2023-05-25T07:35:15,0,80,0,80
2023-05-25T07:46:52,0,80,0,80
2023-05-25T07:58:27,0,80,0,80
2023-05-25T08:10:02,0,80,0,80
2023-05-25T08:21:46,0,80,0,80
2023-05-25T08:33:20,0,80,0,80
2023-05-25T08:44:53,0,80,0,80
2023-05-25T08:56:25,0,80,0,80
2023-05-25T09:07:59,0,80,0,80
2023-05-25T09:19:32,0,80,0,80
2023-05-25T09:31:04,0,80,0,80
2023-05-25T09:42:37,0,80,0,80
2023-05-25T09:54:10,0,80,0,80
2023-05-25T10:05:43,0,80,0,80
2023-05-25T10:17:28,0,80,0,80
2023-05-25T10:29:01,0,80,0,80
2023-05-25T10:40:33,0,80,0,80
2023-05-25T10:52:16,0,80,0,80
2023-05-25T11:03:48,0,80,0,80
2023-05-25T11:15:21,0,80,0,80
2023-05-25T11:26:54,0,80,0,80
2023-05-25T11:38:26,0,80,0,80
2023-05-25T11:50:00,0,80,0,80
2023-05-25T12:01:44,0,80,0,80
2023-05-25T12:13:17,0,80,0,80
