time,enrolled,available,waitlisted,total
2023-05-25T01:15:55,0,192,0,192
2023-05-25T01:27:30,0,192,0,192
2023-05-25T01:39:06,0,192,0,192
2023-05-25T01:50:51,0,192,0,192
2023-05-25T02:02:26,0,192,0,192
2023-05-25T02:14:02,0,192,0,192
2023-05-25T02:25:38,0,192,0,192
2023-05-25T02:37:12,0,192,0,192
2023-05-25T02:48:45,0,192,0,192
2023-05-25T03:00:18,0,192,0,192
2023-05-25T03:11:55,0,192,0,192
2023-05-25T03:23:54,0,192,0,192
2023-05-25T03:35:31,0,192,0,192
2023-05-25T03:47:07,0,192,0,192
2023-05-25T03:58:43,0,192,0,192
2023-05-25T04:18:05,0,192,0,192
2023-05-25T04:30:06,0,192,0,192
2023-05-25T04:41:43,0,192,0,192
2023-05-25T04:53:19,0,192,0,192
2023-05-25T05:04:55,0,192,0,192
2023-05-25T05:16:32,0,192,0,192
2023-05-25T05:28:08,0,192,0,192
2023-05-25T05:39:44,0,192,0,192
2023-05-25T05:51:20,0,192,0,192
2023-05-25T06:02:57,0,192,0,192
2023-05-25T06:14:33,0,192,0,192
2023-05-25T06:26:07,0,192,0,192
2023-05-25T06:37:42,0,192,0,192
2023-05-25T06:49:18,0,192,0,192
2023-05-25T07:00:53,0,192,0,192
2023-05-25T07:12:28,0,192,0,192
2023-05-25T07:24:03,0,192,0,192
2023-05-25T07:35:36,0,192,0,192
2023-05-25T07:47:14,0,192,0,192
2023-05-25T07:58:49,0,192,0,192
2023-05-25T08:10:24,0,192,0,192
2023-05-25T08:22:08,0,192,0,192
2023-05-25T08:33:42,0,192,0,192
2023-05-25T08:45:15,0,192,0,192
2023-05-25T08:56:47,0,192,0,192
2023-05-25T09:08:21,0,192,0,192
2023-05-25T09:19:53,0,192,0,192
2023-05-25T09:31:26,0,192,0,192
2023-05-25T09:42:58,0,192,0,192
2023-05-25T09:54:31,0,192,0,192
2023-05-25T10:06:05,0,192,0,192
2023-05-25T10:17:49,0,192,0,192
2023-05-25T10:29:22,0,192,0,192
2023-05-25T10:40:55,0,192,0,192
2023-05-25T10:52:38,0,192,0,192
2023-05-25T11:04:10,0,192,0,192
2023-05-25T11:15:43,0,192,0,192
2023-05-25T11:27:16,0,192,0,192
2023-05-25T11:38:48,0,192,0,192
2023-05-25T11:50:21,0,192,0,192
2023-05-25T12:02:05,0,192,0,192
2023-05-25T12:13:38,0,192,0,192
2023-05-25T12:25:11,0,192,0,192
2023-05-25T12:36:44,0,192,0,192
2023-05-25T12:48:17,0,192,0,192
2023-05-25T13:00:00,0,192,0,192
2023-05-25T13:11:33,0,192,0,192
2023-05-25T13:23:06,0,192,0,192
2023-05-25T13:34:39,0,192,0,192
2023-05-25T13:46:12,0,192,0,192
2023-05-25T13:57:45,0,192,0,192
2023-05-25T14:09:30,0,192,0,192
2023-05-25T14:21:03,0,192,0,192
2023-05-25T14:32:36,0,192,0,192
2023-05-25T14:44:09,0,192,0,192
2023-05-25T14:55:43,0,192,0,192
2023-05-25T15:07:27,0,192,0,192
2023-05-25T15:19:01,0,192,0,192
2023-05-25T15:30:36,0,192,0,192
2023-05-25T15:42:10,0,192,0,192
2023-05-25T15:53:45,0,192,0,192
2023-05-25T16:05:30,0,192,0,192
2023-05-25T16:17:05,0,192,0,192
2023-05-25T16:28:40,0,192,0,192
2023-05-25T16:40:15,0,192,0,192
2023-05-25T16:51:50,0,192,0,192
2023-05-25T17:03:27,0,192,0,192
2023-05-25T17:15:14,0,192,0,192
2023-05-25T17:26:50,0,192,0,192
2023-05-25T17:38:25,0,192,0,192
2023-05-25T17:50:01,0,192,0,192
2023-05-25T18:01:37,0,192,0,192
2023-05-25T18:13:14,0,192,0,192
2023-05-25T18:24:49,0,192,0,192
2023-05-25T18:36:34,0,192,0,192
2023-05-25T18:48:10,0,192,0,192
2023-05-25T18:59:46,0,192,0,192
2023-05-25T19:11:22,0,192,0,192
2023-05-25T19:22:58,0,192,0,192
2023-05-25T19:34:34,0,192,0,192
2023-05-25T19:46:10,0,192,0,192
2023-05-25T19:57:55,0,192,0,192
2023-05-25T20:09:31,0,192,0,192
2023-05-25T20:21:07,0,192,0,192
2023-05-25T20:32:43,0,192,0,192
2023-05-25T20:44:19,0,192,0,192
2023-05-25T20:55:54,0,192,0,192
2023-05-25T21:07:29,0,192,0,192
2023-05-25T21:19:17,0,192,0,192
2023-05-25T21:30:53,0,192,0,192
2023-05-25T21:42:29,0,192,0,192
2023-05-25T21:54:04,0,192,0,192
2023-05-25T22:05:40,0,192,0,192
2023-05-25T22:17:15,0,192,0,192
2023-05-25T22:28:50,0,192,0,192
2023-05-25T22:40:26,0,192,0,192
2023-05-25T22:52:12,0,192,0,192
2023-05-25T23:03:50,0,192,0,192
2023-05-25T23:15:26,0,192,0,192
2023-05-25T23:27:02,0,192,0,192
2023-05-25T23:38:38,0,192,0,192
2023-05-25T23:50:13,0,192,0,192
2023-05-26T00:01:56,0,192,0,192
2023-05-26T00:13:48,0,192,0,192
2023-05-26T00:25:28,0,192,0,192
2023-05-26T00:37:07,0,192,0,192
2023-05-26T00:48:45,0,192,0,192
2023-05-26T01:00:25,0,192,0,192
2023-05-26T01:12:04,0,192,0,192
2023-05-26T01:23:42,0,192,0,192
2023-05-26T01:35:20,0,192,0,192
2023-05-26T01:47:08,0,192,0,192
2023-05-26T01:58:48,0,192,0,192
2023-05-26T02:10:28,0,192,0,192
2023-05-26T02:22:05,0,192,0,192
2023-05-26T02:33:43,0,192,0,192
2023-05-26T02:45:32,0,192,0,192
2023-05-26T02:57:12,0,192,0,192
2023-05-26T03:08:52,0,192,0,192
2023-05-26T03:20:34,0,192,0,192
2023-05-26T03:32:12,0,192,0,192
2023-05-26T03:43:50,0,192,0,192
2023-05-26T03:55:29,0,192,0,192
2023-05-26T04:07:17,0,192,0,192
2023-05-26T04:29:16,0,192,0,192
2023-05-26T04:41:20,0,192,0,192
2023-05-26T04:53:01,0,192,0,192
2023-05-26T05:04:42,0,192,0,192
2023-05-26T05:16:23,0,192,0,192
2023-05-26T05:28:01,0,192,0,192
2023-05-26T05:39:41,0,192,0,192
2023-05-26T05:51:19,0,192,0,192
2023-05-26T06:02:58,0,192,0,192
2023-05-26T06:14:37,0,192,0,192
2023-05-26T06:26:16,0,192,0,192
2023-05-26T06:37:55,0,192,0,192
2023-05-26T06:49:33,0,192,0,192
2023-05-26T07:01:11,0,192,0,192
2023-05-26T07:12:50,0,192,0,192
2023-05-26T07:24:28,0,192,0,192
2023-05-26T07:36:14,0,192,0,192
2023-05-26T07:47:51,0,192,0,192
2023-05-26T07:59:28,0,192,0,192
2023-05-26T08:11:04,0,192,0,192
2023-05-26T08:22:40,0,192,0,192
2023-05-26T08:34:16,0,192,0,192
2023-05-26T08:45:52,0,192,0,192
2023-05-26T08:57:28,0,192,0,192
2023-05-26T09:09:05,0,192,0,192
2023-05-26T09:20:41,0,192,0,192
2023-05-26T09:32:28,1,191,0,192
2023-05-26T09:44:05,2,190,0,192
2023-05-26T09:55:41,2,190,0,192
2023-05-26T10:07:17,2,190,0,192
2023-05-26T10:18:53,3,189,0,192
2023-05-26T10:30:30,4,188,0,192
2023-05-26T10:42:18,4,188,0,192
2023-05-26T10:53:54,4,188,0,192
2023-05-26T11:05:30,4,188,0,192
2023-05-26T11:17:07,4,188,0,192
2023-05-26T11:28:43,4,188,0,192
2023-05-26T11:40:30,4,188,0,192
2023-05-26T11:52:06,4,188,0,192
