time,enrolled,available,waitlisted,total
2023-05-25T01:15:57,0,196,0,196
2023-05-25T01:27:32,0,196,0,196
2023-05-25T01:39:08,0,196,0,196
2023-05-25T01:50:53,0,196,0,196
2023-05-25T02:02:28,0,196,0,196
2023-05-25T02:14:04,0,196,0,196
2023-05-25T02:25:41,0,196,0,196
2023-05-25T02:37:14,0,196,0,196
2023-05-25T02:48:47,0,196,0,196
2023-05-25T03:00:20,0,196,0,196
2023-05-25T03:11:57,0,196,0,196
2023-05-25T03:23:56,0,196,0,196
2023-05-25T03:35:33,0,196,0,196
2023-05-25T03:47:09,0,196,0,196
2023-05-25T03:58:45,0,196,0,196
2023-05-25T04:18:08,0,196,0,196
2023-05-25T04:30:08,0,196,0,196
2023-05-25T04:41:45,0,196,0,196
2023-05-25T04:53:21,0,196,0,196
2023-05-25T05:04:57,0,196,0,196
2023-05-25T05:16:34,0,196,0,196
2023-05-25T05:28:10,0,196,0,196
2023-05-25T05:39:47,0,196,0,196
2023-05-25T05:51:22,0,196,0,196
2023-05-25T06:02:59,0,196,0,196
2023-05-25T06:14:35,0,196,0,196
2023-05-25T06:26:10,0,196,0,196
2023-05-25T06:37:44,0,196,0,196
2023-05-25T06:49:20,0,196,0,196
2023-05-25T07:00:55,0,196,0,196
2023-05-25T07:12:31,0,196,0,196
2023-05-25T07:24:05,0,196,0,196
2023-05-25T07:35:39,0,196,0,196
2023-05-25T07:47:16,0,196,0,196
2023-05-25T07:58:51,0,196,0,196
2023-05-25T08:10:26,0,196,0,196
2023-05-25T08:22:10,0,196,0,196
2023-05-25T08:33:44,0,196,0,196
2023-05-25T08:45:17,0,196,0,196
2023-05-25T08:56:49,0,196,0,196
2023-05-25T09:08:23,0,196,0,196
2023-05-25T09:19:55,0,196,0,196
2023-05-25T09:31:28,0,196,0,196
2023-05-25T09:43:01,0,196,0,196
2023-05-25T09:54:34,0,196,0,196
2023-05-25T10:06:07,0,196,0,196
2023-05-25T10:17:51,0,196,0,196
2023-05-25T10:29:24,0,196,0,196
2023-05-25T10:40:57,0,196,0,196
2023-05-25T10:52:40,0,196,0,196
2023-05-25T11:04:12,0,196,0,196
2023-05-25T11:15:45,0,196,0,196
2023-05-25T11:27:18,0,196,0,196
2023-05-25T11:38:50,0,196,0,196
2023-05-25T11:50:23,0,196,0,196
2023-05-25T12:02:08,0,196,0,196
2023-05-25T12:13:40,0,196,0,196
2023-05-25T12:25:13,0,196,0,196
2023-05-25T12:36:46,0,196,0,196
2023-05-25T12:48:19,0,196,0,196
2023-05-25T13:00:02,0,196,0,196
2023-05-25T13:11:35,0,196,0,196
2023-05-25T13:23:08,0,196,0,196
2023-05-25T13:34:41,0,196,0,196
2023-05-25T13:46:14,0,196,0,196
2023-05-25T13:57:48,0,196,0,196
2023-05-25T14:09:32,0,196,0,196
2023-05-25T14:21:05,0,196,0,196
2023-05-25T14:32:38,0,196,0,196
2023-05-25T14:44:11,0,196,0,196
2023-05-25T14:55:45,0,196,0,196
2023-05-25T15:07:29,0,196,0,196
2023-05-25T15:19:04,0,196,0,196
2023-05-25T15:30:38,0,196,0,196
2023-05-25T15:42:12,0,196,0,196
2023-05-25T15:53:47,0,196,0,196
2023-05-25T16:05:32,0,196,0,196
2023-05-25T16:17:07,0,196,0,196
2023-05-25T16:28:42,0,196,0,196
2023-05-25T16:40:17,0,196,0,196
2023-05-25T16:51:52,0,196,0,196
2023-05-25T17:03:29,0,196,0,196
2023-05-25T17:15:17,0,196,0,196
2023-05-25T17:26:52,0,196,0,196
2023-05-25T17:38:27,0,196,0,196
2023-05-25T17:50:03,0,196,0,196
2023-05-25T18:01:39,0,196,0,196
2023-05-25T18:13:16,0,196,0,196
2023-05-25T18:24:51,0,196,0,196
2023-05-25T18:36:37,0,196,0,196
2023-05-25T18:48:12,0,196,0,196
2023-05-25T18:59:48,0,196,0,196
2023-05-25T19:11:24,0,196,0,196
2023-05-25T19:23:00,0,196,0,196
2023-05-25T19:34:36,0,196,0,196
2023-05-25T19:46:12,0,196,0,196
2023-05-25T19:57:57,0,196,0,196
2023-05-25T20:09:33,0,196,0,196
2023-05-25T20:21:09,0,196,0,196
2023-05-25T20:32:45,0,196,0,196
2023-05-25T20:44:21,0,196,0,196
2023-05-25T20:55:56,0,196,0,196
2023-05-25T21:07:32,0,196,0,196
2023-05-25T21:19:19,0,196,0,196
2023-05-25T21:30:55,0,196,0,196
2023-05-25T21:42:31,0,196,0,196
2023-05-25T21:54:06,0,196,0,196
2023-05-25T22:05:42,0,196,0,196
2023-05-25T22:17:17,0,196,0,196
2023-05-25T22:28:52,0,196,0,196
2023-05-25T22:40:28,0,196,0,196
2023-05-25T22:52:14,0,196,0,196
2023-05-25T23:03:52,0,196,0,196
2023-05-25T23:15:28,0,196,0,196
2023-05-25T23:27:04,0,196,0,196
2023-05-25T23:38:40,0,196,0,196
2023-05-25T23:50:15,0,196,0,196
2023-05-26T00:01:58,0,196,0,196
2023-05-26T00:13:50,0,196,0,196
2023-05-26T00:25:30,0,196,0,196
2023-05-26T00:37:09,0,196,0,196
2023-05-26T00:48:47,0,196,0,196
2023-05-26T01:00:27,0,196,0,196
2023-05-26T01:12:06,0,196,0,196
2023-05-26T01:23:44,0,196,0,196
2023-05-26T01:35:22,0,196,0,196
2023-05-26T01:47:10,0,196,0,196
2023-05-26T01:58:50,0,196,0,196
2023-05-26T02:10:30,0,196,0,196
2023-05-26T02:22:07,0,196,0,196
2023-05-26T02:33:45,0,196,0,196
2023-05-26T02:45:34,0,196,0,196
2023-05-26T02:57:14,0,196,0,196
2023-05-26T03:08:54,0,196,0,196
2023-05-26T03:20:36,0,196,0,196
2023-05-26T03:32:14,0,196,0,196
2023-05-26T03:43:52,0,196,0,196
2023-05-26T03:55:31,0,196,0,196
2023-05-26T04:07:19,0,196,0,196
2023-05-26T04:29:18,0,196,0,196
2023-05-26T04:41:22,0,196,0,196
2023-05-26T04:53:03,0,196,0,196
2023-05-26T05:04:44,0,196,0,196
2023-05-26T05:16:25,0,196,0,196
2023-05-26T05:28:04,0,196,0,196
2023-05-26T05:39:43,0,196,0,196
2023-05-26T05:51:22,0,196,0,196
2023-05-26T06:03:00,0,196,0,196
2023-05-26T06:14:39,0,196,0,196
2023-05-26T06:26:18,0,196,0,196
2023-05-26T06:37:57,0,196,0,196
2023-05-26T06:49:35,0,196,0,196
2023-05-26T07:01:13,0,196,0,196
2023-05-26T07:12:52,0,196,0,196
2023-05-26T07:24:30,0,196,0,196
2023-05-26T07:36:16,0,196,0,196
2023-05-26T07:47:53,0,196,0,196
2023-05-26T07:59:30,0,196,0,196
2023-05-26T08:11:06,0,196,0,196
2023-05-26T08:22:42,0,196,0,196
2023-05-26T08:34:18,0,196,0,196
2023-05-26T08:45:54,0,196,0,196
2023-05-26T08:57:31,0,196,0,196
2023-05-26T09:09:07,0,196,0,196
2023-05-26T09:20:43,0,196,0,196
2023-05-26T09:32:31,0,196,0,196
2023-05-26T09:44:07,0,196,0,196
2023-05-26T09:55:43,0,196,0,196
2023-05-26T10:07:19,0,196,0,196
2023-05-26T10:18:55,0,196,0,196
2023-05-26T10:30:32,0,196,0,196
2023-05-26T10:42:20,0,196,0,196
2023-05-26T10:53:56,0,196,0,196
2023-05-26T11:05:32,0,196,0,196
2023-05-26T11:17:09,1,195,0,196
2023-05-26T11:28:45,4,192,0,196
2023-05-26T11:40:32,4,192,0,196
2023-05-26T11:52:08,5,191,0,196
2023-05-26T12:03:44,6,190,0,196
2023-05-26T12:15:20,8,188,0,196
2023-05-26T12:26:56,9,187,0,196
2023-05-26T12:38:43,10,186,0,196
2023-05-26T12:50:20,10,186,0,196
2023-05-26T13:01:56,10,186,0,196
2023-05-26T13:13:31,11,185,0,196
2023-05-26T13:25:07,11,185,0,196
2023-05-26T13:36:54,11,185,0,196
2023-05-26T13:48:29,11,185,0,196
2023-05-26T14:00:05,11,185,0,196
2023-05-26T14:11:41,12,184,0,196
2023-05-26T14:23:28,12,184,0,196
2023-05-26T14:35:04,12,184,0,196
2023-05-26T14:46:40,12,184,0,196
2023-05-26T14:58:16,12,184,0,196
2023-05-26T15:09:55,12,184,0,196
2023-05-26T15:21:30,12,184,0,196
2023-05-26T15:33:17,12,184,0,196
2023-05-26T15:44:52,12,184,0,196
2023-05-26T15:56:29,12,184,0,196
2023-05-26T16:08:05,12,184,0,196
2023-05-26T16:19:40,12,184,0,196
2023-05-26T16:31:26,12,184,0,196
2023-05-26T16:43:01,13,183,0,196
2023-05-26T16:54:37,13,183,0,196
2023-05-26T17:06:13,13,183,0,196
2023-05-26T17:17:50,13,183,0,196
2023-05-26T17:29:26,13,183,0,196
2023-05-26T17:41:11,13,183,0,196
2023-05-26T17:52:47,13,183,0,196
2023-05-26T18:04:23,14,182,0,196
2023-05-26T18:15:58,14,182,0,196
2023-05-26T18:27:34,14,182,0,196
2023-05-26T18:39:10,15,181,0,196
2023-05-26T18:50:56,15,181,0,196
2023-05-26T19:02:31,15,181,0,196
2023-05-26T19:14:08,15,181,0,196
2023-05-26T19:25:44,15,181,0,196
2023-05-26T19:37:20,16,180,0,196
2023-05-26T19:48:55,16,180,0,196
2023-05-26T20:00:31,16,180,0,196
2023-05-26T20:12:16,16,180,0,196
2023-05-26T20:23:52,16,180,0,196
2023-05-26T20:35:28,16,180,0,196
2023-05-26T20:47:03,17,179,0,196
