time,enrolled,available,waitlisted,total
2023-05-25T01:15:59,0,115,0,115
2023-05-25T01:27:35,0,115,0,115
2023-05-25T01:39:10,0,115,0,115
2023-05-25T01:50:55,0,115,0,115
2023-05-25T02:02:30,0,115,0,115
2023-05-25T02:14:06,0,115,0,115
2023-05-25T02:25:42,0,115,0,115
2023-05-25T02:37:16,0,115,0,115
2023-05-25T02:48:49,0,115,0,115
2023-05-25T03:00:22,0,115,0,115
2023-05-25T03:11:59,0,115,0,115
2023-05-25T03:23:57,0,115,0,115
2023-05-25T03:35:35,0,115,0,115
2023-05-25T03:47:11,0,115,0,115
2023-05-25T03:58:47,0,115,0,115
2023-05-25T04:18:09,0,115,0,115
2023-05-25T04:30:10,0,115,0,115
2023-05-25T04:41:47,0,115,0,115
2023-05-25T04:53:22,0,115,0,115
2023-05-25T05:04:59,0,115,0,115
2023-05-25T05:16:36,0,115,0,115
2023-05-25T05:28:12,0,115,0,115
2023-05-25T05:39:48,0,115,0,115
2023-05-25T05:51:24,0,115,0,115
2023-05-25T06:03:01,0,115,0,115
2023-05-25T06:14:36,0,115,0,115
2023-05-25T06:26:11,0,115,0,115
2023-05-25T06:37:46,0,115,0,115
2023-05-25T06:49:22,0,115,0,115
2023-05-25T07:00:57,0,115,0,115
2023-05-25T07:12:32,0,115,0,115
2023-05-25T07:24:07,0,115,0,115
2023-05-25T07:35:40,0,115,0,115
2023-05-25T07:47:18,0,115,0,115
2023-05-25T07:58:53,0,115,0,115
2023-05-25T08:10:27,0,115,0,115
2023-05-25T08:22:12,0,115,0,115
2023-05-25T08:33:46,0,115,0,115
2023-05-25T08:45:19,0,115,0,115
2023-05-25T08:56:50,0,115,0,115
2023-05-25T09:08:24,0,115,0,115
2023-05-25T09:19:57,0,115,0,115
2023-05-25T09:31:30,0,115,0,115
2023-05-25T09:43:02,0,115,0,115
2023-05-25T09:54:35,0,115,0,115
2023-05-25T10:06:09,0,115,0,115
2023-05-25T10:17:53,0,115,0,115
2023-05-25T10:29:26,0,115,0,115
2023-05-25T10:40:59,0,115,0,115
2023-05-25T10:52:41,0,115,0,115
2023-05-25T11:04:14,0,115,0,115
2023-05-25T11:15:46,0,115,0,115
2023-05-25T11:27:19,0,115,0,115
2023-05-25T11:38:52,0,115,0,115
2023-05-25T11:50:25,0,115,0,115
2023-05-25T12:02:09,0,115,0,115
2023-05-25T12:13:42,0,115,0,115
2023-05-25T12:25:15,0,115,0,115
2023-05-25T12:36:48,0,115,0,115
2023-05-25T12:48:21,0,115,0,115
2023-05-25T13:00:04,0,115,0,115
2023-05-25T13:11:36,0,115,0,115
2023-05-25T13:23:09,0,115,0,115
2023-05-25T13:34:43,0,115,0,115
2023-05-25T13:46:16,0,115,0,115
2023-05-25T13:57:49,0,115,0,115
2023-05-25T14:09:34,0,115,0,115
2023-05-25T14:21:07,0,115,0,115
2023-05-25T14:32:40,0,115,0,115
2023-05-25T14:44:13,0,115,0,115
2023-05-25T14:55:47,0,115,0,115
2023-05-25T15:07:31,0,115,0,115
2023-05-25T15:19:05,0,115,0,115
2023-05-25T15:30:40,0,115,0,115
2023-05-25T15:42:14,0,115,0,115
2023-05-25T15:53:48,0,115,0,115
2023-05-25T16:05:34,0,115,0,115
2023-05-25T16:17:09,0,115,0,115
2023-05-25T16:28:44,0,115,0,115
2023-05-25T16:40:19,0,115,0,115
2023-05-25T16:51:54,0,115,0,115
2023-05-25T17:03:30,0,115,0,115
2023-05-25T17:15:18,0,115,0,115
2023-05-25T17:26:54,0,115,0,115
