time,enrolled,available,waitlisted,total
2023-05-25T01:16:01,0,30,0,30
2023-05-25T01:27:37,0,30,0,30
2023-05-25T01:39:12,0,30,0,30
2023-05-25T01:50:57,0,30,0,30
2023-05-25T02:02:33,0,30,0,30
2023-05-25T02:14:09,0,30,0,30
2023-05-25T02:25:45,0,30,0,30
2023-05-25T02:37:18,0,30,0,30
2023-05-25T02:48:52,0,30,0,30
2023-05-25T03:00:25,0,30,0,30
2023-05-25T03:12:01,0,30,0,30
2023-05-25T03:24:00,0,30,0,30
2023-05-25T03:35:38,0,30,0,30
2023-05-25T03:47:13,0,30,0,30
2023-05-25T03:58:49,0,30,0,30
2023-05-25T04:18:12,0,30,0,30
2023-05-25T04:30:13,0,30,0,30
2023-05-25T04:41:49,0,30,0,30
2023-05-25T04:53:25,0,30,0,30
2023-05-25T05:05:02,0,30,0,30
2023-05-25T05:16:38,0,30,0,30
2023-05-25T05:28:15,0,30,0,30
2023-05-25T05:39:51,0,30,0,30
2023-05-25T05:51:27,0,30,0,30
2023-05-25T06:03:04,0,30,0,30
2023-05-25T06:14:39,0,30,0,30
2023-05-25T06:26:14,0,30,0,30
2023-05-25T06:37:49,0,30,0,30
2023-05-25T06:49:24,0,30,0,30
2023-05-25T07:00:59,0,30,0,30
2023-05-25T07:12:35,0,30,0,30
2023-05-25T07:24:09,0,30,0,30
2023-05-25T07:35:43,0,30,0,30
2023-05-25T07:47:21,0,30,0,30
2023-05-25T07:58:56,0,30,0,30
2023-05-25T08:10:30,0,30,0,30
2023-05-25T08:22:14,0,30,0,30
2023-05-25T08:33:49,0,30,0,30
2023-05-25T08:45:21,0,30,0,30
2023-05-25T08:56:53,0,30,0,30
2023-05-25T09:08:27,0,30,0,30
2023-05-25T09:20:00,0,30,0,30
2023-05-25T09:31:32,0,30,0,30
2023-05-25T09:43:05,0,30,0,30
2023-05-25T09:54:38,0,30,0,30
2023-05-25T10:06:11,0,30,0,30
2023-05-25T10:17:56,0,30,0,30
2023-05-25T10:29:29,0,30,0,30
2023-05-25T10:41:01,0,30,0,30
2023-05-25T10:52:44,0,30,0,30
2023-05-25T11:04:16,0,30,0,30
2023-05-25T11:15:49,0,30,0,30
2023-05-25T11:27:22,0,30,0,30
2023-05-25T11:38:55,0,30,0,30
2023-05-25T11:50:28,0,30,0,30
2023-05-25T12:02:12,0,30,0,30
2023-05-25T12:13:45,0,30,0,30
2023-05-25T12:25:17,0,30,0,30
2023-05-25T12:36:50,0,30,0,30
2023-05-25T12:48:23,0,30,0,30
2023-05-25T13:00:06,0,30,0,30
2023-05-25T13:11:39,0,30,0,30
2023-05-25T13:23:12,0,30,0,30
2023-05-25T13:34:45,0,30,0,30
2023-05-25T13:46:18,0,30,0,30
2023-05-25T13:57:52,0,30,0,30
2023-05-25T14:09:36,0,30,0,30
2023-05-25T14:21:10,0,30,0,30
2023-05-25T14:32:42,0,30,0,30
2023-05-25T14:44:15,0,30,0,30
2023-05-25T14:55:49,0,30,0,30
2023-05-25T15:07:33,0,30,0,30
2023-05-25T15:19:08,0,30,0,30
2023-05-25T15:30:42,0,30,0,30
2023-05-25T15:42:17,0,30,0,30
2023-05-25T15:53:51,0,30,0,30
2023-05-25T16:05:36,0,30,0,30
2023-05-25T16:17:11,0,30,0,30
2023-05-25T16:28:46,0,30,0,30
2023-05-25T16:40:21,0,30,0,30
2023-05-25T16:51:57,0,30,0,30
2023-05-25T17:03:33,0,30,0,30
2023-05-25T17:15:21,0,30,0,30
2023-05-25T17:26:56,0,30,0,30
2023-05-25T17:38:32,0,30,0,30
2023-05-25T17:50:08,0,30,0,30
2023-05-25T18:01:44,0,30,0,30
2023-05-25T18:13:20,0,30,0,30
2023-05-25T18:24:55,0,30,0,30
2023-05-25T18:36:41,0,30,0,30
2023-05-25T18:48:16,0,30,0,30
2023-05-25T18:59:52,0,30,0,30
2023-05-25T19:11:29,0,30,0,30
2023-05-25T19:23:05,0,30,0,30
2023-05-25T19:34:40,0,30,0,30
