time,enrolled,available,waitlisted,total
2023-05-25T01:16:17,0,40,0,40
2023-05-25T01:27:54,0,40,0,40
2023-05-25T01:39:29,0,40,0,40
2023-05-25T01:51:13,0,40,0,40
2023-05-25T02:02:49,0,40,0,40
2023-05-25T02:14:25,0,40,0,40
2023-05-25T02:26:01,0,40,0,40
2023-05-25T02:37:34,0,40,0,40
2023-05-25T02:49:08,0,40,0,40
2023-05-25T03:00:41,0,40,0,40
2023-05-25T03:12:18,0,40,0,40
2023-05-25T03:24:16,0,40,0,40
2023-05-25T03:35:54,0,40,0,40
2023-05-25T03:47:30,0,40,0,40
2023-05-25T03:59:05,0,40,0,40
2023-05-25T04:18:28,0,40,0,40
2023-05-25T04:30:29,0,40,0,40
2023-05-25T04:42:06,0,40,0,40
2023-05-25T04:53:41,0,40,0,40
2023-05-25T05:05:18,0,40,0,40
2023-05-25T05:16:55,0,40,0,40
2023-05-25T05:28:31,0,40,0,40
2023-05-25T05:40:07,0,40,0,40
2023-05-25T05:51:43,0,40,0,40
2023-05-25T06:03:20,0,40,0,40
2023-05-25T06:14:55,0,40,0,40
2023-05-25T06:26:30,0,40,0,40
2023-05-25T06:38:05,0,40,0,40
2023-05-25T06:49:40,0,40,0,40
2023-05-25T07:01:16,0,40,0,40
2023-05-25T07:12:51,0,40,0,40
2023-05-25T07:24:26,0,40,0,40
2023-05-25T07:35:59,0,40,0,40
2023-05-25T07:47:37,0,40,0,40
2023-05-25T07:59:12,0,40,0,40
2023-05-25T08:10:46,0,40,0,40
2023-05-25T08:22:31,0,40,0,40
2023-05-25T08:34:05,0,40,0,40
2023-05-25T08:45:37,0,40,0,40
2023-05-25T08:57:10,0,40,0,40
2023-05-25T09:08:43,0,40,0,40
2023-05-25T09:20:16,0,40,0,40
2023-05-25T09:31:49,0,40,0,40
2023-05-25T09:43:21,0,40,0,40
2023-05-25T09:54:54,0,40,0,40
2023-05-25T10:06:27,0,40,0,40
2023-05-25T10:18:12,0,40,0,40
2023-05-25T10:29:45,0,40,0,40
2023-05-25T10:41:17,0,40,0,40
2023-05-25T10:53:00,0,40,0,40
2023-05-25T11:04:33,0,40,0,40
2023-05-25T11:16:05,0,40,0,40
2023-05-25T11:27:38,0,40,0,40
2023-05-25T11:39:11,0,40,0,40
2023-05-25T11:50:44,0,40,0,40
2023-05-25T12:02:28,0,40,0,40
2023-05-25T12:14:01,0,40,0,40
2023-05-25T12:25:34,0,40,0,40
2023-05-25T12:37:07,0,40,0,40
2023-05-25T12:48:39,0,40,0,40
2023-05-25T13:00:23,0,40,0,40
2023-05-25T13:11:55,0,40,0,40
2023-05-25T13:23:28,0,40,0,40
2023-05-25T13:35:01,0,40,0,40
2023-05-25T13:46:34,0,40,0,40
2023-05-25T13:58:08,0,40,0,40
2023-05-25T14:09:52,0,40,0,40
2023-05-25T14:21:26,0,40,0,40
2023-05-25T14:32:59,0,40,0,40
2023-05-25T14:44:32,0,40,0,40
2023-05-25T14:56:05,0,40,0,40
2023-05-25T15:07:49,0,40,0,40
2023-05-25T15:19:24,0,40,0,40
2023-05-25T15:30:58,0,40,0,40
2023-05-25T15:42:33,0,40,0,40
2023-05-25T15:54:07,0,40,0,40
2023-05-25T16:05:53,0,40,0,40
2023-05-25T16:17:28,0,40,0,40
2023-05-25T16:29:03,0,40,0,40
2023-05-25T16:40:38,0,40,0,40
2023-05-25T16:52:13,0,40,0,40
2023-05-25T17:03:50,0,40,0,40
2023-05-25T17:15:37,0,40,0,40
2023-05-25T17:27:13,0,40,0,40
2023-05-25T17:38:48,0,40,0,40
2023-05-25T17:50:24,0,40,0,40
2023-05-25T18:02:00,0,40,0,40
2023-05-25T18:13:37,0,40,0,40
2023-05-25T18:25:12,0,40,0,40
2023-05-25T18:36:57,0,40,0,40
2023-05-25T18:48:33,0,40,0,40
2023-05-25T19:00:09,0,40,0,40
2023-05-25T19:11:46,0,40,0,40
2023-05-25T19:23:21,0,40,0,40
2023-05-25T19:34:57,0,40,0,40
2023-05-25T19:46:33,0,40,0,40
2023-05-25T19:58:18,0,40,0,40
