time,enrolled,available,waitlisted,total
2023-05-25T01:16:24,0,50,0,50
2023-05-25T01:28:01,0,50,0,50
2023-05-25T01:39:36,0,50,0,50
2023-05-25T01:51:20,0,50,0,50
2023-05-25T02:02:56,0,50,0,50
2023-05-25T02:14:32,0,50,0,50
2023-05-25T02:26:08,0,50,0,50
2023-05-25T02:37:41,0,50,0,50
2023-05-25T02:49:15,0,50,0,50
2023-05-25T03:00:48,0,50,0,50
2023-05-25T03:12:24,0,50,0,50
2023-05-25T03:24:23,0,50,0,50
2023-05-25T03:36:01,0,50,0,50
2023-05-25T03:47:37,0,50,0,50
2023-05-25T03:59:12,0,50,0,50
2023-05-25T04:18:35,0,50,0,50
2023-05-25T04:30:36,0,50,0,50
2023-05-25T04:42:12,0,50,0,50
2023-05-25T04:53:48,0,50,0,50
2023-05-25T05:05:25,0,50,0,50
2023-05-25T05:17:01,0,50,0,50
2023-05-25T05:28:38,0,50,0,50
2023-05-25T05:40:14,0,50,0,50
2023-05-25T05:51:50,0,50,0,50
2023-05-25T06:03:27,0,50,0,50
2023-05-25T06:15:02,0,50,0,50
2023-05-25T06:26:37,0,50,0,50
2023-05-25T06:38:12,0,50,0,50
2023-05-25T06:49:47,0,50,0,50
2023-05-25T07:01:23,0,50,0,50
2023-05-25T07:12:58,0,50,0,50
2023-05-25T07:24:32,0,50,0,50
2023-05-25T07:36:06,0,50,0,50
2023-05-25T07:47:44,0,50,0,50
2023-05-25T07:59:19,0,50,0,50
2023-05-25T08:10:53,0,50,0,50
2023-05-25T08:22:37,0,50,0,50
2023-05-25T08:34:12,0,50,0,50
2023-05-25T08:45:44,0,50,0,50
2023-05-25T08:57:17,0,50,0,50
2023-05-25T09:08:50,0,50,0,50
2023-05-25T09:20:23,0,50,0,50
2023-05-25T09:31:55,0,50,0,50
2023-05-25T09:43:28,0,50,0,50
2023-05-25T09:55:01,0,50,0,50
2023-05-25T10:06:34,0,50,0,50
2023-05-25T10:18:19,0,50,0,50
2023-05-25T10:29:52,0,50,0,50
2023-05-25T10:41:24,0,50,0,50
2023-05-25T10:53:07,0,50,0,50
2023-05-25T11:04:40,0,50,0,50
2023-05-25T11:16:12,0,50,0,50
2023-05-25T11:27:45,0,50,0,50
2023-05-25T11:39:18,0,50,0,50
2023-05-25T11:50:51,0,50,0,50
2023-05-25T12:02:35,0,50,0,50
2023-05-25T12:14:08,0,50,0,50
2023-05-25T12:25:41,0,50,0,50
2023-05-25T12:37:13,0,50,0,50
2023-05-25T12:48:46,0,50,0,50
2023-05-25T13:00:29,0,50,0,50
2023-05-25T13:12:02,0,50,0,50
2023-05-25T13:23:35,0,50,0,50
2023-05-25T13:35:08,0,50,0,50
2023-05-25T13:46:41,0,50,0,50
2023-05-25T13:58:15,0,50,0,50
2023-05-25T14:09:59,0,50,0,50
2023-05-25T14:21:33,0,50,0,50
2023-05-25T14:33:05,0,50,0,50
2023-05-25T14:44:38,0,50,0,50
2023-05-25T14:56:12,0,50,0,50
2023-05-25T15:07:56,0,50,0,50
2023-05-25T15:19:31,0,50,0,50
2023-05-25T15:31:05,0,50,0,50
2023-05-25T15:42:40,0,50,0,50
2023-05-25T15:54:14,0,50,0,50
2023-05-25T16:05:59,0,50,0,50
2023-05-25T16:17:34,0,50,0,50
2023-05-25T16:29:10,0,50,0,50
2023-05-25T16:40:45,0,50,0,50
2023-05-25T16:52:20,0,50,0,50
2023-05-25T17:03:57,0,50,0,50
2023-05-25T17:15:44,0,50,0,50
2023-05-25T17:27:20,0,50,0,50
2023-05-25T17:38:55,0,50,0,50
2023-05-25T17:50:31,0,50,0,50
2023-05-25T18:02:07,0,50,0,50
2023-05-25T18:13:43,0,50,0,50
2023-05-25T18:25:19,0,50,0,50
2023-05-25T18:37:04,0,50,0,50
2023-05-25T18:48:40,0,50,0,50
2023-05-25T19:00:16,0,50,0,50
2023-05-25T19:11:52,0,50,0,50
2023-05-25T19:23:28,0,50,0,50
2023-05-25T19:35:03,0,50,0,50
2023-05-25T19:46:40,0,50,0,50
2023-05-25T19:58:25,0,50,0,50
2023-05-25T20:10:01,0,50,0,50
2023-05-25T20:21:37,0,50,0,50
2023-05-25T20:33:13,0,50,0,50
2023-05-25T20:44:48,0,50,0,50
2023-05-25T20:56:24,0,50,0,50
2023-05-25T21:07:59,0,50,0,50
2023-05-25T21:19:47,0,50,0,50
2023-05-25T21:31:23,0,50,0,50
2023-05-25T21:42:58,0,50,0,50
2023-05-25T21:54:34,0,50,0,50
2023-05-25T22:06:09,0,50,0,50
2023-05-25T22:17:45,0,50,0,50
2023-05-25T22:29:20,0,50,0,50
2023-05-25T22:40:56,0,50,0,50
2023-05-25T22:52:42,0,50,0,50
2023-05-25T23:04:20,0,50,0,50
2023-05-25T23:15:55,0,50,0,50
2023-05-25T23:27:31,0,50,0,50
2023-05-25T23:39:07,0,50,0,50
2023-05-25T23:50:43,0,50,0,50
2023-05-26T00:02:26,0,50,0,50
2023-05-26T00:14:18,0,50,0,50
2023-05-26T00:25:58,0,50,0,50
2023-05-26T00:37:37,0,50,0,50
2023-05-26T00:49:15,0,50,0,50
2023-05-26T01:00:55,0,50,0,50
2023-05-26T01:12:34,0,50,0,50
2023-05-26T01:24:12,0,50,0,50
2023-05-26T01:35:50,0,50,0,50
2023-05-26T01:47:38,0,50,0,50
2023-05-26T01:59:18,0,50,0,50
2023-05-26T02:10:58,0,50,0,50
2023-05-26T02:22:35,0,50,0,50
2023-05-26T02:34:13,0,50,0,50
2023-05-26T02:46:02,0,50,0,50
2023-05-26T02:57:42,0,50,0,50
2023-05-26T03:09:22,0,50,0,50
2023-05-26T03:21:03,0,50,0,50
2023-05-26T03:32:42,0,50,0,50
2023-05-26T03:44:20,0,50,0,50
