time,enrolled,available,waitlisted,total
2023-05-25T01:16:30,0,50,0,50
2023-05-25T01:28:07,0,50,0,50
2023-05-25T01:39:41,0,50,0,50
2023-05-25T01:51:26,0,50,0,50
2023-05-25T02:03:02,0,50,0,50
2023-05-25T02:14:38,0,50,0,50
2023-05-25T02:26:14,0,50,0,50
2023-05-25T02:37:47,0,50,0,50
2023-05-25T02:49:21,0,50,0,50
2023-05-25T03:00:53,0,50,0,50
2023-05-25T03:12:30,0,50,0,50
2023-05-25T03:24:29,0,50,0,50
2023-05-25T03:36:07,0,50,0,50
2023-05-25T03:47:43,0,50,0,50
2023-05-25T03:59:18,0,50,0,50
2023-05-25T04:18:41,0,50,0,50
2023-05-25T04:30:42,0,50,0,50
2023-05-25T04:42:18,0,50,0,50
2023-05-25T04:53:54,0,50,0,50
2023-05-25T05:05:31,0,50,0,50
2023-05-25T05:17:07,0,50,0,50
2023-05-25T05:28:44,0,50,0,50
2023-05-25T05:40:20,0,50,0,50
2023-05-25T05:51:56,0,50,0,50
2023-05-25T06:03:33,0,50,0,50
2023-05-25T06:15:08,0,50,0,50
2023-05-25T06:26:43,0,50,0,50
2023-05-25T06:38:18,0,50,0,50
2023-05-25T06:49:53,0,50,0,50
2023-05-25T07:01:29,0,50,0,50
2023-05-25T07:13:04,0,50,0,50
2023-05-25T07:24:38,0,50,0,50
2023-05-25T07:36:12,0,50,0,50
2023-05-25T07:47:50,0,50,0,50
2023-05-25T07:59:25,0,50,0,50
2023-05-25T08:10:59,0,50,0,50
2023-05-25T08:22:43,0,50,0,50
2023-05-25T08:34:18,0,50,0,50
2023-05-25T08:45:50,0,50,0,50
2023-05-25T08:57:23,0,50,0,50
2023-05-25T09:08:56,0,50,0,50
2023-05-25T09:20:29,0,50,0,50
2023-05-25T09:32:01,0,50,0,50
2023-05-25T09:43:34,0,50,0,50
2023-05-25T09:55:07,0,50,0,50
2023-05-25T10:06:40,0,50,0,50
2023-05-25T10:18:25,0,50,0,50
2023-05-25T10:29:58,0,50,0,50
2023-05-25T10:41:30,0,50,0,50
2023-05-25T10:53:13,0,50,0,50
2023-05-25T11:04:45,0,50,0,50
2023-05-25T11:16:18,0,50,0,50
