time,enrolled,available,waitlisted,total
2023-05-25T01:16:34,0,100,0,100
2023-05-25T01:28:10,0,100,0,100
2023-05-25T01:39:45,0,100,0,100
2023-05-25T01:51:30,0,100,0,100
2023-05-25T02:03:05,0,100,0,100
2023-05-25T02:14:41,0,100,0,100
2023-05-25T02:26:17,0,100,0,100
2023-05-25T02:37:51,0,100,0,100
2023-05-25T02:49:24,0,100,0,100
2023-05-25T03:00:57,0,100,0,100
2023-05-25T03:12:34,0,100,0,100
2023-05-25T03:24:33,0,100,0,100
2023-05-25T03:36:10,0,100,0,100
2023-05-25T03:47:46,0,100,0,100
2023-05-25T03:59:22,0,100,0,100
2023-05-25T04:18:45,0,100,0,100
2023-05-25T04:30:45,0,100,0,100
2023-05-25T04:42:22,0,100,0,100
2023-05-25T04:53:58,0,100,0,100
2023-05-25T05:05:34,0,100,0,100
2023-05-25T05:17:11,0,100,0,100
2023-05-25T05:28:47,0,100,0,100
2023-05-25T05:40:23,0,100,0,100
2023-05-25T05:51:59,0,100,0,100
2023-05-25T06:03:36,0,100,0,100
2023-05-25T06:15:11,0,100,0,100
2023-05-25T06:26:46,0,100,0,100
2023-05-25T06:38:21,0,100,0,100
2023-05-25T06:49:57,0,100,0,100
2023-05-25T07:01:32,0,100,0,100
2023-05-25T07:13:07,0,100,0,100
2023-05-25T07:24:42,0,100,0,100
2023-05-25T07:36:15,0,100,0,100
2023-05-25T07:47:53,0,100,0,100
2023-05-25T07:59:28,0,100,0,100
2023-05-25T08:11:02,0,100,0,100
2023-05-25T08:22:47,0,100,0,100
2023-05-25T08:34:21,0,100,0,100
2023-05-25T08:45:53,0,100,0,100
2023-05-25T08:57:26,0,100,0,100
2023-05-25T09:08:59,0,100,0,100
2023-05-25T09:20:32,0,100,0,100
2023-05-25T09:32:05,0,100,0,100
2023-05-25T09:43:37,0,100,0,100
2023-05-25T09:55:10,0,100,0,100
2023-05-25T10:06:44,0,100,0,100
2023-05-25T10:18:28,0,100,0,100
2023-05-25T10:30:01,0,100,0,100
2023-05-25T10:41:34,0,100,0,100
2023-05-25T10:53:16,0,100,0,100
2023-05-25T11:04:49,0,100,0,100
2023-05-25T11:16:21,0,100,0,100
2023-05-25T11:27:54,0,100,0,100
2023-05-25T11:39:27,0,100,0,100
2023-05-25T11:51:00,0,100,0,100
2023-05-25T12:02:44,0,100,0,100
2023-05-25T12:14:17,0,100,0,100
2023-05-25T12:25:50,0,100,0,100
2023-05-25T12:37:23,0,100,0,100
2023-05-25T12:48:56,0,100,0,100
2023-05-25T13:00:39,0,100,0,100
2023-05-25T13:12:11,0,100,0,100
2023-05-25T13:23:44,0,100,0,100
2023-05-25T13:35:18,0,100,0,100
2023-05-25T13:46:51,0,100,0,100
2023-05-25T13:58:24,0,100,0,100
2023-05-25T14:10:09,0,100,0,100
2023-05-25T14:21:42,0,100,0,100
2023-05-25T14:33:15,0,100,0,100
2023-05-25T14:44:48,0,100,0,100
2023-05-25T14:56:22,0,100,0,100
2023-05-25T15:08:05,0,100,0,100
2023-05-25T15:19:40,0,100,0,100
2023-05-25T15:31:14,0,100,0,100
2023-05-25T15:42:49,0,100,0,100
2023-05-25T15:54:23,0,100,0,100
2023-05-25T16:06:09,0,100,0,100
2023-05-25T16:17:44,0,100,0,100
2023-05-25T16:29:19,0,100,0,100
2023-05-25T16:40:54,0,100,0,100
2023-05-25T16:52:30,0,100,0,100
2023-05-25T17:04:06,0,100,0,100
2023-05-25T17:15:54,0,100,0,100
2023-05-25T17:27:29,0,100,0,100
2023-05-25T17:39:04,0,100,0,100
2023-05-25T17:50:40,0,100,0,100
2023-05-25T18:02:16,0,100,0,100
2023-05-25T18:13:53,0,100,0,100
2023-05-25T18:25:28,0,100,0,100
2023-05-25T18:37:14,0,100,0,100
2023-05-25T18:48:49,0,100,0,100
2023-05-25T19:00:25,0,100,0,100
2023-05-25T19:12:02,0,100,0,100
2023-05-25T19:23:37,0,100,0,100
2023-05-25T19:35:13,0,100,0,100
2023-05-25T19:46:49,0,100,0,100
2023-05-25T19:58:34,0,100,0,100
2023-05-25T20:10:10,0,100,0,100
2023-05-25T20:21:46,0,100,0,100
2023-05-25T20:33:22,0,100,0,100
2023-05-25T20:44:58,0,100,0,100
2023-05-25T20:56:33,0,100,0,100
2023-05-25T21:08:09,0,100,0,100
2023-05-25T21:19:56,0,100,0,100
2023-05-25T21:31:32,0,100,0,100
2023-05-25T21:43:08,0,100,0,100
2023-05-25T21:54:43,0,100,0,100
2023-05-25T22:06:19,0,100,0,100
2023-05-25T22:17:54,0,100,0,100
2023-05-25T22:29:29,0,100,0,100
2023-05-25T22:41:05,0,100,0,100
2023-05-25T22:52:51,0,100,0,100
2023-05-25T23:04:29,0,100,0,100
2023-05-25T23:16:05,0,100,0,100
2023-05-25T23:27:41,0,100,0,100
2023-05-25T23:39:17,0,100,0,100
2023-05-25T23:50:53,0,100,0,100
2023-05-26T00:02:36,0,100,0,100
