time,enrolled,available,waitlisted,total
2023-05-25T01:16:44,0,20,0,20
2023-05-25T01:28:21,0,20,0,20
2023-05-25T01:39:56,0,20,0,20
2023-05-25T01:51:40,0,20,0,20
2023-05-25T02:03:16,0,20,0,20
2023-05-25T02:14:52,0,20,0,20
2023-05-25T02:26:28,0,20,0,20
2023-05-25T02:38:01,0,20,0,20
2023-05-25T02:49:35,0,20,0,20
2023-05-25T03:01:08,0,20,0,20
2023-05-25T03:12:45,0,20,0,20
2023-05-25T03:24:43,0,20,0,20
2023-05-25T03:36:21,0,20,0,20
2023-05-25T03:47:57,0,20,0,20
2023-05-25T03:59:32,0,20,0,20
2023-05-25T04:18:55,0,20,0,20
2023-05-25T04:30:56,0,20,0,20
2023-05-25T04:42:33,0,20,0,20
2023-05-25T04:54:08,0,20,0,20
2023-05-25T05:05:45,0,20,0,20
2023-05-25T05:17:22,0,20,0,20
2023-05-25T05:28:58,0,20,0,20
2023-05-25T05:40:34,0,20,0,20
2023-05-25T05:52:10,0,20,0,20
2023-05-25T06:03:47,0,20,0,20
2023-05-25T06:15:22,0,20,0,20
2023-05-25T06:26:57,0,20,0,20
2023-05-25T06:38:32,0,20,0,20
2023-05-25T06:50:07,0,20,0,20
2023-05-25T07:01:43,0,20,0,20
2023-05-25T07:13:18,0,20,0,20
2023-05-25T07:24:52,0,20,0,20
2023-05-25T07:36:26,0,20,0,20
2023-05-25T07:48:04,0,20,0,20
2023-05-25T07:59:39,0,20,0,20
2023-05-25T08:11:13,0,20,0,20
2023-05-25T08:22:57,0,20,0,20
2023-05-25T08:34:32,0,20,0,20
2023-05-25T08:46:04,0,20,0,20
2023-05-25T08:57:37,0,20,0,20
2023-05-25T09:09:10,0,20,0,20
2023-05-25T09:20:43,0,20,0,20
2023-05-25T09:32:15,0,20,0,20
2023-05-25T09:43:48,0,20,0,20
2023-05-25T09:55:21,0,20,0,20
2023-05-25T10:06:54,0,20,0,20
2023-05-25T10:18:39,0,20,0,20
2023-05-25T10:30:12,0,20,0,20
2023-05-25T10:41:44,0,20,0,20
2023-05-25T10:53:27,0,20,0,20
2023-05-25T11:05:00,0,20,0,20
2023-05-25T11:16:32,0,20,0,20
2023-05-25T11:28:05,0,20,0,20
2023-05-25T11:39:38,0,20,0,20
2023-05-25T11:51:11,0,20,0,20
2023-05-25T12:02:55,0,20,0,20
2023-05-25T12:14:28,0,20,0,20
2023-05-25T12:26:01,0,20,0,20
2023-05-25T12:37:33,0,20,0,20
2023-05-25T12:49:06,0,20,0,20
2023-05-25T13:00:50,0,20,0,20
2023-05-25T13:12:22,0,20,0,20
2023-05-25T13:23:55,0,20,0,20
2023-05-25T13:35:28,0,20,0,20
2023-05-25T13:47:01,0,20,0,20
2023-05-25T13:58:35,0,20,0,20
2023-05-25T14:10:19,0,20,0,20
2023-05-25T14:21:53,0,20,0,20
2023-05-25T14:33:25,0,20,0,20
2023-05-25T14:44:58,0,20,0,20
2023-05-25T14:56:32,0,20,0,20
2023-05-25T15:08:16,0,20,0,20
2023-05-25T15:19:51,0,20,0,20
2023-05-25T15:31:25,0,20,0,20
2023-05-25T15:43:00,0,20,0,20
2023-05-25T15:54:34,0,20,0,20
2023-05-25T16:06:19,0,20,0,20
2023-05-25T16:17:54,0,20,0,20
2023-05-25T16:29:30,0,20,0,20
2023-05-25T16:41:05,0,20,0,20
2023-05-25T16:52:40,0,20,0,20
2023-05-25T17:04:17,0,20,0,20
2023-05-25T17:16:04,0,20,0,20
2023-05-25T17:27:40,0,20,0,20
2023-05-25T17:39:15,0,20,0,20
2023-05-25T17:50:51,0,20,0,20
2023-05-25T18:02:27,0,20,0,20
2023-05-25T18:14:03,0,20,0,20
2023-05-25T18:25:39,0,20,0,20
2023-05-25T18:37:24,0,20,0,20
