time,enrolled,available,waitlisted,total
2023-05-25T01:16:59,0,0,0,0
2023-05-25T01:28:35,0,0,0,0
2023-05-25T01:40:10,0,0,0,0
2023-05-25T01:51:55,0,0,0,0
2023-05-25T02:03:30,0,0,0,0
2023-05-25T02:15:06,0,0,0,0
2023-05-25T02:26:42,0,0,0,0
2023-05-25T02:38:16,0,0,0,0
2023-05-25T02:49:49,0,0,0,0
2023-05-25T03:01:22,0,0,0,0
2023-05-25T03:12:59,0,0,0,0
2023-05-25T03:24:58,0,0,0,0
2023-05-25T03:36:36,0,0,0,0
2023-05-25T03:48:11,0,0,0,0
2023-05-25T03:59:47,0,0,0,0
2023-05-25T04:19:10,0,0,0,0
2023-05-25T04:31:11,0,0,0,0
2023-05-25T04:42:47,0,0,0,0
2023-05-25T04:54:23,0,0,0,0
2023-05-25T05:06:00,0,0,0,0
2023-05-25T05:17:36,0,0,0,0
2023-05-25T05:29:12,0,0,0,0
2023-05-25T05:40:49,0,0,0,0
2023-05-25T05:52:24,0,0,0,0
2023-05-25T06:04:01,0,0,0,0
2023-05-25T06:15:37,0,0,0,0
2023-05-25T06:27:12,0,0,0,0
2023-05-25T06:38:46,0,0,0,0
2023-05-25T06:50:22,0,0,0,0
2023-05-25T07:01:57,0,0,0,0
2023-05-25T07:13:33,0,0,0,0
2023-05-25T07:25:07,0,0,0,0
2023-05-25T07:36:40,0,0,0,0
2023-05-25T07:48:18,0,0,0,0
2023-05-25T07:59:53,0,0,0,0
2023-05-25T08:11:28,0,0,0,0
2023-05-25T08:23:12,0,0,0,0
2023-05-25T08:34:46,0,0,0,0
2023-05-25T08:46:19,0,0,0,0
2023-05-25T08:57:51,0,0,0,0
2023-05-25T09:09:25,0,0,0,0
2023-05-25T09:20:57,0,0,0,0
2023-05-25T09:32:30,0,0,0,0
2023-05-25T09:44:02,0,0,0,0
2023-05-25T09:55:35,0,0,0,0
2023-05-25T10:07:09,0,0,0,0
2023-05-25T10:18:53,0,0,0,0
2023-05-25T10:30:26,0,0,0,0
2023-05-25T10:41:59,0,0,0,0
2023-05-25T10:53:41,0,0,0,0
2023-05-25T11:05:14,0,0,0,0
2023-05-25T11:16:47,0,0,0,0
2023-05-25T11:28:19,0,0,0,0
2023-05-25T11:39:52,0,0,0,0
2023-05-25T11:51:25,0,0,0,0
2023-05-25T12:03:09,0,0,0,0
2023-05-25T12:14:42,0,0,0,0
2023-05-25T12:26:15,0,0,0,0
2023-05-25T12:37:48,0,0,0,0
2023-05-25T12:49:21,0,0,0,0
2023-05-25T13:01:04,0,0,0,0
2023-05-25T13:12:37,0,0,0,0
2023-05-25T13:24:09,0,0,0,0
2023-05-25T13:35:43,0,0,0,0
2023-05-25T13:47:16,0,0,0,0
2023-05-25T13:58:49,0,0,0,0
2023-05-25T14:10:34,0,0,0,0
2023-05-25T14:22:07,0,0,0,0
2023-05-25T14:33:40,0,0,0,0
2023-05-25T14:45:13,0,0,0,0
2023-05-25T14:56:47,0,0,0,0
2023-05-25T15:08:31,0,0,0,0
2023-05-25T15:20:05,0,0,0,0
2023-05-25T15:31:40,0,0,0,0
2023-05-25T15:43:14,0,0,0,0
