time,enrolled,available,waitlisted,total
2023-06-14T13:37:29,0,80,0,80
2023-06-14T13:49:25,0,80,0,80
2023-06-14T14:01:25,0,80,0,80
2023-06-14T14:13:30,0,80,0,80
2023-06-14T14:25:39,0,80,0,80
2023-06-14T14:37:55,0,80,0,80
2023-06-14T14:50:21,0,80,0,80
2023-06-14T15:02:36,0,80,0,80
2023-06-14T15:14:50,0,80,0,80
2023-06-14T15:27:05,0,80,0,80
2023-06-14T15:39:20,0,80,0,80
2023-06-14T15:51:34,0,80,0,80
2023-06-14T16:03:52,0,80,0,80
2023-06-14T16:16:17,0,80,0,80
2023-06-14T16:28:30,0,80,0,80
2023-06-14T16:40:46,0,80,0,80
2023-06-14T16:53:01,0,80,0,80
2023-06-14T17:05:17,0,80,0,80
2023-06-14T17:17:33,0,80,0,80
2023-06-14T17:29:47,0,80,0,80
2023-06-14T17:42:02,0,80,0,80
2023-06-14T17:54:27,0,80,0,80
2023-06-14T18:06:41,0,80,0,80
2023-06-14T18:18:56,0,80,0,80
2023-06-14T18:31:10,0,80,0,80
2023-06-14T18:43:23,0,80,0,80
2023-06-14T18:55:38,0,80,0,80
2023-06-14T19:07:52,0,80,0,80
2023-06-14T19:20:19,0,80,0,80
2023-06-14T19:32:33,0,80,0,80
2023-06-14T19:44:47,0,80,0,80
2023-06-14T19:57:00,0,80,0,80
2023-06-14T20:09:18,0,80,0,80
2023-06-14T20:21:32,0,80,0,80
2023-06-14T20:33:46,0,80,0,80
2023-06-14T20:46:00,0,80,0,80
2023-06-14T20:58:24,0,80,0,80
2023-06-14T21:10:39,0,80,0,80
2023-06-14T21:22:53,0,80,0,80
2023-06-14T21:35:07,0,80,0,80
2023-06-14T21:47:21,0,80,0,80
2023-06-14T21:59:35,0,80,0,80
2023-06-14T22:11:49,0,80,0,80
2023-06-14T22:24:03,0,80,0,80
2023-06-14T22:36:18,0,80,0,80
2023-06-14T22:48:42,0,80,0,80
2023-06-14T23:00:58,0,80,0,80
2023-06-14T23:13:14,0,80,0,80
2023-06-14T23:25:28,0,80,0,80
2023-06-14T23:37:42,0,80,0,80
2023-06-14T23:49:56,0,80,0,80
2023-06-15T00:02:11,0,80,0,80
2023-06-15T00:14:29,0,80,0,80
2023-06-15T00:26:48,0,80,0,80
2023-06-15T00:39:07,0,80,0,80
2023-06-15T00:51:38,0,80,0,80
2023-06-15T01:03:57,0,80,0,80
2023-06-15T01:16:15,0,80,0,80
2023-06-15T01:28:32,0,80,0,80
2023-06-15T01:40:49,0,80,0,80
2023-06-15T01:53:06,0,80,0,80
2023-06-15T02:05:24,0,80,0,80
2023-06-15T02:17:40,0,80,0,80
2023-06-15T02:29:57,0,80,0,80
2023-06-15T02:42:13,0,80,0,80
2023-06-15T02:54:28,0,80,0,80
2023-06-15T03:06:54,0,80,0,80
2023-06-15T03:19:11,0,80,0,80
2023-06-15T03:31:28,0,80,0,80
2023-06-15T03:43:44,0,80,0,80
2023-06-15T03:56:01,0,80,0,80
2023-06-15T04:08:18,0,80,0,80
2023-06-15T04:24:21,0,80,0,80
2023-06-15T04:36:42,0,80,0,80
2023-06-15T04:50:21,0,80,0,80
2023-06-15T05:02:59,0,80,0,80
2023-06-15T05:15:18,0,80,0,80
2023-06-15T05:27:36,0,80,0,80
2023-06-15T05:39:54,0,80,0,80
2023-06-15T05:52:12,0,80,0,80
2023-06-15T06:04:29,0,80,0,80
2023-06-15T06:16:46,0,80,0,80
2023-06-15T06:29:03,0,80,0,80
2023-06-15T06:41:20,0,80,0,80
2023-06-15T06:53:36,0,80,0,80
2023-06-15T07:05:53,0,80,0,80
2023-06-15T07:18:10,0,80,0,80
2023-06-15T07:30:28,0,80,0,80
2023-06-15T07:42:53,0,80,0,80
2023-06-15T07:55:09,0,80,0,80
2023-06-15T08:07:25,0,80,0,80
2023-06-15T08:19:42,0,80,0,80
2023-06-15T08:31:58,0,80,0,80
2023-06-15T08:44:14,0,80,0,80
2023-06-15T08:56:29,0,80,0,80
2023-06-15T09:08:46,0,80,0,80
2023-06-15T09:21:01,0,80,0,80
2023-06-15T09:33:16,0,80,0,80
2023-06-15T09:45:32,0,80,0,80
2023-06-15T09:57:47,0,80,0,80
2023-06-15T10:10:11,0,80,0,80
2023-06-15T10:22:25,0,80,0,80
2023-06-15T10:34:39,0,80,0,80
2023-06-15T10:46:53,0,80,0,80
2023-06-15T10:59:07,0,80,0,80
2023-06-15T11:11:21,0,80,0,80
2023-06-15T11:23:35,0,80,0,80
2023-06-15T11:35:49,0,80,0,80
2023-06-15T11:48:14,0,80,0,80
2023-06-15T12:00:28,0,80,0,80
2023-06-15T12:12:46,0,80,0,80
2023-06-15T12:25:00,0,80,0,80
2023-06-15T12:37:15,0,80,0,80
2023-06-15T12:49:30,0,80,0,80
2023-06-15T13:01:44,0,80,0,80
2023-06-15T13:14:08,0,80,0,80
2023-06-15T13:26:22,0,80,0,80
