time,enrolled,available,waitlisted,total
2023-05-25T01:18:15,0,15,0,15
2023-05-25T01:29:51,0,15,0,15
2023-05-25T01:41:35,0,15,0,15
2023-05-25T01:53:11,0,15,0,15
2023-05-25T02:04:46,0,15,0,15
2023-05-25T02:16:22,0,15,0,15
2023-05-25T02:27:58,0,15,0,15
2023-05-25T02:39:31,0,15,0,15
2023-05-25T02:51:05,0,15,0,15
2023-05-25T03:02:38,0,15,0,15
2023-05-25T03:14:15,0,15,0,15
2023-05-25T03:26:14,0,15,0,15
2023-05-25T03:37:51,0,15,0,15
2023-05-25T03:49:27,0,15,0,15
2023-05-25T04:01:03,0,15,0,15
2023-05-25T04:20:26,0,15,0,15
2023-05-25T04:32:26,0,15,0,15
2023-05-25T04:44:03,0,15,0,15
2023-05-25T04:55:39,0,15,0,15
2023-05-25T05:07:15,0,15,0,15
2023-05-25T05:18:52,0,15,0,15
2023-05-25T05:30:28,0,15,0,15
2023-05-25T05:42:04,0,15,0,15
2023-05-25T05:53:40,0,15,0,15
2023-05-25T06:05:17,0,15,0,15
2023-05-25T06:16:52,0,15,0,15
2023-05-25T06:28:27,0,15,0,15
2023-05-25T06:40:02,0,15,0,15
2023-05-25T06:51:37,0,15,0,15
2023-05-25T07:03:13,0,15,0,15
2023-05-25T07:14:48,0,15,0,15
2023-05-25T07:26:22,0,15,0,15
2023-05-25T07:37:56,0,15,0,15
2023-05-25T07:49:34,0,15,0,15
2023-05-25T08:01:09,0,15,0,15
2023-05-25T08:12:43,0,15,0,15
2023-05-25T08:24:28,0,15,0,15
2023-05-25T08:36:01,0,15,0,15
2023-05-25T08:47:34,0,15,0,15
2023-05-25T08:59:07,0,15,0,15
2023-05-25T09:10:40,0,15,0,15
2023-05-25T09:22:13,0,15,0,15
2023-05-25T09:33:45,0,15,0,15
2023-05-25T09:45:18,0,15,0,15
2023-05-25T09:56:51,0,15,0,15
2023-05-25T10:08:24,0,15,0,15
2023-05-25T10:20:09,0,15,0,15
2023-05-25T10:31:42,0,15,0,15
2023-05-25T10:43:14,0,15,0,15
2023-05-25T10:54:57,0,15,0,15
2023-05-25T11:06:29,0,15,0,15
2023-05-25T11:18:02,0,15,0,15
2023-05-25T11:29:35,0,15,0,15
2023-05-25T11:41:07,0,15,0,15
2023-05-25T11:52:41,0,15,0,15
2023-05-25T12:04:25,0,15,0,15
2023-05-25T12:15:57,0,15,0,15
2023-05-25T12:27:30,0,15,0,15
2023-05-25T12:39:03,0,15,0,15
2023-05-25T12:50:36,0,15,0,15
2023-05-25T13:02:19,0,15,0,15
2023-05-25T13:13:52,0,15,0,15
2023-05-25T13:25:25,0,15,0,15
2023-05-25T13:36:58,0,15,0,15
2023-05-25T13:48:31,0,15,0,15
2023-05-25T14:00:05,0,15,0,15
2023-05-25T14:11:49,0,15,0,15
2023-05-25T14:23:22,0,15,0,15
2023-05-25T14:34:55,0,15,0,15
2023-05-25T14:46:28,0,15,0,15
2023-05-25T14:58:12,0,15,0,15
2023-05-25T15:09:46,0,15,0,15
2023-05-25T15:21:21,0,15,0,15
2023-05-25T15:32:55,0,15,0,15
2023-05-25T15:44:30,0,15,0,15
2023-05-25T15:56:04,0,15,0,15
2023-05-25T16:07:49,0,15,0,15
2023-05-25T16:19:24,0,15,0,15
2023-05-25T16:31:00,0,15,0,15
2023-05-25T16:42:35,0,15,0,15
2023-05-25T16:54:10,0,15,0,15
2023-05-25T17:05:46,0,15,0,15
2023-05-25T17:17:34,0,15,0,15
2023-05-25T17:29:10,0,15,0,15
2023-05-25T17:40:45,0,15,0,15
2023-05-25T17:52:21,0,15,0,15
2023-05-25T18:03:57,0,15,0,15
2023-05-25T18:15:33,0,15,0,15
2023-05-25T18:27:09,0,15,0,15
2023-05-25T18:38:54,0,15,0,15
2023-05-25T18:50:30,0,15,0,15
2023-05-25T19:02:06,0,15,0,15
2023-05-25T19:13:42,0,15,0,15
2023-05-25T19:25:18,0,15,0,15
2023-05-25T19:36:53,0,15,0,15
2023-05-25T19:48:30,0,15,0,15
2023-05-25T20:00:15,0,15,0,15
2023-05-25T20:11:51,0,15,0,15
2023-05-25T20:23:27,0,15,0,15
2023-05-25T20:35:03,0,15,0,15
2023-05-25T20:46:38,0,15,0,15
2023-05-25T20:58:14,0,15,0,15
2023-05-25T21:09:50,0,15,0,15
2023-05-25T21:21:37,0,15,0,15
2023-05-25T21:33:13,0,15,0,15
2023-05-25T21:44:48,0,15,0,15
2023-05-25T21:56:24,0,15,0,15
2023-05-25T22:07:59,0,15,0,15
2023-05-25T22:19:34,0,15,0,15
2023-05-25T22:31:10,0,15,0,15
2023-05-25T22:42:56,0,15,0,15
2023-05-25T22:54:32,0,15,0,15
2023-05-25T23:06:10,0,15,0,15
2023-05-25T23:17:45,0,15,0,15
