time,enrolled,available,waitlisted,total
2023-05-25T01:18:17,0,324,0,324
2023-05-25T01:29:54,0,324,0,324
2023-05-25T01:41:38,0,324,0,324
2023-05-25T01:53:13,0,324,0,324
2023-05-25T02:04:49,0,324,0,324
2023-05-25T02:16:25,0,324,0,324
2023-05-25T02:28:00,0,324,0,324
2023-05-25T02:39:34,0,324,0,324
2023-05-25T02:51:07,0,324,0,324
2023-05-25T03:02:40,0,324,0,324
2023-05-25T03:14:18,0,324,0,324
2023-05-25T03:26:16,0,324,0,324
2023-05-25T03:37:54,0,324,0,324
2023-05-25T03:49:29,0,324,0,324
2023-05-25T04:01:05,0,324,0,324
2023-05-25T04:20:29,0,324,0,324
2023-05-25T04:32:29,0,324,0,324
2023-05-25T04:44:05,0,324,0,324
2023-05-25T04:55:41,0,324,0,324
2023-05-25T05:07:18,0,324,0,324
2023-05-25T05:18:54,0,324,0,324
2023-05-25T05:30:31,0,324,0,324
2023-05-25T05:42:07,0,324,0,324
2023-05-25T05:53:43,0,324,0,324
2023-05-25T06:05:20,0,324,0,324
2023-05-25T06:16:55,0,324,0,324
2023-05-25T06:28:30,0,324,0,324
2023-05-25T06:40:05,0,324,0,324
2023-05-25T06:51:40,0,324,0,324
2023-05-25T07:03:16,0,324,0,324
2023-05-25T07:14:51,0,324,0,324
2023-05-25T07:26:25,0,324,0,324
2023-05-25T07:37:58,0,324,0,324
2023-05-25T07:49:36,0,324,0,324
2023-05-25T08:01:11,0,324,0,324
2023-05-25T08:12:46,0,324,0,324
2023-05-25T08:24:30,0,324,0,324
2023-05-25T08:36:04,0,324,0,324
2023-05-25T08:47:36,0,324,0,324
2023-05-25T08:59:09,0,324,0,324
2023-05-25T09:10:43,0,324,0,324
2023-05-25T09:22:15,0,324,0,324
2023-05-25T09:33:48,0,324,0,324
2023-05-25T09:45:20,0,324,0,324
2023-05-25T09:56:54,0,324,0,324
2023-05-25T10:08:27,0,324,0,324
2023-05-25T10:20:11,0,324,0,324
2023-05-25T10:31:44,0,324,0,324
2023-05-25T10:43:17,0,324,0,324
2023-05-25T10:54:59,0,324,0,324
2023-05-25T11:06:32,0,324,0,324
2023-05-25T11:18:05,0,324,0,324
2023-05-25T11:29:37,0,324,0,324
2023-05-25T11:41:10,0,324,0,324
2023-05-25T11:52:43,0,324,0,324
2023-05-25T12:04:27,0,324,0,324
2023-05-25T12:16:00,0,324,0,324
2023-05-25T12:27:33,0,324,0,324
2023-05-25T12:39:06,0,324,0,324
2023-05-25T12:50:39,0,324,0,324
2023-05-25T13:02:22,0,324,0,324
2023-05-25T13:13:55,0,324,0,324
2023-05-25T13:25:27,0,324,0,324
2023-05-25T13:37:01,0,324,0,324
2023-05-25T13:48:34,0,324,0,324
2023-05-25T14:00:07,0,324,0,324
2023-05-25T14:11:52,0,324,0,324
2023-05-25T14:23:25,0,324,0,324
2023-05-25T14:34:58,0,324,0,324
2023-05-25T14:46:31,0,324,0,324
2023-05-25T14:58:14,0,324,0,324
2023-05-25T15:09:49,0,324,0,324
2023-05-25T15:21:23,0,324,0,324
2023-05-25T15:32:58,0,324,0,324
2023-05-25T15:44:32,0,324,0,324
2023-05-25T15:56:07,0,324,0,324
2023-05-25T16:07:52,0,324,0,324
2023-05-25T16:19:27,0,324,0,324
2023-05-25T16:31:02,0,324,0,324
2023-05-25T16:42:37,0,324,0,324
2023-05-25T16:54:12,0,324,0,324
2023-05-25T17:05:49,0,324,0,324
2023-05-25T17:17:37,0,324,0,324
2023-05-25T17:29:12,0,324,0,324
2023-05-25T17:40:47,0,324,0,324
2023-05-25T17:52:23,0,324,0,324
2023-05-25T18:04:00,0,324,0,324
2023-05-25T18:15:36,0,324,0,324
2023-05-25T18:27:11,0,324,0,324
2023-05-25T18:38:57,0,324,0,324
2023-05-25T18:50:32,0,324,0,324
2023-05-25T19:02:08,0,324,0,324
2023-05-25T19:13:45,0,324,0,324
2023-05-25T19:25:20,0,324,0,324
2023-05-25T19:36:56,0,324,0,324
2023-05-25T19:48:32,0,324,0,324
2023-05-25T20:00:18,0,324,0,324
2023-05-25T20:11:54,0,324,0,324
2023-05-25T20:23:29,0,324,0,324
2023-05-25T20:35:05,0,324,0,324
2023-05-25T20:46:41,0,324,0,324
2023-05-25T20:58:16,0,324,0,324
2023-05-25T21:09:52,0,324,0,324
2023-05-25T21:21:40,0,324,0,324
2023-05-25T21:33:15,0,324,0,324
2023-05-25T21:44:51,0,324,0,324
2023-05-25T21:56:26,0,324,0,324
2023-05-25T22:08:02,0,324,0,324
2023-05-25T22:19:37,0,324,0,324
2023-05-25T22:31:13,0,324,0,324
2023-05-25T22:42:59,0,324,0,324
2023-05-25T22:54:34,0,324,0,324
2023-05-25T23:06:12,0,324,0,324
2023-05-25T23:17:48,0,324,0,324
2023-05-25T23:29:24,0,324,0,324
2023-05-25T23:41:00,0,324,0,324
2023-05-25T23:52:37,0,324,0,324
2023-05-26T00:04:30,0,324,0,324
2023-05-26T00:16:11,0,324,0,324
2023-05-26T00:27:51,0,324,0,324
2023-05-26T00:39:30,0,324,0,324
2023-05-26T00:51:08,0,324,0,324
2023-05-26T01:02:48,0,324,0,324
2023-05-26T01:14:27,0,324,0,324
2023-05-26T01:26:05,0,324,0,324
2023-05-26T01:37:43,0,324,0,324
2023-05-26T01:49:31,0,324,0,324
2023-05-26T02:01:12,0,324,0,324
2023-05-26T02:12:51,0,324,0,324
2023-05-26T02:24:28,0,324,0,324
2023-05-26T02:36:06,0,324,0,324
2023-05-26T02:47:55,0,324,0,324
2023-05-26T02:59:35,0,324,0,324
2023-05-26T03:11:15,0,324,0,324
2023-05-26T03:22:56,0,324,0,324
2023-05-26T03:34:35,0,324,0,324
2023-05-26T03:46:13,0,324,0,324
2023-05-26T03:57:52,0,324,0,324
2023-05-26T04:09:40,0,324,0,324
2023-05-26T04:31:40,0,324,0,324
2023-05-26T04:43:43,0,324,0,324
2023-05-26T04:55:24,0,324,0,324
2023-05-26T05:07:06,0,324,0,324
2023-05-26T05:18:45,0,324,0,324
2023-05-26T05:30:24,0,324,0,324
2023-05-26T05:42:03,0,324,0,324
2023-05-26T05:53:42,0,324,0,324
2023-05-26T06:05:20,0,324,0,324
2023-05-26T06:17:00,0,324,0,324
2023-05-26T06:28:39,0,324,0,324
2023-05-26T06:40:17,0,324,0,324
2023-05-26T06:51:56,0,324,0,324
2023-05-26T07:03:34,0,324,0,324
2023-05-26T07:15:13,0,324,0,324
2023-05-26T07:26:51,0,324,0,324
2023-05-26T07:38:37,0,324,0,324
2023-05-26T07:50:14,0,324,0,324
2023-05-26T08:01:50,0,324,0,324
2023-05-26T08:13:26,0,324,0,324
2023-05-26T08:25:03,0,324,0,324
2023-05-26T08:36:39,0,324,0,324
