time,enrolled,available,waitlisted,total
2023-05-25T01:18:18,0,45,0,45
2023-05-25T01:29:54,0,45,0,45
2023-05-25T01:41:39,0,45,0,45
2023-05-25T01:53:14,0,45,0,45
2023-05-25T02:04:49,0,45,0,45
2023-05-25T02:16:26,0,45,0,45
2023-05-25T02:28:01,0,45,0,45
2023-05-25T02:39:34,0,45,0,45
2023-05-25T02:51:08,0,45,0,45
2023-05-25T03:02:41,0,45,0,45
2023-05-25T03:14:18,0,45,0,45
2023-05-25T03:26:17,0,45,0,45
2023-05-25T03:37:55,0,45,0,45
2023-05-25T03:49:30,0,45,0,45
2023-05-25T04:01:06,0,45,0,45
2023-05-25T04:20:30,0,45,0,45
2023-05-25T04:32:30,0,45,0,45
2023-05-25T04:44:06,0,45,0,45
2023-05-25T04:55:42,0,45,0,45
2023-05-25T05:07:19,0,45,0,45
2023-05-25T05:18:55,0,45,0,45
2023-05-25T05:30:32,0,45,0,45
2023-05-25T05:42:08,0,45,0,45
2023-05-25T05:53:44,0,45,0,45
2023-05-25T06:05:21,0,45,0,45
2023-05-25T06:16:56,0,45,0,45
2023-05-25T06:28:31,0,45,0,45
2023-05-25T06:40:05,0,45,0,45
2023-05-25T06:51:41,0,45,0,45
2023-05-25T07:03:17,0,45,0,45
2023-05-25T07:14:52,0,45,0,45
2023-05-25T07:26:26,0,45,0,45
2023-05-25T07:37:59,0,45,0,45
2023-05-25T07:49:37,0,45,0,45
2023-05-25T08:01:12,0,45,0,45
2023-05-25T08:12:47,0,45,0,45
2023-05-25T08:24:31,0,45,0,45
2023-05-25T08:36:05,0,45,0,45
2023-05-25T08:47:37,0,45,0,45
2023-05-25T08:59:10,0,45,0,45
2023-05-25T09:10:43,0,45,0,45
2023-05-25T09:22:16,0,45,0,45
2023-05-25T09:33:49,0,45,0,45
2023-05-25T09:45:21,0,45,0,45
2023-05-25T09:56:55,0,45,0,45
2023-05-25T10:08:28,0,45,0,45
2023-05-25T10:20:12,0,45,0,45
2023-05-25T10:31:45,0,45,0,45
2023-05-25T10:43:17,0,45,0,45
2023-05-25T10:55:00,0,45,0,45
2023-05-25T11:06:33,0,45,0,45
2023-05-25T11:18:06,0,45,0,45
2023-05-25T11:29:38,0,45,0,45
2023-05-25T11:41:11,0,45,0,45
2023-05-25T11:52:44,0,45,0,45
2023-05-25T12:04:28,0,45,0,45
2023-05-25T12:16:01,0,45,0,45
2023-05-25T12:27:34,0,45,0,45
2023-05-25T12:39:07,0,45,0,45
2023-05-25T12:50:40,0,45,0,45
2023-05-25T13:02:23,0,45,0,45
2023-05-25T13:13:55,0,45,0,45
2023-05-25T13:25:28,0,45,0,45
2023-05-25T13:37:02,0,45,0,45
2023-05-25T13:48:35,0,45,0,45
2023-05-25T14:00:08,0,45,0,45
2023-05-25T14:11:53,0,45,0,45
2023-05-25T14:23:26,0,45,0,45
2023-05-25T14:34:59,0,45,0,45
2023-05-25T14:46:32,0,45,0,45
2023-05-25T14:58:15,0,45,0,45
2023-05-25T15:09:49,0,45,0,45
2023-05-25T15:21:24,0,45,0,45
2023-05-25T15:32:58,0,45,0,45
2023-05-25T15:44:33,0,45,0,45
2023-05-25T15:56:08,0,45,0,45
2023-05-25T16:07:53,0,45,0,45
2023-05-25T16:19:28,0,45,0,45
2023-05-25T16:31:03,0,45,0,45
2023-05-25T16:42:38,0,45,0,45
2023-05-25T16:54:13,0,45,0,45
