time,enrolled,available,waitlisted,total
2023-05-25T01:18:21,0,9999,0,9999
2023-05-25T01:29:57,0,9999,0,9999
2023-05-25T01:41:42,0,9999,0,9999
2023-05-25T01:53:17,0,9999,0,9999
2023-05-25T02:04:52,0,9999,0,9999
2023-05-25T02:16:29,0,9999,0,9999
2023-05-25T02:28:04,0,9999,0,9999
2023-05-25T02:39:37,0,9999,0,9999
2023-05-25T02:51:11,0,9999,0,9999
2023-05-25T03:02:44,0,9999,0,9999
2023-05-25T03:14:21,0,9999,0,9999
2023-05-25T03:26:20,0,9999,0,9999
2023-05-25T03:37:58,0,9999,0,9999
2023-05-25T03:49:33,0,9999,0,9999
2023-05-25T04:01:09,0,9999,0,9999
2023-05-25T04:20:33,0,9999,0,9999
2023-05-25T04:32:33,0,9999,0,9999
2023-05-25T04:44:09,0,9999,0,9999
2023-05-25T04:55:45,0,9999,0,9999
2023-05-25T05:07:22,0,9999,0,9999
2023-05-25T05:18:58,0,9999,0,9999
2023-05-25T05:30:35,0,9999,0,9999
2023-05-25T05:42:11,0,9999,0,9999
2023-05-25T05:53:47,0,9999,0,9999
2023-05-25T06:05:24,0,9999,0,9999
2023-05-25T06:16:59,0,9999,0,9999
2023-05-25T06:28:34,0,9999,0,9999
2023-05-25T06:40:08,0,9999,0,9999
2023-05-25T06:51:44,0,9999,0,9999
2023-05-25T07:03:20,0,9999,0,9999
2023-05-25T07:14:55,0,9999,0,9999
2023-05-25T07:26:29,0,9999,0,9999
2023-05-25T07:38:02,0,9999,0,9999
2023-05-25T07:49:40,0,9999,0,9999
2023-05-25T08:01:15,0,9999,0,9999
2023-05-25T08:12:50,0,9999,0,9999
2023-05-25T08:24:34,0,9999,0,9999
2023-05-25T08:36:08,0,9999,0,9999
2023-05-25T08:47:40,0,9999,0,9999
2023-05-25T08:59:13,0,9999,0,9999
2023-05-25T09:10:46,0,9999,0,9999
2023-05-25T09:22:19,0,9999,0,9999
2023-05-25T09:33:52,0,9999,0,9999
2023-05-25T09:45:24,0,9999,0,9999
2023-05-25T09:56:58,0,9999,0,9999
2023-05-25T10:08:31,0,9999,0,9999
2023-05-25T10:20:15,0,9999,0,9999
2023-05-25T10:31:48,0,9999,0,9999
2023-05-25T10:43:20,0,9999,0,9999
2023-05-25T10:55:03,0,9999,0,9999
2023-05-25T11:06:36,0,9999,0,9999
2023-05-25T11:18:09,0,9999,0,9999
2023-05-25T11:29:41,0,9999,0,9999
2023-05-25T11:41:14,0,9999,0,9999
2023-05-25T11:52:47,0,9999,0,9999
2023-05-25T12:04:31,0,9999,0,9999
2023-05-25T12:16:04,0,9999,0,9999
2023-05-25T12:27:37,0,9999,0,9999
2023-05-25T12:39:10,0,9999,0,9999
2023-05-25T12:50:43,0,9999,0,9999
2023-05-25T13:02:26,0,9999,0,9999
2023-05-25T13:13:58,0,9999,0,9999
2023-05-25T13:25:31,0,9999,0,9999
2023-05-25T13:37:05,0,9999,0,9999
2023-05-25T13:48:38,0,9999,0,9999
2023-05-25T14:00:11,0,9999,0,9999
2023-05-25T14:11:56,0,9999,0,9999
2023-05-25T14:23:29,0,9999,0,9999
2023-05-25T14:35:02,0,9999,0,9999
2023-05-25T14:46:35,0,9999,0,9999
2023-05-25T14:58:18,0,9999,0,9999
2023-05-25T15:09:52,0,9999,0,9999
2023-05-25T15:21:27,0,9999,0,9999
2023-05-25T15:33:01,0,9999,0,9999
2023-05-25T15:44:36,0,9999,0,9999
2023-05-25T15:56:11,0,9999,0,9999
2023-05-25T16:07:56,0,9999,0,9999
2023-05-25T16:19:31,0,9999,0,9999
