time,enrolled,available,waitlisted,total
2023-05-25T01:18:23,0,40,0,40
2023-05-25T01:29:59,0,40,0,40
2023-05-25T01:41:44,0,40,0,40
2023-05-25T01:53:19,0,40,0,40
2023-05-25T02:04:55,0,40,0,40
2023-05-25T02:16:31,0,40,0,40
2023-05-25T02:28:06,0,40,0,40
2023-05-25T02:39:40,0,40,0,40
2023-05-25T02:51:13,0,40,0,40
2023-05-25T03:02:46,0,40,0,40
2023-05-25T03:14:24,0,40,0,40
2023-05-25T03:26:22,0,40,0,40
2023-05-25T03:38:00,0,40,0,40
2023-05-25T03:49:35,0,40,0,40
2023-05-25T04:01:11,0,40,0,40
2023-05-25T04:20:35,0,40,0,40
2023-05-25T04:32:35,0,40,0,40
2023-05-25T04:44:11,0,40,0,40
2023-05-25T04:55:47,0,40,0,40
2023-05-25T05:07:24,0,40,0,40
2023-05-25T05:19:00,0,40,0,40
2023-05-25T05:30:37,0,40,0,40
2023-05-25T05:42:13,0,40,0,40
2023-05-25T05:53:49,0,40,0,40
2023-05-25T06:05:26,0,40,0,40
2023-05-25T06:17:01,0,40,0,40
2023-05-25T06:28:36,0,40,0,40
2023-05-25T06:40:11,0,40,0,40
2023-05-25T06:51:46,0,40,0,40
2023-05-25T07:03:22,0,40,0,40
2023-05-25T07:14:57,0,40,0,40
2023-05-25T07:26:31,0,40,0,40
2023-05-25T07:38:04,0,40,0,40
2023-05-25T07:49:42,0,40,0,40
2023-05-25T08:01:17,0,40,0,40
2023-05-25T08:12:52,0,40,0,40
2023-05-25T08:24:36,0,40,0,40
2023-05-25T08:36:10,0,40,0,40
2023-05-25T08:47:42,0,40,0,40
2023-05-25T08:59:15,0,40,0,40
2023-05-25T09:10:49,0,40,0,40
2023-05-25T09:22:21,0,40,0,40
2023-05-25T09:33:54,0,40,0,40
2023-05-25T09:45:26,0,40,0,40
2023-05-25T09:57:00,0,40,0,40
2023-05-25T10:08:33,0,40,0,40
2023-05-25T10:20:17,0,40,0,40
2023-05-25T10:31:50,0,40,0,40
2023-05-25T10:43:23,0,40,0,40
2023-05-25T10:55:05,0,40,0,40
2023-05-25T11:06:38,0,40,0,40
2023-05-25T11:18:11,0,40,0,40
2023-05-25T11:29:43,0,40,0,40
2023-05-25T11:41:16,0,40,0,40
2023-05-25T11:52:49,0,40,0,40
2023-05-25T12:04:33,0,40,0,40
2023-05-25T12:16:06,0,40,0,40
2023-05-25T12:27:39,0,40,0,40
2023-05-25T12:39:12,0,40,0,40
2023-05-25T12:50:45,0,40,0,40
2023-05-25T13:02:28,0,40,0,40
2023-05-25T13:14:00,0,40,0,40
2023-05-25T13:25:33,0,40,0,40
2023-05-25T13:37:07,0,40,0,40
2023-05-25T13:48:40,0,40,0,40
2023-05-25T14:00:13,0,40,0,40
2023-05-25T14:11:58,0,40,0,40
2023-05-25T14:23:31,0,40,0,40
2023-05-25T14:35:04,0,40,0,40
2023-05-25T14:46:37,0,40,0,40
2023-05-25T14:58:20,0,40,0,40
2023-05-25T15:09:55,0,40,0,40
2023-05-25T15:21:29,0,40,0,40
2023-05-25T15:33:03,0,40,0,40
2023-05-25T15:44:38,0,40,0,40
2023-05-25T15:56:13,0,40,0,40
2023-05-25T16:07:58,0,40,0,40
2023-05-25T16:19:33,0,40,0,40
2023-05-25T16:31:08,0,40,0,40
2023-05-25T16:42:43,0,40,0,40
2023-05-25T16:54:18,0,40,0,40
2023-05-25T17:05:55,0,40,0,40
2023-05-25T17:17:43,0,40,0,40
2023-05-25T17:29:18,0,40,0,40
2023-05-25T17:40:53,0,40,0,40
2023-05-25T17:52:29,0,40,0,40
2023-05-25T18:04:06,0,40,0,40
2023-05-25T18:15:42,0,40,0,40
2023-05-25T18:27:17,0,40,0,40
2023-05-25T18:39:03,0,40,0,40
2023-05-25T18:50:38,0,40,0,40
2023-05-25T19:02:14,0,40,0,40
2023-05-25T19:13:51,0,40,0,40
2023-05-25T19:25:26,0,40,0,40
2023-05-25T19:37:02,0,40,0,40
2023-05-25T19:48:38,0,40,0,40
2023-05-25T20:00:24,0,40,0,40
2023-05-25T20:11:59,0,40,0,40
2023-05-25T20:23:35,0,40,0,40
2023-05-25T20:35:11,0,40,0,40
2023-05-25T20:46:47,0,40,0,40
2023-05-25T20:58:22,0,40,0,40
2023-05-25T21:09:58,0,40,0,40
2023-05-25T21:21:45,0,40,0,40
2023-05-25T21:33:21,0,40,0,40
2023-05-25T21:44:57,0,40,0,40
2023-05-25T21:56:32,0,40,0,40
2023-05-25T22:08:08,0,40,0,40
2023-05-25T22:19:43,0,40,0,40
2023-05-25T22:31:19,0,40,0,40
2023-05-25T22:43:05,0,40,0,40
2023-05-25T22:54:40,0,40,0,40
2023-05-25T23:06:18,0,40,0,40
2023-05-25T23:17:54,0,40,0,40
2023-05-25T23:29:30,0,40,0,40
2023-05-25T23:41:06,0,40,0,40
2023-05-25T23:52:43,0,40,0,40
2023-05-26T00:04:36,0,40,0,40
2023-05-26T00:16:17,0,40,0,40
2023-05-26T00:27:57,0,40,0,40
2023-05-26T00:39:35,0,40,0,40
2023-05-26T00:51:14,0,40,0,40
2023-05-26T01:02:54,0,40,0,40
2023-05-26T01:14:33,0,40,0,40
2023-05-26T01:26:11,0,40,0,40
2023-05-26T01:37:48,0,40,0,40
2023-05-26T01:49:36,0,40,0,40
2023-05-26T02:01:18,0,40,0,40
2023-05-26T02:12:57,0,40,0,40
2023-05-26T02:24:34,0,40,0,40
2023-05-26T02:36:12,0,40,0,40
2023-05-26T02:48:01,0,40,0,40
2023-05-26T02:59:41,0,40,0,40
2023-05-26T03:11:21,0,40,0,40
2023-05-26T03:23:02,0,40,0,40
2023-05-26T03:34:41,0,40,0,40
2023-05-26T03:46:19,0,40,0,40
2023-05-26T03:57:58,0,40,0,40
2023-05-26T04:09:46,0,40,0,40
2023-05-26T04:31:46,0,40,0,40
2023-05-26T04:43:49,0,40,0,40
2023-05-26T04:55:30,0,40,0,40
2023-05-26T05:07:12,0,40,0,40
2023-05-26T05:18:51,0,40,0,40
2023-05-26T05:30:30,0,40,0,40
2023-05-26T05:42:09,0,40,0,40
2023-05-26T05:53:48,0,40,0,40
2023-05-26T06:05:26,0,40,0,40
2023-05-26T06:17:06,0,40,0,40
2023-05-26T06:28:45,0,40,0,40
2023-05-26T06:40:23,0,40,0,40
2023-05-26T06:52:02,0,40,0,40
2023-05-26T07:03:40,0,40,0,40
2023-05-26T07:15:19,0,40,0,40
2023-05-26T07:26:57,0,40,0,40
2023-05-26T07:38:43,0,40,0,40
2023-05-26T07:50:20,0,40,0,40
2023-05-26T08:01:56,0,40,0,40
2023-05-26T08:13:32,0,40,0,40
2023-05-26T08:25:09,0,40,0,40
2023-05-26T08:36:45,1,39,0,40
2023-05-26T08:48:21,1,39,0,40
2023-05-26T08:59:57,1,39,0,40
2023-05-26T09:11:33,1,39,0,40
2023-05-26T09:23:10,1,39,0,40
2023-05-26T09:34:57,1,39,0,40
2023-05-26T09:46:33,1,39,0,40
2023-05-26T09:58:09,1,39,0,40
2023-05-26T10:09:45,1,39,0,40
2023-05-26T10:21:22,1,39,0,40
2023-05-26T10:32:58,1,39,0,40
2023-05-26T10:44:46,1,39,0,40
2023-05-26T10:56:22,1,39,0,40
2023-05-26T11:07:59,1,39,0,40
2023-05-26T11:19:35,1,39,0,40
2023-05-26T11:31:12,1,39,0,40
2023-05-26T11:42:58,1,39,0,40
2023-05-26T11:54:34,2,38,0,40
2023-05-26T12:06:10,2,38,0,40
2023-05-26T12:17:46,2,38,0,40
2023-05-26T12:29:23,2,38,0,40
2023-05-26T12:41:10,2,38,0,40
2023-05-26T12:52:46,2,38,0,40
2023-05-26T13:04:22,2,38,0,40
2023-05-26T13:15:57,2,38,0,40
2023-05-26T13:27:33,2,38,0,40
2023-05-26T13:39:20,2,38,0,40
2023-05-26T13:50:55,2,38,0,40
2023-05-26T14:02:31,2,38,0,40
2023-05-26T14:14:07,2,38,0,40
2023-05-26T14:25:54,2,38,0,40
2023-05-26T14:37:30,2,38,0,40
