time,enrolled,available,waitlisted,total
2023-05-25T01:18:32,0,100,0,100
2023-05-25T01:30:08,0,100,0,100
2023-05-25T01:41:53,0,100,0,100
2023-05-25T01:53:28,0,100,0,100
2023-05-25T02:05:03,0,100,0,100
2023-05-25T02:16:39,0,100,0,100
2023-05-25T02:28:15,0,100,0,100
2023-05-25T02:39:48,0,100,0,100
2023-05-25T02:51:22,0,100,0,100
2023-05-25T03:02:55,0,100,0,100
2023-05-25T03:14:32,0,100,0,100
2023-05-25T03:26:31,0,100,0,100
2023-05-25T03:38:08,0,100,0,100
2023-05-25T03:49:44,0,100,0,100
2023-05-25T04:01:20,0,100,0,100
2023-05-25T04:20:43,0,100,0,100
2023-05-25T04:32:43,0,100,0,100
2023-05-25T04:44:20,0,100,0,100
2023-05-25T04:55:56,0,100,0,100
2023-05-25T05:07:33,0,100,0,100
2023-05-25T05:19:09,0,100,0,100
2023-05-25T05:30:45,0,100,0,100
2023-05-25T05:42:21,0,100,0,100
2023-05-25T05:53:57,0,100,0,100
2023-05-25T06:05:34,0,100,0,100
2023-05-25T06:17:09,0,100,0,100
2023-05-25T06:28:44,0,100,0,100
2023-05-25T06:40:19,0,100,0,100
2023-05-25T06:51:55,0,100,0,100
2023-05-25T07:03:30,0,100,0,100
2023-05-25T07:15:05,0,100,0,100
2023-05-25T07:26:39,0,100,0,100
2023-05-25T07:38:13,0,100,0,100
2023-05-25T07:49:51,0,100,0,100
2023-05-25T08:01:26,0,100,0,100
2023-05-25T08:13:00,0,100,0,100
2023-05-25T08:24:45,0,100,0,100
2023-05-25T08:36:18,0,100,0,100
2023-05-25T08:47:51,0,100,0,100
2023-05-25T08:59:24,0,100,0,100
2023-05-25T09:10:57,0,100,0,100
2023-05-25T09:22:30,0,100,0,100
2023-05-25T09:34:02,0,100,0,100
2023-05-25T09:45:35,0,100,0,100
2023-05-25T09:57:08,0,100,0,100
2023-05-25T10:08:53,0,100,0,100
2023-05-25T10:20:26,0,100,0,100
2023-05-25T10:31:59,0,100,0,100
2023-05-25T10:43:31,0,100,0,100
2023-05-25T10:55:14,0,100,0,100
2023-05-25T11:06:46,0,100,0,100
2023-05-25T11:18:19,0,100,0,100
2023-05-25T11:29:52,0,100,0,100
2023-05-25T11:41:25,0,100,0,100
2023-05-25T11:52:58,0,100,0,100
2023-05-25T12:04:42,0,100,0,100
