time,enrolled,available,waitlisted,total
2023-09-21T15:11:14,1,9998,0,9999
2023-09-21T15:24:14,1,9998,0,9999
2023-09-21T15:37:27,1,9998,0,9999
2023-09-21T15:50:28,1,9998,0,9999
2023-09-21T16:03:29,1,9998,0,9999
2023-09-21T16:16:31,1,9998,0,9999
2023-09-21T16:29:33,1,9998,0,9999
2023-09-21T16:42:34,1,9998,0,9999
2023-09-21T16:55:45,1,9998,0,9999
2023-09-21T17:08:47,1,9998,0,9999
2023-09-21T17:21:48,1,9998,0,9999
2023-09-21T17:34:49,1,9998,0,9999
2023-09-21T17:47:50,1,9998,0,9999
2023-09-21T18:00:51,1,9998,0,9999
2023-09-21T18:13:52,1,9998,0,9999
2023-09-21T18:27:04,1,9998,0,9999
2023-09-21T18:40:05,1,9998,0,9999
2023-09-21T18:53:06,1,9998,0,9999
2023-09-21T19:06:07,1,9998,0,9999
2023-09-21T19:19:08,1,9998,0,9999
2023-09-21T19:32:10,1,9998,0,9999
2023-09-21T19:45:10,1,9998,0,9999
2023-09-21T19:58:29,1,9998,0,9999
2023-09-21T20:11:30,1,9998,0,9999
2023-09-21T20:24:31,1,9998,0,9999
2023-09-21T20:37:32,1,9998,0,9999
2023-09-21T20:50:32,1,9998,0,9999
2023-09-21T21:03:33,1,9998,0,9999
2023-09-21T21:16:34,1,9998,0,9999
2023-09-21T21:29:37,1,9998,0,9999
2023-09-21T21:42:48,1,9998,0,9999
2023-09-21T21:55:50,1,9998,0,9999
2023-09-21T22:08:51,1,9998,0,9999
2023-09-21T22:21:51,1,9998,0,9999
2023-09-21T22:34:52,1,9998,0,9999
2023-09-21T22:47:52,1,9998,0,9999
2023-09-21T23:01:12,1,9998,0,9999
2023-09-21T23:14:14,1,9998,0,9999
2023-09-21T23:27:16,1,9998,0,9999
2023-09-21T23:40:17,1,9998,0,9999
2023-09-21T23:53:19,1,9998,0,9999
2023-09-22T00:06:21,1,9998,0,9999
2023-09-22T00:19:27,1,9998,0,9999
2023-09-22T00:32:33,1,9998,0,9999
2023-09-22T00:45:38,1,9998,0,9999
2023-09-22T00:58:43,1,9998,0,9999
2023-09-22T01:12:00,1,9998,0,9999
2023-09-22T01:25:06,1,9998,0,9999
2023-09-22T01:38:13,1,9998,0,9999
2023-09-22T01:51:18,1,9998,0,9999
2023-09-22T02:04:27,1,9998,0,9999
2023-09-22T02:17:31,1,9998,0,9999
2023-09-22T02:30:33,1,9998,0,9999
2023-09-22T02:43:39,1,9998,0,9999
2023-09-22T02:56:42,1,9998,0,9999
2023-09-22T03:09:46,1,9998,0,9999
2023-09-22T03:22:53,1,9998,0,9999
2023-09-22T03:36:17,1,9998,0,9999
2023-09-22T03:49:23,1,9998,0,9999
2023-09-22T04:02:28,1,9998,0,9999
2023-09-22T07:07:45,1,9998,0,9999
2023-09-22T07:20:49,1,9998,0,9999
2023-09-22T07:33:57,1,9998,0,9999
2023-09-22T07:47:00,1,9998,0,9999
2023-09-22T08:00:03,1,9998,0,9999
2023-09-22T08:13:15,1,9998,0,9999
2023-09-22T08:26:18,1,9998,0,9999
2023-09-22T08:39:20,1,9998,0,9999
2023-09-22T08:52:23,1,9998,0,9999
2023-09-22T09:05:25,1,9998,0,9999
2023-09-22T09:18:27,1,9998,0,9999
2023-09-22T09:31:29,1,9998,0,9999
2023-09-22T09:44:32,1,9998,0,9999
2023-09-22T09:57:33,1,9998,0,9999
2023-09-22T10:10:46,1,9998,0,9999
2023-09-22T10:23:49,1,9998,0,9999
2023-09-22T10:36:51,1,9998,0,9999
2023-09-22T10:49:53,1,9998,0,9999
2023-09-22T11:02:55,1,9998,0,9999
2023-09-22T11:15:56,1,9998,0,9999
2023-09-22T11:29:08,1,9998,0,9999
2023-09-22T11:42:10,1,9998,0,9999
2023-09-22T11:55:11,1,9998,0,9999
2023-09-22T12:08:12,1,9998,0,9999
2023-09-22T12:21:14,1,9998,0,9999
2023-09-22T12:34:18,1,9998,0,9999
2023-09-22T12:47:37,1,9998,0,9999
2023-09-22T13:00:39,1,9998,0,9999
2023-09-22T13:13:40,1,9998,0,9999
2023-09-22T13:26:42,1,9998,0,9999
2023-09-22T13:39:43,1,9998,0,9999
2023-09-22T13:52:45,1,9998,0,9999
2023-09-22T14:05:48,1,9998,0,9999
2023-09-22T14:19:03,1,9998,0,9999
2023-09-22T14:32:10,1,9998,0,9999
2023-09-22T14:45:12,1,9998,0,9999
2023-09-22T14:58:16,1,9998,0,9999
2023-09-22T15:11:21,1,9998,0,9999
2023-09-22T15:24:26,1,9998,0,9999
2023-09-22T15:37:40,1,9998,0,9999
2023-09-22T15:50:42,1,9998,0,9999
2023-09-22T16:03:43,1,9998,0,9999
2023-09-22T16:16:44,1,9998,0,9999
2023-09-22T16:29:45,1,9998,0,9999
2023-09-22T16:42:46,1,9998,0,9999
2023-09-22T16:56:06,1,9998,0,9999
2023-09-22T17:09:08,1,9998,0,9999
2023-09-22T17:22:09,1,9998,0,9999
2023-09-22T17:35:10,1,9998,0,9999
2023-09-22T17:48:11,1,9998,0,9999
2023-09-22T18:01:12,1,9998,0,9999
2023-09-22T18:14:23,1,9998,0,9999
2023-09-22T18:27:25,1,9998,0,9999
2023-09-22T18:40:27,1,9998,0,9999
2023-09-22T18:53:29,1,9998,0,9999
2023-09-22T19:06:31,1,9998,0,9999
2023-09-22T19:19:33,1,9998,0,9999
2023-09-22T19:32:35,1,9998,0,9999
2023-09-22T19:45:45,1,9998,0,9999
2023-09-22T19:58:46,1,9998,0,9999
2023-09-22T20:11:48,1,9998,0,9999
2023-09-22T20:24:49,1,9998,0,9999
2023-09-22T20:37:51,1,9998,0,9999
2023-09-22T20:57:45,1,9998,0,9999
2023-09-22T21:10:46,1,9998,0,9999
2023-09-22T21:23:46,1,9998,0,9999
2023-09-22T21:36:47,1,9998,0,9999
2023-09-22T21:49:48,1,9998,0,9999
2023-09-22T22:02:49,1,9998,0,9999
2023-09-22T22:16:01,1,9998,0,9999
2023-09-22T22:29:01,1,9998,0,9999
2023-09-22T22:42:02,1,9998,0,9999
2023-09-22T22:55:02,1,9998,0,9999
2023-09-22T23:08:05,1,9998,0,9999
2023-09-22T23:21:06,1,9998,0,9999
2023-09-22T23:34:08,1,9998,0,9999
2023-09-22T23:47:09,1,9998,0,9999
2023-09-23T00:00:11,1,9998,0,9999
2023-09-23T00:13:18,1,9998,0,9999
2023-09-23T00:26:35,1,9998,0,9999
2023-09-23T00:39:40,1,9998,0,9999
2023-09-23T00:52:48,1,9998,0,9999
2023-09-23T01:01:01,1,9998,0,9999
2023-09-23T01:14:07,1,9998,0,9999
2023-09-23T01:27:14,1,9998,0,9999
2023-09-23T01:40:21,1,9998,0,9999
2023-09-23T01:53:28,1,9998,0,9999
2023-09-23T02:06:34,1,9998,0,9999
2023-09-23T02:19:38,1,9998,0,9999
2023-09-23T02:32:43,1,9998,0,9999
2023-09-23T02:45:47,1,9998,0,9999
2023-09-23T02:58:49,1,9998,0,9999
2023-09-23T03:11:53,1,9998,0,9999
2023-09-23T03:24:57,1,9998,0,9999
2023-09-23T03:38:02,1,9998,0,9999
2023-09-23T03:51:08,1,9998,0,9999
2023-09-23T04:08:24,1,9998,0,9999
2023-09-23T04:24:03,1,9998,0,9999
2023-09-23T04:37:36,1,9998,0,9999
2023-09-23T04:50:44,1,9998,0,9999
2023-09-23T05:03:50,1,9998,0,9999
2023-09-23T05:16:56,1,9998,0,9999
2023-09-23T05:30:02,1,9998,0,9999
2023-09-23T05:43:09,1,9998,0,9999
2023-09-23T05:56:14,1,9998,0,9999
2023-09-23T06:09:21,1,9998,0,9999
2023-09-23T06:22:26,1,9998,0,9999
2023-09-23T06:35:31,1,9998,0,9999
2023-09-23T06:48:36,1,9998,0,9999
2023-09-23T07:01:41,1,9998,0,9999
2023-09-23T07:14:46,1,9998,0,9999
2023-09-23T07:27:50,1,9998,0,9999
2023-09-23T07:40:54,1,9998,0,9999
2023-09-23T07:53:59,1,9998,0,9999
2023-09-23T08:07:11,1,9998,0,9999
2023-09-23T08:20:15,1,9998,0,9999
2023-09-23T08:33:21,1,9998,0,9999
2023-09-23T08:46:26,1,9998,0,9999
2023-09-23T08:59:29,1,9998,0,9999
2023-09-23T09:12:33,1,9998,0,9999
2023-09-23T09:25:36,1,9998,0,9999
2023-09-23T09:38:40,1,9998,0,9999
2023-09-23T09:51:42,1,9998,0,9999
2023-09-23T10:04:45,1,9998,0,9999
2023-09-23T10:17:48,1,9998,0,9999
2023-09-23T10:30:50,1,9998,0,9999
2023-09-23T10:44:03,1,9998,0,9999
2023-09-23T10:57:06,1,9998,0,9999
2023-09-23T11:10:07,1,9998,0,9999
2023-09-23T11:23:07,1,9998,0,9999
2023-09-23T11:36:08,1,9998,0,9999
2023-09-23T11:49:10,1,9998,0,9999
2023-09-23T12:02:11,1,9998,0,9999
2023-09-23T12:15:12,1,9998,0,9999
2023-09-23T12:28:26,1,9998,0,9999
2023-09-23T12:41:27,1,9998,0,9999
2023-09-23T12:54:27,1,9998,0,9999
2023-09-23T13:07:28,1,9998,0,9999
2023-09-23T13:20:29,1,9998,0,9999
2023-09-23T13:33:30,1,9998,0,9999
2023-09-23T13:46:31,1,9998,0,9999
2023-09-23T13:59:31,1,9998,0,9999
2023-09-23T14:12:42,1,9998,0,9999
2023-09-23T14:25:44,1,9998,0,9999
2023-09-23T14:38:49,1,9998,0,9999
2023-09-23T14:51:51,1,9998,0,9999
2023-09-23T15:04:52,1,9998,0,9999
2023-09-23T15:17:53,1,9998,0,9999
2023-09-23T15:30:54,1,9998,0,9999
2023-09-23T15:43:55,1,9998,0,9999
2023-09-23T15:57:05,1,9998,0,9999
2023-09-23T16:10:06,1,9998,0,9999
2023-09-23T16:23:06,1,9998,0,9999
2023-09-23T16:36:07,1,9998,0,9999
2023-09-23T16:49:08,1,9998,0,9999
2023-09-23T17:02:09,1,9998,0,9999
2023-09-23T17:15:11,1,9998,0,9999
2023-09-23T17:28:12,1,9998,0,9999
2023-09-23T17:41:13,1,9998,0,9999
2023-09-23T17:54:24,1,9998,0,9999
2023-09-23T18:07:25,1,9998,0,9999
2023-09-23T18:20:26,1,9998,0,9999
2023-09-23T18:33:27,1,9998,0,9999
2023-09-23T18:46:27,1,9998,0,9999
