time,enrolled,available,waitlisted,total
2023-05-25T01:18:41,0,10,0,10
2023-05-25T01:30:17,0,10,0,10
2023-05-25T01:42:02,0,10,0,10
2023-05-25T01:53:37,0,10,0,10
2023-05-25T02:05:12,0,10,0,10
2023-05-25T02:16:48,0,10,0,10
2023-05-25T02:28:24,0,10,0,10
2023-05-25T02:39:57,0,10,0,10
2023-05-25T02:51:31,0,10,0,10
2023-05-25T03:03:04,0,10,0,10
2023-05-25T03:14:41,0,10,0,10
2023-05-25T03:26:40,0,10,0,10
2023-05-25T03:38:17,0,10,0,10
2023-05-25T03:49:53,0,10,0,10
2023-05-25T04:01:29,0,10,0,10
2023-05-25T04:20:52,0,10,0,10
2023-05-25T04:32:52,0,10,0,10
2023-05-25T04:44:29,0,10,0,10
2023-05-25T04:56:05,0,10,0,10
2023-05-25T05:07:42,0,10,0,10
2023-05-25T05:19:18,0,10,0,10
2023-05-25T05:30:54,0,10,0,10
2023-05-25T05:42:30,0,10,0,10
2023-05-25T05:54:06,0,10,0,10
2023-05-25T06:05:43,0,10,0,10
2023-05-25T06:17:18,0,10,0,10
2023-05-25T06:28:53,0,10,0,10
2023-05-25T06:40:28,0,10,0,10
2023-05-25T06:52:04,0,10,0,10
2023-05-25T07:03:39,0,10,0,10
2023-05-25T07:15:14,0,10,0,10
2023-05-25T07:26:48,0,10,0,10
2023-05-25T07:38:22,0,10,0,10
2023-05-25T07:50:00,0,10,0,10
2023-05-25T08:01:35,0,10,0,10
2023-05-25T08:13:09,0,10,0,10
2023-05-25T08:24:54,0,10,0,10
2023-05-25T08:36:27,0,10,0,10
2023-05-25T08:48:00,0,10,0,10
2023-05-25T08:59:33,0,10,0,10
2023-05-25T09:11:06,0,10,0,10
2023-05-25T09:22:39,0,10,0,10
2023-05-25T09:34:11,0,10,0,10
2023-05-25T09:45:44,0,10,0,10
2023-05-25T09:57:17,0,10,0,10
2023-05-25T10:09:02,0,10,0,10
2023-05-25T10:20:35,0,10,0,10
2023-05-25T10:32:08,0,10,0,10
2023-05-25T10:43:40,0,10,0,10
2023-05-25T10:55:23,0,10,0,10
2023-05-25T11:06:55,0,10,0,10
2023-05-25T11:18:28,0,10,0,10
2023-05-25T11:30:01,0,10,0,10
2023-05-25T11:41:33,0,10,0,10
2023-05-25T11:53:07,0,10,0,10
2023-05-25T12:04:51,0,10,0,10
2023-05-25T12:16:23,0,10,0,10
2023-05-25T12:27:56,0,10,0,10
2023-05-25T12:39:29,0,10,0,10
2023-05-25T12:51:02,0,10,0,10
2023-05-25T13:02:45,0,10,0,10
2023-05-25T13:14:18,0,10,0,10
2023-05-25T13:25:51,0,10,0,10
2023-05-25T13:37:24,0,10,0,10
2023-05-25T13:48:57,0,10,0,10
2023-05-25T14:00:41,0,10,0,10
2023-05-25T14:12:15,0,10,0,10
2023-05-25T14:23:48,0,10,0,10
2023-05-25T14:35:21,0,10,0,10
2023-05-25T14:46:54,0,10,0,10
2023-05-25T14:58:38,0,10,0,10
2023-05-25T15:10:12,0,10,0,10
2023-05-25T15:21:47,0,10,0,10
2023-05-25T15:33:21,0,10,0,10
2023-05-25T15:44:56,0,10,0,10
2023-05-25T15:56:30,0,10,0,10
2023-05-25T16:08:15,0,10,0,10
2023-05-25T16:19:50,0,10,0,10
2023-05-25T16:31:25,0,10,0,10
2023-05-25T16:43:01,0,10,0,10
2023-05-25T16:54:36,0,10,0,10
2023-05-25T17:06:13,0,10,0,10
2023-05-25T17:18:00,0,10,0,10
2023-05-25T17:29:36,0,10,0,10
2023-05-25T17:41:11,0,10,0,10
2023-05-25T17:52:47,0,10,0,10
2023-05-25T18:04:24,0,10,0,10
2023-05-25T18:15:59,0,10,0,10
2023-05-25T18:27:35,0,10,0,10
2023-05-25T18:39:20,0,10,0,10
2023-05-25T18:50:55,0,10,0,10
2023-05-25T19:02:32,0,10,0,10
2023-05-25T19:14:08,0,10,0,10
2023-05-25T19:25:44,0,10,0,10
2023-05-25T19:37:19,0,10,0,10
2023-05-25T19:48:56,0,10,0,10
2023-05-25T20:00:41,0,10,0,10
2023-05-25T20:12:17,0,10,0,10
2023-05-25T20:23:52,0,10,0,10
2023-05-25T20:35:29,0,10,0,10
2023-05-25T20:47:04,0,10,0,10
2023-05-25T20:58:40,0,10,0,10
2023-05-25T21:10:16,0,10,0,10
2023-05-25T21:22:03,0,10,0,10
2023-05-25T21:33:39,0,10,0,10
2023-05-25T21:45:14,0,10,0,10
2023-05-25T21:56:50,0,10,0,10
2023-05-25T22:08:25,0,10,0,10
2023-05-25T22:20:00,0,10,0,10
2023-05-25T22:31:36,0,10,0,10
2023-05-25T22:43:22,0,10,0,10
2023-05-25T22:54:58,0,10,0,10
2023-05-25T23:06:36,0,10,0,10
2023-05-25T23:18:11,0,10,0,10
2023-05-25T23:29:47,0,10,0,10
2023-05-25T23:41:23,0,10,0,10
2023-05-25T23:53:00,0,10,0,10
2023-05-26T00:04:54,0,10,0,10
2023-05-26T00:16:35,0,10,0,10
2023-05-26T00:28:14,0,10,0,10
2023-05-26T00:39:53,0,10,0,10
2023-05-26T00:51:32,0,10,0,10
2023-05-26T01:03:11,0,10,0,10
2023-05-26T01:14:50,0,10,0,10
2023-05-26T01:26:28,0,10,0,10
2023-05-26T01:38:06,0,10,0,10
2023-05-26T01:49:54,0,10,0,10
2023-05-26T02:01:35,0,10,0,10
2023-05-26T02:13:14,0,10,0,10
2023-05-26T02:24:51,0,10,0,10
2023-05-26T02:36:30,0,10,0,10
2023-05-26T02:48:19,0,10,0,10
2023-05-26T02:59:59,0,10,0,10
2023-05-26T03:11:39,0,10,0,10
2023-05-26T03:23:20,0,10,0,10
2023-05-26T03:34:58,0,10,0,10
2023-05-26T03:46:37,0,10,0,10
2023-05-26T03:58:15,0,10,0,10
2023-05-26T04:10:03,0,10,0,10
2023-05-26T04:32:03,0,10,0,10
2023-05-26T04:44:07,0,10,0,10
2023-05-26T04:55:48,0,10,0,10
2023-05-26T05:07:29,0,10,0,10
2023-05-26T05:19:09,0,10,0,10
2023-05-26T05:30:48,0,10,0,10
2023-05-26T05:42:27,0,10,0,10
2023-05-26T05:54:06,0,10,0,10
2023-05-26T06:05:44,0,10,0,10
2023-05-26T06:17:23,0,10,0,10
2023-05-26T06:29:02,0,10,0,10
2023-05-26T06:40:41,0,10,0,10
2023-05-26T06:52:20,0,10,0,10
2023-05-26T07:03:58,0,10,0,10
2023-05-26T07:15:36,0,10,0,10
2023-05-26T07:27:15,0,10,0,10
2023-05-26T07:39:00,0,10,0,10
2023-05-26T07:50:37,0,10,0,10
2023-05-26T08:02:14,0,10,0,10
2023-05-26T08:13:50,0,10,0,10
2023-05-26T08:25:26,0,10,0,10
2023-05-26T08:37:02,0,10,0,10
2023-05-26T08:48:38,0,10,0,10
2023-05-26T09:00:14,0,10,0,10
2023-05-26T09:11:51,0,10,0,10
2023-05-26T09:23:27,0,10,0,10
2023-05-26T09:35:14,0,10,0,10
2023-05-26T09:46:51,0,10,0,10
2023-05-26T09:58:26,0,10,0,10
2023-05-26T10:10:03,0,10,0,10
2023-05-26T10:21:40,0,10,0,10
2023-05-26T10:33:16,0,10,0,10
2023-05-26T10:45:03,0,10,0,10
2023-05-26T10:56:40,0,10,0,10
2023-05-26T11:08:16,0,10,0,10
2023-05-26T11:19:53,0,10,0,10
