time,enrolled,available,waitlisted,total
2023-05-25T01:19:02,0,15,0,15
2023-05-25T01:30:38,0,15,0,15
2023-05-25T01:42:22,0,15,0,15
2023-05-25T01:53:57,0,15,0,15
2023-05-25T02:05:33,0,15,0,15
2023-05-25T02:17:09,0,15,0,15
2023-05-25T02:28:44,0,15,0,15
2023-05-25T02:40:18,0,15,0,15
2023-05-25T02:51:51,0,15,0,15
2023-05-25T03:03:24,0,15,0,15
2023-05-25T03:15:02,0,15,0,15
2023-05-25T03:27:00,0,15,0,15
2023-05-25T03:38:38,0,15,0,15
2023-05-25T03:50:14,0,15,0,15
2023-05-25T04:01:49,0,15,0,15
2023-05-25T04:21:13,0,15,0,15
2023-05-25T04:33:13,0,15,0,15
2023-05-25T04:44:50,0,15,0,15
2023-05-25T04:56:25,0,15,0,15
2023-05-25T05:08:02,0,15,0,15
2023-05-25T05:19:38,0,15,0,15
2023-05-25T05:31:15,0,15,0,15
2023-05-25T05:42:51,0,15,0,15
2023-05-25T05:54:27,0,15,0,15
2023-05-25T06:06:04,0,15,0,15
2023-05-25T06:17:39,0,15,0,15
2023-05-25T06:29:14,0,15,0,15
2023-05-25T06:40:49,0,15,0,15
2023-05-25T06:52:24,0,15,0,15
2023-05-25T07:04:00,0,15,0,15
2023-05-25T07:15:35,0,15,0,15
2023-05-25T07:27:09,0,15,0,15
2023-05-25T07:38:42,0,15,0,15
2023-05-25T07:50:21,0,15,0,15
2023-05-25T08:01:55,0,15,0,15
2023-05-25T08:13:30,0,15,0,15
2023-05-25T08:25:14,0,15,0,15
2023-05-25T08:36:48,0,15,0,15
2023-05-25T08:48:20,0,15,0,15
2023-05-25T08:59:53,0,15,0,15
2023-05-25T09:11:26,0,15,0,15
2023-05-25T09:22:59,0,15,0,15
2023-05-25T09:34:32,0,15,0,15
2023-05-25T09:46:04,0,15,0,15
2023-05-25T09:57:38,0,15,0,15
2023-05-25T10:09:22,0,15,0,15
2023-05-25T10:20:55,0,15,0,15
2023-05-25T10:32:28,0,15,0,15
2023-05-25T10:44:00,0,15,0,15
2023-05-25T10:55:43,0,15,0,15
2023-05-25T11:07:16,0,15,0,15
2023-05-25T11:18:49,0,15,0,15
2023-05-25T11:30:21,0,15,0,15
2023-05-25T11:41:54,0,15,0,15
2023-05-25T11:53:27,0,15,0,15
2023-05-25T12:05:11,0,15,0,15
2023-05-25T12:16:44,0,15,0,15
2023-05-25T12:28:17,0,15,0,15
