time,enrolled,available,waitlisted,total
2023-05-25T01:19:07,0,20,0,20
2023-05-25T01:30:43,0,20,0,20
2023-05-25T01:42:27,0,20,0,20
2023-05-25T01:54:03,0,20,0,20
2023-05-25T02:05:38,0,20,0,20
2023-05-25T02:17:14,0,20,0,20
2023-05-25T02:28:49,0,20,0,20
2023-05-25T02:40:23,0,20,0,20
2023-05-25T02:51:56,0,20,0,20
2023-05-25T03:03:29,0,20,0,20
2023-05-25T03:15:07,0,20,0,20
2023-05-25T03:27:06,0,20,0,20
2023-05-25T03:38:43,0,20,0,20
2023-05-25T03:50:19,0,20,0,20
2023-05-25T04:01:54,0,20,0,20
2023-05-25T04:21:18,0,20,0,20
2023-05-25T04:33:18,0,20,0,20
2023-05-25T04:44:55,0,20,0,20
2023-05-25T04:56:30,0,20,0,20
2023-05-25T05:08:07,0,20,0,20
2023-05-25T05:19:44,0,20,0,20
2023-05-25T05:31:20,0,20,0,20
2023-05-25T05:42:56,0,20,0,20
2023-05-25T05:54:32,0,20,0,20
2023-05-25T06:06:09,0,20,0,20
2023-05-25T06:17:44,0,20,0,20
2023-05-25T06:29:19,0,20,0,20
2023-05-25T06:40:54,0,20,0,20
2023-05-25T06:52:29,0,20,0,20
2023-05-25T07:04:05,0,20,0,20
2023-05-25T07:15:40,0,20,0,20
2023-05-25T07:27:14,0,20,0,20
2023-05-25T07:38:47,0,20,0,20
2023-05-25T07:50:26,0,20,0,20
2023-05-25T08:02:00,0,20,0,20
2023-05-25T08:13:35,0,20,0,20
2023-05-25T08:25:19,0,20,0,20
2023-05-25T08:36:53,0,20,0,20
2023-05-25T08:48:25,0,20,0,20
2023-05-25T08:59:58,0,20,0,20
2023-05-25T09:11:32,0,20,0,20
2023-05-25T09:23:04,0,20,0,20
2023-05-25T09:34:37,0,20,0,20
2023-05-25T09:46:09,0,20,0,20
2023-05-25T09:57:43,0,20,0,20
2023-05-25T10:09:27,0,20,0,20
2023-05-25T10:21:00,0,20,0,20
2023-05-25T10:32:33,0,20,0,20
2023-05-25T10:44:06,0,20,0,20
2023-05-25T10:55:48,0,20,0,20
2023-05-25T11:07:21,0,20,0,20
2023-05-25T11:18:54,0,20,0,20
2023-05-25T11:30:26,0,20,0,20
2023-05-25T11:41:59,0,20,0,20
2023-05-25T11:53:33,0,20,0,20
2023-05-25T12:05:16,0,20,0,20
2023-05-25T12:16:49,0,20,0,20
2023-05-25T12:28:22,0,20,0,20
2023-05-25T12:39:55,0,20,0,20
2023-05-25T12:51:28,0,20,0,20
2023-05-25T13:03:11,0,20,0,20
2023-05-25T13:14:44,0,20,0,20
2023-05-25T13:26:16,0,20,0,20
2023-05-25T13:37:50,0,20,0,20
2023-05-25T13:49:23,0,20,0,20
2023-05-25T14:01:07,0,20,0,20
