time,enrolled,available,waitlisted,total
2023-05-25T01:19:11,0,25,0,25
2023-05-25T01:30:47,0,25,0,25
2023-05-25T01:42:32,0,25,0,25
2023-05-25T01:54:07,0,25,0,25
2023-05-25T02:05:43,0,25,0,25
2023-05-25T02:17:19,0,25,0,25
2023-05-25T02:28:54,0,25,0,25
2023-05-25T02:40:28,0,25,0,25
2023-05-25T02:52:01,0,25,0,25
2023-05-25T03:03:34,0,25,0,25
2023-05-25T03:15:12,0,25,0,25
2023-05-25T03:27:10,0,25,0,25
2023-05-25T03:38:48,0,25,0,25
2023-05-25T03:50:23,0,25,0,25
2023-05-25T04:01:59,0,25,0,25
2023-05-25T04:21:23,0,25,0,25
2023-05-25T04:33:23,0,25,0,25
2023-05-25T04:44:59,0,25,0,25
2023-05-25T04:56:35,0,25,0,25
2023-05-25T05:08:12,0,25,0,25
2023-05-25T05:19:48,0,25,0,25
2023-05-25T05:31:25,0,25,0,25
2023-05-25T05:43:01,0,25,0,25
2023-05-25T05:54:37,0,25,0,25
2023-05-25T06:06:14,0,25,0,25
2023-05-25T06:17:49,0,25,0,25
2023-05-25T06:29:24,0,25,0,25
2023-05-25T06:40:58,0,25,0,25
2023-05-25T06:52:34,0,25,0,25
2023-05-25T07:04:10,0,25,0,25
2023-05-25T07:15:45,0,25,0,25
2023-05-25T07:27:19,0,25,0,25
2023-05-25T07:38:55,0,25,0,25
2023-05-25T07:50:30,0,25,0,25
2023-05-25T08:02:06,0,25,0,25
2023-05-25T08:13:40,0,25,0,25
2023-05-25T08:25:24,0,25,0,25
2023-05-25T08:36:58,0,25,0,25
2023-05-25T08:48:30,0,25,0,25
2023-05-25T09:00:03,0,25,0,25
2023-05-25T09:11:36,0,25,0,25
2023-05-25T09:23:09,0,25,0,25
2023-05-25T09:34:42,0,25,0,25
2023-05-25T09:46:14,0,25,0,25
2023-05-25T09:57:48,0,25,0,25
2023-05-25T10:09:32,0,25,0,25
2023-05-25T10:21:05,0,25,0,25
2023-05-25T10:32:38,0,25,0,25
2023-05-25T10:44:10,0,25,0,25
2023-05-25T10:55:53,0,25,0,25
2023-05-25T11:07:26,0,25,0,25
2023-05-25T11:18:59,0,25,0,25
2023-05-25T11:30:31,0,25,0,25
2023-05-25T11:42:04,0,25,0,25
2023-05-25T11:53:38,0,25,0,25
2023-05-25T12:05:21,0,25,0,25
2023-05-25T12:16:54,0,25,0,25
2023-05-25T12:28:27,0,25,0,25
2023-05-25T12:39:59,0,25,0,25
2023-05-25T12:51:33,0,25,0,25
2023-05-25T13:03:16,0,25,0,25
2023-05-25T13:14:48,0,25,0,25
2023-05-25T13:26:21,0,25,0,25
2023-05-25T13:37:54,0,25,0,25
2023-05-25T13:49:27,0,25,0,25
2023-05-25T14:01:11,0,25,0,25
2023-05-25T14:12:45,0,25,0,25
2023-05-25T14:24:19,0,25,0,25
2023-05-25T14:35:52,0,25,0,25
2023-05-25T14:47:24,0,25,0,25
2023-05-25T14:59:08,0,25,0,25
2023-05-25T15:10:42,0,25,0,25
2023-05-25T15:22:17,0,25,0,25
2023-05-25T15:33:51,0,25,0,25
2023-05-25T15:45:26,0,25,0,25
2023-05-25T15:57:01,0,25,0,25
2023-05-25T16:08:46,0,25,0,25
2023-05-25T16:20:21,0,25,0,25
2023-05-25T16:31:56,0,25,0,25
2023-05-25T16:43:31,0,25,0,25
2023-05-25T16:55:06,0,25,0,25
2023-05-25T17:06:43,0,25,0,25
2023-05-25T17:18:30,0,25,0,25
2023-05-25T17:30:06,0,25,0,25
2023-05-25T17:41:41,0,25,0,25
2023-05-25T17:53:17,0,25,0,25
2023-05-25T18:04:54,0,25,0,25
2023-05-25T18:16:29,0,25,0,25
2023-05-25T18:28:05,0,25,0,25
2023-05-25T18:39:50,0,25,0,25
2023-05-25T18:51:26,0,25,0,25
2023-05-25T19:03:02,0,25,0,25
2023-05-25T19:14:39,0,25,0,25
2023-05-25T19:26:14,0,25,0,25
2023-05-25T19:37:49,0,25,0,25
2023-05-25T19:49:26,0,25,0,25
2023-05-25T20:01:11,0,25,0,25
2023-05-25T20:12:47,0,25,0,25
2023-05-25T20:24:23,0,25,0,25
2023-05-25T20:35:59,0,25,0,25
2023-05-25T20:47:34,0,25,0,25
2023-05-25T20:59:10,0,25,0,25
2023-05-25T21:10:46,0,25,0,25
2023-05-25T21:22:33,0,25,0,25
2023-05-25T21:34:09,0,25,0,25
2023-05-25T21:45:44,0,25,0,25
2023-05-25T21:57:20,0,25,0,25
2023-05-25T22:08:55,0,25,0,25
2023-05-25T22:20:31,0,25,0,25
2023-05-25T22:32:06,0,25,0,25
2023-05-25T22:43:52,0,25,0,25
2023-05-25T22:55:28,0,25,0,25
2023-05-25T23:07:06,0,25,0,25
2023-05-25T23:18:42,0,25,0,25
2023-05-25T23:30:18,0,25,0,25
2023-05-25T23:41:54,0,25,0,25
2023-05-25T23:53:31,0,25,0,25
2023-05-26T00:05:25,0,25,0,25
2023-05-26T00:17:05,0,25,0,25
2023-05-26T00:28:45,0,25,0,25
2023-05-26T00:40:23,0,25,0,25
