time,enrolled,available,waitlisted,total
2023-05-25T01:19:14,0,25,0,25
2023-05-25T01:30:50,0,25,0,25
2023-05-25T01:42:34,0,25,0,25
2023-05-25T01:54:10,0,25,0,25
2023-05-25T02:05:45,0,25,0,25
2023-05-25T02:17:21,0,25,0,25
2023-05-25T02:28:57,0,25,0,25
2023-05-25T02:40:30,0,25,0,25
2023-05-25T02:52:03,0,25,0,25
2023-05-25T03:03:37,0,25,0,25
2023-05-25T03:15:14,0,25,0,25
2023-05-25T03:27:13,0,25,0,25
2023-05-25T03:38:50,0,25,0,25
2023-05-25T03:50:26,0,25,0,25
2023-05-25T04:02:02,0,25,0,25
2023-05-25T04:21:25,0,25,0,25
2023-05-25T04:33:25,0,25,0,25
2023-05-25T04:45:02,0,25,0,25
2023-05-25T04:56:38,0,25,0,25
2023-05-25T05:08:15,0,25,0,25
2023-05-25T05:19:51,0,25,0,25
2023-05-25T05:31:28,0,25,0,25
2023-05-25T05:43:03,0,25,0,25
2023-05-25T05:54:39,0,25,0,25
2023-05-25T06:06:16,0,25,0,25
2023-05-25T06:17:51,0,25,0,25
2023-05-25T06:29:26,0,25,0,25
2023-05-25T06:41:01,0,25,0,25
2023-05-25T06:52:36,0,25,0,25
2023-05-25T07:04:12,0,25,0,25
2023-05-25T07:15:47,0,25,0,25
2023-05-25T07:27:21,0,25,0,25
2023-05-25T07:38:58,0,25,0,25
2023-05-25T07:50:33,0,25,0,25
2023-05-25T08:02:08,0,25,0,25
2023-05-25T08:13:42,0,25,0,25
2023-05-25T08:25:27,0,25,0,25
2023-05-25T08:37:00,0,25,0,25
2023-05-25T08:48:33,0,25,0,25
2023-05-25T09:00:06,0,25,0,25
2023-05-25T09:11:39,0,25,0,25
2023-05-25T09:23:12,0,25,0,25
2023-05-25T09:34:44,0,25,0,25
2023-05-25T09:46:16,0,25,0,25
2023-05-25T09:57:50,0,25,0,25
2023-05-25T10:09:35,0,25,0,25
2023-05-25T10:21:08,0,25,0,25
2023-05-25T10:32:41,0,25,0,25
2023-05-25T10:44:13,0,25,0,25
2023-05-25T10:55:56,0,25,0,25
2023-05-25T11:07:28,0,25,0,25
2023-05-25T11:19:01,0,25,0,25
2023-05-25T11:30:34,0,25,0,25
2023-05-25T11:42:06,0,25,0,25
2023-05-25T11:53:40,0,25,0,25
2023-05-25T12:05:24,0,25,0,25
2023-05-25T12:16:56,0,25,0,25
2023-05-25T12:28:29,0,25,0,25
2023-05-25T12:40:02,0,25,0,25
2023-05-25T12:51:35,0,25,0,25
2023-05-25T13:03:18,0,25,0,25
2023-05-25T13:14:51,0,25,0,25
2023-05-25T13:26:24,0,25,0,25
2023-05-25T13:37:57,0,25,0,25
2023-05-25T13:49:30,0,25,0,25
2023-05-25T14:01:14,0,25,0,25
2023-05-25T14:12:48,0,25,0,25
2023-05-25T14:24:21,0,25,0,25
2023-05-25T14:35:54,0,25,0,25
2023-05-25T14:47:27,0,25,0,25
2023-05-25T14:59:11,0,25,0,25
2023-05-25T15:10:45,0,25,0,25
2023-05-25T15:22:19,0,25,0,25
2023-05-25T15:33:54,0,25,0,25
2023-05-25T15:45:29,0,25,0,25
2023-05-25T15:57:03,0,25,0,25
2023-05-25T16:08:48,0,25,0,25
2023-05-25T16:20:23,0,25,0,25
2023-05-25T16:31:58,0,25,0,25
2023-05-25T16:43:33,0,25,0,25
2023-05-25T16:55:09,0,25,0,25
2023-05-25T17:06:45,0,25,0,25
2023-05-25T17:18:33,0,25,0,25
2023-05-25T17:30:08,0,25,0,25
2023-05-25T17:41:44,0,25,0,25
2023-05-25T17:53:20,0,25,0,25
2023-05-25T18:04:56,0,25,0,25
2023-05-25T18:16:32,0,25,0,25
2023-05-25T18:28:08,0,25,0,25
2023-05-25T18:39:53,0,25,0,25
2023-05-25T18:51:29,0,25,0,25
2023-05-25T19:03:05,0,25,0,25
2023-05-25T19:14:41,0,25,0,25
2023-05-25T19:26:17,0,25,0,25
2023-05-25T19:37:52,0,25,0,25
2023-05-25T19:49:29,0,25,0,25
2023-05-25T20:01:14,0,25,0,25
