time,enrolled,available,waitlisted,total
2023-05-25T01:19:18,0,25,0,25
2023-05-25T01:30:54,0,25,0,25
2023-05-25T01:42:38,0,25,0,25
2023-05-25T01:54:14,0,25,0,25
2023-05-25T02:05:49,0,25,0,25
2023-05-25T02:17:25,0,25,0,25
2023-05-25T02:29:00,0,25,0,25
2023-05-25T02:40:34,0,25,0,25
2023-05-25T02:52:07,0,25,0,25
2023-05-25T03:03:40,0,25,0,25
2023-05-25T03:15:18,0,25,0,25
2023-05-25T03:27:17,0,25,0,25
2023-05-25T03:38:54,0,25,0,25
2023-05-25T03:50:30,0,25,0,25
2023-05-25T04:02:05,0,25,0,25
2023-05-25T04:21:29,0,25,0,25
2023-05-25T04:33:29,0,25,0,25
2023-05-25T04:45:06,0,25,0,25
2023-05-25T04:56:42,0,25,0,25
2023-05-25T05:08:18,0,25,0,25
2023-05-25T05:19:55,0,25,0,25
2023-05-25T05:31:32,0,25,0,25
2023-05-25T05:43:07,0,25,0,25
2023-05-25T05:54:43,0,25,0,25
2023-05-25T06:06:20,0,25,0,25
2023-05-25T06:17:55,0,25,0,25
2023-05-25T06:29:30,0,25,0,25
2023-05-25T06:41:05,0,25,0,25
2023-05-25T06:52:40,0,25,0,25
2023-05-25T07:04:16,0,25,0,25
2023-05-25T07:15:51,0,25,0,25
2023-05-25T07:27:25,0,25,0,25
2023-05-25T07:39:01,0,25,0,25
2023-05-25T07:50:37,0,25,0,25
2023-05-25T08:02:12,0,25,0,25
2023-05-25T08:13:46,0,25,0,25
2023-05-25T08:25:30,0,25,0,25
2023-05-25T08:37:04,0,25,0,25
2023-05-25T08:48:36,0,25,0,25
2023-05-25T09:00:10,0,25,0,25
2023-05-25T09:11:43,0,25,0,25
2023-05-25T09:23:15,0,25,0,25
2023-05-25T09:34:48,0,25,0,25
2023-05-25T09:46:20,0,25,0,25
2023-05-25T09:57:54,0,25,0,25
2023-05-25T10:09:38,0,25,0,25
2023-05-25T10:21:11,0,25,0,25
2023-05-25T10:32:44,0,25,0,25
2023-05-25T10:44:17,0,25,0,25
2023-05-25T10:56:00,0,25,0,25
2023-05-25T11:07:32,0,25,0,25
2023-05-25T11:19:05,0,25,0,25
2023-05-25T11:30:37,0,25,0,25
2023-05-25T11:42:10,0,25,0,25
2023-05-25T11:53:44,0,25,0,25
2023-05-25T12:05:27,0,25,0,25
2023-05-25T12:17:00,0,25,0,25
2023-05-25T12:28:33,0,25,0,25
2023-05-25T12:40:06,0,25,0,25
2023-05-25T12:51:39,0,25,0,25
2023-05-25T13:03:22,0,25,0,25
2023-05-25T13:14:55,0,25,0,25
2023-05-25T13:26:28,0,25,0,25
2023-05-25T13:38:01,0,25,0,25
2023-05-25T13:49:34,0,25,0,25
