time,enrolled,available,waitlisted,total
2023-05-25T01:19:28,0,20,0,20
2023-05-25T01:31:04,0,20,0,20
2023-05-25T01:42:49,0,20,0,20
2023-05-25T01:54:24,0,20,0,20
2023-05-25T02:05:59,0,20,0,20
2023-05-25T02:17:36,0,20,0,20
2023-05-25T02:29:11,0,20,0,20
2023-05-25T02:40:45,0,20,0,20
2023-05-25T02:52:18,0,20,0,20
2023-05-25T03:03:51,0,20,0,20
2023-05-25T03:15:28,0,20,0,20
2023-05-25T03:27:28,0,20,0,20
2023-05-25T03:39:04,0,20,0,20
2023-05-25T03:50:40,0,20,0,20
2023-05-25T04:02:16,0,20,0,20
2023-05-25T04:21:39,0,20,0,20
2023-05-25T04:33:39,0,20,0,20
2023-05-25T04:45:16,0,20,0,20
2023-05-25T04:56:52,0,20,0,20
2023-05-25T05:08:29,0,20,0,20
2023-05-25T05:20:05,0,20,0,20
2023-05-25T05:31:42,0,20,0,20
2023-05-25T05:43:17,0,20,0,20
2023-05-25T05:54:53,0,20,0,20
2023-05-25T06:06:30,0,20,0,20
2023-05-25T06:18:05,0,20,0,20
2023-05-25T06:29:40,0,20,0,20
2023-05-25T06:41:15,0,20,0,20
2023-05-25T06:52:51,0,20,0,20
2023-05-25T07:04:26,0,20,0,20
2023-05-25T07:16:01,0,20,0,20
2023-05-25T07:27:35,0,20,0,20
2023-05-25T07:39:12,0,20,0,20
2023-05-25T07:50:47,0,20,0,20
2023-05-25T08:02:22,0,20,0,20
2023-05-25T08:13:56,0,20,0,20
2023-05-25T08:25:41,0,20,0,20
2023-05-25T08:37:14,0,20,0,20
2023-05-25T08:48:47,0,20,0,20
2023-05-25T09:00:20,0,20,0,20
2023-05-25T09:11:53,0,20,0,20
2023-05-25T09:23:26,0,20,0,20
2023-05-25T09:34:58,0,20,0,20
2023-05-25T09:46:31,0,20,0,20
2023-05-25T09:58:04,0,20,0,20
2023-05-25T10:09:49,0,20,0,20
2023-05-25T10:21:22,0,20,0,20
2023-05-25T10:32:55,0,20,0,20
2023-05-25T10:44:27,0,20,0,20
2023-05-25T10:56:10,0,20,0,20
2023-05-25T11:07:42,0,20,0,20
2023-05-25T11:19:15,0,20,0,20
2023-05-25T11:30:48,0,20,0,20
2023-05-25T11:42:20,0,20,0,20
2023-05-25T11:53:54,0,20,0,20
2023-05-25T12:05:38,0,20,0,20
2023-05-25T12:17:10,0,20,0,20
2023-05-25T12:28:43,0,20,0,20
2023-05-25T12:40:16,0,20,0,20
2023-05-25T12:51:49,0,20,0,20
2023-05-25T13:03:32,0,20,0,20
2023-05-25T13:15:05,0,20,0,20
2023-05-25T13:26:38,0,20,0,20
2023-05-25T13:38:11,0,20,0,20
2023-05-25T13:49:44,0,20,0,20
2023-05-25T14:01:28,0,20,0,20
2023-05-25T14:13:02,0,20,0,20
2023-05-25T14:24:35,0,20,0,20
2023-05-25T14:36:08,0,20,0,20
2023-05-25T14:47:41,0,20,0,20
2023-05-25T14:59:25,0,20,0,20
2023-05-25T15:10:59,0,20,0,20
2023-05-25T15:22:33,0,20,0,20
2023-05-25T15:34:08,0,20,0,20
2023-05-25T15:45:43,0,20,0,20
2023-05-25T15:57:17,0,20,0,20
2023-05-25T16:09:02,0,20,0,20
2023-05-25T16:20:37,0,20,0,20
2023-05-25T16:32:12,0,20,0,20
2023-05-25T16:43:47,0,20,0,20
2023-05-25T16:55:23,0,20,0,20
2023-05-25T17:06:59,0,20,0,20
2023-05-25T17:18:47,0,20,0,20
2023-05-25T17:30:22,0,20,0,20
2023-05-25T17:41:58,0,20,0,20
2023-05-25T17:53:34,0,20,0,20
2023-05-25T18:05:10,0,20,0,20
2023-05-25T18:16:46,0,20,0,20
2023-05-25T18:28:22,0,20,0,20
2023-05-25T18:40:07,0,20,0,20
2023-05-25T18:51:43,0,20,0,20
2023-05-25T19:03:19,0,20,0,20
2023-05-25T19:14:55,0,20,0,20
2023-05-25T19:26:31,0,20,0,20
2023-05-25T19:38:06,0,20,0,20
2023-05-25T19:49:43,0,20,0,20
2023-05-25T20:01:28,0,20,0,20
2023-05-25T20:13:04,0,20,0,20
2023-05-25T20:24:40,0,20,0,20
2023-05-25T20:36:16,0,20,0,20
2023-05-25T20:47:51,0,20,0,20
2023-05-25T20:59:27,0,20,0,20
2023-05-25T21:11:03,0,20,0,20
2023-05-25T21:22:50,0,20,0,20
2023-05-25T21:34:25,0,20,0,20
2023-05-25T21:46:01,0,20,0,20
2023-05-25T21:57:37,0,20,0,20
2023-05-25T22:09:12,0,20,0,20
2023-05-25T22:20:47,0,20,0,20
2023-05-25T22:32:23,0,20,0,20
2023-05-25T22:44:09,0,20,0,20
2023-05-25T22:55:44,0,20,0,20
2023-05-25T23:07:23,0,20,0,20
2023-05-25T23:18:58,0,20,0,20
2023-05-25T23:30:34,0,20,0,20
2023-05-25T23:42:10,0,20,0,20
2023-05-25T23:53:47,0,20,0,20
2023-05-26T00:05:41,0,20,0,20
2023-05-26T00:17:22,0,20,0,20
2023-05-26T00:29:01,0,20,0,20
2023-05-26T00:40:40,0,20,0,20
2023-05-26T00:52:19,0,20,0,20
2023-05-26T01:03:58,0,20,0,20
2023-05-26T01:15:37,0,20,0,20
2023-05-26T01:27:15,0,20,0,20
2023-05-26T01:38:53,0,20,0,20
2023-05-26T01:50:41,0,20,0,20
2023-05-26T02:02:23,1,19,0,20
2023-05-26T02:14:01,1,19,0,20
2023-05-26T02:25:38,1,19,0,20
2023-05-26T02:37:17,1,19,0,20
2023-05-26T02:49:06,1,19,0,20
2023-05-26T03:00:46,1,19,0,20
2023-05-26T03:12:26,1,19,0,20
2023-05-26T03:24:07,1,19,0,20
2023-05-26T03:35:45,1,19,0,20
2023-05-26T03:47:24,1,19,0,20
2023-05-26T03:59:02,1,19,0,20
2023-05-26T04:10:50,1,19,0,20
2023-05-26T04:32:51,1,19,0,20
2023-05-26T04:44:54,1,19,0,20
2023-05-26T04:56:35,1,19,0,20
2023-05-26T05:08:17,1,19,0,20
2023-05-26T05:19:56,1,19,0,20
2023-05-26T05:31:35,1,19,0,20
2023-05-26T05:43:14,1,19,0,20
2023-05-26T05:54:53,1,19,0,20
2023-05-26T06:06:31,2,18,0,20
2023-05-26T06:18:10,2,18,0,20
2023-05-26T06:29:50,2,18,0,20
2023-05-26T06:41:28,2,18,0,20
2023-05-26T06:53:06,2,18,0,20
2023-05-26T07:04:45,2,18,0,20
