time,enrolled,available,waitlisted,total
2023-05-25T01:19:24,0,100,0,100
2023-05-25T01:31:00,0,100,0,100
2023-05-25T01:42:44,0,100,0,100
2023-05-25T01:54:20,0,100,0,100
2023-05-25T02:05:55,0,100,0,100
2023-05-25T02:17:31,0,100,0,100
2023-05-25T02:29:06,0,100,0,100
2023-05-25T02:40:41,0,100,0,100
2023-05-25T02:52:13,0,100,0,100
2023-05-25T03:03:46,0,100,0,100
2023-05-25T03:15:24,0,100,0,100
2023-05-25T03:27:23,0,100,0,100
2023-05-25T03:39:00,0,100,0,100
2023-05-25T03:50:36,0,100,0,100
2023-05-25T04:02:11,0,100,0,100
2023-05-25T04:21:35,0,100,0,100
2023-05-25T04:33:35,0,100,0,100
2023-05-25T04:45:12,0,100,0,100
2023-05-25T04:56:48,0,100,0,100
2023-05-25T05:08:24,0,100,0,100
2023-05-25T05:20:01,0,100,0,100
2023-05-25T05:31:38,0,100,0,100
2023-05-25T05:43:13,0,100,0,100
2023-05-25T05:54:49,0,100,0,100
2023-05-25T06:06:26,0,100,0,100
2023-05-25T06:18:01,0,100,0,100
2023-05-25T06:29:36,0,100,0,100
2023-05-25T06:41:11,0,100,0,100
2023-05-25T06:52:47,0,100,0,100
2023-05-25T07:04:22,0,100,0,100
2023-05-25T07:15:57,0,100,0,100
2023-05-25T07:27:31,0,100,0,100
2023-05-25T07:39:07,0,100,0,100
2023-05-25T07:50:43,0,100,0,100
2023-05-25T08:02:18,0,100,0,100
2023-05-25T08:13:52,0,100,0,100
2023-05-25T08:25:36,0,100,0,100
2023-05-25T08:37:10,0,100,0,100
2023-05-25T08:48:42,0,100,0,100
2023-05-25T09:00:16,0,100,0,100
2023-05-25T09:11:49,0,100,0,100
2023-05-25T09:23:21,0,100,0,100
2023-05-25T09:34:54,0,100,0,100
2023-05-25T09:46:26,0,100,0,100
2023-05-25T09:58:00,0,100,0,100
2023-05-25T10:09:44,0,100,0,100
2023-05-25T10:21:17,0,100,0,100
2023-05-25T10:32:50,0,100,0,100
2023-05-25T10:44:23,0,100,0,100
2023-05-25T10:56:05,0,100,0,100
2023-05-25T11:07:38,0,100,0,100
2023-05-25T11:19:11,0,100,0,100
2023-05-25T11:30:43,0,100,0,100
2023-05-25T11:42:16,0,100,0,100
2023-05-25T11:53:50,0,100,0,100
2023-05-25T12:05:33,0,100,0,100
2023-05-25T12:17:06,0,100,0,100
2023-05-25T12:28:39,0,100,0,100
2023-05-25T12:40:12,0,100,0,100
2023-05-25T12:51:45,0,100,0,100
2023-05-25T13:03:28,0,100,0,100
2023-05-25T13:15:01,0,100,0,100
2023-05-25T13:26:34,0,100,0,100
2023-05-25T13:38:07,0,100,0,100
2023-05-25T13:49:40,0,100,0,100
2023-05-25T14:01:24,0,100,0,100
2023-05-25T14:12:58,0,100,0,100
2023-05-25T14:24:31,0,100,0,100
2023-05-25T14:36:04,0,100,0,100
2023-05-25T14:47:37,0,100,0,100
2023-05-25T14:59:21,0,100,0,100
2023-05-25T15:10:55,0,100,0,100
2023-05-25T15:22:29,0,100,0,100
2023-05-25T15:34:04,0,100,0,100
2023-05-25T15:45:38,0,100,0,100
2023-05-25T15:57:13,0,100,0,100
2023-05-25T16:08:58,0,100,0,100
2023-05-25T16:20:33,0,100,0,100
2023-05-25T16:32:08,0,100,0,100
2023-05-25T16:43:43,0,100,0,100
2023-05-25T16:55:19,0,100,0,100
2023-05-25T17:06:55,0,100,0,100
2023-05-25T17:18:43,0,100,0,100
2023-05-25T17:30:18,0,100,0,100
2023-05-25T17:41:53,0,100,0,100
2023-05-25T17:53:29,0,100,0,100
2023-05-25T18:05:06,0,100,0,100
2023-05-25T18:16:42,0,100,0,100
2023-05-25T18:28:17,0,100,0,100
2023-05-25T18:40:03,0,100,0,100
2023-05-25T18:51:39,0,100,0,100
2023-05-25T19:03:14,0,100,0,100
2023-05-25T19:14:51,0,100,0,100
2023-05-25T19:26:26,0,100,0,100
2023-05-25T19:38:02,0,100,0,100
2023-05-25T19:49:38,0,100,0,100
2023-05-25T20:01:24,0,100,0,100
2023-05-25T20:13:00,0,100,0,100
2023-05-25T20:24:35,0,100,0,100
2023-05-25T20:36:11,0,100,0,100
2023-05-25T20:47:47,0,100,0,100
2023-05-25T20:59:22,0,100,0,100
2023-05-25T21:10:58,0,100,0,100
2023-05-25T21:22:46,0,100,0,100
2023-05-25T21:34:21,0,100,0,100
2023-05-25T21:45:57,0,100,0,100
2023-05-25T21:57:32,0,100,0,100
2023-05-25T22:09:08,0,100,0,100
2023-05-25T22:20:43,0,100,0,100
2023-05-25T22:32:19,0,100,0,100
2023-05-25T22:44:05,0,100,0,100
2023-05-25T22:55:40,0,100,0,100
2023-05-25T23:07:19,0,100,0,100
2023-05-25T23:18:54,0,100,0,100
2023-05-25T23:30:30,0,100,0,100
2023-05-25T23:42:06,0,100,0,100
2023-05-25T23:53:43,0,100,0,100
2023-05-26T00:05:37,0,100,0,100
2023-05-26T00:17:18,0,100,0,100
2023-05-26T00:28:57,0,100,0,100
2023-05-26T00:40:36,0,100,0,100
2023-05-26T00:52:14,0,100,0,100
2023-05-26T01:03:54,0,100,0,100
2023-05-26T01:15:33,0,100,0,100
2023-05-26T01:27:11,0,100,0,100
2023-05-26T01:38:49,0,100,0,100
2023-05-26T01:50:37,0,100,0,100
2023-05-26T02:02:19,0,100,0,100
2023-05-26T02:13:57,0,100,0,100
2023-05-26T02:25:34,0,100,0,100
2023-05-26T02:37:13,0,100,0,100
2023-05-26T02:49:02,0,100,0,100
2023-05-26T03:00:41,0,100,0,100
2023-05-26T03:12:21,0,100,0,100
2023-05-26T03:24:03,0,100,0,100
2023-05-26T03:35:41,0,100,0,100
2023-05-26T03:47:19,0,100,0,100
2023-05-26T03:58:58,0,100,0,100
2023-05-26T04:10:46,0,100,0,100
2023-05-26T04:32:46,0,100,0,100
2023-05-26T04:44:50,0,100,0,100
2023-05-26T04:56:31,0,100,0,100
2023-05-26T05:08:13,0,100,0,100
2023-05-26T05:19:52,0,100,0,100
2023-05-26T05:31:31,0,100,0,100
2023-05-26T05:43:10,0,100,0,100
2023-05-26T05:54:49,0,100,0,100
2023-05-26T06:06:27,0,100,0,100
2023-05-26T06:18:06,0,100,0,100
2023-05-26T06:29:45,0,100,0,100
2023-05-26T06:41:24,0,100,0,100
2023-05-26T06:53:02,0,100,0,100
2023-05-26T07:04:40,0,100,0,100
2023-05-26T07:16:19,0,100,0,100
2023-05-26T07:27:57,0,100,0,100
2023-05-26T07:39:43,0,100,0,100
2023-05-26T07:51:20,0,100,0,100
2023-05-26T08:02:57,0,100,0,100
2023-05-26T08:14:33,0,100,0,100
2023-05-26T08:26:09,0,100,0,100
2023-05-26T08:37:45,0,100,0,100
2023-05-26T08:49:21,0,100,0,100
2023-05-26T09:00:57,0,100,0,100
2023-05-26T09:12:33,0,100,0,100
2023-05-26T09:24:10,0,100,0,100
2023-05-26T09:35:57,0,100,0,100
2023-05-26T09:47:33,0,100,0,100
2023-05-26T09:59:09,0,100,0,100
2023-05-26T10:10:46,0,100,0,100
2023-05-26T10:22:22,0,100,0,100
2023-05-26T10:33:58,0,100,0,100
2023-05-26T10:45:46,0,100,0,100
2023-05-26T10:57:22,0,100,0,100
2023-05-26T11:08:59,0,100,0,100
2023-05-26T11:20:36,0,100,0,100
2023-05-26T11:32:12,0,100,0,100
2023-05-26T11:43:58,0,100,0,100
