time,enrolled,available,waitlisted,total
2023-05-25T01:19:33,0,195,0,195
2023-05-25T01:31:09,0,195,0,195
2023-05-25T01:42:53,0,195,0,195
2023-05-25T01:54:29,0,195,0,195
2023-05-25T02:06:04,0,195,0,195
2023-05-25T02:17:40,0,195,0,195
2023-05-25T02:29:15,0,195,0,195
2023-05-25T02:40:49,0,195,0,195
2023-05-25T02:52:22,0,195,0,195
2023-05-25T03:03:55,0,195,0,195
2023-05-25T03:15:33,0,195,0,195
2023-05-25T03:27:32,0,195,0,195
2023-05-25T03:39:09,0,195,0,195
2023-05-25T03:50:45,0,195,0,195
2023-05-25T04:02:20,0,195,0,195
2023-05-25T04:21:44,0,195,0,195
2023-05-25T04:33:44,0,195,0,195
2023-05-25T04:45:21,0,195,0,195
2023-05-25T04:56:56,0,195,0,195
2023-05-25T05:08:33,0,195,0,195
2023-05-25T05:20:10,0,195,0,195
2023-05-25T05:31:47,0,195,0,195
2023-05-25T05:43:22,0,195,0,195
2023-05-25T05:54:58,0,195,0,195
2023-05-25T06:06:35,0,195,0,195
2023-05-25T06:18:10,0,195,0,195
2023-05-25T06:29:45,0,195,0,195
2023-05-25T06:41:20,0,195,0,195
2023-05-25T06:52:55,0,195,0,195
2023-05-25T07:04:31,0,195,0,195
2023-05-25T07:16:06,0,195,0,195
2023-05-25T07:27:40,0,195,0,195
2023-05-25T07:39:16,0,195,0,195
2023-05-25T07:50:52,0,195,0,195
2023-05-25T08:02:27,0,195,0,195
2023-05-25T08:14:01,0,195,0,195
2023-05-25T08:25:45,0,195,0,195
2023-05-25T08:37:19,0,195,0,195
2023-05-25T08:48:51,0,195,0,195
2023-05-25T09:00:25,0,195,0,195
2023-05-25T09:11:58,0,195,0,195
2023-05-25T09:23:30,0,195,0,195
2023-05-25T09:35:03,0,195,0,195
2023-05-25T09:46:35,0,195,0,195
2023-05-25T09:58:09,0,195,0,195
2023-05-25T10:09:53,0,195,0,195
2023-05-25T10:21:26,0,195,0,195
2023-05-25T10:32:59,0,195,0,195
2023-05-25T10:44:32,0,195,0,195
2023-05-25T10:56:14,0,195,0,195
2023-05-25T11:07:47,0,195,0,195
2023-05-25T11:19:20,0,195,0,195
2023-05-25T11:30:52,0,195,0,195
2023-05-25T11:42:25,0,195,0,195
2023-05-25T11:53:59,0,195,0,195
2023-05-25T12:05:42,0,195,0,195
2023-05-25T12:17:15,0,195,0,195
2023-05-25T12:28:48,0,195,0,195
2023-05-25T12:40:21,0,195,0,195
2023-05-25T12:51:54,0,195,0,195
2023-05-25T13:03:37,0,195,0,195
2023-05-25T13:15:10,0,195,0,195
2023-05-25T13:26:43,0,195,0,195
2023-05-25T13:38:16,0,195,0,195
2023-05-25T13:49:49,0,195,0,195
2023-05-25T14:01:33,0,195,0,195
2023-05-25T14:13:07,0,195,0,195
2023-05-25T14:24:40,0,195,0,195
2023-05-25T14:36:13,0,195,0,195
2023-05-25T14:47:46,0,195,0,195
2023-05-25T14:59:30,0,195,0,195
2023-05-25T15:11:04,0,195,0,195
2023-05-25T15:22:38,0,195,0,195
2023-05-25T15:34:13,0,195,0,195
2023-05-25T15:45:47,0,195,0,195
2023-05-25T15:57:22,0,195,0,195
2023-05-25T16:09:07,0,195,0,195
2023-05-25T16:20:42,0,195,0,195
2023-05-25T16:32:17,0,195,0,195
2023-05-25T16:43:52,0,195,0,195
2023-05-25T16:55:27,0,195,0,195
2023-05-25T17:07:04,0,195,0,195
2023-05-25T17:18:52,0,195,0,195
2023-05-25T17:30:27,0,195,0,195
2023-05-25T17:42:02,0,195,0,195
2023-05-25T17:53:38,0,195,0,195
2023-05-25T18:05:15,0,195,0,195
2023-05-25T18:16:51,0,195,0,195
2023-05-25T18:28:26,0,195,0,195
2023-05-25T18:40:12,0,195,0,195
2023-05-25T18:51:48,0,195,0,195
2023-05-25T19:03:23,0,195,0,195
2023-05-25T19:15:00,0,195,0,195
2023-05-25T19:26:35,0,195,0,195
2023-05-25T19:38:11,0,195,0,195
2023-05-25T19:49:47,0,195,0,195
2023-05-25T20:01:33,0,195,0,195
2023-05-25T20:13:09,0,195,0,195
2023-05-25T20:24:44,0,195,0,195
2023-05-25T20:36:20,0,195,0,195
2023-05-25T20:47:56,0,195,0,195
2023-05-25T20:59:31,0,195,0,195
2023-05-25T21:11:07,0,195,0,195
2023-05-25T21:22:54,0,195,0,195
2023-05-25T21:34:30,0,195,0,195
2023-05-25T21:46:06,0,195,0,195
2023-05-25T21:57:41,0,195,0,195
2023-05-25T22:09:17,0,195,0,195
2023-05-25T22:20:52,0,195,0,195
2023-05-25T22:32:28,0,195,0,195
2023-05-25T22:44:14,0,195,0,195
2023-05-25T22:55:49,0,195,0,195
2023-05-25T23:07:28,0,195,0,195
2023-05-25T23:19:03,0,195,0,195
2023-05-25T23:30:39,0,195,0,195
2023-05-25T23:42:15,0,195,0,195
2023-05-25T23:53:52,0,195,0,195
2023-05-26T00:05:46,0,195,0,195
2023-05-26T00:17:27,0,195,0,195
2023-05-26T00:29:06,0,195,0,195
2023-05-26T00:40:45,0,195,0,195
2023-05-26T00:52:23,0,195,0,195
2023-05-26T01:04:03,0,195,0,195
2023-05-26T01:15:42,0,195,0,195
2023-05-26T01:27:20,0,195,0,195
2023-05-26T01:38:58,0,195,0,195
2023-05-26T01:50:46,0,195,0,195
2023-05-26T02:02:28,0,195,0,195
2023-05-26T02:14:06,0,195,0,195
2023-05-26T02:25:43,0,195,0,195
2023-05-26T02:37:22,0,195,0,195
2023-05-26T02:49:11,0,195,0,195
2023-05-26T03:00:50,0,195,0,195
2023-05-26T03:12:30,0,195,0,195
2023-05-26T03:24:12,0,195,0,195
2023-05-26T03:35:50,0,195,0,195
2023-05-26T03:47:28,0,195,0,195
2023-05-26T03:59:07,0,195,0,195
2023-05-26T04:10:55,0,195,0,195
2023-05-26T04:32:55,0,195,0,195
2023-05-26T04:44:59,0,195,0,195
2023-05-26T04:56:39,0,195,0,195
2023-05-26T05:08:22,0,195,0,195
2023-05-26T05:20:01,0,195,0,195
2023-05-26T05:31:40,0,195,0,195
2023-05-26T05:43:18,0,195,0,195
2023-05-26T05:54:58,0,195,0,195
2023-05-26T06:06:36,0,195,0,195
2023-05-26T06:18:15,0,195,0,195
2023-05-26T06:29:54,0,195,0,195
2023-05-26T06:41:33,0,195,0,195
2023-05-26T06:53:11,0,195,0,195
2023-05-26T07:04:49,0,195,0,195
2023-05-26T07:16:28,0,195,0,195
2023-05-26T07:28:06,0,195,0,195
2023-05-26T07:39:52,0,195,0,195
2023-05-26T07:51:29,0,195,0,195
2023-05-26T08:03:06,0,195,0,195
2023-05-26T08:14:42,0,195,0,195
2023-05-26T08:26:18,1,194,0,195
2023-05-26T08:37:54,1,194,0,195
2023-05-26T08:49:30,1,194,0,195
2023-05-26T09:01:06,1,194,0,195
2023-05-26T09:12:42,1,194,0,195
2023-05-26T09:24:19,1,194,0,195
2023-05-26T09:36:06,1,194,0,195
2023-05-26T09:47:42,1,194,0,195
2023-05-26T09:59:18,2,193,0,195
2023-05-26T10:10:55,3,192,0,195
2023-05-26T10:22:31,5,190,0,195
2023-05-26T10:34:07,5,190,0,195
2023-05-26T10:45:55,5,190,0,195
2023-05-26T10:57:31,5,190,0,195
2023-05-26T11:09:08,5,190,0,195
2023-05-26T11:20:44,5,190,0,195
2023-05-26T11:32:21,5,190,0,195
2023-05-26T11:44:07,5,190,0,195
2023-05-26T11:55:43,5,190,0,195
2023-05-26T12:07:20,6,189,0,195
2023-05-26T12:18:55,6,189,0,195
2023-05-26T12:30:32,8,187,0,195
2023-05-26T12:42:19,8,187,0,195
2023-05-26T12:53:55,8,187,0,195
2023-05-26T13:05:31,8,187,0,195
2023-05-26T13:17:06,8,187,0,195
2023-05-26T13:28:52,8,187,0,195
2023-05-26T13:40:29,8,187,0,195
2023-05-26T13:52:04,8,187,0,195
2023-05-26T14:03:40,8,187,0,195
2023-05-26T14:15:16,8,187,0,195
2023-05-26T14:27:03,8,187,0,195
2023-05-26T14:38:39,8,187,0,195
2023-05-26T14:50:16,8,187,0,195
2023-05-26T15:01:52,7,188,0,195
2023-05-26T15:13:30,7,188,0,195
2023-05-26T15:25:16,7,188,0,195
2023-05-26T15:36:52,7,188,0,195
2023-05-26T15:48:27,7,188,0,195
2023-05-26T16:00:04,7,188,0,195
2023-05-26T16:11:40,7,188,0,195
2023-05-26T16:23:15,7,188,0,195
2023-05-26T16:35:01,7,188,0,195
2023-05-26T16:46:37,7,188,0,195
2023-05-26T16:58:12,8,187,0,195
2023-05-26T17:09:49,8,187,0,195
2023-05-26T17:21:25,9,186,0,195
2023-05-26T17:33:01,10,185,0,195
2023-05-26T17:44:46,10,185,0,195
2023-05-26T17:56:22,12,183,0,195
2023-05-26T18:07:58,12,183,0,195
2023-05-26T18:19:34,12,183,0,195
2023-05-26T18:31:09,12,183,0,195
2023-05-26T18:42:45,12,183,0,195
2023-05-26T18:54:31,12,183,0,195
2023-05-26T19:06:07,12,183,0,195
2023-05-26T19:17:43,13,182,0,195
2023-05-26T19:29:20,13,182,0,195
2023-05-26T19:40:55,13,182,0,195
2023-05-26T19:52:30,13,182,0,195
2023-05-26T20:04:06,13,182,0,195
2023-05-26T20:15:51,13,182,0,195
2023-05-26T20:27:28,13,182,0,195
2023-05-26T20:39:03,14,181,0,195
2023-05-26T20:50:38,15,180,0,195
2023-05-26T21:02:14,16,179,0,195
2023-05-26T21:13:51,17,178,0,195
2023-05-26T21:25:27,15,180,0,195
2023-05-26T21:37:03,16,179,0,195
2023-05-26T21:48:49,17,178,0,195
2023-05-26T22:00:25,17,178,0,195
2023-05-26T22:12:01,17,178,0,195
2023-05-26T22:23:37,17,178,0,195
2023-05-26T22:35:13,17,178,0,195
2023-05-26T22:46:49,17,178,0,195
2023-05-26T22:58:24,17,178,0,195
2023-05-26T23:10:14,18,177,0,195
2023-05-26T23:21:50,18,177,0,195
2023-05-26T23:33:26,18,177,0,195
2023-05-26T23:45:03,18,177,0,195
2023-05-26T23:56:39,18,177,0,195
