time,enrolled,available,waitlisted,total
2023-05-25T01:19:41,0,55,0,55
2023-05-25T01:31:16,0,55,0,55
2023-05-25T01:43:01,0,55,0,55
2023-05-25T01:54:36,0,55,0,55
2023-05-25T02:06:12,0,55,0,55
2023-05-25T02:17:48,0,55,0,55
2023-05-25T02:29:23,0,55,0,55
2023-05-25T02:40:57,0,55,0,55
2023-05-25T02:52:30,0,55,0,55
2023-05-25T03:04:03,0,55,0,55
2023-05-25T03:15:41,0,55,0,55
2023-05-25T03:27:40,0,55,0,55
2023-05-25T03:39:17,0,55,0,55
2023-05-25T03:50:52,0,55,0,55
2023-05-25T04:02:28,0,55,0,55
2023-05-25T04:22:03,0,55,0,55
2023-05-25T04:33:52,0,55,0,55
2023-05-25T04:45:28,0,55,0,55
2023-05-25T04:57:04,0,55,0,55
2023-05-25T05:08:41,0,55,0,55
2023-05-25T05:20:17,0,55,0,55
2023-05-25T05:31:54,0,55,0,55
2023-05-25T05:43:30,0,55,0,55
2023-05-25T05:55:06,0,55,0,55
2023-05-25T06:06:43,0,55,0,55
2023-05-25T06:18:18,0,55,0,55
2023-05-25T06:29:53,0,55,0,55
2023-05-25T06:41:28,0,55,0,55
2023-05-25T06:53:03,0,55,0,55
2023-05-25T07:04:39,0,55,0,55
2023-05-25T07:16:14,0,55,0,55
2023-05-25T07:27:48,0,55,0,55
2023-05-25T07:39:24,0,55,0,55
2023-05-25T07:50:59,0,55,0,55
2023-05-25T08:02:35,0,55,0,55
2023-05-25T08:14:09,0,55,0,55
2023-05-25T08:25:53,0,55,0,55
2023-05-25T08:37:27,0,55,0,55
2023-05-25T08:48:59,0,55,0,55
2023-05-25T09:00:32,0,55,0,55
2023-05-25T09:12:05,0,55,0,55
2023-05-25T09:23:38,0,55,0,55
2023-05-25T09:35:10,0,55,0,55
2023-05-25T09:46:43,0,55,0,55
2023-05-25T09:58:17,0,55,0,55
2023-05-25T10:10:01,0,55,0,55
2023-05-25T10:21:34,0,55,0,55
2023-05-25T10:33:07,0,55,0,55
2023-05-25T10:44:39,0,55,0,55
2023-05-25T10:56:22,0,55,0,55
2023-05-25T11:07:54,0,55,0,55
2023-05-25T11:19:27,0,55,0,55
2023-05-25T11:31:00,0,55,0,55
2023-05-25T11:42:33,0,55,0,55
2023-05-25T11:54:06,0,55,0,55
2023-05-25T12:05:50,0,55,0,55
2023-05-25T12:17:23,0,55,0,55
2023-05-25T12:28:56,0,55,0,55
2023-05-25T12:40:29,0,55,0,55
2023-05-25T12:52:01,0,55,0,55
2023-05-25T13:03:45,0,55,0,55
2023-05-25T13:15:17,0,55,0,55
2023-05-25T13:26:50,0,55,0,55
2023-05-25T13:38:23,0,55,0,55
2023-05-25T13:49:56,0,55,0,55
2023-05-25T14:01:40,0,55,0,55
2023-05-25T14:13:14,0,55,0,55
2023-05-25T14:24:48,0,55,0,55
2023-05-25T14:36:21,0,55,0,55
2023-05-25T14:47:53,0,55,0,55
2023-05-25T14:59:37,0,55,0,55
2023-05-25T15:11:11,0,55,0,55
2023-05-25T15:22:46,0,55,0,55
2023-05-25T15:34:20,0,55,0,55
2023-05-25T15:45:55,0,55,0,55
2023-05-25T15:57:30,0,55,0,55
2023-05-25T16:09:15,0,55,0,55
2023-05-25T16:20:50,0,55,0,55
2023-05-25T16:32:25,0,55,0,55
2023-05-25T16:44:00,0,55,0,55
2023-05-25T16:55:35,0,55,0,55
2023-05-25T17:07:12,0,55,0,55
2023-05-25T17:18:59,0,55,0,55
2023-05-25T17:30:35,0,55,0,55
2023-05-25T17:42:10,0,55,0,55
2023-05-25T17:53:46,0,55,0,55
2023-05-25T18:05:23,0,55,0,55
2023-05-25T18:16:59,0,55,0,55
2023-05-25T18:28:34,0,55,0,55
2023-05-25T18:40:19,0,55,0,55
2023-05-25T18:51:55,0,55,0,55
2023-05-25T19:03:31,0,55,0,55
2023-05-25T19:15:07,0,55,0,55
2023-05-25T19:26:43,0,55,0,55
2023-05-25T19:38:19,0,55,0,55
2023-05-25T19:49:55,0,55,0,55
2023-05-25T20:01:40,0,55,0,55
2023-05-25T20:13:16,0,55,0,55
2023-05-25T20:24:52,0,55,0,55
2023-05-25T20:36:28,0,55,0,55
2023-05-25T20:48:03,0,55,0,55
2023-05-25T20:59:39,0,55,0,55
