time,enrolled,available,waitlisted,total
2023-05-25T01:19:47,0,110,0,110
2023-05-25T01:31:23,0,110,0,110
2023-05-25T01:43:08,0,110,0,110
2023-05-25T01:54:43,0,110,0,110
2023-05-25T02:06:18,0,110,0,110
2023-05-25T02:17:55,0,110,0,110
2023-05-25T02:29:30,0,110,0,110
2023-05-25T02:41:04,0,110,0,110
2023-05-25T02:52:37,0,110,0,110
2023-05-25T03:04:10,0,110,0,110
2023-05-25T03:15:48,0,110,0,110
2023-05-25T03:27:47,0,110,0,110
2023-05-25T03:39:24,0,110,0,110
2023-05-25T03:50:59,0,110,0,110
2023-05-25T04:02:35,0,110,0,110
2023-05-25T04:22:10,0,110,0,110
2023-05-25T04:33:59,0,110,0,110
2023-05-25T04:45:35,0,110,0,110
2023-05-25T04:57:11,0,110,0,110
2023-05-25T05:08:48,0,110,0,110
2023-05-25T05:20:24,0,110,0,110
2023-05-25T05:32:01,0,110,0,110
2023-05-25T05:43:37,0,110,0,110
2023-05-25T05:55:13,0,110,0,110
2023-05-25T06:06:49,0,110,0,110
2023-05-25T06:18:25,0,110,0,110
2023-05-25T06:30:00,0,110,0,110
2023-05-25T06:41:34,0,110,0,110
2023-05-25T06:53:10,0,110,0,110
2023-05-25T07:04:46,0,110,0,110
2023-05-25T07:16:20,0,110,0,110
2023-05-25T07:27:54,0,110,0,110
2023-05-25T07:39:31,0,110,0,110
2023-05-25T07:51:06,0,110,0,110
2023-05-25T08:02:42,0,110,0,110
2023-05-25T08:14:16,0,110,0,110
2023-05-25T08:26:00,0,110,0,110
2023-05-25T08:37:33,0,110,0,110
2023-05-25T08:49:06,0,110,0,110
2023-05-25T09:00:39,0,110,0,110
2023-05-25T09:12:12,0,110,0,110
2023-05-25T09:23:45,0,110,0,110
2023-05-25T09:35:17,0,110,0,110
2023-05-25T09:46:50,0,110,0,110
2023-05-25T09:58:24,0,110,0,110
2023-05-25T10:10:08,0,110,0,110
2023-05-25T10:21:41,0,110,0,110
2023-05-25T10:33:14,0,110,0,110
2023-05-25T10:44:46,0,110,0,110
2023-05-25T10:56:29,0,110,0,110
2023-05-25T11:08:01,0,110,0,110
2023-05-25T11:19:34,0,110,0,110
2023-05-25T11:31:07,0,110,0,110
2023-05-25T11:42:40,0,110,0,110
2023-05-25T11:54:13,0,110,0,110
2023-05-25T12:05:57,0,110,0,110
2023-05-25T12:17:30,0,110,0,110
2023-05-25T12:29:03,0,110,0,110
2023-05-25T12:40:35,0,110,0,110
2023-05-25T12:52:08,0,110,0,110
2023-05-25T13:03:51,0,110,0,110
2023-05-25T13:15:24,0,110,0,110
2023-05-25T13:26:57,0,110,0,110
2023-05-25T13:38:30,0,110,0,110
2023-05-25T13:50:03,0,110,0,110
2023-05-25T14:01:47,0,110,0,110
2023-05-25T14:13:21,0,110,0,110
2023-05-25T14:24:54,0,110,0,110
2023-05-25T14:36:27,0,110,0,110
2023-05-25T14:48:00,0,110,0,110
2023-05-25T14:59:44,0,110,0,110
2023-05-25T15:11:18,0,110,0,110
2023-05-25T15:22:53,0,110,0,110
2023-05-25T15:34:27,0,110,0,110
2023-05-25T15:46:02,0,110,0,110
2023-05-25T15:57:37,0,110,0,110
2023-05-25T16:09:21,0,110,0,110
2023-05-25T16:20:56,0,110,0,110
2023-05-25T16:32:32,0,110,0,110
2023-05-25T16:44:07,0,110,0,110
2023-05-25T16:55:42,0,110,0,110
2023-05-25T17:07:19,0,110,0,110
2023-05-25T17:19:06,0,110,0,110
2023-05-25T17:30:42,0,110,0,110
2023-05-25T17:42:17,0,110,0,110
2023-05-25T17:53:53,0,110,0,110
2023-05-25T18:05:30,0,110,0,110
2023-05-25T18:17:05,0,110,0,110
2023-05-25T18:28:41,0,110,0,110
2023-05-25T18:40:26,0,110,0,110
2023-05-25T18:52:02,0,110,0,110
2023-05-25T19:03:38,0,110,0,110
2023-05-25T19:15:14,0,110,0,110
2023-05-25T19:26:50,0,110,0,110
2023-05-25T19:38:25,0,110,0,110
2023-05-25T19:50:02,0,110,0,110
2023-05-25T20:01:47,0,110,0,110
2023-05-25T20:13:23,0,110,0,110
2023-05-25T20:24:59,0,110,0,110
2023-05-25T20:36:35,0,110,0,110
2023-05-25T20:48:10,0,110,0,110
2023-05-25T20:59:46,0,110,0,110
2023-05-25T21:11:22,0,110,0,110
2023-05-25T21:23:09,0,110,0,110
2023-05-25T21:34:45,0,110,0,110
2023-05-25T21:46:20,0,110,0,110
2023-05-25T21:57:56,0,110,0,110
2023-05-25T22:09:31,0,110,0,110
2023-05-25T22:21:06,0,110,0,110
2023-05-25T22:32:42,0,110,0,110
2023-05-25T22:44:28,0,110,0,110
2023-05-25T22:56:04,0,110,0,110
2023-05-25T23:07:42,0,110,0,110
2023-05-25T23:19:17,0,110,0,110
2023-05-25T23:30:53,0,110,0,110
2023-05-25T23:42:29,0,110,0,110
2023-05-25T23:54:06,0,110,0,110
2023-05-26T00:06:01,17,93,0,110
2023-05-26T00:17:41,20,90,0,110
2023-05-26T00:29:21,22,88,0,110
2023-05-26T00:40:59,23,87,0,110
2023-05-26T00:52:38,26,84,0,110
2023-05-26T01:04:18,28,82,0,110
2023-05-26T01:15:56,29,81,0,110
2023-05-26T01:27:34,29,81,0,110
2023-05-26T01:39:12,29,81,0,110
2023-05-26T01:51:00,29,81,0,110
2023-05-26T02:02:42,29,81,0,110
2023-05-26T02:14:20,29,81,0,110
2023-05-26T02:25:57,30,80,0,110
2023-05-26T02:37:36,30,80,0,110
2023-05-26T02:49:25,31,79,0,110
2023-05-26T03:01:05,31,79,0,110
2023-05-26T03:12:45,31,79,0,110
2023-05-26T03:24:26,31,79,0,110
2023-05-26T03:36:04,33,77,0,110
2023-05-26T03:47:43,33,77,0,110
2023-05-26T03:59:21,33,77,0,110
2023-05-26T04:11:10,33,77,0,110
2023-05-26T04:33:10,33,77,0,110
2023-05-26T04:45:14,33,77,0,110
2023-05-26T04:56:54,33,77,0,110
2023-05-26T05:08:36,33,77,0,110
2023-05-26T05:20:15,33,77,0,110
2023-05-26T05:31:54,33,77,0,110
2023-05-26T05:43:33,33,77,0,110
2023-05-26T05:55:12,33,77,0,110
2023-05-26T06:06:50,33,77,0,110
2023-05-26T06:18:30,33,77,0,110
2023-05-26T06:30:09,33,77,0,110
2023-05-26T06:41:47,33,77,0,110
2023-05-26T06:53:26,33,77,0,110
2023-05-26T07:05:04,33,77,0,110
2023-05-26T07:16:43,33,77,0,110
2023-05-26T07:28:21,34,76,0,110
2023-05-26T07:40:06,36,74,0,110
2023-05-26T07:51:44,38,72,0,110
2023-05-26T08:03:20,39,71,0,110
2023-05-26T08:14:56,39,71,0,110
2023-05-26T08:26:32,40,70,0,110
2023-05-26T08:38:08,40,70,0,110
2023-05-26T08:49:45,41,69,0,110
2023-05-26T09:01:20,41,69,0,110
2023-05-26T09:12:57,41,69,0,110
2023-05-26T09:24:33,41,69,0,110
2023-05-26T09:36:20,41,69,0,110
2023-05-26T09:47:57,41,69,0,110
2023-05-26T09:59:32,41,69,0,110
2023-05-26T10:11:09,41,69,0,110
2023-05-26T10:22:46,42,68,0,110
2023-05-26T10:34:22,42,68,0,110
2023-05-26T10:46:10,42,68,0,110
2023-05-26T10:57:46,42,68,0,110
2023-05-26T11:09:22,42,68,0,110
2023-05-26T11:20:59,42,68,0,110
2023-05-26T11:32:35,42,68,0,110
2023-05-26T11:44:22,43,67,0,110
2023-05-26T11:55:58,43,67,0,110
2023-05-26T12:07:34,43,67,0,110
2023-05-26T12:19:10,43,67,0,110
2023-05-26T12:30:46,43,67,0,110
2023-05-26T12:42:34,43,67,0,110
2023-05-26T12:54:09,43,67,0,110
2023-05-26T13:05:45,43,67,0,110
2023-05-26T13:17:21,43,67,0,110
2023-05-26T13:29:07,43,67,0,110
2023-05-26T13:40:43,43,67,0,110
2023-05-26T13:52:19,43,67,0,110
2023-05-26T14:03:55,43,67,0,110
2023-05-26T14:15:31,43,67,0,110
2023-05-26T14:27:18,43,67,0,110
2023-05-26T14:38:54,43,67,0,110
2023-05-26T14:50:30,43,67,0,110
2023-05-26T15:02:06,43,67,0,110
2023-05-26T15:13:44,44,66,0,110
2023-05-26T15:25:31,44,66,0,110
2023-05-26T15:37:06,44,66,0,110
2023-05-26T15:48:42,44,66,0,110
2023-05-26T16:00:18,45,65,0,110
2023-05-26T16:11:54,45,65,0,110
2023-05-26T16:23:30,45,65,0,110
2023-05-26T16:35:16,45,65,0,110
2023-05-26T16:46:51,45,65,0,110
2023-05-26T16:58:27,45,65,0,110
2023-05-26T17:10:03,45,65,0,110
2023-05-26T17:21:40,45,65,0,110
2023-05-26T17:33:15,45,65,0,110
2023-05-26T17:45:01,45,65,0,110
2023-05-26T17:56:36,45,65,0,110
2023-05-26T18:08:12,45,65,0,110
2023-05-26T18:19:48,45,65,0,110
2023-05-26T18:31:24,45,65,0,110
2023-05-26T18:42:59,45,65,0,110
2023-05-26T18:54:45,45,65,0,110
2023-05-26T19:06:21,45,65,0,110
2023-05-26T19:17:58,45,65,0,110
2023-05-26T19:29:34,45,65,0,110
2023-05-26T19:41:09,45,65,0,110
2023-05-26T19:52:45,45,65,0,110
2023-05-26T20:04:21,45,65,0,110
2023-05-26T20:16:06,46,64,0,110
2023-05-26T20:27:42,46,64,0,110
2023-05-26T20:39:17,46,64,0,110
2023-05-26T20:50:53,46,64,0,110
2023-05-26T21:02:28,46,64,0,110
2023-05-26T21:14:05,46,64,0,110
2023-05-26T21:25:41,46,64,0,110
2023-05-26T21:37:17,46,64,0,110
2023-05-26T21:49:03,46,64,0,110
2023-05-26T22:00:40,46,64,0,110
2023-05-26T22:12:16,46,64,0,110
2023-05-26T22:23:52,46,64,0,110
2023-05-26T22:35:28,46,64,0,110
2023-05-26T22:47:04,46,64,0,110
2023-05-26T22:58:39,46,64,0,110
2023-05-26T23:10:29,46,64,0,110
2023-05-26T23:22:04,46,64,0,110
2023-05-26T23:33:41,46,64,0,110
2023-05-26T23:45:18,46,64,0,110
2023-05-26T23:56:54,46,64,0,110
2023-05-27T00:08:31,46,64,0,110
2023-05-27T00:20:12,46,64,0,110
2023-05-27T00:31:50,46,64,0,110
2023-05-27T00:43:29,46,64,0,110
2023-05-27T00:55:08,46,64,0,110
2023-05-27T01:06:47,46,64,0,110
2023-05-27T01:18:36,46,64,0,110
2023-05-27T01:30:15,46,64,0,110
2023-05-27T01:41:54,46,64,0,110
2023-05-27T01:53:33,46,64,0,110
2023-05-27T02:05:11,46,64,0,110
2023-05-27T02:16:49,46,64,0,110
2023-05-27T02:28:27,46,64,0,110
2023-05-27T02:40:03,46,64,0,110
2023-05-27T02:51:39,46,64,0,110
2023-05-27T03:03:15,46,64,0,110
2023-05-27T03:14:54,46,64,0,110
2023-05-27T03:26:31,46,64,0,110
2023-05-27T03:38:08,46,64,0,110
2023-05-27T03:49:46,46,64,0,110
2023-05-27T04:01:25,46,64,0,110
2023-05-27T04:13:18,46,64,0,110
2023-05-27T04:34:38,46,64,0,110
2023-05-27T04:47:50,46,64,0,110
2023-05-27T04:59:30,46,64,0,110
2023-05-27T05:11:09,47,63,0,110
2023-05-27T05:22:48,47,63,0,110
2023-05-27T05:34:27,47,63,0,110
2023-05-27T05:46:07,47,63,0,110
2023-05-27T05:57:45,47,63,0,110
2023-05-27T06:09:23,47,63,0,110
2023-05-27T06:21:04,47,63,0,110
2023-05-27T06:32:43,47,63,0,110
2023-05-27T06:44:22,47,63,0,110
2023-05-27T06:56:00,48,62,0,110
2023-05-27T07:07:38,48,62,0,110
2023-05-27T07:19:16,48,62,0,110
2023-05-27T07:30:54,48,62,0,110
2023-05-27T07:42:31,48,62,0,110
2023-05-27T07:54:22,48,62,0,110
2023-05-27T08:06:00,48,62,0,110
2023-05-27T08:17:37,48,62,0,110
2023-05-27T08:29:15,48,62,0,110
2023-05-27T08:40:54,48,62,0,110
2023-05-27T08:52:32,49,61,0,110
2023-05-27T09:04:10,49,61,0,110
2023-05-27T09:15:47,49,61,0,110
2023-05-27T09:27:26,49,61,0,110
2023-05-27T09:39:04,49,61,0,110
2023-05-27T09:50:43,49,61,0,110
2023-05-27T10:02:19,49,61,0,110
2023-05-27T10:14:14,50,60,0,110
2023-05-27T10:25:50,50,60,0,110
2023-05-27T10:37:28,50,60,0,110
2023-05-27T10:49:05,50,60,0,110
2023-05-27T11:00:42,50,60,0,110
2023-05-27T11:12:17,50,60,0,110
2023-05-27T11:23:52,51,59,0,110
2023-05-27T11:35:27,51,59,0,110
2023-05-27T11:47:02,51,59,0,110
2023-05-27T11:58:37,51,59,0,110
2023-05-27T12:10:22,51,59,0,110
2023-05-27T12:21:57,52,58,0,110
2023-05-27T12:33:32,52,58,0,110
2023-05-27T12:45:08,52,58,0,110
2023-05-27T12:56:43,52,58,0,110
2023-05-27T13:08:18,52,58,0,110
2023-05-27T13:19:53,52,58,0,110
2023-05-27T13:31:49,52,58,0,110
2023-05-27T13:43:23,52,58,0,110
2023-05-27T13:54:59,52,58,0,110
2023-05-27T14:06:35,52,58,0,110
2023-05-27T14:18:10,52,58,0,110
2023-05-27T14:29:46,52,58,0,110
2023-05-27T14:41:21,52,58,0,110
2023-05-27T14:52:55,52,58,0,110
2023-05-27T15:04:42,52,58,0,110
2023-05-27T15:16:17,52,58,0,110
2023-05-27T15:27:52,52,58,0,110
2023-05-27T15:39:27,52,58,0,110
2023-05-27T15:51:02,52,58,0,110
2023-05-27T16:02:37,52,58,0,110
2023-05-27T16:14:12,52,58,0,110
2023-05-27T16:25:47,52,58,0,110
2023-05-27T16:37:32,53,57,0,110
2023-05-27T16:49:07,53,57,0,110
2023-05-27T17:00:42,53,57,0,110
2023-05-27T17:12:21,53,57,0,110
2023-05-27T17:23:56,53,57,0,110
2023-05-27T17:35:33,53,57,0,110
2023-05-27T17:47:17,53,57,0,110
2023-05-27T17:58:53,53,57,0,110
2023-05-27T18:10:28,53,57,0,110
2023-05-27T18:22:04,53,57,0,110
2023-05-27T18:33:39,53,57,0,110
2023-05-27T18:45:14,53,57,0,110
2023-05-27T18:56:49,53,57,0,110
2023-05-27T19:08:45,53,57,0,110
2023-05-27T19:20:21,53,57,0,110
2023-05-27T19:31:57,53,57,0,110
2023-05-27T19:43:32,53,57,0,110
2023-05-27T19:55:07,53,57,0,110
2023-05-27T20:06:43,53,57,0,110
2023-05-27T20:18:18,53,57,0,110
2023-05-27T20:29:54,53,57,0,110
2023-05-27T20:41:28,53,57,0,110
2023-05-27T20:53:13,53,57,0,110
2023-05-27T21:04:48,53,57,0,110
2023-05-27T21:16:23,53,57,0,110
2023-05-27T21:27:59,53,57,0,110
2023-05-27T21:39:34,53,57,0,110
