time,enrolled,available,waitlisted,total
2023-05-25T01:20:03,0,70,0,70
2023-05-25T01:31:39,0,70,0,70
2023-05-25T01:43:23,0,70,0,70
2023-05-25T01:54:58,0,70,0,70
2023-05-25T02:06:34,0,70,0,70
2023-05-25T02:18:10,0,70,0,70
2023-05-25T02:29:45,0,70,0,70
2023-05-25T02:41:19,0,70,0,70
2023-05-25T02:52:52,0,70,0,70
2023-05-25T03:04:25,0,70,0,70
2023-05-25T03:16:03,0,70,0,70
2023-05-25T03:28:02,0,70,0,70
2023-05-25T03:39:39,0,70,0,70
2023-05-25T03:51:15,0,70,0,70
2023-05-25T04:02:50,0,70,0,70
2023-05-25T04:22:37,0,70,0,70
2023-05-25T04:34:14,0,70,0,70
2023-05-25T04:45:51,0,70,0,70
2023-05-25T04:57:27,0,70,0,70
2023-05-25T05:09:03,0,70,0,70
2023-05-25T05:20:40,0,70,0,70
2023-05-25T05:32:17,0,70,0,70
2023-05-25T05:43:52,0,70,0,70
2023-05-25T05:55:28,0,70,0,70
2023-05-25T06:07:05,0,70,0,70
2023-05-25T06:18:40,0,70,0,70
2023-05-25T06:30:15,0,70,0,70
2023-05-25T06:41:50,0,70,0,70
2023-05-25T06:53:25,0,70,0,70
2023-05-25T07:05:01,0,70,0,70
2023-05-25T07:16:36,0,70,0,70
2023-05-25T07:28:10,0,70,0,70
2023-05-25T07:39:46,0,70,0,70
2023-05-25T07:51:22,0,70,0,70
2023-05-25T08:02:57,0,70,0,70
2023-05-25T08:14:31,0,70,0,70
2023-05-25T08:26:15,0,70,0,70
2023-05-25T08:37:49,0,70,0,70
2023-05-25T08:49:21,0,70,0,70
2023-05-25T09:00:55,0,70,0,70
2023-05-25T09:12:27,0,70,0,70
2023-05-25T09:24:00,0,70,0,70
2023-05-25T09:35:33,0,70,0,70
2023-05-25T09:47:05,0,70,0,70
2023-05-25T09:58:39,0,70,0,70
2023-05-25T10:10:23,0,70,0,70
2023-05-25T10:21:56,0,70,0,70
2023-05-25T10:33:29,0,70,0,70
2023-05-25T10:45:01,0,70,0,70
2023-05-25T10:56:44,0,70,0,70
2023-05-25T11:08:17,0,70,0,70
2023-05-25T11:19:50,0,70,0,70
2023-05-25T11:31:22,0,70,0,70
2023-05-25T11:42:55,0,70,0,70
2023-05-25T11:54:29,0,70,0,70
2023-05-25T12:06:12,0,70,0,70
2023-05-25T12:17:45,0,70,0,70
2023-05-25T12:29:18,0,70,0,70
2023-05-25T12:40:51,0,70,0,70
2023-05-25T12:52:24,0,70,0,70
2023-05-25T13:04:07,0,70,0,70
2023-05-25T13:15:39,0,70,0,70
2023-05-25T13:27:12,0,70,0,70
2023-05-25T13:38:46,0,70,0,70
2023-05-25T13:50:19,0,70,0,70
2023-05-25T14:02:03,0,70,0,70
2023-05-25T14:13:37,0,70,0,70
2023-05-25T14:25:10,0,70,0,70
2023-05-25T14:36:43,0,70,0,70
2023-05-25T14:48:16,0,70,0,70
2023-05-25T14:59:59,0,70,0,70
2023-05-25T15:11:33,0,70,0,70
2023-05-25T15:23:08,0,70,0,70
2023-05-25T15:34:42,0,70,0,70
2023-05-25T15:46:17,0,70,0,70
2023-05-25T15:57:52,0,70,0,70
2023-05-25T16:09:37,0,70,0,70
2023-05-25T16:21:12,0,70,0,70
2023-05-25T16:32:47,0,70,0,70
2023-05-25T16:44:22,0,70,0,70
2023-05-25T16:55:57,0,70,0,70
2023-05-25T17:07:34,0,70,0,70
2023-05-25T17:19:21,0,70,0,70
2023-05-25T17:30:57,0,70,0,70
2023-05-25T17:42:32,0,70,0,70
2023-05-25T17:54:08,0,70,0,70
2023-05-25T18:05:45,0,70,0,70
2023-05-25T18:17:21,0,70,0,70
2023-05-25T18:28:56,0,70,0,70
2023-05-25T18:40:42,0,70,0,70
2023-05-25T18:52:17,0,70,0,70
2023-05-25T19:03:53,0,70,0,70
2023-05-25T19:15:30,0,70,0,70
2023-05-25T19:27:05,0,70,0,70
2023-05-25T19:38:41,0,70,0,70
2023-05-25T19:50:17,0,70,0,70
2023-05-25T20:02:02,0,70,0,70
2023-05-25T20:13:38,0,70,0,70
2023-05-25T20:25:15,0,70,0,70
2023-05-25T20:36:50,0,70,0,70
2023-05-25T20:48:26,0,70,0,70
2023-05-25T21:00:01,0,70,0,70
2023-05-25T21:11:37,0,70,0,70
2023-05-25T21:23:24,0,70,0,70
2023-05-25T21:35:00,0,70,0,70
2023-05-25T21:46:36,0,70,0,70
2023-05-25T21:58:11,0,70,0,70
2023-05-25T22:09:47,0,70,0,70
2023-05-25T22:21:22,0,70,0,70
2023-05-25T22:32:58,0,70,0,70
2023-05-25T22:44:44,0,70,0,70
2023-05-25T22:56:19,0,70,0,70
2023-05-25T23:07:57,0,70,0,70
2023-05-25T23:19:33,0,70,0,70
2023-05-25T23:31:09,0,70,0,70
2023-05-25T23:42:45,0,70,0,70
2023-05-25T23:54:22,0,70,0,70
2023-05-26T00:06:16,0,70,0,70
2023-05-26T00:17:57,0,70,0,70
2023-05-26T00:29:36,0,70,0,70
2023-05-26T00:41:15,0,70,0,70
2023-05-26T00:52:53,0,70,0,70
2023-05-26T01:04:33,0,70,0,70
2023-05-26T01:16:12,0,70,0,70
2023-05-26T01:27:50,0,70,0,70
2023-05-26T01:39:28,0,70,0,70
2023-05-26T01:51:16,0,70,0,70
2023-05-26T02:02:58,0,70,0,70
2023-05-26T02:14:36,0,70,0,70
2023-05-26T02:26:13,0,70,0,70
2023-05-26T02:37:52,0,70,0,70
2023-05-26T02:49:41,0,70,0,70
2023-05-26T03:01:21,0,70,0,70
2023-05-26T03:13:00,0,70,0,70
2023-05-26T03:24:42,0,70,0,70
2023-05-26T03:36:20,0,70,0,70
2023-05-26T03:47:58,0,70,0,70
2023-05-26T03:59:37,0,70,0,70
2023-05-26T04:11:25,0,70,0,70
2023-05-26T04:33:25,0,70,0,70
2023-05-26T04:45:29,0,70,0,70
2023-05-26T04:57:10,0,70,0,70
2023-05-26T05:08:52,0,70,0,70
2023-05-26T05:20:31,0,70,0,70
2023-05-26T05:32:10,0,70,0,70
2023-05-26T05:43:49,0,70,0,70
2023-05-26T05:55:28,0,70,0,70
2023-05-26T06:07:06,0,70,0,70
2023-05-26T06:18:45,0,70,0,70
2023-05-26T06:30:24,0,70,0,70
2023-05-26T06:42:03,0,70,0,70
2023-05-26T06:53:41,0,70,0,70
2023-05-26T07:05:20,0,70,0,70
2023-05-26T07:16:58,0,70,0,70
2023-05-26T07:28:36,0,70,0,70
2023-05-26T07:40:22,0,70,0,70
2023-05-26T07:51:59,0,70,0,70
2023-05-26T08:03:35,0,70,0,70
2023-05-26T08:15:11,0,70,0,70
2023-05-26T08:26:48,0,70,0,70
2023-05-26T08:38:23,0,70,0,70
2023-05-26T08:50:00,0,70,0,70
2023-05-26T09:01:36,0,70,0,70
2023-05-26T09:13:12,0,70,0,70
2023-05-26T09:24:49,0,70,0,70
2023-05-26T09:36:36,0,70,0,70
2023-05-26T09:48:12,0,70,0,70
2023-05-26T09:59:48,0,70,0,70
2023-05-26T10:11:25,0,70,0,70
2023-05-26T10:23:01,0,70,0,70
2023-05-26T10:34:37,0,70,0,70
2023-05-26T10:46:25,0,70,0,70
2023-05-26T10:58:01,0,70,0,70
2023-05-26T11:09:38,0,70,0,70
2023-05-26T11:21:14,0,70,0,70
2023-05-26T11:32:51,0,70,0,70
2023-05-26T11:44:37,0,70,0,70
2023-05-26T11:56:13,0,70,0,70
2023-05-26T12:07:50,0,70,0,70
2023-05-26T12:19:25,0,70,0,70
2023-05-26T12:31:02,0,70,0,70
2023-05-26T12:42:49,1,69,0,70
2023-05-26T12:54:24,1,69,0,70
2023-05-26T13:06:01,1,69,0,70
2023-05-26T13:17:36,2,68,0,70
2023-05-26T13:29:22,2,68,0,70
2023-05-26T13:40:59,2,68,0,70
2023-05-26T13:52:34,2,68,0,70
2023-05-26T14:04:10,2,68,0,70
2023-05-26T14:15:46,2,68,0,70
2023-05-26T14:27:33,2,68,0,70
2023-05-26T14:39:09,2,68,0,70
2023-05-26T14:50:46,2,68,0,70
2023-05-26T15:02:22,2,68,0,70
2023-05-26T15:14:00,2,68,0,70
2023-05-26T15:25:46,2,68,0,70
2023-05-26T15:37:22,2,68,0,70
2023-05-26T15:48:57,2,68,0,70
2023-05-26T16:00:34,2,68,0,70
2023-05-26T16:12:10,2,68,0,70
2023-05-26T16:23:45,2,68,0,70
2023-05-26T16:35:31,3,67,0,70
2023-05-26T16:47:06,3,67,0,70
2023-05-26T16:58:42,3,67,0,70
2023-05-26T17:10:19,3,67,0,70
2023-05-26T17:21:55,3,67,0,70
2023-05-26T17:33:31,3,67,0,70
2023-05-26T17:45:16,4,66,0,70
2023-05-26T17:56:52,4,66,0,70
2023-05-26T18:08:28,5,65,0,70
2023-05-26T18:20:03,5,65,0,70
2023-05-26T18:31:39,5,65,0,70
2023-05-26T18:43:15,5,65,0,70
2023-05-26T18:55:01,5,65,0,70
2023-05-26T19:06:37,5,65,0,70
2023-05-26T19:18:13,5,65,0,70
2023-05-26T19:29:50,5,65,0,70
2023-05-26T19:41:25,5,65,0,70
2023-05-26T19:53:00,5,65,0,70
2023-05-26T20:04:36,6,64,0,70
2023-05-26T20:16:21,6,64,0,70
2023-05-26T20:27:58,6,64,0,70
2023-05-26T20:39:33,6,64,0,70
2023-05-26T20:51:08,6,64,0,70
2023-05-26T21:02:44,6,64,0,70
2023-05-26T21:14:21,6,64,0,70
2023-05-26T21:25:57,7,63,0,70
2023-05-26T21:37:32,7,63,0,70
2023-05-26T21:49:19,8,62,0,70
2023-05-26T22:00:55,8,62,0,70
2023-05-26T22:12:31,8,62,0,70
2023-05-26T22:24:07,8,62,0,70
2023-05-26T22:35:43,8,62,0,70
2023-05-26T22:47:19,9,61,0,70
2023-05-26T22:58:54,9,61,0,70
2023-05-26T23:10:44,9,61,0,70
2023-05-26T23:22:20,9,61,0,70
2023-05-26T23:33:56,9,61,0,70
2023-05-26T23:45:33,9,61,0,70
2023-05-26T23:57:09,9,61,0,70
2023-05-27T00:08:46,9,61,0,70
2023-05-27T00:20:27,9,61,0,70
2023-05-27T00:32:05,9,61,0,70
2023-05-27T00:43:44,9,61,0,70
2023-05-27T00:55:24,9,61,0,70
2023-05-27T01:07:03,9,61,0,70
2023-05-27T01:18:52,9,61,0,70
2023-05-27T01:30:30,9,61,0,70
2023-05-27T01:42:09,9,61,0,70
2023-05-27T01:53:49,9,61,0,70
2023-05-27T02:05:26,9,61,0,70
2023-05-27T02:17:05,9,61,0,70
2023-05-27T02:28:42,9,61,0,70
2023-05-27T02:40:19,9,61,0,70
2023-05-27T02:51:55,9,61,0,70
2023-05-27T03:03:30,9,61,0,70
2023-05-27T03:15:09,9,61,0,70
2023-05-27T03:26:47,9,61,0,70
2023-05-27T03:38:24,9,61,0,70
2023-05-27T03:50:01,9,61,0,70
2023-05-27T04:01:40,9,61,0,70
2023-05-27T04:13:33,9,61,0,70
2023-05-27T04:35:05,9,61,0,70
2023-05-27T04:48:06,9,61,0,70
2023-05-27T04:59:45,9,61,0,70
2023-05-27T05:11:24,9,61,0,70
2023-05-27T05:23:03,9,61,0,70
2023-05-27T05:34:42,9,61,0,70
2023-05-27T05:46:22,9,61,0,70
2023-05-27T05:58:01,9,61,0,70
2023-05-27T06:09:39,9,61,0,70
2023-05-27T06:21:20,9,61,0,70
2023-05-27T06:32:59,9,61,0,70
2023-05-27T06:44:37,9,61,0,70
2023-05-27T06:56:15,9,61,0,70
2023-05-27T07:07:53,9,61,0,70
2023-05-27T07:19:32,9,61,0,70
2023-05-27T07:31:10,9,61,0,70
2023-05-27T07:42:46,9,61,0,70
2023-05-27T07:54:37,9,61,0,70
2023-05-27T08:06:15,9,61,0,70
2023-05-27T08:17:52,9,61,0,70
2023-05-27T08:29:31,9,61,0,70
2023-05-27T08:41:09,9,61,0,70
2023-05-27T08:52:47,9,61,0,70
2023-05-27T09:04:25,9,61,0,70
2023-05-27T09:16:03,9,61,0,70
2023-05-27T09:27:41,9,61,0,70
2023-05-27T09:39:20,9,61,0,70
2023-05-27T09:50:58,9,61,0,70
2023-05-27T10:02:35,10,60,0,70
2023-05-27T10:14:29,11,59,0,70
2023-05-27T10:26:06,11,59,0,70
2023-05-27T10:37:44,11,59,0,70
2023-05-27T10:49:20,11,59,0,70
2023-05-27T11:00:57,11,59,0,70
2023-05-27T11:12:32,11,59,0,70
2023-05-27T11:24:08,11,59,0,70
2023-05-27T11:35:43,11,59,0,70
2023-05-27T11:47:18,11,59,0,70
2023-05-27T11:58:52,11,59,0,70
2023-05-27T12:10:37,11,59,0,70
2023-05-27T12:22:12,11,59,0,70
2023-05-27T12:33:48,11,59,0,70
2023-05-27T12:45:23,11,59,0,70
2023-05-27T12:56:58,11,59,0,70
2023-05-27T13:08:34,12,58,0,70
2023-05-27T13:20:09,12,58,0,70
2023-05-27T13:32:04,12,58,0,70
2023-05-27T13:43:39,12,58,0,70
2023-05-27T13:55:14,12,58,0,70
2023-05-27T14:06:50,12,58,0,70
2023-05-27T14:18:25,12,58,0,70
2023-05-27T14:30:01,12,58,0,70
2023-05-27T14:41:36,12,58,0,70
2023-05-27T14:53:11,12,58,0,70
2023-05-27T15:04:57,12,58,0,70
2023-05-27T15:16:32,12,58,0,70
2023-05-27T15:28:07,13,57,0,70
2023-05-27T15:39:42,14,56,0,70
2023-05-27T15:51:17,14,56,0,70
2023-05-27T16:02:52,14,56,0,70
2023-05-27T16:14:27,15,55,0,70
2023-05-27T16:26:02,16,54,0,70
2023-05-27T16:37:47,16,54,0,70
2023-05-27T16:49:23,16,54,0,70
2023-05-27T17:00:58,16,54,0,70
2023-05-27T17:12:36,16,54,0,70
2023-05-27T17:24:12,16,54,0,70
2023-05-27T17:35:48,16,54,0,70
2023-05-27T17:47:33,16,54,0,70
2023-05-27T17:59:08,16,54,0,70
2023-05-27T18:10:44,16,54,0,70
2023-05-27T18:22:19,17,53,0,70
2023-05-27T18:33:55,17,53,0,70
2023-05-27T18:45:29,16,54,0,70
2023-05-27T18:57:04,16,54,0,70
2023-05-27T19:09:01,17,53,0,70
2023-05-27T19:20:36,17,53,0,70
2023-05-27T19:32:12,17,53,0,70
2023-05-27T19:43:48,17,53,0,70
2023-05-27T19:55:23,17,53,0,70
2023-05-27T20:06:58,18,52,0,70
2023-05-27T20:18:33,19,51,0,70
2023-05-27T20:30:09,19,51,0,70
2023-05-27T20:41:44,19,51,0,70
2023-05-27T20:53:28,19,51,0,70
2023-05-27T21:05:03,19,51,0,70
2023-05-27T21:16:39,19,51,0,70
2023-05-27T21:28:14,19,51,0,70
2023-05-27T21:39:50,19,51,0,70
2023-05-27T21:51:25,20,50,0,70
2023-05-27T22:03:01,21,49,0,70
2023-05-27T22:14:45,21,49,0,70
2023-05-27T22:26:21,21,49,0,70
2023-05-27T22:37:56,21,49,0,70
2023-05-27T22:49:32,21,49,0,70
2023-05-27T23:01:07,21,49,0,70
2023-05-27T23:12:47,21,49,0,70
2023-05-27T23:24:23,21,49,0,70
2023-05-27T23:35:59,21,49,0,70
2023-05-27T23:47:50,21,49,0,70
2023-05-27T23:59:25,21,49,0,70
2023-05-28T00:11:04,22,48,0,70
2023-05-28T00:22:44,22,48,0,70
2023-05-28T00:34:22,22,48,0,70
2023-05-28T00:45:59,22,48,0,70
2023-05-28T00:57:35,22,48,0,70
2023-05-28T01:09:12,22,48,0,70
2023-05-28T01:20:49,22,48,0,70
2023-05-28T01:32:34,22,48,0,70
2023-05-28T01:44:09,22,48,0,70
2023-05-28T01:55:45,22,48,0,70
2023-05-28T02:07:20,22,48,0,70
2023-05-28T02:18:56,22,48,0,70
2023-05-28T02:30:33,22,48,0,70
2023-05-28T02:42:14,22,48,0,70
2023-05-28T02:53:53,22,48,0,70
2023-05-28T03:05:35,22,48,0,70
2023-05-28T03:17:15,22,48,0,70
2023-05-28T03:28:54,22,48,0,70
2023-05-28T03:40:35,22,48,0,70
2023-05-28T03:53:21,22,48,0,70
2023-05-28T04:05:19,22,48,0,70
2023-05-28T04:30:59,22,48,0,70
2023-05-28T04:44:12,22,48,0,70
2023-05-28T04:55:53,22,48,0,70
2023-05-28T05:07:32,22,48,0,70
2023-05-28T05:19:10,22,48,0,70
2023-05-28T05:30:49,22,48,0,70
2023-05-28T05:42:32,22,48,0,70
2023-05-28T05:54:11,22,48,0,70
2023-05-28T06:05:51,22,48,0,70
2023-05-28T06:17:30,22,48,0,70
2023-05-28T06:29:08,22,48,0,70
2023-05-28T06:40:46,22,48,0,70
2023-05-28T06:52:24,22,48,0,70
2023-05-28T07:04:02,22,48,0,70
2023-05-28T07:15:40,22,48,0,70
2023-05-28T07:27:19,22,48,0,70
2023-05-28T07:38:57,22,48,0,70
2023-05-28T07:50:35,22,48,0,70
2023-05-28T08:02:18,22,48,0,70
2023-05-28T08:13:57,22,48,0,70
2023-05-28T08:25:36,22,48,0,70
2023-05-28T08:37:12,22,48,0,70
2023-05-28T08:48:51,22,48,0,70
2023-05-28T09:00:30,22,48,0,70
2023-05-28T09:12:07,22,48,0,70
2023-05-28T09:23:51,22,48,0,70
2023-05-28T09:35:27,22,48,0,70
2023-05-28T09:47:03,23,47,0,70
2023-05-28T09:58:39,23,47,0,70
2023-05-28T10:10:16,23,47,0,70
2023-05-28T10:21:51,23,47,0,70
2023-05-28T10:33:27,23,47,0,70
2023-05-28T10:45:02,23,47,0,70
2023-05-28T10:56:38,23,47,0,70
2023-05-28T11:08:14,23,47,0,70
2023-05-28T11:19:50,23,47,0,70
2023-05-28T11:31:26,23,47,0,70
2023-05-28T11:43:02,23,47,0,70
2023-05-28T11:54:37,23,47,0,70
2023-05-28T12:06:22,23,47,0,70
2023-05-28T12:17:58,23,47,0,70
2023-05-28T12:29:34,23,47,0,70
2023-05-28T12:41:10,23,47,0,70
2023-05-28T12:52:45,23,47,0,70
2023-05-28T13:04:21,23,47,0,70
2023-05-28T13:15:57,23,47,0,70
2023-05-28T13:27:33,23,47,0,70
2023-05-28T13:39:08,23,47,0,70
2023-05-28T13:50:44,23,47,0,70
2023-05-28T14:02:19,23,47,0,70
2023-05-28T14:14:03,23,47,0,70
2023-05-28T14:25:39,23,47,0,70
2023-05-28T14:37:14,23,47,0,70
2023-05-28T14:48:50,23,47,0,70
2023-05-28T15:00:25,23,47,0,70
2023-05-28T15:12:01,23,47,0,70
2023-05-28T15:23:37,23,47,0,70
2023-05-28T15:35:12,23,47,0,70
2023-05-28T15:46:48,23,47,0,70
2023-05-28T15:58:24,23,47,0,70
2023-05-28T16:10:09,23,47,0,70
2023-05-28T16:21:46,23,47,0,70
2023-05-28T16:33:21,23,47,0,70
2023-05-28T16:44:56,23,47,0,70
2023-05-28T16:56:32,23,47,0,70
2023-05-28T17:08:07,23,47,0,70
2023-05-28T17:19:43,23,47,0,70
2023-05-28T17:31:18,23,47,0,70
2023-05-28T17:42:53,23,47,0,70
2023-05-28T17:54:39,23,47,0,70
2023-05-28T18:06:14,23,47,0,70
2023-05-28T18:17:50,23,47,0,70
2023-05-28T18:29:25,23,47,0,70
2023-05-28T18:41:01,23,47,0,70
2023-05-28T18:52:36,23,47,0,70
2023-05-28T19:04:13,23,47,0,70
2023-05-28T19:15:49,23,47,0,70
2023-05-28T19:27:24,23,47,0,70
2023-05-28T19:39:00,23,47,0,70
2023-05-28T19:50:45,23,47,0,70
2023-05-28T20:02:20,23,47,0,70
2023-05-28T20:13:56,23,47,0,70
2023-05-28T20:25:31,23,47,0,70
2023-05-28T20:37:06,23,47,0,70
2023-05-28T20:48:41,23,47,0,70
2023-05-28T21:00:16,23,47,0,70
2023-05-28T21:11:52,23,47,0,70
2023-05-28T21:23:27,23,47,0,70
2023-05-28T21:35:12,23,47,0,70
2023-05-28T21:46:48,23,47,0,70
2023-05-28T21:58:24,23,47,0,70
2023-05-28T22:09:58,23,47,0,70
2023-05-28T22:21:34,23,47,0,70
2023-05-28T22:33:11,23,47,0,70
2023-05-28T22:44:46,23,47,0,70
2023-05-28T22:56:22,23,47,0,70
2023-05-28T23:08:10,23,47,0,70
2023-05-28T23:19:46,23,47,0,70
2023-05-28T23:31:23,23,47,0,70
2023-05-28T23:43:00,23,47,0,70
2023-05-28T23:54:35,23,47,0,70
2023-05-29T00:06:14,23,47,0,70
2023-05-29T00:18:01,23,47,0,70
2023-05-29T00:29:45,23,47,0,70
2023-05-29T00:41:25,23,47,0,70
2023-05-29T00:53:02,23,47,0,70
2023-05-29T01:04:51,23,47,0,70
2023-05-29T01:16:32,23,47,0,70
2023-05-29T01:28:11,23,47,0,70
2023-05-29T01:39:50,23,47,0,70
2023-05-29T01:51:27,23,47,0,70
