time,enrolled,available,waitlisted,total
2023-05-25T01:20:08,0,20,0,20
2023-05-25T01:31:44,0,20,0,20
2023-05-25T01:43:28,0,20,0,20
2023-05-25T01:55:04,0,20,0,20
2023-05-25T02:06:39,0,20,0,20
2023-05-25T02:18:16,0,20,0,20
2023-05-25T02:29:51,0,20,0,20
2023-05-25T02:41:24,0,20,0,20
2023-05-25T02:52:57,0,20,0,20
2023-05-25T03:04:30,0,20,0,20
2023-05-25T03:16:08,0,20,0,20
2023-05-25T03:28:07,0,20,0,20
2023-05-25T03:39:44,0,20,0,20
2023-05-25T03:51:20,0,20,0,20
2023-05-25T04:02:55,0,20,0,20
2023-05-25T04:22:43,0,20,0,20
2023-05-25T04:34:19,0,20,0,20
2023-05-25T04:45:56,0,20,0,20
2023-05-25T04:57:32,0,20,0,20
2023-05-25T05:09:09,0,20,0,20
2023-05-25T05:20:45,0,20,0,20
2023-05-25T05:32:22,0,20,0,20
2023-05-25T05:43:57,0,20,0,20
2023-05-25T05:55:33,0,20,0,20
2023-05-25T06:07:10,0,20,0,20
2023-05-25T06:18:45,0,20,0,20
2023-05-25T06:30:20,0,20,0,20
2023-05-25T06:41:55,0,20,0,20
2023-05-25T06:53:31,0,20,0,20
2023-05-25T07:05:06,0,20,0,20
2023-05-25T07:16:41,0,20,0,20
2023-05-25T07:28:15,0,20,0,20
2023-05-25T07:39:51,0,20,0,20
2023-05-25T07:51:27,0,20,0,20
2023-05-25T08:03:02,0,20,0,20
2023-05-25T08:14:36,0,20,0,20
2023-05-25T08:26:20,0,20,0,20
2023-05-25T08:37:54,0,20,0,20
2023-05-25T08:49:26,0,20,0,20
2023-05-25T09:01:00,0,20,0,20
2023-05-25T09:12:33,0,20,0,20
2023-05-25T09:24:05,0,20,0,20
2023-05-25T09:35:38,0,20,0,20
2023-05-25T09:47:10,0,20,0,20
2023-05-25T09:58:44,0,20,0,20
2023-05-25T10:10:28,0,20,0,20
2023-05-25T10:22:01,0,20,0,20
