time,enrolled,available,waitlisted,total
2023-05-25T13:27:31,0,9999,0,9999
2023-05-25T13:39:04,0,9999,0,9999
2023-05-25T13:50:37,0,9999,0,9999
2023-05-25T14:02:21,0,9999,0,9999
2023-05-25T14:13:55,0,9999,0,9999
2023-05-25T14:25:28,0,9999,0,9999
2023-05-25T14:37:01,0,9999,0,9999
2023-05-25T14:48:34,0,9999,0,9999
2023-05-25T15:00:18,0,9999,0,9999
2023-05-25T15:11:52,0,9999,0,9999
2023-05-25T15:23:26,0,9999,0,9999
2023-05-25T15:35:01,0,9999,0,9999
2023-05-25T15:46:35,0,9999,0,9999
2023-05-25T15:58:10,0,9999,0,9999
2023-05-25T16:09:55,0,9999,0,9999
2023-05-25T16:21:30,0,9999,0,9999
2023-05-25T16:33:05,0,9999,0,9999
2023-05-25T16:44:40,0,9999,0,9999
2023-05-25T16:56:16,0,9999,0,9999
2023-05-25T17:07:52,0,9999,0,9999
2023-05-25T17:19:40,0,9999,0,9999
2023-05-25T17:31:15,0,9999,0,9999
2023-05-25T17:42:51,0,9999,0,9999
2023-05-25T17:54:27,0,9999,0,9999
2023-05-25T18:06:03,0,9999,0,9999
2023-05-25T18:17:39,0,9999,0,9999
2023-05-25T18:29:14,0,9999,0,9999
2023-05-25T18:41:00,0,9999,0,9999
2023-05-25T18:52:36,0,9999,0,9999
2023-05-25T19:04:12,0,9999,0,9999
2023-05-25T19:15:48,0,9999,0,9999
2023-05-25T19:27:23,0,9999,0,9999
2023-05-25T19:38:59,0,9999,0,9999
2023-05-25T19:50:45,0,9999,0,9999
2023-05-25T20:02:21,0,9999,0,9999
2023-05-25T20:13:57,0,9999,0,9999
2023-05-25T20:25:33,0,9999,0,9999
2023-05-25T20:37:08,0,9999,0,9999
2023-05-25T20:48:44,0,9999,0,9999
2023-05-25T21:00:19,0,9999,0,9999
2023-05-25T21:11:56,0,9999,0,9999
2023-05-25T21:23:43,0,9999,0,9999
2023-05-25T21:35:18,0,9999,0,9999
2023-05-25T21:46:54,0,9999,0,9999
2023-05-25T21:58:29,0,9999,0,9999
2023-05-25T22:10:05,0,9999,0,9999
2023-05-25T22:21:40,0,9999,0,9999
2023-05-25T22:33:16,0,9999,0,9999
2023-05-25T22:45:02,0,9999,0,9999
2023-05-25T22:56:37,0,9999,0,9999
2023-05-25T23:08:16,0,9999,0,9999
2023-05-25T23:19:51,0,9999,0,9999
2023-05-25T23:31:27,0,9999,0,9999
2023-05-25T23:43:03,0,9999,0,9999
2023-05-25T23:54:40,0,9999,0,9999
