time,enrolled,available,waitlisted,total
2023-05-25T01:20:31,0,100,0,100
2023-05-25T01:32:07,0,100,0,100
2023-05-25T01:43:51,0,100,0,100
2023-05-25T01:55:27,0,100,0,100
2023-05-25T02:07:02,0,100,0,100
2023-05-25T02:18:39,0,100,0,100
2023-05-25T02:30:14,0,100,0,100
2023-05-25T02:41:47,0,100,0,100
2023-05-25T02:53:20,0,100,0,100
2023-05-25T03:04:53,0,100,0,100
2023-05-25T03:16:32,0,100,0,100
2023-05-25T03:28:30,0,100,0,100
2023-05-25T03:40:07,0,100,0,100
2023-05-25T03:51:43,0,100,0,100
2023-05-25T04:03:18,0,100,0,100
2023-05-25T04:23:06,0,100,0,100
2023-05-25T04:34:43,0,100,0,100
2023-05-25T04:46:19,0,100,0,100
2023-05-25T04:57:55,0,100,0,100
2023-05-25T05:09:32,0,100,0,100
2023-05-25T05:21:08,0,100,0,100
2023-05-25T05:32:45,0,100,0,100
2023-05-25T05:44:20,0,100,0,100
2023-05-25T05:55:56,0,100,0,100
2023-05-25T06:07:33,0,100,0,100
2023-05-25T06:19:08,0,100,0,100
2023-05-25T06:30:43,0,100,0,100
2023-05-25T06:42:18,0,100,0,100
2023-05-25T06:53:54,0,100,0,100
2023-05-25T07:05:29,0,100,0,100
2023-05-25T07:17:04,0,100,0,100
2023-05-25T07:28:38,0,100,0,100
2023-05-25T07:40:14,0,100,0,100
2023-05-25T07:51:50,0,100,0,100
2023-05-25T08:03:25,0,100,0,100
2023-05-25T08:14:59,0,100,0,100
2023-05-25T08:26:44,0,100,0,100
2023-05-25T08:38:17,0,100,0,100
2023-05-25T08:49:49,0,100,0,100
2023-05-25T09:01:23,0,100,0,100
2023-05-25T09:12:56,0,100,0,100
2023-05-25T09:24:28,0,100,0,100
2023-05-25T09:36:01,0,100,0,100
2023-05-25T09:47:33,0,100,0,100
2023-05-25T09:59:07,0,100,0,100
2023-05-25T10:10:51,0,100,0,100
2023-05-25T10:22:24,0,100,0,100
2023-05-25T10:33:57,0,100,0,100
2023-05-25T10:45:29,0,100,0,100
2023-05-25T10:57:12,0,100,0,100
2023-05-25T11:08:45,0,100,0,100
2023-05-25T11:20:18,0,100,0,100
2023-05-25T11:31:50,0,100,0,100
2023-05-25T11:43:23,0,100,0,100
2023-05-25T11:54:57,0,100,0,100
2023-05-25T12:06:40,0,100,0,100
2023-05-25T12:18:13,0,100,0,100
2023-05-25T12:29:46,0,100,0,100
2023-05-25T12:41:19,0,100,0,100
2023-05-25T12:52:52,0,100,0,100
2023-05-25T13:04:35,0,100,0,100
2023-05-25T13:16:08,0,100,0,100
2023-05-25T13:27:41,0,100,0,100
2023-05-25T13:39:14,0,100,0,100
2023-05-25T13:50:47,0,100,0,100
2023-05-25T14:02:31,0,100,0,100
2023-05-25T14:14:05,0,100,0,100
2023-05-25T14:25:38,0,100,0,100
2023-05-25T14:37:11,0,100,0,100
2023-05-25T14:48:44,0,100,0,100
2023-05-25T15:00:28,0,100,0,100
2023-05-25T15:12:02,0,100,0,100
2023-05-25T15:23:36,0,100,0,100
2023-05-25T15:35:11,0,100,0,100
2023-05-25T15:46:46,0,100,0,100
2023-05-25T15:58:20,0,100,0,100
2023-05-25T16:10:05,0,100,0,100
2023-05-25T16:21:41,0,100,0,100
2023-05-25T16:33:15,0,100,0,100
2023-05-25T16:44:51,0,100,0,100
2023-05-25T16:56:26,0,100,0,100
2023-05-25T17:08:03,0,100,0,100
2023-05-25T17:19:50,0,100,0,100
2023-05-25T17:31:25,0,100,0,100
2023-05-25T17:43:01,0,100,0,100
2023-05-25T17:54:37,0,100,0,100
2023-05-25T18:06:14,0,100,0,100
2023-05-25T18:17:49,0,100,0,100
2023-05-25T18:29:25,0,100,0,100
2023-05-25T18:41:10,0,100,0,100
2023-05-25T18:52:46,0,100,0,100
2023-05-25T19:04:22,0,100,0,100
2023-05-25T19:15:58,0,100,0,100
2023-05-25T19:27:34,0,100,0,100
2023-05-25T19:39:10,0,100,0,100
2023-05-25T19:50:56,0,100,0,100
2023-05-25T20:02:31,0,100,0,100
2023-05-25T20:14:07,0,100,0,100
2023-05-25T20:25:43,0,100,0,100
2023-05-25T20:37:19,0,100,0,100
2023-05-25T20:48:54,0,100,0,100
2023-05-25T21:00:30,0,100,0,100
2023-05-25T21:12:06,0,100,0,100
2023-05-25T21:23:53,0,100,0,100
2023-05-25T21:35:28,0,100,0,100
2023-05-25T21:47:04,0,100,0,100
2023-05-25T21:58:40,0,100,0,100
2023-05-25T22:10:15,0,100,0,100
2023-05-25T22:21:50,0,100,0,100
2023-05-25T22:33:26,0,100,0,100
2023-05-25T22:45:12,0,100,0,100
2023-05-25T22:56:48,0,100,0,100
2023-05-25T23:08:26,0,100,0,100
2023-05-25T23:20:01,0,100,0,100
2023-05-25T23:31:37,0,100,0,100
2023-05-25T23:43:13,0,100,0,100
2023-05-25T23:54:50,0,100,0,100
2023-05-26T00:06:45,0,100,0,100
2023-05-26T00:18:26,0,100,0,100
2023-05-26T00:30:05,0,100,0,100
2023-05-26T00:41:43,0,100,0,100
2023-05-26T00:53:22,0,100,0,100
2023-05-26T01:05:02,0,100,0,100
2023-05-26T01:16:40,0,100,0,100
2023-05-26T01:28:18,0,100,0,100
2023-05-26T01:39:56,0,100,0,100
2023-05-26T01:51:44,0,100,0,100
2023-05-26T02:03:27,0,100,0,100
2023-05-26T02:15:05,0,100,0,100
2023-05-26T02:26:42,0,100,0,100
2023-05-26T02:38:21,0,100,0,100
2023-05-26T02:50:09,0,100,0,100
2023-05-26T03:01:50,0,100,0,100
2023-05-26T03:13:29,0,100,0,100
2023-05-26T03:25:10,0,100,0,100
2023-05-26T03:36:48,0,100,0,100
2023-05-26T03:48:27,0,100,0,100
2023-05-26T04:00:05,0,100,0,100
2023-05-26T04:11:54,0,100,0,100
2023-05-26T04:34:15,0,100,0,100
2023-05-26T04:45:58,0,100,0,100
2023-05-26T04:57:38,0,100,0,100
2023-05-26T05:09:20,0,100,0,100
2023-05-26T05:21:00,0,100,0,100
2023-05-26T05:32:38,0,100,0,100
2023-05-26T05:44:17,0,100,0,100
2023-05-26T05:55:56,0,100,0,100
2023-05-26T06:07:34,0,100,0,100
2023-05-26T06:19:14,0,100,0,100
2023-05-26T06:30:53,0,100,0,100
2023-05-26T06:42:32,0,100,0,100
2023-05-26T06:54:10,0,100,0,100
2023-05-26T07:05:48,0,100,0,100
2023-05-26T07:17:27,0,100,0,100
2023-05-26T07:29:05,0,100,0,100
2023-05-26T07:40:50,0,100,0,100
2023-05-26T07:52:28,0,100,0,100
2023-05-26T08:04:04,0,100,0,100
2023-05-26T08:15:40,0,100,0,100
2023-05-26T08:27:16,0,100,0,100
2023-05-26T08:38:52,0,100,0,100
2023-05-26T08:50:29,0,100,0,100
2023-05-26T09:02:04,0,100,0,100
2023-05-26T09:13:41,0,100,0,100
2023-05-26T09:25:17,0,100,0,100
2023-05-26T09:37:04,0,100,0,100
2023-05-26T09:48:41,0,100,0,100
2023-05-26T10:00:16,0,100,0,100
2023-05-26T10:11:53,0,100,0,100
