time,enrolled,available,waitlisted,total
2023-05-25T01:20:40,0,50,0,50
2023-05-25T01:32:16,0,50,0,50
2023-05-25T01:44:00,0,50,0,50
2023-05-25T01:55:35,0,50,0,50
2023-05-25T02:07:11,0,50,0,50
2023-05-25T02:18:47,0,50,0,50
2023-05-25T02:30:22,0,50,0,50
2023-05-25T02:41:56,0,50,0,50
2023-05-25T02:53:29,0,50,0,50
2023-05-25T03:05:02,0,50,0,50
2023-05-25T03:16:41,0,50,0,50
2023-05-25T03:28:39,0,50,0,50
2023-05-25T03:40:16,0,50,0,50
2023-05-25T03:51:52,0,50,0,50
2023-05-25T04:03:27,0,50,0,50
2023-05-25T04:23:14,0,50,0,50
2023-05-25T04:34:51,0,50,0,50
2023-05-25T04:46:28,0,50,0,50
2023-05-25T04:58:03,0,50,0,50
2023-05-25T05:09:40,0,50,0,50
2023-05-25T05:21:16,0,50,0,50
2023-05-25T05:32:53,0,50,0,50
2023-05-25T05:44:29,0,50,0,50
2023-05-25T05:56:06,0,50,0,50
2023-05-25T06:07:42,0,50,0,50
2023-05-25T06:19:17,0,50,0,50
2023-05-25T06:30:52,0,50,0,50
2023-05-25T06:42:27,0,50,0,50
2023-05-25T06:54:02,0,50,0,50
2023-05-25T07:05:38,0,50,0,50
2023-05-25T07:17:13,0,50,0,50
2023-05-25T07:28:47,0,50,0,50
2023-05-25T07:40:23,0,50,0,50
2023-05-25T07:51:58,0,50,0,50
2023-05-25T08:03:34,0,50,0,50
2023-05-25T08:15:08,0,50,0,50
2023-05-25T08:26:52,0,50,0,50
2023-05-25T08:38:25,0,50,0,50
2023-05-25T08:49:58,0,50,0,50
2023-05-25T09:01:31,0,50,0,50
2023-05-25T09:13:04,0,50,0,50
2023-05-25T09:24:37,0,50,0,50
2023-05-25T09:36:09,0,50,0,50
2023-05-25T09:47:42,0,50,0,50
2023-05-25T09:59:16,0,50,0,50
2023-05-25T10:11:00,0,50,0,50
2023-05-25T10:22:33,0,50,0,50
2023-05-25T10:34:06,0,50,0,50
2023-05-25T10:45:38,0,50,0,50
2023-05-25T10:57:21,0,50,0,50
2023-05-25T11:08:53,0,50,0,50
2023-05-25T11:20:26,0,50,0,50
2023-05-25T11:31:59,0,50,0,50
2023-05-25T11:43:32,0,50,0,50
2023-05-25T11:55:16,0,50,0,50
2023-05-25T12:06:49,0,50,0,50
2023-05-25T12:18:22,0,50,0,50
2023-05-25T12:29:55,0,50,0,50
2023-05-25T12:41:28,0,50,0,50
2023-05-25T12:53:00,0,50,0,50
2023-05-25T13:04:43,0,50,0,50
2023-05-25T13:16:16,0,50,0,50
2023-05-25T13:27:49,0,50,0,50
2023-05-25T13:39:23,0,50,0,50
2023-05-25T13:50:56,0,50,0,50
2023-05-25T14:02:40,0,50,0,50
2023-05-25T14:14:14,0,50,0,50
2023-05-25T14:25:47,0,50,0,50
2023-05-25T14:37:20,0,50,0,50
2023-05-25T14:48:53,0,50,0,50
2023-05-25T15:00:36,0,50,0,50
2023-05-25T15:12:11,0,50,0,50
2023-05-25T15:23:45,0,50,0,50
2023-05-25T15:35:20,0,50,0,50
2023-05-25T15:46:54,0,50,0,50
