time,enrolled,available,waitlisted,total
2023-05-25T01:20:42,0,9999,0,9999
2023-05-25T01:32:18,0,9999,0,9999
2023-05-25T01:44:02,0,9999,0,9999
2023-05-25T01:55:37,0,9999,0,9999
2023-05-25T02:07:13,0,9999,0,9999
2023-05-25T02:18:49,0,9999,0,9999
2023-05-25T02:30:24,0,9999,0,9999
2023-05-25T02:41:58,0,9999,0,9999
2023-05-25T02:53:31,0,9999,0,9999
2023-05-25T03:05:04,0,9999,0,9999
2023-05-25T03:16:43,0,9999,0,9999
2023-05-25T03:28:41,0,9999,0,9999
2023-05-25T03:40:18,0,9999,0,9999
2023-05-25T03:51:54,0,9999,0,9999
2023-05-25T04:03:29,0,9999,0,9999
2023-05-25T04:23:16,0,9999,0,9999
2023-05-25T04:34:53,0,9999,0,9999
2023-05-25T04:46:30,0,9999,0,9999
2023-05-25T04:58:05,0,9999,0,9999
2023-05-25T05:09:42,0,9999,0,9999
2023-05-25T05:21:19,0,9999,0,9999
2023-05-25T05:32:55,0,9999,0,9999
2023-05-25T05:44:31,0,9999,0,9999
2023-05-25T05:56:08,0,9999,0,9999
2023-05-25T06:07:44,0,9999,0,9999
2023-05-25T06:19:19,0,9999,0,9999
2023-05-25T06:30:54,0,9999,0,9999
2023-05-25T06:42:29,0,9999,0,9999
2023-05-25T06:54:04,0,9999,0,9999
2023-05-25T07:05:40,0,9999,0,9999
2023-05-25T07:17:15,0,9999,0,9999
2023-05-25T07:28:49,0,9999,0,9999
2023-05-25T07:40:25,0,9999,0,9999
2023-05-25T07:52:01,0,9999,0,9999
2023-05-25T08:03:36,0,9999,0,9999
2023-05-25T08:15:10,0,9999,0,9999
2023-05-25T08:26:54,0,9999,0,9999
2023-05-25T08:38:27,0,9999,0,9999
2023-05-25T08:50:00,0,9999,0,9999
2023-05-25T09:01:34,0,9999,0,9999
2023-05-25T09:13:06,0,9999,0,9999
2023-05-25T09:24:39,0,9999,0,9999
2023-05-25T09:36:11,0,9999,0,9999
2023-05-25T09:47:44,0,9999,0,9999
2023-05-25T09:59:18,0,9999,0,9999
2023-05-25T10:11:02,0,9999,0,9999
2023-05-25T10:22:35,0,9999,0,9999
2023-05-25T10:34:08,0,9999,0,9999
2023-05-25T10:45:40,0,9999,0,9999
2023-05-25T10:57:23,0,9999,0,9999
2023-05-25T11:08:56,0,9999,0,9999
2023-05-25T11:20:29,0,9999,0,9999
2023-05-25T11:32:01,0,9999,0,9999
2023-05-25T11:43:34,0,9999,0,9999
2023-05-25T11:55:18,0,9999,0,9999
2023-05-25T12:06:51,0,9999,0,9999
2023-05-25T12:18:24,0,9999,0,9999
2023-05-25T12:29:57,0,9999,0,9999
2023-05-25T12:41:30,0,9999,0,9999
2023-05-25T12:53:03,0,9999,0,9999
2023-05-25T13:04:46,0,9999,0,9999
2023-05-25T13:16:18,0,9999,0,9999
2023-05-25T13:27:52,0,9999,0,9999
2023-05-25T13:39:25,0,9999,0,9999
2023-05-25T13:50:58,0,9999,0,9999
2023-05-25T14:02:42,0,9999,0,9999
2023-05-25T14:14:16,0,9999,0,9999
2023-05-25T14:25:49,0,9999,0,9999
2023-05-25T14:37:22,0,9999,0,9999
2023-05-25T14:48:55,0,9999,0,9999
2023-05-25T15:00:39,0,9999,0,9999
2023-05-25T15:12:13,0,9999,0,9999
2023-05-25T15:23:47,0,9999,0,9999
2023-05-25T15:35:22,0,9999,0,9999
2023-05-25T15:46:56,0,9999,0,9999
2023-05-25T15:58:31,0,9999,0,9999
2023-05-25T16:10:16,0,9999,0,9999
2023-05-25T16:21:52,0,9999,0,9999
2023-05-25T16:33:27,0,9999,0,9999
2023-05-25T16:45:02,0,9999,0,9999
2023-05-25T16:56:37,0,9999,0,9999
2023-05-25T17:08:14,0,9999,0,9999
2023-05-25T17:20:01,0,9999,0,9999
2023-05-25T17:31:36,0,9999,0,9999
2023-05-25T17:43:12,0,9999,0,9999
2023-05-25T17:54:48,0,9999,0,9999
2023-05-25T18:06:25,0,9999,0,9999
2023-05-25T18:18:00,0,9999,0,9999
2023-05-25T18:29:36,0,9999,0,9999
2023-05-25T18:41:21,0,9999,0,9999
2023-05-25T18:52:57,0,9999,0,9999
2023-05-25T19:04:33,0,9999,0,9999
2023-05-25T19:16:09,0,9999,0,9999
2023-05-25T19:27:45,0,9999,0,9999
2023-05-25T19:39:21,0,9999,0,9999
2023-05-25T19:51:07,0,9999,0,9999
2023-05-25T20:02:42,0,9999,0,9999
2023-05-25T20:14:18,0,9999,0,9999
2023-05-25T20:25:54,0,9999,0,9999
2023-05-25T20:37:30,0,9999,0,9999
2023-05-25T20:49:05,0,9999,0,9999
2023-05-25T21:00:41,0,9999,0,9999
2023-05-25T21:12:17,0,9999,0,9999
2023-05-25T21:24:04,0,9999,0,9999
2023-05-25T21:35:39,0,9999,0,9999
2023-05-25T21:47:15,0,9999,0,9999
2023-05-25T21:58:51,0,9999,0,9999
2023-05-25T22:10:26,0,9999,0,9999
2023-05-25T22:22:02,0,9999,0,9999
2023-05-25T22:33:37,0,9999,0,9999
2023-05-25T22:45:23,0,9999,0,9999
2023-05-25T22:56:59,0,9999,0,9999
2023-05-25T23:08:37,0,9999,0,9999
2023-05-25T23:20:12,0,9999,0,9999
2023-05-25T23:31:48,0,9999,0,9999
2023-05-25T23:43:24,0,9999,0,9999
2023-05-25T23:55:01,0,9999,0,9999
2023-05-26T00:06:57,0,9999,0,9999
2023-05-26T00:18:37,0,9999,0,9999
2023-05-26T00:30:16,0,9999,0,9999
2023-05-26T00:41:55,0,9999,0,9999
2023-05-26T00:53:33,0,9999,0,9999
2023-05-26T01:05:13,0,9999,0,9999
2023-05-26T01:16:52,0,9999,0,9999
2023-05-26T01:28:30,0,9999,0,9999
2023-05-26T01:40:07,0,9999,0,9999
2023-05-26T01:51:56,0,9999,0,9999
2023-05-26T02:03:38,0,9999,0,9999
2023-05-26T02:15:16,0,9999,0,9999
2023-05-26T02:26:53,0,9999,0,9999
2023-05-26T02:38:32,0,9999,0,9999
2023-05-26T02:50:21,0,9999,0,9999
2023-05-26T03:02:01,0,9999,0,9999
2023-05-26T03:13:40,0,9999,0,9999
2023-05-26T03:25:22,0,9999,0,9999
2023-05-26T03:37:00,0,9999,0,9999
2023-05-26T03:48:38,0,9999,0,9999
2023-05-26T04:00:17,0,9999,0,9999
2023-05-26T04:12:05,0,9999,0,9999
2023-05-26T04:34:28,0,9999,0,9999
2023-05-26T04:46:09,0,9999,0,9999
2023-05-26T04:57:49,0,9999,0,9999
2023-05-26T05:09:32,0,9999,0,9999
2023-05-26T05:21:11,0,9999,0,9999
2023-05-26T05:32:49,0,9999,0,9999
2023-05-26T05:44:29,0,9999,0,9999
2023-05-26T05:56:07,0,9999,0,9999
2023-05-26T06:07:45,0,9999,0,9999
2023-05-26T06:19:25,0,9999,0,9999
2023-05-26T06:31:04,0,9999,0,9999
2023-05-26T06:42:43,0,9999,0,9999
2023-05-26T06:54:21,0,9999,0,9999
2023-05-26T07:05:59,0,9999,0,9999
2023-05-26T07:17:38,0,9999,0,9999
2023-05-26T07:29:16,0,9999,0,9999
2023-05-26T07:41:01,0,9999,0,9999
2023-05-26T07:52:39,0,9999,0,9999
2023-05-26T08:04:15,0,9999,0,9999
2023-05-26T08:15:51,1,9998,0,9999
2023-05-26T08:27:27,1,9998,0,9999
2023-05-26T08:39:04,2,9997,0,9999
2023-05-26T08:50:40,2,9997,0,9999
2023-05-26T09:02:15,2,9997,0,9999
2023-05-26T09:13:52,2,9997,0,9999
2023-05-26T09:25:28,2,9997,0,9999
2023-05-26T09:37:15,2,9997,0,9999
2023-05-26T09:48:52,2,9997,0,9999
2023-05-26T10:00:27,2,9997,0,9999
2023-05-26T10:12:04,2,9997,0,9999
2023-05-26T10:23:41,2,9997,0,9999
2023-05-26T10:35:17,2,9997,0,9999
2023-05-26T10:47:05,2,9997,0,9999
2023-05-26T10:58:41,2,9997,0,9999
2023-05-26T11:10:17,3,9996,0,9999
2023-05-26T11:21:54,3,9996,0,9999
2023-05-26T11:33:30,3,9996,0,9999
2023-05-26T11:45:17,3,9996,0,9999
2023-05-26T11:56:53,3,9996,0,9999
2023-05-26T12:08:29,3,9996,0,9999
2023-05-26T12:20:05,3,9996,0,9999
2023-05-26T12:31:41,3,9996,0,9999
2023-05-26T12:43:29,3,9996,0,9999
2023-05-26T12:55:04,3,9996,0,9999
2023-05-26T13:06:40,3,9996,0,9999
2023-05-26T13:18:16,3,9996,0,9999
2023-05-26T13:30:02,3,9996,0,9999
2023-05-26T13:41:38,3,9996,0,9999
2023-05-26T13:53:14,3,9996,0,9999
2023-05-26T14:04:50,3,9996,0,9999
2023-05-26T14:16:26,3,9996,0,9999
2023-05-26T14:28:13,3,9996,0,9999
2023-05-26T14:39:49,3,9996,0,9999
2023-05-26T14:51:25,3,9996,0,9999
2023-05-26T15:03:01,3,9996,0,9999
2023-05-26T15:14:39,3,9996,0,9999
