time,enrolled,available,waitlisted,total
2023-05-25T01:20:59,0,30,0,30
2023-05-25T01:32:35,0,30,0,30
2023-05-25T01:44:19,0,30,0,30
2023-05-25T01:55:55,0,30,0,30
2023-05-25T02:07:30,0,30,0,30
2023-05-25T02:19:07,0,30,0,30
2023-05-25T02:30:41,0,30,0,30
2023-05-25T02:42:15,0,30,0,30
2023-05-25T02:53:48,0,30,0,30
2023-05-25T03:05:21,0,30,0,30
2023-05-25T03:17:00,0,30,0,30
2023-05-25T03:28:58,0,30,0,30
2023-05-25T03:40:35,0,30,0,30
2023-05-25T03:52:11,0,30,0,30
2023-05-25T04:03:46,0,30,0,30
2023-05-25T04:23:34,0,30,0,30
2023-05-25T04:35:10,0,30,0,30
2023-05-25T04:46:47,0,30,0,30
2023-05-25T04:58:23,0,30,0,30
2023-05-25T05:09:59,0,30,0,30
2023-05-25T05:21:36,0,30,0,30
2023-05-25T05:33:13,0,30,0,30
2023-05-25T05:44:48,0,30,0,30
2023-05-25T05:56:25,0,30,0,30
2023-05-25T06:08:01,0,30,0,30
2023-05-25T06:19:36,0,30,0,30
2023-05-25T06:31:11,0,30,0,30
2023-05-25T06:42:46,0,30,0,30
2023-05-25T06:54:21,0,30,0,30
2023-05-25T07:05:57,0,30,0,30
2023-05-25T07:17:32,0,30,0,30
2023-05-25T07:29:06,0,30,0,30
2023-05-25T07:40:42,0,30,0,30
2023-05-25T07:52:18,0,30,0,30
2023-05-25T08:03:53,0,30,0,30
2023-05-25T08:15:27,0,30,0,30
2023-05-25T08:27:11,0,30,0,30
2023-05-25T08:38:45,0,30,0,30
2023-05-25T08:50:17,0,30,0,30
2023-05-25T09:01:51,0,30,0,30
2023-05-25T09:13:23,0,30,0,30
2023-05-25T09:24:56,0,30,0,30
2023-05-25T09:36:29,0,30,0,30
2023-05-25T09:48:01,0,30,0,30
2023-05-25T09:59:35,0,30,0,30
2023-05-25T10:11:19,0,30,0,30
2023-05-25T10:22:52,0,30,0,30
2023-05-25T10:34:25,0,30,0,30
2023-05-25T10:45:57,0,30,0,30
2023-05-25T10:57:40,0,30,0,30
2023-05-25T11:09:13,0,30,0,30
2023-05-25T11:20:46,0,30,0,30
2023-05-25T11:32:18,0,30,0,30
2023-05-25T11:43:51,0,30,0,30
2023-05-25T11:55:35,0,30,0,30
2023-05-25T12:07:08,0,30,0,30
2023-05-25T12:18:41,0,30,0,30
2023-05-25T12:30:14,0,30,0,30
2023-05-25T12:41:47,0,30,0,30
2023-05-25T12:53:20,0,30,0,30
2023-05-25T13:05:03,0,30,0,30
2023-05-25T13:16:35,0,30,0,30
2023-05-25T13:28:09,0,30,0,30
2023-05-25T13:39:42,0,30,0,30
2023-05-25T13:51:15,0,30,0,30
2023-05-25T14:02:59,0,30,0,30
2023-05-25T14:14:33,0,30,0,30
2023-05-25T14:26:06,0,30,0,30
2023-05-25T14:37:39,0,30,0,30
2023-05-25T14:49:12,0,30,0,30
2023-05-25T15:00:56,0,30,0,30
2023-05-25T15:12:30,0,30,0,30
2023-05-25T15:24:04,0,30,0,30
2023-05-25T15:35:39,0,30,0,30
2023-05-25T15:47:13,0,30,0,30
2023-05-25T15:58:48,0,30,0,30
2023-05-25T16:10:33,0,30,0,30
2023-05-25T16:22:09,0,30,0,30
2023-05-25T16:33:44,0,30,0,30
2023-05-25T16:45:19,0,30,0,30
2023-05-25T16:56:54,0,30,0,30
2023-05-25T17:08:31,0,30,0,30
2023-05-25T17:20:18,0,30,0,30
2023-05-25T17:31:53,0,30,0,30
