time,enrolled,available,waitlisted,total
2023-06-09T16:28:17,0,10,0,10
2023-06-09T16:40:02,0,10,0,10
2023-06-09T16:51:47,0,10,0,10
2023-06-09T17:03:32,0,10,0,10
2023-06-09T17:15:30,0,10,0,10
2023-06-09T17:27:15,0,10,0,10
2023-06-09T17:39:00,0,10,0,10
2023-06-09T17:50:45,0,10,0,10
2023-06-09T18:02:30,0,10,0,10
2023-06-09T18:14:15,0,10,0,10
2023-06-09T18:26:00,0,10,0,10
2023-06-09T18:37:45,0,10,0,10
2023-06-09T18:49:30,0,10,0,10
2023-06-09T19:01:26,0,10,0,10
2023-06-09T19:13:11,0,10,0,10
2023-06-09T19:24:56,0,10,0,10
2023-06-09T19:36:41,0,10,0,10
2023-06-09T19:48:27,0,10,0,10
2023-06-09T20:00:12,0,10,0,10
2023-06-09T20:11:57,0,10,0,10
2023-06-09T20:23:43,0,10,0,10
2023-06-09T20:35:46,0,10,0,10
2023-06-09T20:47:32,0,10,0,10
2023-06-09T20:59:16,0,10,0,10
2023-06-09T21:11:02,0,10,0,10
2023-06-09T21:22:47,0,10,0,10
2023-06-09T21:34:32,0,10,0,10
2023-06-09T21:46:17,0,10,0,10
2023-06-09T21:58:03,0,10,0,10
2023-06-09T22:09:48,0,10,0,10
2023-06-09T22:21:33,0,10,0,10
2023-06-09T22:33:18,0,10,0,10
2023-06-09T22:45:04,0,10,0,10
2023-06-09T22:57:00,0,10,0,10
2023-06-09T23:08:46,0,10,0,10
2023-06-09T23:20:32,0,10,0,10
2023-06-09T23:32:18,0,10,0,10
2023-06-09T23:44:04,0,10,0,10
2023-06-09T23:55:50,0,10,0,10
2023-06-10T00:07:37,0,10,0,10
2023-06-10T00:19:28,0,10,0,10
2023-06-10T00:31:16,0,10,0,10
2023-06-10T00:43:05,0,10,0,10
2023-06-10T00:55:15,0,10,0,10
2023-06-10T01:07:03,0,10,0,10
2023-06-10T01:18:52,0,10,0,10
2023-06-10T01:30:42,0,10,0,10
2023-06-10T01:42:32,0,10,0,10
2023-06-10T01:54:21,0,10,0,10
2023-06-10T02:06:11,0,10,0,10
2023-06-10T02:17:59,0,10,0,10
2023-06-10T02:29:46,0,10,0,10
2023-06-10T02:41:32,0,10,0,10
2023-06-10T02:53:18,0,10,0,10
2023-06-10T03:05:03,0,10,0,10
2023-06-10T03:16:51,0,10,0,10
2023-06-10T03:28:38,0,10,0,10
2023-06-10T03:40:25,0,10,0,10
2023-06-10T03:52:13,0,10,0,10
2023-06-10T04:04:02,0,10,0,10
2023-06-10T04:16:33,0,10,0,10
2023-06-10T04:34:22,0,10,0,10
2023-06-10T04:47:27,0,10,0,10
2023-06-10T04:59:37,0,10,0,10
2023-06-10T05:11:26,0,10,0,10
2023-06-10T05:23:15,0,10,0,10
2023-06-10T05:35:03,0,10,0,10
2023-06-10T05:46:51,0,10,0,10
2023-06-10T05:58:40,0,10,0,10
2023-06-10T06:10:28,0,10,0,10
2023-06-10T06:22:16,0,10,0,10
2023-06-10T06:34:04,0,10,0,10
2023-06-10T06:45:53,0,10,0,10
2023-06-10T06:57:41,0,10,0,10
2023-06-10T07:09:31,0,10,0,10
2023-06-10T07:21:19,0,10,0,10
2023-06-10T07:33:07,0,10,0,10
2023-06-10T07:44:57,0,10,0,10
2023-06-10T07:56:45,0,10,0,10
2023-06-10T08:08:41,0,10,0,10
2023-06-10T08:20:29,0,10,0,10
2023-06-10T08:32:17,0,10,0,10
2023-06-10T08:44:06,0,10,0,10
2023-06-10T08:55:54,0,10,0,10
2023-06-10T09:07:42,0,10,0,10
2023-06-10T09:19:29,0,10,0,10
2023-06-10T09:31:17,0,10,0,10
2023-06-10T09:43:05,0,10,0,10
2023-06-10T09:54:53,0,10,0,10
2023-06-10T10:06:39,0,10,0,10
2023-06-10T10:18:25,0,10,0,10
2023-06-10T10:30:11,0,10,0,10
2023-06-10T10:41:58,0,10,0,10
2023-06-10T10:53:44,0,10,0,10
2023-06-10T11:05:42,0,10,0,10
2023-06-10T11:17:27,0,10,0,10
2023-06-10T11:29:12,0,10,0,10
2023-06-10T11:40:57,0,10,0,10
2023-06-10T11:52:41,0,10,0,10
2023-06-10T12:04:26,0,10,0,10
2023-06-10T12:16:11,0,10,0,10
2023-06-10T12:27:56,0,10,0,10
2023-06-10T12:39:41,0,10,0,10
2023-06-10T12:51:26,0,10,0,10
2023-06-10T13:03:11,0,10,0,10
2023-06-10T13:14:56,0,10,0,10
2023-06-10T13:26:41,0,10,0,10
2023-06-10T13:38:35,0,10,0,10
2023-06-10T13:50:20,0,10,0,10
2023-06-10T14:02:05,0,10,0,10
2023-06-10T14:13:50,0,10,0,10
2023-06-10T14:25:34,0,10,0,10
2023-06-10T14:37:20,0,10,0,10
2023-06-10T14:49:05,0,10,0,10
2023-06-10T15:00:49,0,10,0,10
2023-06-10T15:12:34,0,10,0,10
2023-06-10T15:24:19,0,10,0,10
2023-06-10T15:36:04,0,10,0,10
2023-06-10T15:47:48,0,10,0,10
2023-06-10T15:59:43,0,10,0,10
2023-06-10T16:11:28,0,10,0,10
2023-06-10T16:23:13,0,10,0,10
2023-06-10T16:34:57,0,10,0,10
2023-06-10T16:46:42,0,10,0,10
2023-06-10T16:58:27,0,10,0,10
2023-06-10T17:10:13,0,10,0,10
2023-06-10T17:21:59,0,10,0,10
2023-06-10T17:33:44,0,10,0,10
2023-06-10T17:45:29,0,10,0,10
2023-06-10T17:57:14,0,10,0,10
2023-06-10T18:09:09,0,10,0,10
2023-06-10T18:20:54,0,10,0,10
2023-06-10T18:32:39,0,10,0,10
2023-06-10T18:44:24,0,10,0,10
2023-06-10T18:56:09,0,10,0,10
2023-06-10T19:07:54,0,10,0,10
2023-06-10T19:19:39,0,10,0,10
2023-06-10T19:31:24,0,10,0,10
2023-06-10T19:43:09,0,10,0,10
2023-06-10T19:54:55,0,10,0,10
2023-06-10T20:06:40,0,10,0,10
2023-06-10T20:18:25,0,10,0,10
2023-06-10T20:30:10,0,10,0,10
2023-06-10T20:42:04,0,10,0,10
2023-06-10T20:53:49,0,10,0,10
2023-06-10T21:05:35,0,10,0,10
2023-06-10T21:17:20,0,10,0,10
2023-06-10T21:29:05,0,10,0,10
2023-06-10T21:40:50,0,10,0,10
2023-06-10T21:52:35,0,10,0,10
2023-06-10T22:04:20,0,10,0,10
2023-06-10T22:16:05,0,10,0,10
2023-06-10T22:27:50,0,10,0,10
2023-06-10T22:39:35,0,10,0,10
2023-06-10T22:51:19,0,10,0,10
2023-06-10T23:03:04,0,10,0,10
2023-06-10T23:14:50,0,10,0,10
2023-06-10T23:26:45,0,10,0,10
2023-06-10T23:38:30,0,10,0,10
2023-06-10T23:50:15,0,10,0,10
2023-06-11T00:02:01,0,10,0,10
2023-06-11T00:13:53,0,10,0,10
2023-06-11T00:25:45,0,10,0,10
2023-06-11T00:37:33,0,10,0,10
2023-06-11T00:49:22,0,10,0,10
2023-06-11T01:01:11,0,10,0,10
2023-06-11T01:12:57,0,10,0,10
2023-06-11T01:24:44,0,10,0,10
2023-06-11T01:36:33,0,10,0,10
2023-06-11T01:48:21,0,10,0,10
2023-06-11T02:00:10,0,10,0,10
2023-06-11T02:11:59,0,10,0,10
2023-06-11T02:23:47,0,10,0,10
2023-06-11T02:35:36,0,10,0,10
2023-06-11T02:47:23,0,10,0,10
2023-06-11T02:59:10,0,10,0,10
2023-06-11T03:10:58,0,10,0,10
2023-06-11T03:22:56,0,10,0,10
