time,enrolled,available,waitlisted,total
2023-05-25T01:21:01,0,15,0,15
2023-05-25T01:32:37,0,15,0,15
2023-05-25T01:44:22,0,15,0,15
2023-05-25T01:55:57,0,15,0,15
2023-05-25T02:07:32,0,15,0,15
2023-05-25T02:19:09,0,15,0,15
2023-05-25T02:30:44,0,15,0,15
2023-05-25T02:42:18,0,15,0,15
2023-05-25T02:53:50,0,15,0,15
2023-05-25T03:05:24,0,15,0,15
2023-05-25T03:17:03,0,15,0,15
2023-05-25T03:29:01,0,15,0,15
2023-05-25T03:40:38,0,15,0,15
2023-05-25T03:52:14,0,15,0,15
2023-05-25T04:03:49,0,15,0,15
2023-05-25T04:23:36,0,15,0,15
2023-05-25T04:35:13,0,15,0,15
2023-05-25T04:46:49,0,15,0,15
2023-05-25T04:58:25,0,15,0,15
2023-05-25T05:10:02,0,15,0,15
2023-05-25T05:21:38,0,15,0,15
2023-05-25T05:33:15,0,15,0,15
2023-05-25T05:44:51,0,15,0,15
2023-05-25T05:56:27,0,15,0,15
2023-05-25T06:08:04,0,15,0,15
2023-05-25T06:19:39,0,15,0,15
2023-05-25T06:31:13,0,15,0,15
2023-05-25T06:42:48,0,15,0,15
2023-05-25T06:54:24,0,15,0,15
2023-05-25T07:06:00,0,15,0,15
2023-05-25T07:17:34,0,15,0,15
2023-05-25T07:29:08,0,15,0,15
2023-05-25T07:40:45,0,15,0,15
2023-05-25T07:52:20,0,15,0,15
2023-05-25T08:03:55,0,15,0,15
2023-05-25T08:15:29,0,15,0,15
2023-05-25T08:27:14,0,15,0,15
2023-05-25T08:38:47,0,15,0,15
2023-05-25T08:50:19,0,15,0,15
2023-05-25T09:01:53,0,15,0,15
2023-05-25T09:13:26,0,15,0,15
2023-05-25T09:24:58,0,15,0,15
2023-05-25T09:36:31,0,15,0,15
2023-05-25T09:48:03,0,15,0,15
2023-05-25T09:59:37,0,15,0,15
2023-05-25T10:11:22,0,15,0,15
2023-05-25T10:22:55,0,15,0,15
2023-05-25T10:34:28,0,15,0,15
2023-05-25T10:46:00,0,15,0,15
2023-05-25T10:57:43,0,15,0,15
2023-05-25T11:09:15,0,15,0,15
2023-05-25T11:20:48,0,15,0,15
2023-05-25T11:32:21,0,15,0,15
2023-05-25T11:43:53,0,15,0,15
2023-05-25T11:55:38,0,15,0,15
2023-05-25T12:07:11,0,15,0,15
2023-05-25T12:18:43,0,15,0,15
2023-05-25T12:30:16,0,15,0,15
2023-05-25T12:41:49,0,15,0,15
2023-05-25T12:53:22,0,15,0,15
2023-05-25T13:05:05,0,15,0,15
2023-05-25T13:16:38,0,15,0,15
2023-05-25T13:28:11,0,15,0,15
2023-05-25T13:39:44,0,15,0,15
2023-05-25T13:51:17,0,15,0,15
2023-05-25T14:03:02,0,15,0,15
2023-05-25T14:14:35,0,15,0,15
2023-05-25T14:26:09,0,15,0,15
2023-05-25T14:37:42,0,15,0,15
2023-05-25T14:49:14,0,15,0,15
2023-05-25T15:00:58,0,15,0,15
2023-05-25T15:12:32,0,15,0,15
2023-05-25T15:24:07,0,15,0,15
2023-05-25T15:35:41,0,15,0,15
2023-05-25T15:47:16,0,15,0,15
2023-05-25T15:58:51,0,15,0,15
2023-05-25T16:10:36,0,15,0,15
2023-05-25T16:22:11,0,15,0,15
2023-05-25T16:33:46,0,15,0,15
2023-05-25T16:45:21,0,15,0,15
2023-05-25T16:56:56,0,15,0,15
2023-05-25T17:08:33,0,15,0,15
2023-05-25T17:20:21,0,15,0,15
2023-05-25T17:31:56,0,15,0,15
2023-05-25T17:43:31,0,15,0,15
2023-05-25T17:55:07,0,15,0,15
2023-05-25T18:06:44,0,15,0,15
2023-05-25T18:18:20,0,15,0,15
2023-05-25T18:29:55,0,15,0,15
2023-05-25T18:41:41,0,15,0,15
2023-05-25T18:53:17,0,15,0,15
2023-05-25T19:04:53,0,15,0,15
2023-05-25T19:16:29,0,15,0,15
2023-05-25T19:28:04,0,15,0,15
2023-05-25T19:39:40,0,15,0,15
2023-05-25T19:51:26,0,15,0,15
2023-05-25T20:03:02,0,15,0,15
2023-05-25T20:14:38,0,15,0,15
2023-05-25T20:26:14,0,15,0,15
2023-05-25T20:37:49,0,15,0,15
2023-05-25T20:49:25,0,15,0,15
2023-05-25T21:01:00,0,15,0,15
2023-05-25T21:12:36,0,15,0,15
2023-05-25T21:24:23,0,15,0,15
2023-05-25T21:35:59,0,15,0,15
2023-05-25T21:47:35,0,15,0,15
2023-05-25T21:59:10,0,15,0,15
2023-05-25T22:10:46,0,15,0,15
2023-05-25T22:22:21,0,15,0,15
2023-05-25T22:33:57,0,15,0,15
2023-05-25T22:45:43,0,15,0,15
2023-05-25T22:57:18,0,15,0,15
2023-05-25T23:08:57,0,15,0,15
2023-05-25T23:20:32,0,15,0,15
2023-05-25T23:32:08,0,15,0,15
2023-05-25T23:43:44,0,15,0,15
2023-05-25T23:55:21,0,15,0,15
2023-05-26T00:07:16,0,15,0,15
2023-05-26T00:18:56,0,15,0,15
2023-05-26T00:30:35,0,15,0,15
2023-05-26T00:42:14,0,15,0,15
2023-05-26T00:53:53,0,15,0,15
2023-05-26T01:05:33,0,15,0,15
2023-05-26T01:17:11,0,15,0,15
2023-05-26T01:28:49,0,15,0,15
2023-05-26T01:40:27,0,15,0,15
2023-05-26T01:52:15,0,15,0,15
2023-05-26T02:03:57,0,15,0,15
2023-05-26T02:15:35,0,15,0,15
2023-05-26T02:27:12,0,15,0,15
2023-05-26T02:38:52,0,15,0,15
2023-05-26T02:50:41,0,15,0,15
2023-05-26T03:02:21,0,15,0,15
2023-05-26T03:14:00,0,15,0,15
2023-05-26T03:25:41,0,15,0,15
2023-05-26T03:37:19,0,15,0,15
2023-05-26T03:48:58,0,15,0,15
2023-05-26T04:00:36,0,15,0,15
2023-05-26T04:12:25,0,15,0,15
2023-05-26T04:34:48,0,15,0,15
2023-05-26T04:46:29,0,15,0,15
2023-05-26T04:58:09,0,15,0,15
2023-05-26T05:09:51,0,15,0,15
2023-05-26T05:21:31,0,15,0,15
2023-05-26T05:33:09,0,15,0,15
2023-05-26T05:44:48,0,15,0,15
2023-05-26T05:56:27,0,15,0,15
2023-05-26T06:08:05,0,15,0,15
2023-05-26T06:19:45,0,15,0,15
2023-05-26T06:31:24,0,15,0,15
2023-05-26T06:43:02,0,15,0,15
2023-05-26T06:54:40,0,15,0,15
2023-05-26T07:06:19,0,15,0,15
2023-05-26T07:17:57,0,15,0,15
2023-05-26T07:29:44,0,15,0,15
2023-05-26T07:41:21,0,15,0,15
2023-05-26T07:52:59,0,15,0,15
2023-05-26T08:04:35,0,15,0,15
2023-05-26T08:16:11,0,15,0,15
2023-05-26T08:27:47,0,15,0,15
2023-05-26T08:39:23,0,15,0,15
2023-05-26T08:50:59,0,15,0,15
2023-05-26T09:02:35,0,15,0,15
2023-05-26T09:14:12,0,15,0,15
2023-05-26T09:25:48,0,15,0,15
2023-05-26T09:37:35,0,15,0,15
2023-05-26T09:49:11,0,15,0,15
2023-05-26T10:00:47,0,15,0,15
2023-05-26T10:12:24,0,15,0,15
2023-05-26T10:24:00,0,15,0,15
2023-05-26T10:35:36,0,15,0,15
2023-05-26T10:47:24,0,15,0,15
2023-05-26T10:59:00,0,15,0,15
2023-05-26T11:10:37,0,15,0,15
2023-05-26T11:22:14,0,15,0,15
2023-05-26T11:33:50,0,15,0,15
2023-05-26T11:45:36,0,15,0,15
2023-05-26T11:57:12,0,15,0,15
2023-05-26T12:08:49,0,15,0,15
2023-05-26T12:20:24,0,15,0,15
2023-05-26T12:32:01,0,15,0,15
2023-05-26T12:43:48,0,15,0,15
2023-05-26T12:55:24,0,15,0,15
2023-05-26T13:07:00,0,15,0,15
2023-05-26T13:18:35,0,15,0,15
2023-05-26T13:30:22,0,15,0,15
2023-05-26T13:41:58,0,15,0,15
2023-05-26T13:53:33,0,15,0,15
2023-05-26T14:05:10,0,15,0,15
2023-05-26T14:16:45,0,15,0,15
2023-05-26T14:28:32,0,15,0,15
2023-05-26T14:40:09,0,15,0,15
2023-05-26T14:51:45,0,15,0,15
2023-05-26T15:03:21,0,15,0,15
2023-05-26T15:14:59,0,15,0,15
2023-05-26T15:26:46,0,15,0,15
2023-05-26T15:38:21,0,15,0,15
2023-05-26T15:49:56,0,15,0,15
2023-05-26T16:01:33,0,15,0,15
2023-05-26T16:13:09,0,15,0,15
2023-05-26T16:24:44,0,15,0,15
2023-05-26T16:36:30,0,15,0,15
2023-05-26T16:48:06,0,15,0,15
2023-05-26T16:59:41,0,15,0,15
2023-05-26T17:11:18,0,15,0,15
2023-05-26T17:22:54,0,15,0,15
2023-05-26T17:34:30,0,15,0,15
2023-05-26T17:46:15,0,15,0,15
2023-05-26T17:57:51,0,15,0,15
2023-05-26T18:09:27,0,15,0,15
2023-05-26T18:21:03,0,15,0,15
2023-05-26T18:32:39,0,15,0,15
2023-05-26T18:44:14,0,15,0,15
2023-05-26T18:56:00,0,15,0,15
2023-05-26T19:07:36,0,15,0,15
2023-05-26T19:19:13,0,15,0,15
2023-05-26T19:30:49,0,15,0,15
2023-05-26T19:42:24,0,15,0,15
2023-05-26T19:53:59,0,15,0,15
2023-05-26T20:05:35,0,15,0,15
2023-05-26T20:17:21,0,15,0,15
2023-05-26T20:28:57,0,15,0,15
2023-05-26T20:40:32,0,15,0,15
2023-05-26T20:52:07,0,15,0,15
2023-05-26T21:03:43,0,15,0,15
2023-05-26T21:15:20,0,15,0,15
2023-05-26T21:26:56,0,15,0,15
2023-05-26T21:38:32,0,15,0,15
2023-05-26T21:50:18,0,15,0,15
2023-05-26T22:01:54,0,15,0,15
2023-05-26T22:13:30,0,15,0,15
2023-05-26T22:25:06,0,15,0,15
2023-05-26T22:36:43,0,15,0,15
2023-05-26T22:48:18,0,15,0,15
2023-05-26T22:59:54,0,15,0,15
2023-05-26T23:11:43,0,15,0,15
2023-05-26T23:23:19,0,15,0,15
2023-05-26T23:34:56,0,15,0,15
2023-05-26T23:46:32,0,15,0,15
2023-05-26T23:58:08,0,15,0,15
2023-05-27T00:09:46,0,15,0,15
2023-05-27T00:21:27,0,15,0,15
2023-05-27T00:33:05,0,15,0,15
2023-05-27T00:44:44,0,15,0,15
2023-05-27T00:56:23,0,15,0,15
2023-05-27T01:08:02,0,15,0,15
2023-05-27T01:19:51,0,15,0,15
2023-05-27T01:31:30,0,15,0,15
2023-05-27T01:43:09,0,15,0,15
2023-05-27T01:54:48,0,15,0,15
2023-05-27T02:06:26,0,15,0,15
2023-05-27T02:18:04,0,15,0,15
2023-05-27T02:29:41,0,15,0,15
2023-05-27T02:41:18,0,15,0,15
2023-05-27T02:52:54,0,15,0,15
2023-05-27T03:04:30,0,15,0,15
2023-05-27T03:16:09,0,15,0,15
2023-05-27T03:27:46,0,15,0,15
2023-05-27T03:39:23,0,15,0,15
2023-05-27T03:51:01,0,15,0,15
2023-05-27T04:02:40,0,15,0,15
2023-05-27T04:14:33,0,15,0,15
2023-05-27T04:36:58,0,15,0,15
2023-05-27T04:49:05,0,15,0,15
2023-05-27T05:00:45,0,15,0,15
2023-05-27T05:12:24,0,15,0,15
2023-05-27T05:24:03,0,15,0,15
2023-05-27T05:35:43,0,15,0,15
2023-05-27T05:47:22,0,15,0,15
2023-05-27T05:59:00,0,15,0,15
2023-05-27T06:10:38,0,15,0,15
2023-05-27T06:22:19,0,15,0,15
2023-05-27T06:33:58,0,15,0,15
2023-05-27T06:45:37,0,15,0,15
2023-05-27T06:57:15,0,15,0,15
2023-05-27T07:08:53,0,15,0,15
2023-05-27T07:20:31,0,15,0,15
2023-05-27T07:32:09,0,15,0,15
2023-05-27T07:43:46,0,15,0,15
2023-05-27T07:55:37,0,15,0,15
2023-05-27T08:07:14,0,15,0,15
2023-05-27T08:18:52,0,15,0,15
2023-05-27T08:30:30,0,15,0,15
2023-05-27T08:42:09,0,15,0,15
2023-05-27T08:53:47,0,15,0,15
2023-05-27T09:05:25,0,15,0,15
2023-05-27T09:17:02,0,15,0,15
2023-05-27T09:28:41,0,15,0,15
