time,enrolled,available,waitlisted,total
2023-05-25T01:20:43,0,20,0,20
2023-05-25T01:32:19,0,20,0,20
2023-05-25T01:44:04,0,20,0,20
2023-05-25T01:55:39,0,20,0,20
2023-05-25T02:07:14,0,20,0,20
2023-05-25T02:18:51,0,20,0,20
2023-05-25T02:30:26,0,20,0,20
2023-05-25T02:42:00,0,20,0,20
2023-05-25T02:53:33,0,20,0,20
2023-05-25T03:05:06,0,20,0,20
2023-05-25T03:16:45,0,20,0,20
2023-05-25T03:28:43,0,20,0,20
2023-05-25T03:40:20,0,20,0,20
2023-05-25T03:51:56,0,20,0,20
2023-05-25T04:03:31,0,20,0,20
2023-05-25T04:23:18,0,20,0,20
2023-05-25T04:34:55,0,20,0,20
2023-05-25T04:46:31,0,20,0,20
2023-05-25T04:58:07,0,20,0,20
2023-05-25T05:09:44,0,20,0,20
2023-05-25T05:21:20,0,20,0,20
2023-05-25T05:32:57,0,20,0,20
2023-05-25T05:44:33,0,20,0,20
2023-05-25T05:56:09,0,20,0,20
2023-05-25T06:07:46,0,20,0,20
2023-05-25T06:19:21,0,20,0,20
2023-05-25T06:30:56,0,20,0,20
2023-05-25T06:42:31,0,20,0,20
2023-05-25T06:54:06,0,20,0,20
2023-05-25T07:05:42,0,20,0,20
2023-05-25T07:17:16,0,20,0,20
2023-05-25T07:28:50,0,20,0,20
2023-05-25T07:40:27,0,20,0,20
2023-05-25T07:52:02,0,20,0,20
2023-05-25T08:03:37,0,20,0,20
2023-05-25T08:15:11,0,20,0,20
2023-05-25T08:26:56,0,20,0,20
2023-05-25T08:38:29,0,20,0,20
2023-05-25T08:50:02,0,20,0,20
2023-05-25T09:01:35,0,20,0,20
2023-05-25T09:13:08,0,20,0,20
2023-05-25T09:24:41,0,20,0,20
2023-05-25T09:36:13,0,20,0,20
2023-05-25T09:47:46,0,20,0,20
2023-05-25T09:59:19,0,20,0,20
2023-05-25T10:11:04,0,20,0,20
2023-05-25T10:22:37,0,20,0,20
2023-05-25T10:34:10,0,20,0,20
2023-05-25T10:45:42,0,20,0,20
2023-05-25T10:57:25,0,20,0,20
2023-05-25T11:08:57,0,20,0,20
2023-05-25T11:20:30,0,20,0,20
2023-05-25T11:32:03,0,20,0,20
2023-05-25T11:43:35,0,20,0,20
2023-05-25T11:55:20,0,20,0,20
2023-05-25T12:06:53,0,20,0,20
2023-05-25T12:18:26,0,20,0,20
2023-05-25T12:29:58,0,20,0,20
2023-05-25T12:41:31,0,20,0,20
2023-05-25T12:53:04,0,20,0,20
2023-05-25T13:04:47,0,20,0,20
2023-05-25T13:16:20,0,20,0,20
2023-05-25T13:27:53,0,20,0,20
2023-05-25T13:39:26,0,20,0,20
2023-05-25T13:51:00,0,20,0,20
2023-05-25T14:02:44,0,20,0,20
2023-05-25T14:14:18,0,20,0,20
2023-05-25T14:25:51,0,20,0,20
2023-05-25T14:37:24,0,20,0,20
2023-05-25T14:48:56,0,20,0,20
2023-05-25T15:00:40,0,20,0,20
2023-05-25T15:12:14,0,20,0,20
2023-05-25T15:23:49,0,20,0,20
2023-05-25T15:35:23,0,20,0,20
2023-05-25T15:46:58,0,20,0,20
2023-05-25T15:58:33,0,20,0,20
2023-05-25T16:10:18,0,20,0,20
2023-05-25T16:21:53,0,20,0,20
2023-05-25T16:33:28,0,20,0,20
2023-05-25T16:45:03,0,20,0,20
2023-05-25T16:56:39,0,20,0,20
2023-05-25T17:08:15,0,20,0,20
2023-05-25T17:20:03,0,20,0,20
2023-05-25T17:31:38,0,20,0,20
2023-05-25T17:43:14,0,20,0,20
2023-05-25T17:54:50,0,20,0,20
2023-05-25T18:06:26,0,20,0,20
2023-05-25T18:18:02,0,20,0,20
2023-05-25T18:29:37,0,20,0,20
2023-05-25T18:41:23,0,20,0,20
2023-05-25T18:52:59,0,20,0,20
2023-05-25T19:04:35,0,20,0,20
2023-05-25T19:16:11,0,20,0,20
2023-05-25T19:27:46,0,20,0,20
2023-05-25T19:39:22,0,20,0,20
2023-05-25T19:51:08,0,20,0,20
2023-05-25T20:02:44,0,20,0,20
2023-05-25T20:14:20,0,20,0,20
2023-05-25T20:25:56,0,20,0,20
2023-05-25T20:37:31,0,20,0,20
2023-05-25T20:49:07,0,20,0,20
2023-05-25T21:00:43,0,20,0,20
2023-05-25T21:12:19,0,20,0,20
2023-05-25T21:24:06,0,20,0,20
2023-05-25T21:35:41,0,20,0,20
2023-05-25T21:47:17,0,20,0,20
2023-05-25T21:58:52,0,20,0,20
2023-05-25T22:10:28,0,20,0,20
2023-05-25T22:22:03,0,20,0,20
2023-05-25T22:33:39,0,20,0,20
2023-05-25T22:45:25,0,20,0,20
