time,enrolled,available,waitlisted,total
2023-05-25T01:20:48,0,15,0,15
2023-05-25T01:32:24,0,15,0,15
2023-05-25T01:44:09,0,15,0,15
2023-05-25T01:55:44,0,15,0,15
2023-05-25T02:07:19,0,15,0,15
2023-05-25T02:18:56,0,15,0,15
2023-05-25T02:30:31,0,15,0,15
2023-05-25T02:42:04,0,15,0,15
2023-05-25T02:53:37,0,15,0,15
2023-05-25T03:05:11,0,15,0,15
2023-05-25T03:16:49,0,15,0,15
2023-05-25T03:28:48,0,15,0,15
2023-05-25T03:40:25,0,15,0,15
2023-05-25T03:52:00,0,15,0,15
2023-05-25T04:03:36,0,15,0,15
2023-05-25T04:23:23,0,15,0,15
2023-05-25T04:35:00,0,15,0,15
2023-05-25T04:46:36,0,15,0,15
2023-05-25T04:58:12,0,15,0,15
2023-05-25T05:09:49,0,15,0,15
2023-05-25T05:21:25,0,15,0,15
2023-05-25T05:33:02,0,15,0,15
2023-05-25T05:44:38,0,15,0,15
2023-05-25T05:56:14,0,15,0,15
2023-05-25T06:07:50,0,15,0,15
2023-05-25T06:19:26,0,15,0,15
2023-05-25T06:31:00,0,15,0,15
2023-05-25T06:42:35,0,15,0,15
2023-05-25T06:54:11,0,15,0,15
2023-05-25T07:05:46,0,15,0,15
2023-05-25T07:17:21,0,15,0,15
2023-05-25T07:28:55,0,15,0,15
2023-05-25T07:40:31,0,15,0,15
2023-05-25T07:52:07,0,15,0,15
2023-05-25T08:03:42,0,15,0,15
2023-05-25T08:15:16,0,15,0,15
2023-05-25T08:27:01,0,15,0,15
2023-05-25T08:38:34,0,15,0,15
2023-05-25T08:50:06,0,15,0,15
2023-05-25T09:01:40,0,15,0,15
2023-05-25T09:13:13,0,15,0,15
2023-05-25T09:24:45,0,15,0,15
2023-05-25T09:36:18,0,15,0,15
2023-05-25T09:47:50,0,15,0,15
2023-05-25T09:59:24,0,15,0,15
2023-05-25T10:11:08,0,15,0,15
2023-05-25T10:22:41,0,15,0,15
2023-05-25T10:34:14,0,15,0,15
2023-05-25T10:45:47,0,15,0,15
2023-05-25T10:57:29,0,15,0,15
2023-05-25T11:09:02,0,15,0,15
2023-05-25T11:20:35,0,15,0,15
2023-05-25T11:32:07,0,15,0,15
2023-05-25T11:43:40,0,15,0,15
2023-05-25T11:55:25,0,15,0,15
2023-05-25T12:06:57,0,15,0,15
2023-05-25T12:18:30,0,15,0,15
2023-05-25T12:30:03,0,15,0,15
2023-05-25T12:41:36,0,15,0,15
2023-05-25T12:53:09,0,15,0,15
2023-05-25T13:04:52,0,15,0,15
2023-05-25T13:16:25,0,15,0,15
2023-05-25T13:27:58,0,15,0,15
2023-05-25T13:39:31,0,15,0,15
2023-05-25T13:51:04,0,15,0,15
2023-05-25T14:02:48,0,15,0,15
2023-05-25T14:14:22,0,15,0,15
2023-05-25T14:25:55,0,15,0,15
2023-05-25T14:37:28,0,15,0,15
2023-05-25T14:49:01,0,15,0,15
2023-05-25T15:00:45,0,15,0,15
2023-05-25T15:12:19,0,15,0,15
2023-05-25T15:23:54,0,15,0,15
2023-05-25T15:35:28,0,15,0,15
2023-05-25T15:47:03,0,15,0,15
2023-05-25T15:58:37,0,15,0,15
2023-05-25T16:10:23,0,15,0,15
2023-05-25T16:21:58,0,15,0,15
2023-05-25T16:33:33,0,15,0,15
2023-05-25T16:45:08,0,15,0,15
2023-05-25T16:56:43,0,15,0,15
2023-05-25T17:08:20,0,15,0,15
2023-05-25T17:20:08,0,15,0,15
2023-05-25T17:31:43,0,15,0,15
2023-05-25T17:43:18,0,15,0,15
2023-05-25T17:54:54,0,15,0,15
2023-05-25T18:06:31,0,15,0,15
2023-05-25T18:18:07,0,15,0,15
2023-05-25T18:29:42,0,15,0,15
2023-05-25T18:41:28,0,15,0,15
2023-05-25T18:53:03,0,15,0,15
2023-05-25T19:04:40,0,15,0,15
2023-05-25T19:16:16,0,15,0,15
2023-05-25T19:27:51,0,15,0,15
2023-05-25T19:39:27,0,15,0,15
2023-05-25T19:51:13,0,15,0,15
2023-05-25T20:02:49,0,15,0,15
2023-05-25T20:14:24,0,15,0,15
2023-05-25T20:26:01,0,15,0,15
2023-05-25T20:37:36,0,15,0,15
2023-05-25T20:49:11,0,15,0,15
2023-05-25T21:00:47,0,15,0,15
2023-05-25T21:12:23,0,15,0,15
2023-05-25T21:24:10,0,15,0,15
2023-05-25T21:35:46,0,15,0,15
2023-05-25T21:47:22,0,15,0,15
2023-05-25T21:58:57,0,15,0,15
2023-05-25T22:10:33,0,15,0,15
2023-05-25T22:22:08,0,15,0,15
2023-05-25T22:33:43,0,15,0,15
2023-05-25T22:45:30,0,15,0,15
2023-05-25T22:57:05,0,15,0,15
2023-05-25T23:08:43,0,15,0,15
2023-05-25T23:20:19,0,15,0,15
2023-05-25T23:31:55,0,15,0,15
2023-05-25T23:43:31,0,15,0,15
2023-05-25T23:55:08,0,15,0,15
2023-05-26T00:07:03,0,15,0,15
2023-05-26T00:18:43,0,15,0,15
2023-05-26T00:30:22,0,15,0,15
2023-05-26T00:42:01,0,15,0,15
2023-05-26T00:53:40,0,15,0,15
2023-05-26T01:05:19,0,15,0,15
2023-05-26T01:16:58,0,15,0,15
2023-05-26T01:28:36,0,15,0,15
2023-05-26T01:40:14,0,15,0,15
2023-05-26T01:52:02,0,15,0,15
2023-05-26T02:03:44,0,15,0,15
2023-05-26T02:15:22,0,15,0,15
2023-05-26T02:26:59,0,15,0,15
2023-05-26T02:38:38,0,15,0,15
2023-05-26T02:50:27,0,15,0,15
2023-05-26T03:02:07,0,15,0,15
2023-05-26T03:13:47,0,15,0,15
2023-05-26T03:25:28,0,15,0,15
2023-05-26T03:37:06,0,15,0,15
2023-05-26T03:48:45,0,15,0,15
2023-05-26T04:00:23,0,15,0,15
2023-05-26T04:12:11,0,15,0,15
2023-05-26T04:34:35,0,15,0,15
2023-05-26T04:46:16,0,15,0,15
2023-05-26T04:57:56,0,15,0,15
2023-05-26T05:09:38,0,15,0,15
2023-05-26T05:21:17,0,15,0,15
2023-05-26T05:32:56,0,15,0,15
2023-05-26T05:44:35,0,15,0,15
2023-05-26T05:56:14,0,15,0,15
2023-05-26T06:07:52,0,15,0,15
2023-05-26T06:19:32,0,15,0,15
2023-05-26T06:31:10,0,15,0,15
2023-05-26T06:42:49,0,15,0,15
2023-05-26T06:54:27,0,15,0,15
2023-05-26T07:06:06,0,15,0,15
2023-05-26T07:17:44,0,15,0,15
2023-05-26T07:29:22,0,15,0,15
2023-05-26T07:41:08,0,15,0,15
2023-05-26T07:52:45,0,15,0,15
2023-05-26T08:04:21,0,15,0,15
2023-05-26T08:15:58,0,15,0,15
2023-05-26T08:27:34,0,15,0,15
2023-05-26T08:39:10,0,15,0,15
2023-05-26T08:50:46,0,15,0,15
2023-05-26T09:02:22,0,15,0,15
2023-05-26T09:13:59,0,15,0,15
2023-05-26T09:25:35,0,15,0,15
2023-05-26T09:37:22,0,15,0,15
2023-05-26T09:48:58,0,15,0,15
2023-05-26T10:00:34,0,15,0,15
2023-05-26T10:12:11,0,15,0,15
2023-05-26T10:23:47,0,15,0,15
2023-05-26T10:35:23,0,15,0,15
2023-05-26T10:47:11,0,15,0,15
2023-05-26T10:58:47,0,15,0,15
2023-05-26T11:10:24,0,15,0,15
2023-05-26T11:22:01,0,15,0,15
2023-05-26T11:33:37,0,15,0,15
2023-05-26T11:45:23,0,15,0,15
2023-05-26T11:56:59,0,15,0,15
2023-05-26T12:08:36,0,15,0,15
2023-05-26T12:20:11,0,15,0,15
2023-05-26T12:31:48,0,15,0,15
2023-05-26T12:43:35,0,15,0,15
2023-05-26T12:55:10,0,15,0,15
2023-05-26T13:06:47,0,15,0,15
2023-05-26T13:18:22,0,15,0,15
2023-05-26T13:30:08,0,15,0,15
2023-05-26T13:41:45,0,15,0,15
2023-05-26T13:53:20,0,15,0,15
2023-05-26T14:04:56,0,15,0,15
2023-05-26T14:16:32,0,15,0,15
2023-05-26T14:28:19,0,15,0,15
2023-05-26T14:39:55,0,15,0,15
2023-05-26T14:51:32,0,15,0,15
2023-05-26T15:03:08,0,15,0,15
2023-05-26T15:14:46,0,15,0,15
2023-05-26T15:26:32,0,15,0,15
2023-05-26T15:38:08,0,15,0,15
2023-05-26T15:49:43,0,15,0,15
2023-05-26T16:01:20,0,15,0,15
2023-05-26T16:12:56,0,15,0,15
2023-05-26T16:24:31,0,15,0,15
2023-05-26T16:36:17,0,15,0,15
2023-05-26T16:47:52,0,15,0,15
2023-05-26T16:59:28,0,15,0,15
2023-05-26T17:11:05,0,15,0,15
2023-05-26T17:22:41,0,15,0,15
2023-05-26T17:34:17,0,15,0,15
2023-05-26T17:46:02,0,15,0,15
2023-05-26T17:57:38,0,15,0,15
2023-05-26T18:09:14,0,15,0,15
2023-05-26T18:20:50,0,15,0,15
2023-05-26T18:32:25,0,15,0,15
2023-05-26T18:44:01,0,15,0,15
2023-05-26T18:55:47,0,15,0,15
2023-05-26T19:07:23,0,15,0,15
2023-05-26T19:18:59,0,15,0,15
2023-05-26T19:30:36,0,15,0,15
2023-05-26T19:42:11,0,15,0,15
2023-05-26T19:53:46,0,15,0,15
2023-05-26T20:05:22,0,15,0,15
2023-05-26T20:17:07,0,15,0,15
2023-05-26T20:28:44,0,15,0,15
2023-05-26T20:40:19,0,15,0,15
2023-05-26T20:51:54,0,15,0,15
2023-05-26T21:03:30,0,15,0,15
2023-05-26T21:15:07,0,15,0,15
2023-05-26T21:26:43,0,15,0,15
2023-05-26T21:38:18,0,15,0,15
2023-05-26T21:50:05,0,15,0,15
2023-05-26T22:01:41,0,15,0,15
2023-05-26T22:13:17,0,15,0,15
2023-05-26T22:24:53,0,15,0,15
2023-05-26T22:36:29,0,15,0,15
2023-05-26T22:48:05,0,15,0,15
2023-05-26T22:59:40,0,15,0,15
2023-05-26T23:11:30,0,15,0,15
2023-05-26T23:23:06,0,15,0,15
2023-05-26T23:34:42,0,15,0,15
2023-05-26T23:46:19,0,15,0,15
2023-05-26T23:57:55,0,15,0,15
2023-05-27T00:09:32,0,15,0,15
2023-05-27T00:21:14,0,15,0,15
2023-05-27T00:32:52,0,15,0,15
2023-05-27T00:44:31,0,15,0,15
2023-05-27T00:56:10,0,15,0,15
2023-05-27T01:07:49,0,15,0,15
2023-05-27T01:19:38,0,15,0,15
2023-05-27T01:31:17,0,15,0,15
2023-05-27T01:42:56,0,15,0,15
2023-05-27T01:54:35,0,15,0,15
2023-05-27T02:06:12,0,15,0,15
2023-05-27T02:17:51,0,15,0,15
2023-05-27T02:29:28,0,15,0,15
2023-05-27T02:41:05,0,15,0,15
2023-05-27T02:52:41,0,15,0,15
2023-05-27T03:04:17,0,15,0,15
2023-05-27T03:15:55,0,15,0,15
2023-05-27T03:27:33,0,15,0,15
2023-05-27T03:39:10,0,15,0,15
2023-05-27T03:50:47,0,15,0,15
2023-05-27T04:02:26,0,15,0,15
2023-05-27T04:14:20,0,15,0,15
2023-05-27T04:36:34,0,15,0,15
2023-05-27T04:48:52,0,15,0,15
2023-05-27T05:00:32,0,15,0,15
2023-05-27T05:12:10,0,15,0,15
2023-05-27T05:23:49,0,15,0,15
2023-05-27T05:35:30,0,15,0,15
2023-05-27T05:47:09,0,15,0,15
2023-05-27T05:58:47,0,15,0,15
2023-05-27T06:10:25,0,15,0,15
2023-05-27T06:22:06,0,15,0,15
2023-05-27T06:33:45,0,15,0,15
2023-05-27T06:45:23,0,15,0,15
2023-05-27T06:57:02,0,15,0,15
2023-05-27T07:08:40,0,15,0,15
2023-05-27T07:20:18,0,15,0,15
2023-05-27T07:31:56,0,15,0,15
2023-05-27T07:43:33,0,15,0,15
2023-05-27T07:55:24,0,15,0,15
2023-05-27T08:07:01,0,15,0,15
2023-05-27T08:18:39,0,15,0,15
2023-05-27T08:30:17,0,15,0,15
2023-05-27T08:41:56,0,15,0,15
2023-05-27T08:53:33,0,15,0,15
2023-05-27T09:05:11,0,15,0,15
2023-05-27T09:16:49,0,15,0,15
2023-05-27T09:28:28,0,15,0,15
2023-05-27T09:40:06,0,15,0,15
2023-05-27T09:51:44,0,15,0,15
2023-05-27T10:03:21,0,15,0,15
2023-05-27T10:15:15,0,15,0,15
2023-05-27T10:26:52,0,15,0,15
2023-05-27T10:38:30,0,15,0,15
2023-05-27T10:50:06,0,15,0,15
2023-05-27T11:01:43,0,15,0,15
2023-05-27T11:13:18,0,15,0,15
2023-05-27T11:24:54,0,15,0,15
2023-05-27T11:36:29,0,15,0,15
2023-05-27T11:48:04,0,15,0,15
2023-05-27T11:59:38,0,15,0,15
2023-05-27T12:11:23,0,15,0,15
2023-05-27T12:22:58,0,15,0,15
2023-05-27T12:34:34,0,15,0,15
2023-05-27T12:46:09,0,15,0,15
2023-05-27T12:57:44,0,15,0,15
2023-05-27T13:09:20,0,15,0,15
2023-05-27T13:20:55,0,15,0,15
2023-05-27T13:32:50,0,15,0,15
2023-05-27T13:44:25,0,15,0,15
2023-05-27T13:56:00,0,15,0,15
2023-05-27T14:07:36,0,15,0,15
2023-05-27T14:19:11,0,15,0,15
2023-05-27T14:30:47,0,15,0,15
2023-05-27T14:42:22,0,15,0,15
2023-05-27T14:53:57,0,15,0,15
2023-05-27T15:05:43,0,15,0,15
2023-05-27T15:17:18,0,15,0,15
2023-05-27T15:28:53,0,15,0,15
2023-05-27T15:40:28,0,15,0,15
2023-05-27T15:52:03,0,15,0,15
2023-05-27T16:03:38,0,15,0,15
2023-05-27T16:15:13,0,15,0,15
2023-05-27T16:26:58,0,15,0,15
2023-05-27T16:38:33,0,15,0,15
2023-05-27T16:50:09,0,15,0,15
2023-05-27T17:01:44,0,15,0,15
2023-05-27T17:13:22,0,15,0,15
2023-05-27T17:24:58,0,15,0,15
2023-05-27T17:36:34,0,15,0,15
2023-05-27T17:48:19,0,15,0,15
2023-05-27T17:59:54,0,15,0,15
2023-05-27T18:11:30,0,15,0,15
2023-05-27T18:23:05,0,15,0,15
2023-05-27T18:34:41,0,15,0,15
2023-05-27T18:46:15,0,15,0,15
2023-05-27T18:57:51,0,15,0,15
2023-05-27T19:09:47,0,15,0,15
2023-05-27T19:21:22,0,15,0,15
2023-05-27T19:32:58,0,15,0,15
2023-05-27T19:44:34,0,15,0,15
2023-05-27T19:56:09,0,15,0,15
2023-05-27T20:07:44,0,15,0,15
2023-05-27T20:19:19,0,15,0,15
2023-05-27T20:30:55,0,15,0,15
2023-05-27T20:42:30,0,15,0,15
2023-05-27T20:54:14,0,15,0,15
2023-05-27T21:05:50,0,15,0,15
2023-05-27T21:17:25,0,15,0,15
2023-05-27T21:29:00,0,15,0,15
2023-05-27T21:40:36,0,15,0,15
2023-05-27T21:52:11,0,15,0,15
2023-05-27T22:03:47,0,15,0,15
2023-05-27T22:15:31,0,15,0,15
2023-05-27T22:27:07,0,15,0,15
2023-05-27T22:38:42,0,15,0,15
2023-05-27T22:50:18,0,15,0,15
2023-05-27T23:01:55,0,15,0,15
2023-05-27T23:13:33,0,15,0,15
2023-05-27T23:25:09,0,15,0,15
2023-05-27T23:37:01,0,15,0,15
2023-05-27T23:48:36,0,15,0,15
2023-05-28T00:00:12,0,15,0,15
2023-05-28T00:11:50,0,15,0,15
2023-05-28T00:23:30,0,15,0,15
2023-05-28T00:35:08,0,15,0,15
2023-05-28T00:46:45,0,15,0,15
2023-05-28T00:58:22,0,15,0,15
2023-05-28T01:09:58,0,15,0,15
2023-05-28T01:21:35,0,15,0,15
2023-05-28T01:33:20,0,15,0,15
2023-05-28T01:44:55,0,15,0,15
2023-05-28T01:56:31,0,15,0,15
2023-05-28T02:08:06,0,15,0,15
2023-05-28T02:19:42,0,15,0,15
2023-05-28T02:31:20,0,15,0,15
2023-05-28T02:43:00,0,15,0,15
2023-05-28T02:54:40,0,15,0,15
2023-05-28T03:06:21,0,15,0,15
2023-05-28T03:18:01,0,15,0,15
2023-05-28T03:29:40,0,15,0,15
2023-05-28T03:41:40,0,15,0,15
2023-05-28T03:54:07,0,15,0,15
2023-05-28T04:06:06,0,15,0,15
2023-05-28T04:31:45,0,15,0,15
2023-05-28T04:44:58,0,15,0,15
2023-05-28T04:56:39,0,15,0,15
2023-05-28T05:08:18,0,15,0,15
2023-05-28T05:19:56,0,15,0,15
2023-05-28T05:31:35,0,15,0,15
2023-05-28T05:43:18,0,15,0,15
2023-05-28T05:54:58,0,15,0,15
2023-05-28T06:06:37,0,15,0,15
2023-05-28T06:18:16,0,15,0,15
