time,enrolled,available,waitlisted,total
2023-05-25T01:20:50,0,45,0,45
2023-05-25T01:32:26,0,45,0,45
2023-05-25T01:44:11,0,45,0,45
2023-05-25T01:55:46,0,45,0,45
2023-05-25T02:07:21,0,45,0,45
2023-05-25T02:18:58,0,45,0,45
2023-05-25T02:30:33,0,45,0,45
2023-05-25T02:42:07,0,45,0,45
2023-05-25T02:53:39,0,45,0,45
2023-05-25T03:05:13,0,45,0,45
2023-05-25T03:16:51,0,45,0,45
2023-05-25T03:28:50,0,45,0,45
2023-05-25T03:40:27,0,45,0,45
2023-05-25T03:52:02,0,45,0,45
2023-05-25T04:03:38,0,45,0,45
2023-05-25T04:23:25,0,45,0,45
2023-05-25T04:35:02,0,45,0,45
2023-05-25T04:46:38,0,45,0,45
2023-05-25T04:58:14,0,45,0,45
2023-05-25T05:09:51,0,45,0,45
2023-05-25T05:21:27,0,45,0,45
2023-05-25T05:33:04,0,45,0,45
2023-05-25T05:44:40,0,45,0,45
2023-05-25T05:56:16,0,45,0,45
2023-05-25T06:07:53,0,45,0,45
2023-05-25T06:19:28,0,45,0,45
2023-05-25T06:31:02,0,45,0,45
2023-05-25T06:42:37,0,45,0,45
2023-05-25T06:54:13,0,45,0,45
2023-05-25T07:05:48,0,45,0,45
2023-05-25T07:17:23,0,45,0,45
2023-05-25T07:28:57,0,45,0,45
2023-05-25T07:40:34,0,45,0,45
2023-05-25T07:52:09,0,45,0,45
2023-05-25T08:03:44,0,45,0,45
2023-05-25T08:15:18,0,45,0,45
2023-05-25T08:27:03,0,45,0,45
2023-05-25T08:38:36,0,45,0,45
2023-05-25T08:50:08,0,45,0,45
2023-05-25T09:01:42,0,45,0,45
2023-05-25T09:13:15,0,45,0,45
2023-05-25T09:24:47,0,45,0,45
2023-05-25T09:36:20,0,45,0,45
2023-05-25T09:47:52,0,45,0,45
2023-05-25T09:59:26,0,45,0,45
2023-05-25T10:11:11,0,45,0,45
2023-05-25T10:22:44,0,45,0,45
2023-05-25T10:34:16,0,45,0,45
2023-05-25T10:45:49,0,45,0,45
2023-05-25T10:57:32,0,45,0,45
2023-05-25T11:09:04,0,45,0,45
2023-05-25T11:20:37,0,45,0,45
2023-05-25T11:32:10,0,45,0,45
2023-05-25T11:43:42,0,45,0,45
2023-05-25T11:55:27,0,45,0,45
2023-05-25T12:06:59,0,45,0,45
2023-05-25T12:18:32,0,45,0,45
2023-05-25T12:30:05,0,45,0,45
2023-05-25T12:41:38,0,45,0,45
2023-05-25T12:53:11,0,45,0,45
2023-05-25T13:04:54,0,45,0,45
2023-05-25T13:16:27,0,45,0,45
2023-05-25T13:28:00,0,45,0,45
2023-05-25T13:39:33,0,45,0,45
2023-05-25T13:51:06,0,45,0,45
2023-05-25T14:02:51,0,45,0,45
2023-05-25T14:14:24,0,45,0,45
2023-05-25T14:25:58,0,45,0,45
2023-05-25T14:37:30,0,45,0,45
2023-05-25T14:49:03,0,45,0,45
2023-05-25T15:00:47,0,45,0,45
2023-05-25T15:12:21,0,45,0,45
2023-05-25T15:23:56,0,45,0,45
2023-05-25T15:35:30,0,45,0,45
2023-05-25T15:47:05,0,45,0,45
2023-05-25T15:58:40,0,45,0,45
2023-05-25T16:10:25,0,45,0,45
2023-05-25T16:22:00,0,45,0,45
2023-05-25T16:33:35,0,45,0,45
2023-05-25T16:45:10,0,45,0,45
2023-05-25T16:56:45,0,45,0,45
2023-05-25T17:08:22,0,45,0,45
2023-05-25T17:20:10,0,45,0,45
2023-05-25T17:31:45,0,45,0,45
2023-05-25T17:43:20,0,45,0,45
2023-05-25T17:54:56,0,45,0,45
2023-05-25T18:06:33,0,45,0,45
2023-05-25T18:18:09,0,45,0,45
2023-05-25T18:29:44,0,45,0,45
2023-05-25T18:41:30,0,45,0,45
2023-05-25T18:53:06,0,45,0,45
2023-05-25T19:04:42,0,45,0,45
2023-05-25T19:16:18,0,45,0,45
2023-05-25T19:27:53,0,45,0,45
2023-05-25T19:39:29,0,45,0,45
2023-05-25T19:51:15,0,45,0,45
2023-05-25T20:02:51,0,45,0,45
2023-05-25T20:14:27,0,45,0,45
2023-05-25T20:26:03,0,45,0,45
2023-05-25T20:37:38,0,45,0,45
2023-05-25T20:49:14,0,45,0,45
2023-05-25T21:00:49,0,45,0,45
2023-05-25T21:12:25,0,45,0,45
2023-05-25T21:24:12,0,45,0,45
2023-05-25T21:35:48,0,45,0,45
2023-05-25T21:47:24,0,45,0,45
2023-05-25T21:58:59,0,45,0,45
2023-05-25T22:10:35,0,45,0,45
2023-05-25T22:22:10,0,45,0,45
2023-05-25T22:33:46,0,45,0,45
2023-05-25T22:45:32,0,45,0,45
2023-05-25T22:57:07,0,45,0,45
2023-05-25T23:08:46,0,45,0,45
2023-05-25T23:20:21,0,45,0,45
2023-05-25T23:31:57,0,45,0,45
2023-05-25T23:43:33,0,45,0,45
2023-05-25T23:55:10,0,45,0,45
2023-05-26T00:07:05,0,45,0,45
2023-05-26T00:18:45,0,45,0,45
2023-05-26T00:30:24,0,45,0,45
2023-05-26T00:42:03,0,45,0,45
2023-05-26T00:53:42,0,45,0,45
2023-05-26T01:05:21,0,45,0,45
2023-05-26T01:17:00,0,45,0,45
2023-05-26T01:28:38,0,45,0,45
2023-05-26T01:40:16,0,45,0,45
2023-05-26T01:52:04,0,45,0,45
2023-05-26T02:03:46,0,45,0,45
2023-05-26T02:15:24,0,45,0,45
2023-05-26T02:27:01,0,45,0,45
2023-05-26T02:38:40,0,45,0,45
2023-05-26T02:50:29,0,45,0,45
2023-05-26T03:02:10,0,45,0,45
2023-05-26T03:13:49,0,45,0,45
2023-05-26T03:25:30,0,45,0,45
2023-05-26T03:37:08,0,45,0,45
2023-05-26T03:48:47,0,45,0,45
2023-05-26T04:00:25,0,45,0,45
2023-05-26T04:12:13,0,45,0,45
2023-05-26T04:34:37,0,45,0,45
2023-05-26T04:46:18,0,45,0,45
2023-05-26T04:57:58,0,45,0,45
2023-05-26T05:09:40,0,45,0,45
2023-05-26T05:21:20,0,45,0,45
2023-05-26T05:32:58,0,45,0,45
2023-05-26T05:44:37,0,45,0,45
2023-05-26T05:56:16,0,45,0,45
2023-05-26T06:07:54,0,45,0,45
2023-05-26T06:19:34,0,45,0,45
2023-05-26T06:31:13,0,45,0,45
2023-05-26T06:42:51,0,45,0,45
2023-05-26T06:54:29,0,45,0,45
2023-05-26T07:06:08,0,45,0,45
2023-05-26T07:17:46,0,45,0,45
2023-05-26T07:29:25,0,45,0,45
2023-05-26T07:41:10,0,45,0,45
2023-05-26T07:52:48,0,45,0,45
2023-05-26T08:04:23,0,45,0,45
2023-05-26T08:16:00,0,45,0,45
2023-05-26T08:27:36,0,45,0,45
2023-05-26T08:39:12,0,45,0,45
2023-05-26T08:50:48,0,45,0,45
2023-05-26T09:02:24,0,45,0,45
2023-05-26T09:14:01,0,45,0,45
2023-05-26T09:25:37,0,45,0,45
2023-05-26T09:37:24,0,45,0,45
2023-05-26T09:49:00,0,45,0,45
2023-05-26T10:00:36,0,45,0,45
2023-05-26T10:12:13,0,45,0,45
2023-05-26T10:23:49,0,45,0,45
2023-05-26T10:35:25,0,45,0,45
2023-05-26T10:47:13,0,45,0,45
2023-05-26T10:58:49,0,45,0,45
2023-05-26T11:10:26,0,45,0,45
2023-05-26T11:22:03,0,45,0,45
2023-05-26T11:33:39,0,45,0,45
2023-05-26T11:45:25,0,45,0,45
2023-05-26T11:57:01,0,45,0,45
2023-05-26T12:08:38,0,45,0,45
2023-05-26T12:20:13,0,45,0,45
2023-05-26T12:31:50,0,45,0,45
2023-05-26T12:43:37,0,45,0,45
2023-05-26T12:55:13,0,45,0,45
2023-05-26T13:06:49,0,45,0,45
2023-05-26T13:18:24,0,45,0,45
2023-05-26T13:30:10,0,45,0,45
2023-05-26T13:41:47,0,45,0,45
2023-05-26T13:53:22,0,45,0,45
2023-05-26T14:04:59,0,45,0,45
2023-05-26T14:16:34,0,45,0,45
2023-05-26T14:28:21,0,45,0,45
2023-05-26T14:39:57,0,45,0,45
2023-05-26T14:51:34,0,45,0,45
2023-05-26T15:03:10,0,45,0,45
2023-05-26T15:14:48,0,45,0,45
2023-05-26T15:26:34,0,45,0,45
