time,enrolled,available,waitlisted,total
2023-05-25T01:20:51,0,25,0,25
2023-05-25T01:32:27,0,25,0,25
2023-05-25T01:44:12,0,25,0,25
2023-05-25T01:55:47,0,25,0,25
2023-05-25T02:07:22,0,25,0,25
2023-05-25T02:18:59,0,25,0,25
2023-05-25T02:30:34,0,25,0,25
2023-05-25T02:42:07,0,25,0,25
2023-05-25T02:53:40,0,25,0,25
2023-05-25T03:05:14,0,25,0,25
2023-05-25T03:16:52,0,25,0,25
2023-05-25T03:28:51,0,25,0,25
2023-05-25T03:40:28,0,25,0,25
2023-05-25T03:52:03,0,25,0,25
2023-05-25T04:03:39,0,25,0,25
2023-05-25T04:23:26,0,25,0,25
2023-05-25T04:35:03,0,25,0,25
2023-05-25T04:46:39,0,25,0,25
2023-05-25T04:58:15,0,25,0,25
2023-05-25T05:09:52,0,25,0,25
2023-05-25T05:21:28,0,25,0,25
2023-05-25T05:33:05,0,25,0,25
2023-05-25T05:44:41,0,25,0,25
2023-05-25T05:56:17,0,25,0,25
2023-05-25T06:07:53,0,25,0,25
2023-05-25T06:19:29,0,25,0,25
2023-05-25T06:31:03,0,25,0,25
2023-05-25T06:42:38,0,25,0,25
2023-05-25T06:54:14,0,25,0,25
2023-05-25T07:05:49,0,25,0,25
2023-05-25T07:17:24,0,25,0,25
2023-05-25T07:28:58,0,25,0,25
2023-05-25T07:40:34,0,25,0,25
2023-05-25T07:52:10,0,25,0,25
2023-05-25T08:03:45,0,25,0,25
2023-05-25T08:15:19,0,25,0,25
2023-05-25T08:27:04,0,25,0,25
2023-05-25T08:38:37,0,25,0,25
2023-05-25T08:50:09,0,25,0,25
2023-05-25T09:01:43,0,25,0,25
2023-05-25T09:13:16,0,25,0,25
2023-05-25T09:24:48,0,25,0,25
2023-05-25T09:36:21,0,25,0,25
2023-05-25T09:47:53,0,25,0,25
2023-05-25T09:59:27,0,25,0,25
2023-05-25T10:11:11,0,25,0,25
2023-05-25T10:22:44,0,25,0,25
2023-05-25T10:34:17,0,25,0,25
2023-05-25T10:45:50,0,25,0,25
2023-05-25T10:57:32,0,25,0,25
2023-05-25T11:09:05,0,25,0,25
2023-05-25T11:20:38,0,25,0,25
2023-05-25T11:32:10,0,25,0,25
2023-05-25T11:43:43,0,25,0,25
2023-05-25T11:55:28,0,25,0,25
2023-05-25T12:07:00,0,25,0,25
2023-05-25T12:18:33,0,25,0,25
2023-05-25T12:30:06,0,25,0,25
2023-05-25T12:41:39,0,25,0,25
2023-05-25T12:53:12,0,25,0,25
2023-05-25T13:04:55,0,25,0,25
2023-05-25T13:16:28,0,25,0,25
2023-05-25T13:28:01,0,25,0,25
2023-05-25T13:39:34,0,25,0,25
2023-05-25T13:51:07,0,25,0,25
2023-05-25T14:02:51,0,25,0,25
2023-05-25T14:14:25,0,25,0,25
2023-05-25T14:25:58,0,25,0,25
2023-05-25T14:37:31,0,25,0,25
2023-05-25T14:49:04,0,25,0,25
2023-05-25T15:00:48,0,25,0,25
2023-05-25T15:12:22,0,25,0,25
2023-05-25T15:23:56,0,25,0,25
2023-05-25T15:35:31,0,25,0,25
2023-05-25T15:47:06,0,25,0,25
2023-05-25T15:58:40,0,25,0,25
2023-05-25T16:10:26,0,25,0,25
2023-05-25T16:22:01,0,25,0,25
2023-05-25T16:33:36,0,25,0,25
2023-05-25T16:45:11,0,25,0,25
2023-05-25T16:56:46,0,25,0,25
2023-05-25T17:08:23,0,25,0,25
2023-05-25T17:20:10,0,25,0,25
2023-05-25T17:31:46,0,25,0,25
2023-05-25T17:43:21,0,25,0,25
2023-05-25T17:54:57,0,25,0,25
2023-05-25T18:06:34,0,25,0,25
2023-05-25T18:18:10,0,25,0,25
2023-05-25T18:29:45,0,25,0,25
2023-05-25T18:41:31,0,25,0,25
2023-05-25T18:53:06,0,25,0,25
2023-05-25T19:04:43,0,25,0,25
2023-05-25T19:16:19,0,25,0,25
2023-05-25T19:27:54,0,25,0,25
2023-05-25T19:39:30,0,25,0,25
2023-05-25T19:51:16,0,25,0,25
2023-05-25T20:02:51,0,25,0,25
