time,enrolled,available,waitlisted,total
2023-05-25T01:20:52,0,70,0,70
2023-05-25T01:32:28,0,70,0,70
2023-05-25T01:44:12,0,70,0,70
2023-05-25T01:55:48,0,70,0,70
2023-05-25T02:07:23,0,70,0,70
2023-05-25T02:19:00,0,70,0,70
2023-05-25T02:30:35,0,70,0,70
2023-05-25T02:42:08,0,70,0,70
2023-05-25T02:53:41,0,70,0,70
2023-05-25T03:05:14,0,70,0,70
2023-05-25T03:16:53,0,70,0,70
2023-05-25T03:28:51,0,70,0,70
2023-05-25T03:40:28,0,70,0,70
2023-05-25T03:52:04,0,70,0,70
2023-05-25T04:03:39,0,70,0,70
2023-05-25T04:23:27,0,70,0,70
2023-05-25T04:35:04,0,70,0,70
2023-05-25T04:46:40,0,70,0,70
2023-05-25T04:58:16,0,70,0,70
2023-05-25T05:09:53,0,70,0,70
2023-05-25T05:21:29,0,70,0,70
2023-05-25T05:33:06,0,70,0,70
2023-05-25T05:44:41,0,70,0,70
2023-05-25T05:56:18,0,70,0,70
2023-05-25T06:07:54,0,70,0,70
2023-05-25T06:19:29,0,70,0,70
2023-05-25T06:31:04,0,70,0,70
2023-05-25T06:42:39,0,70,0,70
2023-05-25T06:54:14,0,70,0,70
2023-05-25T07:05:50,0,70,0,70
2023-05-25T07:17:25,0,70,0,70
2023-05-25T07:28:59,0,70,0,70
2023-05-25T07:40:35,0,70,0,70
2023-05-25T07:52:11,0,70,0,70
2023-05-25T08:03:46,0,70,0,70
2023-05-25T08:15:20,0,70,0,70
2023-05-25T08:27:04,0,70,0,70
2023-05-25T08:38:38,0,70,0,70
2023-05-25T08:50:10,0,70,0,70
2023-05-25T09:01:44,0,70,0,70
2023-05-25T09:13:16,0,70,0,70
2023-05-25T09:24:49,0,70,0,70
2023-05-25T09:36:22,0,70,0,70
2023-05-25T09:47:54,0,70,0,70
2023-05-25T09:59:28,0,70,0,70
2023-05-25T10:11:12,0,70,0,70
2023-05-25T10:22:45,0,70,0,70
2023-05-25T10:34:18,0,70,0,70
2023-05-25T10:45:51,0,70,0,70
2023-05-25T10:57:33,0,70,0,70
2023-05-25T11:09:06,0,70,0,70
2023-05-25T11:20:39,0,70,0,70
2023-05-25T11:32:11,0,70,0,70
2023-05-25T11:43:44,0,70,0,70
2023-05-25T11:55:29,0,70,0,70
2023-05-25T12:07:01,0,70,0,70
2023-05-25T12:18:34,0,70,0,70
2023-05-25T12:30:07,0,70,0,70
2023-05-25T12:41:40,0,70,0,70
2023-05-25T12:53:13,0,70,0,70
2023-05-25T13:04:56,0,70,0,70
2023-05-25T13:16:28,0,70,0,70
2023-05-25T13:28:02,0,70,0,70
2023-05-25T13:39:35,0,70,0,70
2023-05-25T13:51:08,0,70,0,70
2023-05-25T14:02:52,0,70,0,70
2023-05-25T14:14:26,0,70,0,70
2023-05-25T14:25:59,0,70,0,70
2023-05-25T14:37:32,0,70,0,70
2023-05-25T14:49:05,0,70,0,70
2023-05-25T15:00:49,0,70,0,70
2023-05-25T15:12:23,0,70,0,70
2023-05-25T15:23:57,0,70,0,70
2023-05-25T15:35:32,0,70,0,70
2023-05-25T15:47:07,0,70,0,70
2023-05-25T15:58:41,0,70,0,70
2023-05-25T16:10:27,0,70,0,70
2023-05-25T16:22:02,0,70,0,70
2023-05-25T16:33:37,0,70,0,70
2023-05-25T16:45:12,0,70,0,70
2023-05-25T16:56:47,0,70,0,70
2023-05-25T17:08:24,0,70,0,70
2023-05-25T17:20:11,0,70,0,70
2023-05-25T17:31:47,0,70,0,70
2023-05-25T17:43:22,0,70,0,70
2023-05-25T17:54:58,0,70,0,70
2023-05-25T18:06:35,0,70,0,70
2023-05-25T18:18:11,0,70,0,70
2023-05-25T18:29:46,0,70,0,70
2023-05-25T18:41:31,0,70,0,70
2023-05-25T18:53:07,0,70,0,70
2023-05-25T19:04:44,0,70,0,70
2023-05-25T19:16:20,0,70,0,70
2023-05-25T19:27:55,0,70,0,70
2023-05-25T19:39:31,0,70,0,70
2023-05-25T19:51:17,0,70,0,70
2023-05-25T20:02:52,0,70,0,70
2023-05-25T20:14:28,0,70,0,70
2023-05-25T20:26:05,0,70,0,70
2023-05-25T20:37:40,0,70,0,70
2023-05-25T20:49:15,0,70,0,70
2023-05-25T21:00:51,0,70,0,70
2023-05-25T21:12:27,0,70,0,70
2023-05-25T21:24:14,0,70,0,70
2023-05-25T21:35:50,0,70,0,70
2023-05-25T21:47:25,0,70,0,70
2023-05-25T21:59:01,0,70,0,70
2023-05-25T22:10:36,0,70,0,70
2023-05-25T22:22:12,0,70,0,70
2023-05-25T22:33:47,0,70,0,70
2023-05-25T22:45:34,0,70,0,70
2023-05-25T22:57:09,0,70,0,70
2023-05-25T23:08:47,0,70,0,70
2023-05-25T23:20:23,0,70,0,70
2023-05-25T23:31:59,0,70,0,70
2023-05-25T23:43:35,0,70,0,70
2023-05-25T23:55:12,0,70,0,70
2023-05-26T00:07:07,0,70,0,70
2023-05-26T00:18:47,0,70,0,70
2023-05-26T00:30:26,0,70,0,70
2023-05-26T00:42:05,0,70,0,70
2023-05-26T00:53:44,0,70,0,70
2023-05-26T01:05:23,0,70,0,70
2023-05-26T01:17:02,0,70,0,70
2023-05-26T01:28:40,0,70,0,70
2023-05-26T01:40:18,0,70,0,70
2023-05-26T01:52:06,0,70,0,70
2023-05-26T02:03:48,0,70,0,70
2023-05-26T02:15:26,0,70,0,70
2023-05-26T02:27:03,0,70,0,70
2023-05-26T02:38:42,0,70,0,70
2023-05-26T02:50:31,0,70,0,70
2023-05-26T03:02:11,0,70,0,70
2023-05-26T03:13:50,0,70,0,70
2023-05-26T03:25:32,0,70,0,70
2023-05-26T03:37:10,0,70,0,70
2023-05-26T03:48:48,0,70,0,70
2023-05-26T04:00:27,0,70,0,70
2023-05-26T04:12:15,0,70,0,70
2023-05-26T04:34:39,0,70,0,70
2023-05-26T04:46:19,0,70,0,70
2023-05-26T04:58:00,0,70,0,70
2023-05-26T05:09:42,0,70,0,70
2023-05-26T05:21:21,0,70,0,70
2023-05-26T05:33:00,0,70,0,70
2023-05-26T05:44:39,0,70,0,70
2023-05-26T05:56:18,0,70,0,70
2023-05-26T06:07:56,0,70,0,70
2023-05-26T06:19:35,0,70,0,70
2023-05-26T06:31:14,0,70,0,70
2023-05-26T06:42:53,0,70,0,70
2023-05-26T06:54:31,0,70,0,70
2023-05-26T07:06:10,0,70,0,70
2023-05-26T07:17:48,0,70,0,70
2023-05-26T07:29:26,0,70,0,70
2023-05-26T07:41:12,0,70,0,70
2023-05-26T07:52:49,0,70,0,70
2023-05-26T08:04:25,0,70,0,70
2023-05-26T08:16:01,0,70,0,70
2023-05-26T08:27:38,0,70,0,70
2023-05-26T08:39:14,0,70,0,70
2023-05-26T08:50:50,0,70,0,70
