time,enrolled,available,waitlisted,total
2023-05-25T01:21:15,0,25,0,25
2023-05-25T01:32:51,0,25,0,25
2023-05-25T01:44:35,0,25,0,25
2023-05-25T01:56:11,0,25,0,25
2023-05-25T02:07:46,0,25,0,25
2023-05-25T02:19:23,0,25,0,25
2023-05-25T02:30:58,0,25,0,25
2023-05-25T02:42:31,0,25,0,25
2023-05-25T02:54:04,0,25,0,25
2023-05-25T03:05:37,0,25,0,25
2023-05-25T03:17:16,0,25,0,25
2023-05-25T03:29:14,0,25,0,25
2023-05-25T03:40:51,0,25,0,25
2023-05-25T03:52:27,0,25,0,25
2023-05-25T04:04:02,0,25,0,25
2023-05-25T04:23:50,0,25,0,25
2023-05-25T04:35:27,0,25,0,25
2023-05-25T04:47:03,0,25,0,25
2023-05-25T04:58:39,0,25,0,25
2023-05-25T05:10:16,0,25,0,25
2023-05-25T05:21:52,0,25,0,25
2023-05-25T05:33:29,0,25,0,25
2023-05-25T05:45:04,0,25,0,25
2023-05-25T05:56:41,0,25,0,25
2023-05-25T06:08:17,0,25,0,25
2023-05-25T06:19:52,0,25,0,25
2023-05-25T06:31:27,0,25,0,25
2023-05-25T06:43:02,0,25,0,25
2023-05-25T06:54:38,0,25,0,25
2023-05-25T07:06:13,0,25,0,25
2023-05-25T07:17:48,0,25,0,25
2023-05-25T07:29:22,0,25,0,25
2023-05-25T07:40:58,0,25,0,25
2023-05-25T07:52:34,0,25,0,25
2023-05-25T08:04:09,0,25,0,25
2023-05-25T08:15:43,0,25,0,25
2023-05-25T08:27:28,0,25,0,25
2023-05-25T08:39:01,0,25,0,25
2023-05-25T08:50:33,0,25,0,25
2023-05-25T09:02:07,0,25,0,25
2023-05-25T09:13:39,0,25,0,25
2023-05-25T09:25:12,0,25,0,25
2023-05-25T09:36:45,0,25,0,25
2023-05-25T09:48:17,0,25,0,25
2023-05-25T09:59:51,0,25,0,25
2023-05-25T10:11:35,0,25,0,25
2023-05-25T10:23:08,0,25,0,25
2023-05-25T10:34:41,0,25,0,25
2023-05-25T10:46:14,0,25,0,25
2023-05-25T10:57:56,0,25,0,25
2023-05-25T11:09:29,0,25,0,25
2023-05-25T11:21:02,0,25,0,25
2023-05-25T11:32:34,0,25,0,25
2023-05-25T11:44:07,0,25,0,25
2023-05-25T11:55:52,0,25,0,25
2023-05-25T12:07:24,0,25,0,25
2023-05-25T12:18:57,0,25,0,25
2023-05-25T12:30:30,0,25,0,25
2023-05-25T12:42:03,0,25,0,25
2023-05-25T12:53:36,0,25,0,25
2023-05-25T13:05:19,0,25,0,25
2023-05-25T13:16:51,0,25,0,25
2023-05-25T13:28:25,0,25,0,25
2023-05-25T13:39:58,0,25,0,25
2023-05-25T13:51:31,0,25,0,25
2023-05-25T14:03:15,0,25,0,25
2023-05-25T14:14:49,0,25,0,25
2023-05-25T14:26:22,0,25,0,25
2023-05-25T14:37:55,0,25,0,25
2023-05-25T14:49:28,0,25,0,25
2023-05-25T15:01:12,0,25,0,25
2023-05-25T15:12:46,0,25,0,25
2023-05-25T15:24:20,0,25,0,25
2023-05-25T15:35:55,0,25,0,25
2023-05-25T15:47:29,0,25,0,25
2023-05-25T15:59:04,0,25,0,25
2023-05-25T16:10:50,0,25,0,25
2023-05-25T16:22:25,0,25,0,25
2023-05-25T16:34:00,0,25,0,25
2023-05-25T16:45:35,0,25,0,25
2023-05-25T16:57:10,0,25,0,25
2023-05-25T17:08:47,0,25,0,25
2023-05-25T17:20:34,0,25,0,25
2023-05-25T17:32:10,0,25,0,25
2023-05-25T17:43:45,0,25,0,25
2023-05-25T17:55:21,0,25,0,25
2023-05-25T18:06:58,0,25,0,25
2023-05-25T18:18:33,0,25,0,25
2023-05-25T18:30:09,0,25,0,25
2023-05-25T18:41:54,0,25,0,25
2023-05-25T18:53:30,0,25,0,25
2023-05-25T19:05:07,0,25,0,25
2023-05-25T19:16:42,0,25,0,25
2023-05-25T19:28:18,0,25,0,25
2023-05-25T19:39:54,0,25,0,25
2023-05-25T19:51:40,0,25,0,25
2023-05-25T20:03:15,0,25,0,25
2023-05-25T20:14:51,0,25,0,25
2023-05-25T20:26:28,0,25,0,25
2023-05-25T20:38:03,0,25,0,25
2023-05-25T20:49:38,0,25,0,25
2023-05-25T21:01:14,0,25,0,25
2023-05-25T21:12:50,0,25,0,25
2023-05-25T21:24:37,0,25,0,25
2023-05-25T21:36:13,0,25,0,25
2023-05-25T21:47:48,0,25,0,25
2023-05-25T21:59:24,0,25,0,25
2023-05-25T22:10:59,0,25,0,25
2023-05-25T22:22:35,0,25,0,25
2023-05-25T22:34:10,0,25,0,25
2023-05-25T22:45:56,0,25,0,25
2023-05-25T22:57:32,0,25,0,25
2023-05-25T23:09:10,0,25,0,25
2023-05-25T23:20:46,0,25,0,25
2023-05-25T23:32:22,0,25,0,25
2023-05-25T23:43:58,0,25,0,25
2023-05-25T23:55:34,0,25,0,25
2023-05-26T00:07:30,0,25,0,25
2023-05-26T00:19:10,0,25,0,25
2023-05-26T00:30:49,0,25,0,25
2023-05-26T00:42:28,0,25,0,25
2023-05-26T00:54:07,0,25,0,25
2023-05-26T01:05:46,0,25,0,25
2023-05-26T01:17:25,0,25,0,25
2023-05-26T01:29:03,0,25,0,25
2023-05-26T01:40:41,0,25,0,25
2023-05-26T01:52:29,0,25,0,25
2023-05-26T02:04:11,0,25,0,25
2023-05-26T02:15:49,0,25,0,25
2023-05-26T02:27:26,0,25,0,25
