time,enrolled,available,waitlisted,total
2023-05-25T01:21:17,0,0,0,0
2023-05-25T01:32:53,0,0,0,0
2023-05-25T01:44:37,0,0,0,0
2023-05-25T01:56:12,0,0,0,0
2023-05-25T02:07:48,0,0,0,0
2023-05-25T02:19:24,0,0,0,0
2023-05-25T02:30:59,0,0,0,0
2023-05-25T02:42:33,0,0,0,0
2023-05-25T02:54:06,0,0,0,0
2023-05-25T03:05:39,0,0,0,0
2023-05-25T03:17:18,0,0,0,0
2023-05-25T03:29:16,0,0,0,0
2023-05-25T03:40:53,0,0,0,0
2023-05-25T03:52:29,0,0,0,0
2023-05-25T04:04:04,0,0,0,0
2023-05-25T04:23:52,0,0,0,0
2023-05-25T04:35:29,0,0,0,0
2023-05-25T04:47:05,0,0,0,0
2023-05-25T04:58:40,0,0,0,0
2023-05-25T05:10:17,0,0,0,0
2023-05-25T05:21:54,0,0,0,0
2023-05-25T05:33:30,0,0,0,0
2023-05-25T05:45:06,0,0,0,0
2023-05-25T05:56:43,0,0,0,0
2023-05-25T06:08:19,0,0,0,0
2023-05-25T06:19:54,0,0,0,0
2023-05-25T06:31:29,0,0,0,0
2023-05-25T06:43:04,0,0,0,0
2023-05-25T06:54:39,0,0,0,0
2023-05-25T07:06:15,0,0,0,0
2023-05-25T07:17:50,0,0,0,0
2023-05-25T07:29:24,0,0,0,0
2023-05-25T07:41:00,0,0,0,0
2023-05-25T07:52:36,0,0,0,0
2023-05-25T08:04:11,0,0,0,0
2023-05-25T08:15:45,0,0,0,0
2023-05-25T08:27:29,0,0,0,0
2023-05-25T08:39:03,0,0,0,0
2023-05-25T08:50:35,0,0,0,0
2023-05-25T09:02:08,0,0,0,0
2023-05-25T09:13:41,0,0,0,0
2023-05-25T09:25:14,0,0,0,0
2023-05-25T09:36:46,0,0,0,0
2023-05-25T09:48:19,0,0,0,0
2023-05-25T09:59:53,0,0,0,0
2023-05-25T10:11:37,0,0,0,0
2023-05-25T10:23:10,0,0,0,0
2023-05-25T10:34:43,0,0,0,0
2023-05-25T10:46:15,0,0,0,0
2023-05-25T10:57:58,0,0,0,0
2023-05-25T11:09:30,0,0,0,0
2023-05-25T11:21:03,0,0,0,0
2023-05-25T11:32:36,0,0,0,0
2023-05-25T11:44:09,0,0,0,0
2023-05-25T11:55:53,0,0,0,0
2023-05-25T12:07:26,0,0,0,0
2023-05-25T12:18:59,0,0,0,0
2023-05-25T12:30:32,0,0,0,0
2023-05-25T12:42:05,0,0,0,0
2023-05-25T12:53:37,0,0,0,0
2023-05-25T13:05:20,0,0,0,0
2023-05-25T13:16:53,0,0,0,0
2023-05-25T13:28:27,0,0,0,0
2023-05-25T13:40:00,0,0,0,0
2023-05-25T13:51:33,0,0,0,0
2023-05-25T14:03:17,0,0,0,0
2023-05-25T14:14:51,0,0,0,0
2023-05-25T14:26:24,0,0,0,0
2023-05-25T14:37:57,0,0,0,0
2023-05-25T14:49:30,0,0,0,0
2023-05-25T15:01:14,0,0,0,0
2023-05-25T15:12:48,0,0,0,0
2023-05-25T15:24:22,0,0,0,0
2023-05-25T15:35:57,0,0,0,0
2023-05-25T15:47:31,0,0,0,0
2023-05-25T15:59:06,0,0,0,0
2023-05-25T16:10:51,0,0,0,0
2023-05-25T16:22:26,0,0,0,0
2023-05-25T16:34:01,0,0,0,0
2023-05-25T16:45:36,0,0,0,0
2023-05-25T16:57:12,0,0,0,0
2023-05-25T17:08:49,0,0,0,0
2023-05-25T17:20:36,0,0,0,0
2023-05-25T17:32:11,0,0,0,0
2023-05-25T17:43:47,0,0,0,0
2023-05-25T17:55:23,0,0,0,0
2023-05-25T18:07:00,0,0,0,0
2023-05-25T18:18:35,0,0,0,0
2023-05-25T18:30:11,0,0,0,0
2023-05-25T18:41:56,0,0,0,0
2023-05-25T18:53:32,0,0,0,0
2023-05-25T19:05:08,0,0,0,0
2023-05-25T19:16:44,0,0,0,0
2023-05-25T19:28:20,0,0,0,0
2023-05-25T19:39:56,0,0,0,0
2023-05-25T19:51:41,0,0,0,0
2023-05-25T20:03:17,0,0,0,0
2023-05-25T20:14:53,0,0,0,0
2023-05-25T20:26:29,0,0,0,0
2023-05-25T20:38:05,0,0,0,0
2023-05-25T20:49:40,0,0,0,0
2023-05-25T21:01:16,0,0,0,0
2023-05-25T21:12:52,0,0,0,0
2023-05-25T21:24:39,0,0,0,0
2023-05-25T21:36:14,0,0,0,0
2023-05-25T21:47:50,0,0,0,0
2023-05-25T21:59:26,0,0,0,0
2023-05-25T22:11:01,0,0,0,0
2023-05-25T22:22:36,0,0,0,0
2023-05-25T22:34:12,0,0,0,0
2023-05-25T22:45:58,0,0,0,0
2023-05-25T22:57:33,0,0,0,0
2023-05-25T23:09:12,0,0,0,0
2023-05-25T23:20:47,0,0,0,0
2023-05-25T23:32:23,0,0,0,0
2023-05-25T23:43:59,0,0,0,0
2023-05-25T23:55:36,0,0,0,0
2023-05-26T00:07:32,0,0,0,0
2023-05-26T00:19:12,0,0,0,0
2023-05-26T00:30:51,0,0,0,0
2023-05-26T00:42:30,0,0,0,0
2023-05-26T00:54:08,0,0,0,0
2023-05-26T01:05:48,0,0,0,0
2023-05-26T01:17:27,0,0,0,0
2023-05-26T01:29:05,0,0,0,0
2023-05-26T01:40:42,0,0,0,0
2023-05-26T01:52:31,0,0,0,0
2023-05-26T02:04:13,0,0,0,0
2023-05-26T02:15:51,0,0,0,0
2023-05-26T02:27:28,0,0,0,0
2023-05-26T02:39:07,0,0,0,0
2023-05-26T02:50:56,0,0,0,0
2023-05-26T03:02:36,0,0,0,0
2023-05-26T03:14:15,0,0,0,0
2023-05-26T03:25:56,0,0,0,0
2023-05-26T03:37:35,0,0,0,0
2023-05-26T03:49:13,0,0,0,0
2023-05-26T04:00:52,0,0,0,0
2023-05-26T04:12:40,0,0,0,0
2023-05-26T04:35:04,0,0,0,0
2023-05-26T04:46:44,0,0,0,0
2023-05-26T04:58:25,0,0,0,0
2023-05-26T05:10:07,0,0,0,0
2023-05-26T05:21:46,0,0,0,0
2023-05-26T05:33:24,0,0,0,0
2023-05-26T05:45:04,0,0,0,0
2023-05-26T05:56:42,0,0,0,0
2023-05-26T06:08:20,0,0,0,0
2023-05-26T06:20:00,0,0,0,0
2023-05-26T06:31:39,0,0,0,0
2023-05-26T06:43:18,0,0,0,0
2023-05-26T06:54:56,0,0,0,0
2023-05-26T07:06:34,0,0,0,0
2023-05-26T07:18:13,0,0,0,0
2023-05-26T07:29:59,0,0,0,0
2023-05-26T07:41:36,0,0,0,0
2023-05-26T07:53:14,0,0,0,0
2023-05-26T08:04:50,0,0,0,0
2023-05-26T08:16:26,0,0,0,0
2023-05-26T08:28:02,0,0,0,0
2023-05-26T08:39:39,0,0,0,0
2023-05-26T08:51:15,0,0,0,0
2023-05-26T09:02:51,0,0,0,0
2023-05-26T09:14:27,0,0,0,0
2023-05-26T09:26:03,0,0,0,0
2023-05-26T09:37:50,0,0,0,0
2023-05-26T09:49:27,0,0,0,0
2023-05-26T10:01:02,0,0,0,0
2023-05-26T10:12:39,0,0,0,0
2023-05-26T10:24:15,0,0,0,0
2023-05-26T10:35:52,0,0,0,0
2023-05-26T10:47:40,0,0,0,0
2023-05-26T10:59:16,0,0,0,0
2023-05-26T11:10:53,0,0,0,0
2023-05-26T11:22:29,0,0,0,0
2023-05-26T11:34:05,0,0,0,0
2023-05-26T11:45:52,0,0,0,0
2023-05-26T11:57:27,0,0,0,0
2023-05-26T12:09:04,0,0,0,0
2023-05-26T12:20:40,0,0,0,0
2023-05-26T12:32:16,0,0,0,0
2023-05-26T12:44:04,0,0,0,0
2023-05-26T12:55:39,0,0,0,0
2023-05-26T13:07:15,0,0,0,0
2023-05-26T13:18:51,0,0,0,0
2023-05-26T13:30:37,0,0,0,0
2023-05-26T13:42:13,0,0,0,0
2023-05-26T13:53:49,0,0,0,0
2023-05-26T14:05:25,0,0,0,0
2023-05-26T14:17:01,0,0,0,0
2023-05-26T14:28:48,0,0,0,0
2023-05-26T14:40:24,0,0,0,0
2023-05-26T14:52:00,0,0,0,0
2023-05-26T15:03:36,0,0,0,0
2023-05-26T15:15:14,0,0,0,0
2023-05-26T15:27:01,0,0,0,0
2023-05-26T15:38:36,0,0,0,0
2023-05-26T15:50:12,0,0,0,0
2023-05-26T16:01:48,0,0,0,0
2023-05-26T16:13:24,0,0,0,0
2023-05-26T16:25:00,0,0,0,0
2023-05-26T16:36:45,0,0,0,0
2023-05-26T16:48:21,0,0,0,0
2023-05-26T16:59:57,0,0,0,0
2023-05-26T17:11:33,0,0,0,0
2023-05-26T17:23:10,0,0,0,0
2023-05-26T17:34:45,0,0,0,0
2023-05-26T17:46:31,0,0,0,0
2023-05-26T17:58:06,0,0,0,0
2023-05-26T18:09:42,0,0,0,0
2023-05-26T18:21:18,0,0,0,0
2023-05-26T18:32:54,0,0,0,0
2023-05-26T18:44:29,0,0,0,0
2023-05-26T18:56:15,0,0,0,0
2023-05-26T19:07:51,0,0,0,0
2023-05-26T19:19:28,0,0,0,0
2023-05-26T19:31:04,0,0,0,0
2023-05-26T19:42:39,0,0,0,0
2023-05-26T19:54:15,0,0,0,0
2023-05-26T20:05:51,0,0,0,0
2023-05-26T20:17:36,0,0,0,0
2023-05-26T20:29:12,0,0,0,0
2023-05-26T20:40:47,0,0,0,0
2023-05-26T20:52:23,0,0,0,0
2023-05-26T21:03:58,0,0,0,0
2023-05-26T21:15:35,0,0,0,0
2023-05-26T21:27:11,0,0,0,0
2023-05-26T21:38:47,0,0,0,0
2023-05-26T21:50:33,0,0,0,0
2023-05-26T22:02:10,0,0,0,0
2023-05-26T22:13:46,0,0,0,0
2023-05-26T22:25:22,0,0,0,0
2023-05-26T22:36:58,0,0,0,0
2023-05-26T22:48:34,0,0,0,0
2023-05-26T23:00:09,0,0,0,0
2023-05-26T23:11:59,0,0,0,0
2023-05-26T23:23:34,0,0,0,0
2023-05-26T23:35:11,0,0,0,0
2023-05-26T23:46:48,0,0,0,0
2023-05-26T23:58:24,0,0,0,0
2023-05-27T00:10:01,0,0,0,0
2023-05-27T00:21:42,0,0,0,0
2023-05-27T00:33:20,0,0,0,0
2023-05-27T00:44:59,0,0,0,0
2023-05-27T00:56:39,0,0,0,0
2023-05-27T01:08:17,0,0,0,0
2023-05-27T01:20:06,0,0,0,0
2023-05-27T01:31:45,0,0,0,0
2023-05-27T01:43:25,0,0,0,0
2023-05-27T01:55:04,0,0,0,0
2023-05-27T02:06:41,0,0,0,0
2023-05-27T02:18:19,0,0,0,0
2023-05-27T02:29:57,0,0,0,0
2023-05-27T02:41:33,0,0,0,0
2023-05-27T02:53:09,0,0,0,0
2023-05-27T03:04:45,0,0,0,0
2023-05-27T03:16:24,0,0,0,0
2023-05-27T03:28:02,0,0,0,0
2023-05-27T03:39:38,0,0,0,0
2023-05-27T03:51:16,0,0,0,0
2023-05-27T04:02:55,0,0,0,0
2023-05-27T04:14:48,0,0,0,0
2023-05-27T04:37:23,0,0,0,0
2023-05-27T04:49:21,0,0,0,0
2023-05-27T05:01:00,0,0,0,0
2023-05-27T05:12:39,0,0,0,0
2023-05-27T05:24:18,0,0,0,0
2023-05-27T05:35:58,0,0,0,0
2023-05-27T05:47:37,0,0,0,0
2023-05-27T05:59:15,0,0,0,0
2023-05-27T06:10:54,0,0,0,0
2023-05-27T06:22:35,0,0,0,0
2023-05-27T06:34:13,0,0,0,0
2023-05-27T06:45:52,0,0,0,0
2023-05-27T06:57:30,0,0,0,0
2023-05-27T07:09:08,0,0,0,0
2023-05-27T07:20:46,0,0,0,0
2023-05-27T07:32:24,0,0,0,0
2023-05-27T07:44:01,0,0,0,0
2023-05-27T07:55:52,0,0,0,0
2023-05-27T08:07:30,0,0,0,0
2023-05-27T08:19:07,0,0,0,0
2023-05-27T08:30:46,0,0,0,0
2023-05-27T08:42:24,0,0,0,0
2023-05-27T08:54:02,0,0,0,0
2023-05-27T09:05:40,0,0,0,0
2023-05-27T09:17:17,0,0,0,0
2023-05-27T09:28:56,0,0,0,0
2023-05-27T09:40:34,0,0,0,0
2023-05-27T09:52:13,0,0,0,0
2023-05-27T10:03:49,0,0,0,0
2023-05-27T10:15:44,0,0,0,0
2023-05-27T10:27:20,0,0,0,0
2023-05-27T10:38:58,0,0,0,0
2023-05-27T10:50:35,0,0,0,0
2023-05-27T11:02:12,0,0,0,0
2023-05-27T11:13:47,0,0,0,0
2023-05-27T11:25:22,0,0,0,0
2023-05-27T11:36:57,0,0,0,0
2023-05-27T11:48:32,0,0,0,0
2023-05-27T12:00:07,0,0,0,0
2023-05-27T12:11:52,0,0,0,0
2023-05-27T12:23:27,0,0,0,0
2023-05-27T12:35:02,0,0,0,0
2023-05-27T12:46:38,0,0,0,0
2023-05-27T12:58:13,0,0,0,0
2023-05-27T13:09:48,0,0,0,0
2023-05-27T13:21:23,0,0,0,0
2023-05-27T13:33:18,0,0,0,0
2023-05-27T13:44:53,0,0,0,0
2023-05-27T13:56:28,0,0,0,0
2023-05-27T14:08:04,0,0,0,0
2023-05-27T14:19:40,0,0,0,0
2023-05-27T14:31:16,0,0,0,0
2023-05-27T14:42:51,0,0,0,0
2023-05-27T14:54:25,0,0,0,0
2023-05-27T15:06:11,0,0,0,0
2023-05-27T15:17:46,0,0,0,0
2023-05-27T15:29:21,0,0,0,0
2023-05-27T15:40:57,0,0,0,0
2023-05-27T15:52:31,0,0,0,0
2023-05-27T16:04:06,0,0,0,0
2023-05-27T16:15:41,0,0,0,0
2023-05-27T16:27:26,0,0,0,0
2023-05-27T16:39:02,0,0,0,0
2023-05-27T16:50:37,0,0,0,0
2023-05-27T17:02:13,0,0,0,0
2023-05-27T17:13:51,0,0,0,0
2023-05-27T17:25:26,0,0,0,0
2023-05-27T17:37:03,0,0,0,0
2023-05-27T17:48:47,0,0,0,0
2023-05-27T18:00:23,0,0,0,0
2023-05-27T18:11:58,0,0,0,0
2023-05-27T18:23:34,0,0,0,0
2023-05-27T18:35:09,0,0,0,0
2023-05-27T18:46:44,0,0,0,0
2023-05-27T18:58:19,0,0,0,0
2023-05-27T19:10:15,0,0,0,0
2023-05-27T19:21:51,0,0,0,0
2023-05-27T19:33:27,0,0,0,0
2023-05-27T19:45:02,0,0,0,0
2023-05-27T19:56:37,0,0,0,0
2023-05-27T20:08:13,0,0,0,0
2023-05-27T20:19:48,0,0,0,0
2023-05-27T20:31:24,0,0,0,0
2023-05-27T20:42:58,0,0,0,0
2023-05-27T20:54:43,0,0,0,0
2023-05-27T21:06:18,0,0,0,0
2023-05-27T21:17:53,0,0,0,0
2023-05-27T21:29:29,0,0,0,0
2023-05-27T21:41:04,0,0,0,0
2023-05-27T21:52:40,0,0,0,0
2023-05-27T22:04:15,0,0,0,0
2023-05-27T22:15:59,0,0,0,0
2023-05-27T22:27:35,0,0,0,0
2023-05-27T22:39:11,0,0,0,0
2023-05-27T22:50:46,0,0,0,0
2023-05-27T23:02:23,0,0,0,0
2023-05-27T23:14:02,0,0,0,0
2023-05-27T23:25:37,0,0,0,0
2023-05-27T23:37:30,0,0,0,0
2023-05-27T23:49:05,0,0,0,0
2023-05-28T00:00:41,0,0,0,0
2023-05-28T00:12:18,0,0,0,0
2023-05-28T00:23:59,0,0,0,0
2023-05-28T00:35:36,0,0,0,0
2023-05-28T00:47:14,0,0,0,0
2023-05-28T00:58:50,0,0,0,0
2023-05-28T01:10:27,0,0,0,0
2023-05-28T01:22:03,0,0,0,0
2023-05-28T01:33:48,0,0,0,0
2023-05-28T01:45:24,0,0,0,0
2023-05-28T01:56:59,0,0,0,0
2023-05-28T02:08:35,0,0,0,0
2023-05-28T02:20:11,0,0,0,0
2023-05-28T02:31:48,0,0,0,0
2023-05-28T02:43:28,0,0,0,0
2023-05-28T02:55:09,0,0,0,0
2023-05-28T03:06:50,0,0,0,0
2023-05-28T03:18:30,0,0,0,0
2023-05-28T03:30:09,0,0,0,0
2023-05-28T03:42:09,0,0,0,0
2023-05-28T03:54:36,0,0,0,0
2023-05-28T04:06:34,0,0,0,0
2023-05-28T04:32:14,0,0,0,0
2023-05-28T04:45:27,0,0,0,0
2023-05-28T04:57:08,0,0,0,0
2023-05-28T05:08:47,0,0,0,0
2023-05-28T05:20:25,0,0,0,0
2023-05-28T05:32:03,0,0,0,0
2023-05-28T05:43:47,0,0,0,0
2023-05-28T05:55:26,0,0,0,0
2023-05-28T06:07:06,0,0,0,0
2023-05-28T06:18:45,0,0,0,0
2023-05-28T06:30:23,0,0,0,0
2023-05-28T06:42:01,0,0,0,0
2023-05-28T06:53:39,0,0,0,0
2023-05-28T07:05:17,0,0,0,0
2023-05-28T07:16:55,0,0,0,0
2023-05-28T07:28:34,0,0,0,0
2023-05-28T07:40:12,0,0,0,0
2023-05-28T07:51:51,0,0,0,0
2023-05-28T08:03:33,0,0,0,0
2023-05-28T08:15:12,0,0,0,0
2023-05-28T08:26:50,0,0,0,0
2023-05-28T08:38:27,0,0,0,0
2023-05-28T08:50:06,0,0,0,0
2023-05-28T09:01:45,0,0,0,0
2023-05-28T09:13:21,0,0,0,0
2023-05-28T09:25:06,0,0,0,0
2023-05-28T09:36:41,0,0,0,0
