time,enrolled,available,waitlisted,total
2023-05-25T01:21:18,0,15,0,15
2023-05-25T01:32:54,0,15,0,15
2023-05-25T01:44:38,0,15,0,15
2023-05-25T01:56:13,0,15,0,15
2023-05-25T02:07:49,0,15,0,15
2023-05-25T02:19:25,0,15,0,15
2023-05-25T02:31:00,0,15,0,15
2023-05-25T02:42:34,0,15,0,15
2023-05-25T02:54:07,0,15,0,15
2023-05-25T03:05:40,0,15,0,15
2023-05-25T03:17:19,0,15,0,15
2023-05-25T03:29:17,0,15,0,15
2023-05-25T03:40:54,0,15,0,15
2023-05-25T03:52:30,0,15,0,15
2023-05-25T04:04:05,0,15,0,15
2023-05-25T04:23:52,0,15,0,15
2023-05-25T04:35:29,0,15,0,15
2023-05-25T04:47:06,0,15,0,15
2023-05-25T04:58:41,0,15,0,15
2023-05-25T05:10:18,0,15,0,15
2023-05-25T05:21:54,0,15,0,15
2023-05-25T05:33:31,0,15,0,15
2023-05-25T05:45:07,0,15,0,15
2023-05-25T05:56:44,0,15,0,15
2023-05-25T06:08:20,0,15,0,15
2023-05-25T06:19:55,0,15,0,15
2023-05-25T06:31:30,0,15,0,15
2023-05-25T06:43:05,0,15,0,15
2023-05-25T06:54:40,0,15,0,15
2023-05-25T07:06:16,0,15,0,15
2023-05-25T07:17:51,0,15,0,15
2023-05-25T07:29:24,0,15,0,15
2023-05-25T07:41:01,0,15,0,15
2023-05-25T07:52:36,0,15,0,15
2023-05-25T08:04:12,0,15,0,15
2023-05-25T08:15:46,0,15,0,15
2023-05-25T08:27:30,0,15,0,15
2023-05-25T08:39:03,0,15,0,15
2023-05-25T08:50:36,0,15,0,15
2023-05-25T09:02:09,0,15,0,15
2023-05-25T09:13:42,0,15,0,15
2023-05-25T09:25:15,0,15,0,15
2023-05-25T09:36:47,0,15,0,15
2023-05-25T09:48:20,0,15,0,15
2023-05-25T09:59:53,0,15,0,15
2023-05-25T10:11:38,0,15,0,15
2023-05-25T10:23:11,0,15,0,15
2023-05-25T10:34:44,0,15,0,15
2023-05-25T10:46:16,0,15,0,15
2023-05-25T10:57:59,0,15,0,15
2023-05-25T11:09:31,0,15,0,15
2023-05-25T11:21:04,0,15,0,15
2023-05-25T11:32:37,0,15,0,15
2023-05-25T11:44:10,0,15,0,15
2023-05-25T11:55:54,0,15,0,15
2023-05-25T12:07:27,0,15,0,15
2023-05-25T12:19:00,0,15,0,15
2023-05-25T12:30:33,0,15,0,15
2023-05-25T12:42:05,0,15,0,15
2023-05-25T12:53:38,0,15,0,15
2023-05-25T13:05:21,0,15,0,15
2023-05-25T13:16:54,0,15,0,15
2023-05-25T13:28:27,0,15,0,15
2023-05-25T13:40:00,0,15,0,15
2023-05-25T13:51:34,0,15,0,15
2023-05-25T14:03:18,0,15,0,15
2023-05-25T14:14:52,0,15,0,15
2023-05-25T14:26:25,0,15,0,15
2023-05-25T14:37:58,0,15,0,15
2023-05-25T14:49:31,0,15,0,15
2023-05-25T15:01:14,0,15,0,15
2023-05-25T15:12:48,0,15,0,15
2023-05-25T15:24:23,0,15,0,15
2023-05-25T15:35:57,0,15,0,15
2023-05-25T15:47:32,0,15,0,15
2023-05-25T15:59:07,0,15,0,15
2023-05-25T16:10:52,0,15,0,15
2023-05-25T16:22:27,0,15,0,15
2023-05-25T16:34:02,0,15,0,15
2023-05-25T16:45:37,0,15,0,15
2023-05-25T16:57:13,0,15,0,15
2023-05-25T17:08:49,0,15,0,15
2023-05-25T17:20:37,0,15,0,15
2023-05-25T17:32:12,0,15,0,15
2023-05-25T17:43:48,0,15,0,15
2023-05-25T17:55:24,0,15,0,15
2023-05-25T18:07:00,0,15,0,15
2023-05-25T18:18:36,0,15,0,15
2023-05-25T18:30:11,0,15,0,15
2023-05-25T18:41:57,0,15,0,15
2023-05-25T18:53:33,0,15,0,15
2023-05-25T19:05:09,0,15,0,15
2023-05-25T19:16:45,0,15,0,15
2023-05-25T19:28:21,0,15,0,15
2023-05-25T19:39:56,0,15,0,15
2023-05-25T19:51:42,0,15,0,15
2023-05-25T20:03:18,0,15,0,15
2023-05-25T20:14:54,0,15,0,15
2023-05-25T20:26:30,0,15,0,15
2023-05-25T20:38:05,0,15,0,15
2023-05-25T20:49:41,0,15,0,15
2023-05-25T21:01:17,0,15,0,15
2023-05-25T21:12:53,0,15,0,15
2023-05-25T21:24:40,0,15,0,15
2023-05-25T21:36:15,0,15,0,15
2023-05-25T21:47:51,0,15,0,15
2023-05-25T21:59:26,0,15,0,15
2023-05-25T22:11:02,0,15,0,15
2023-05-25T22:22:37,0,15,0,15
2023-05-25T22:34:13,0,15,0,15
2023-05-25T22:45:59,0,15,0,15
2023-05-25T22:57:34,0,15,0,15
2023-05-25T23:09:13,0,15,0,15
2023-05-25T23:20:48,0,15,0,15
2023-05-25T23:32:24,0,15,0,15
2023-05-25T23:44:00,0,15,0,15
2023-05-25T23:55:37,0,15,0,15
2023-05-26T00:07:33,0,15,0,15
2023-05-26T00:19:13,0,15,0,15
2023-05-26T00:30:52,0,15,0,15
2023-05-26T00:42:30,0,15,0,15
2023-05-26T00:54:09,0,15,0,15
2023-05-26T01:05:49,0,15,0,15
2023-05-26T01:17:27,0,15,0,15
2023-05-26T01:29:05,0,15,0,15
2023-05-26T01:40:43,0,15,0,15
2023-05-26T01:52:32,0,15,0,15
2023-05-26T02:04:13,0,15,0,15
2023-05-26T02:15:51,0,15,0,15
2023-05-26T02:27:29,0,15,0,15
2023-05-26T02:39:08,0,15,0,15
2023-05-26T02:50:57,0,15,0,15
2023-05-26T03:02:37,0,15,0,15
2023-05-26T03:14:16,0,15,0,15
2023-05-26T03:25:57,0,15,0,15
2023-05-26T03:37:35,0,15,0,15
2023-05-26T03:49:14,0,15,0,15
2023-05-26T04:00:52,0,15,0,15
2023-05-26T04:12:41,0,15,0,15
2023-05-26T04:35:04,0,15,0,15
2023-05-26T04:46:45,0,15,0,15
2023-05-26T04:58:25,0,15,0,15
2023-05-26T05:10:08,0,15,0,15
2023-05-26T05:21:47,0,15,0,15
2023-05-26T05:33:25,0,15,0,15
2023-05-26T05:45:05,0,15,0,15
2023-05-26T05:56:43,0,15,0,15
2023-05-26T06:08:21,0,15,0,15
2023-05-26T06:20:01,0,15,0,15
