time,enrolled,available,waitlisted,total
2023-05-25T01:21:21,0,70,0,70
2023-05-25T01:32:57,0,70,0,70
2023-05-25T01:44:41,0,70,0,70
2023-05-25T01:56:16,0,70,0,70
2023-05-25T02:07:52,0,70,0,70
2023-05-25T02:19:28,0,70,0,70
2023-05-25T02:31:03,0,70,0,70
2023-05-25T02:42:37,0,70,0,70
2023-05-25T02:54:10,0,70,0,70
2023-05-25T03:05:43,0,70,0,70
2023-05-25T03:17:22,0,70,0,70
2023-05-25T03:29:20,0,70,0,70
2023-05-25T03:40:57,0,70,0,70
2023-05-25T03:52:33,0,70,0,70
2023-05-25T04:04:08,0,70,0,70
2023-05-25T04:23:55,0,70,0,70
2023-05-25T04:35:32,0,70,0,70
2023-05-25T04:47:09,0,70,0,70
2023-05-25T04:58:44,0,70,0,70
2023-05-25T05:10:21,0,70,0,70
2023-05-25T05:21:57,0,70,0,70
2023-05-25T05:33:34,0,70,0,70
2023-05-25T05:45:10,0,70,0,70
2023-05-25T05:56:47,0,70,0,70
2023-05-25T06:08:23,0,70,0,70
2023-05-25T06:19:58,0,70,0,70
2023-05-25T06:31:33,0,70,0,70
2023-05-25T06:43:08,0,70,0,70
2023-05-25T06:54:43,0,70,0,70
2023-05-25T07:06:19,0,70,0,70
2023-05-25T07:17:54,0,70,0,70
2023-05-25T07:29:27,0,70,0,70
2023-05-25T07:41:04,0,70,0,70
2023-05-25T07:52:39,0,70,0,70
2023-05-25T08:04:15,0,70,0,70
2023-05-25T08:15:49,0,70,0,70
2023-05-25T08:27:33,0,70,0,70
2023-05-25T08:39:06,0,70,0,70
2023-05-25T08:50:39,0,70,0,70
2023-05-25T09:02:12,0,70,0,70
2023-05-25T09:13:45,0,70,0,70
2023-05-25T09:25:18,0,70,0,70
2023-05-25T09:36:50,0,70,0,70
2023-05-25T09:48:23,0,70,0,70
2023-05-25T09:59:56,0,70,0,70
2023-05-25T10:11:41,0,70,0,70
2023-05-25T10:23:14,0,70,0,70
2023-05-25T10:34:47,0,70,0,70
2023-05-25T10:46:19,0,70,0,70
2023-05-25T10:58:02,0,70,0,70
2023-05-25T11:09:34,0,70,0,70
2023-05-25T11:21:07,0,70,0,70
2023-05-25T11:32:40,0,70,0,70
2023-05-25T11:44:12,0,70,0,70
2023-05-25T11:55:57,0,70,0,70
2023-05-25T12:07:30,0,70,0,70
2023-05-25T12:19:03,0,70,0,70
2023-05-25T12:30:35,0,70,0,70
2023-05-25T12:42:08,0,70,0,70
2023-05-25T12:53:41,0,70,0,70
2023-05-25T13:05:24,0,70,0,70
2023-05-25T13:16:57,0,70,0,70
2023-05-25T13:28:30,0,70,0,70
2023-05-25T13:40:03,0,70,0,70
2023-05-25T13:51:37,0,70,0,70
2023-05-25T14:03:21,0,70,0,70
2023-05-25T14:14:55,0,70,0,70
2023-05-25T14:26:28,0,70,0,70
2023-05-25T14:38:01,0,70,0,70
2023-05-25T14:49:34,0,70,0,70
2023-05-25T15:01:17,0,70,0,70
2023-05-25T15:12:51,0,70,0,70
2023-05-25T15:24:26,0,70,0,70
2023-05-25T15:36:00,0,70,0,70
2023-05-25T15:47:35,0,70,0,70
2023-05-25T15:59:10,0,70,0,70
2023-05-25T16:10:55,0,70,0,70
2023-05-25T16:22:30,0,70,0,70
2023-05-25T16:34:05,0,70,0,70
2023-05-25T16:45:40,0,70,0,70
2023-05-25T16:57:16,0,70,0,70
2023-05-25T17:08:53,0,70,0,70
2023-05-25T17:20:40,0,70,0,70
2023-05-25T17:32:15,0,70,0,70
2023-05-25T17:43:51,0,70,0,70
2023-05-25T17:55:27,0,70,0,70
2023-05-25T18:07:03,0,70,0,70
2023-05-25T18:18:39,0,70,0,70
2023-05-25T18:30:14,0,70,0,70
2023-05-25T18:42:00,0,70,0,70
2023-05-25T18:53:36,0,70,0,70
2023-05-25T19:05:12,0,70,0,70
2023-05-25T19:16:48,0,70,0,70
2023-05-25T19:28:24,0,70,0,70
2023-05-25T19:39:59,0,70,0,70
2023-05-25T19:51:45,0,70,0,70
2023-05-25T20:03:21,0,70,0,70
2023-05-25T20:14:57,0,70,0,70
2023-05-25T20:26:33,0,70,0,70
2023-05-25T20:38:08,0,70,0,70
2023-05-25T20:49:44,0,70,0,70
2023-05-25T21:01:20,0,70,0,70
2023-05-25T21:12:56,0,70,0,70
2023-05-25T21:24:43,0,70,0,70
2023-05-25T21:36:18,0,70,0,70
2023-05-25T21:47:54,0,70,0,70
2023-05-25T21:59:29,0,70,0,70
2023-05-25T22:11:05,0,70,0,70
2023-05-25T22:22:40,0,70,0,70
2023-05-25T22:34:16,0,70,0,70
2023-05-25T22:46:02,0,70,0,70
2023-05-25T22:57:37,0,70,0,70
2023-05-25T23:09:16,0,70,0,70
2023-05-25T23:20:51,0,70,0,70
2023-05-25T23:32:27,0,70,0,70
2023-05-25T23:44:03,0,70,0,70
2023-05-25T23:55:40,0,70,0,70
2023-05-26T00:07:36,0,70,0,70
2023-05-26T00:19:16,0,70,0,70
2023-05-26T00:30:55,0,70,0,70
