time,enrolled,available,waitlisted,total
2023-05-25T01:21:46,0,20,0,20
2023-05-25T01:33:22,0,20,0,20
2023-05-25T01:45:06,0,20,0,20
2023-05-25T01:56:42,0,20,0,20
2023-05-25T02:08:17,0,20,0,20
2023-05-25T02:19:54,0,20,0,20
2023-05-25T02:31:28,0,20,0,20
2023-05-25T02:43:02,0,20,0,20
2023-05-25T02:54:35,0,20,0,20
2023-05-25T03:06:08,0,20,0,20
2023-05-25T03:17:47,0,20,0,20
2023-05-25T03:29:45,0,20,0,20
2023-05-25T03:41:22,0,20,0,20
2023-05-25T03:52:58,0,20,0,20
2023-05-25T04:04:33,0,20,0,20
2023-05-25T04:24:21,0,20,0,20
2023-05-25T04:35:58,0,20,0,20
2023-05-25T04:47:34,0,20,0,20
2023-05-25T04:59:10,0,20,0,20
2023-05-25T05:10:47,0,20,0,20
2023-05-25T05:22:23,0,20,0,20
2023-05-25T05:34:00,0,20,0,20
2023-05-25T05:45:35,0,20,0,20
2023-05-25T05:57:12,0,20,0,20
2023-05-25T06:08:48,0,20,0,20
2023-05-25T06:20:23,0,20,0,20
2023-05-25T06:31:58,0,20,0,20
2023-05-25T06:43:33,0,20,0,20
2023-05-25T06:55:08,0,20,0,20
2023-05-25T07:06:44,0,20,0,20
2023-05-25T07:18:19,0,20,0,20
2023-05-25T07:29:53,0,20,0,20
2023-05-25T07:41:29,0,20,0,20
2023-05-25T07:53:05,0,20,0,20
2023-05-25T08:04:40,0,20,0,20
2023-05-25T08:16:14,0,20,0,20
2023-05-25T08:27:58,0,20,0,20
2023-05-25T08:39:31,0,20,0,20
2023-05-25T08:51:04,0,20,0,20
2023-05-25T09:02:37,0,20,0,20
2023-05-25T09:14:10,0,20,0,20
2023-05-25T09:25:43,0,20,0,20
2023-05-25T09:37:15,0,20,0,20
2023-05-25T09:48:48,0,20,0,20
2023-05-25T10:00:22,0,20,0,20
2023-05-25T10:12:06,0,20,0,20
2023-05-25T10:23:39,0,20,0,20
2023-05-25T10:35:12,0,20,0,20
2023-05-25T10:46:44,0,20,0,20
2023-05-25T10:58:27,0,20,0,20
2023-05-25T11:09:59,0,20,0,20
2023-05-25T11:21:32,0,20,0,20
2023-05-25T11:33:05,0,20,0,20
2023-05-25T11:44:38,0,20,0,20
2023-05-25T11:56:22,0,20,0,20
2023-05-25T12:07:55,0,20,0,20
2023-05-25T12:19:28,0,20,0,20
2023-05-25T12:31:01,0,20,0,20
2023-05-25T12:42:34,0,20,0,20
2023-05-25T12:54:06,0,20,0,20
