time,enrolled,available,waitlisted,total
2023-05-25T01:22:01,0,155,0,155
2023-05-25T01:33:37,0,155,0,155
2023-05-25T01:45:21,0,155,0,155
2023-05-25T01:56:56,0,155,0,155
2023-05-25T02:08:32,0,155,0,155
2023-05-25T02:20:09,0,155,0,155
2023-05-25T02:31:43,0,155,0,155
2023-05-25T02:43:17,0,155,0,155
2023-05-25T02:54:50,0,155,0,155
2023-05-25T03:06:23,0,155,0,155
2023-05-25T03:18:02,0,155,0,155
2023-05-25T03:30:00,0,155,0,155
2023-05-25T03:41:37,0,155,0,155
2023-05-25T03:53:13,0,155,0,155
2023-05-25T04:04:48,0,155,0,155
2023-05-25T04:24:36,0,155,0,155
2023-05-25T04:36:13,0,155,0,155
2023-05-25T04:47:49,0,155,0,155
2023-05-25T04:59:25,0,155,0,155
2023-05-25T05:11:01,0,155,0,155
2023-05-25T05:22:38,0,155,0,155
2023-05-25T05:34:14,0,155,0,155
2023-05-25T05:45:50,0,155,0,155
2023-05-25T05:57:27,0,155,0,155
2023-05-25T06:09:03,0,155,0,155
2023-05-25T06:20:38,0,155,0,155
2023-05-25T06:32:13,0,155,0,155
2023-05-25T06:43:48,0,155,0,155
2023-05-25T06:55:23,0,155,0,155
2023-05-25T07:06:59,0,155,0,155
2023-05-25T07:18:34,0,155,0,155
2023-05-25T07:30:08,0,155,0,155
2023-05-25T07:41:44,0,155,0,155
2023-05-25T07:53:20,0,155,0,155
2023-05-25T08:04:55,0,155,0,155
2023-05-25T08:16:29,0,155,0,155
2023-05-25T08:28:13,0,155,0,155
2023-05-25T08:39:46,0,155,0,155
2023-05-25T08:51:19,0,155,0,155
2023-05-25T09:02:52,0,155,0,155
2023-05-25T09:14:25,0,155,0,155
2023-05-25T09:25:58,0,155,0,155
2023-05-25T09:37:30,0,155,0,155
2023-05-25T09:49:03,0,155,0,155
2023-05-25T10:00:36,0,155,0,155
2023-05-25T10:12:21,0,155,0,155
2023-05-25T10:23:54,0,155,0,155
2023-05-25T10:35:27,0,155,0,155
2023-05-25T10:46:59,0,155,0,155
2023-05-25T10:58:42,0,155,0,155
2023-05-25T11:10:14,0,155,0,155
2023-05-25T11:21:47,0,155,0,155
2023-05-25T11:33:20,0,155,0,155
2023-05-25T11:44:53,0,155,0,155
2023-05-25T11:56:37,0,155,0,155
2023-05-25T12:08:10,0,155,0,155
2023-05-25T12:19:43,0,155,0,155
2023-05-25T12:31:16,0,155,0,155
2023-05-25T12:42:49,0,155,0,155
2023-05-25T12:54:21,0,155,0,155
2023-05-25T13:06:04,0,155,0,155
2023-05-25T13:17:37,0,155,0,155
2023-05-25T13:29:10,0,155,0,155
2023-05-25T13:40:44,0,155,0,155
2023-05-25T13:52:17,0,155,0,155
2023-05-25T14:04:01,0,155,0,155
2023-05-25T14:15:35,0,155,0,155
2023-05-25T14:27:08,0,155,0,155
2023-05-25T14:38:41,0,155,0,155
2023-05-25T14:50:14,0,155,0,155
2023-05-25T15:01:58,0,155,0,155
2023-05-25T15:13:32,0,155,0,155
2023-05-25T15:25:07,0,155,0,155
2023-05-25T15:36:41,0,155,0,155
2023-05-25T15:48:16,0,155,0,155
2023-05-25T15:59:51,0,155,0,155
2023-05-25T16:11:36,0,155,0,155
2023-05-25T16:23:11,0,155,0,155
2023-05-25T16:34:46,0,155,0,155
2023-05-25T16:46:22,0,155,0,155
2023-05-25T16:57:57,0,155,0,155
2023-05-25T17:09:34,0,155,0,155
2023-05-25T17:21:21,0,155,0,155
2023-05-25T17:32:57,0,155,0,155
2023-05-25T17:44:32,0,155,0,155
2023-05-25T17:56:08,0,155,0,155
2023-05-25T18:07:45,0,155,0,155
2023-05-25T18:19:20,0,155,0,155
2023-05-25T18:30:56,0,155,0,155
2023-05-25T18:42:41,0,155,0,155
2023-05-25T18:54:17,0,155,0,155
2023-05-25T19:05:53,0,155,0,155
2023-05-25T19:17:29,0,155,0,155
2023-05-25T19:29:05,0,155,0,155
2023-05-25T19:40:41,0,155,0,155
2023-05-25T19:52:27,0,155,0,155
2023-05-25T20:04:02,0,155,0,155
2023-05-25T20:15:38,0,155,0,155
2023-05-25T20:27:14,0,155,0,155
2023-05-25T20:38:50,0,155,0,155
2023-05-25T20:50:25,0,155,0,155
2023-05-25T21:02:01,0,155,0,155
2023-05-25T21:13:37,0,155,0,155
2023-05-25T21:25:24,0,155,0,155
2023-05-25T21:37:00,0,155,0,155
2023-05-25T21:48:36,0,155,0,155
2023-05-25T22:00:11,0,155,0,155
2023-05-25T22:11:46,0,155,0,155
2023-05-25T22:23:22,0,155,0,155
2023-05-25T22:34:57,0,155,0,155
2023-05-25T22:46:43,0,155,0,155
2023-05-25T22:58:19,0,155,0,155
2023-05-25T23:09:57,0,155,0,155
2023-05-25T23:21:33,0,155,0,155
