time,enrolled,available,waitlisted,total
2023-05-25T01:22:08,0,25,0,25
2023-05-25T01:33:44,0,25,0,25
2023-05-25T01:45:28,0,25,0,25
2023-05-25T01:57:04,0,25,0,25
2023-05-25T02:08:40,0,25,0,25
2023-05-25T02:20:16,0,25,0,25
2023-05-25T02:31:50,0,25,0,25
2023-05-25T02:43:24,0,25,0,25
2023-05-25T02:54:57,0,25,0,25
2023-05-25T03:06:30,0,25,0,25
2023-05-25T03:18:09,0,25,0,25
2023-05-25T03:30:07,0,25,0,25
2023-05-25T03:41:45,0,25,0,25
2023-05-25T03:53:20,0,25,0,25
2023-05-25T04:04:55,0,25,0,25
2023-05-25T04:24:43,0,25,0,25
2023-05-25T04:36:20,0,25,0,25
2023-05-25T04:47:56,0,25,0,25
2023-05-25T04:59:32,0,25,0,25
2023-05-25T05:11:09,0,25,0,25
2023-05-25T05:22:45,0,25,0,25
2023-05-25T05:34:22,0,25,0,25
2023-05-25T05:45:58,0,25,0,25
2023-05-25T05:57:34,0,25,0,25
2023-05-25T06:09:10,0,25,0,25
2023-05-25T06:20:45,0,25,0,25
2023-05-25T06:32:20,0,25,0,25
2023-05-25T06:43:55,0,25,0,25
2023-05-25T06:55:30,0,25,0,25
2023-05-25T07:07:06,0,25,0,25
2023-05-25T07:18:41,0,25,0,25
2023-05-25T07:30:15,0,25,0,25
2023-05-25T07:41:51,0,25,0,25
2023-05-25T07:53:27,0,25,0,25
2023-05-25T08:05:02,0,25,0,25
2023-05-25T08:16:37,0,25,0,25
2023-05-25T08:28:21,0,25,0,25
2023-05-25T08:39:54,0,25,0,25
2023-05-25T08:51:26,0,25,0,25
2023-05-25T09:03:00,0,25,0,25
2023-05-25T09:14:32,0,25,0,25
2023-05-25T09:26:05,0,25,0,25
2023-05-25T09:37:38,0,25,0,25
2023-05-25T09:49:10,0,25,0,25
2023-05-25T10:00:44,0,25,0,25
2023-05-25T10:12:28,0,25,0,25
2023-05-25T10:24:01,0,25,0,25
2023-05-25T10:35:34,0,25,0,25
2023-05-25T10:47:07,0,25,0,25
2023-05-25T10:58:49,0,25,0,25
2023-05-25T11:10:22,0,25,0,25
2023-05-25T11:21:54,0,25,0,25
2023-05-25T11:33:27,0,25,0,25
2023-05-25T11:45:00,0,25,0,25
2023-05-25T11:56:44,0,25,0,25
2023-05-25T12:08:17,0,25,0,25
2023-05-25T12:19:50,0,25,0,25
2023-05-25T12:31:23,0,25,0,25
2023-05-25T12:42:56,0,25,0,25
2023-05-25T12:54:29,0,25,0,25
2023-05-25T13:06:12,0,25,0,25
2023-05-25T13:17:44,0,25,0,25
2023-05-25T13:29:18,0,25,0,25
2023-05-25T13:40:51,0,25,0,25
2023-05-25T13:52:24,0,25,0,25
2023-05-25T14:04:08,0,25,0,25
2023-05-25T14:15:42,0,25,0,25
2023-05-25T14:27:15,0,25,0,25
2023-05-25T14:38:48,0,25,0,25
2023-05-25T14:50:21,0,25,0,25
2023-05-25T15:02:05,0,25,0,25
2023-05-25T15:13:40,0,25,0,25
2023-05-25T15:25:14,0,25,0,25
2023-05-25T15:36:49,0,25,0,25
2023-05-25T15:48:23,0,25,0,25
2023-05-25T15:59:58,0,25,0,25
2023-05-25T16:11:43,0,25,0,25
2023-05-25T16:23:18,0,25,0,25
2023-05-25T16:34:53,0,25,0,25
2023-05-25T16:46:29,0,25,0,25
2023-05-25T16:58:05,0,25,0,25
2023-05-25T17:09:41,0,25,0,25
2023-05-25T17:21:28,0,25,0,25
2023-05-25T17:33:04,0,25,0,25
2023-05-25T17:44:39,0,25,0,25
2023-05-25T17:56:15,0,25,0,25
2023-05-25T18:07:52,0,25,0,25
2023-05-25T18:19:28,0,25,0,25
2023-05-25T18:31:03,0,25,0,25
2023-05-25T18:42:48,0,25,0,25
2023-05-25T18:54:24,0,25,0,25
2023-05-25T19:06:01,0,25,0,25
2023-05-25T19:17:37,0,25,0,25
2023-05-25T19:29:12,0,25,0,25
2023-05-25T19:40:48,0,25,0,25
2023-05-25T19:52:34,0,25,0,25
2023-05-25T20:04:09,0,25,0,25
2023-05-25T20:15:45,0,25,0,25
2023-05-25T20:27:22,0,25,0,25
2023-05-25T20:38:57,0,25,0,25
2023-05-25T20:50:32,0,25,0,25
2023-05-25T21:02:08,0,25,0,25
2023-05-25T21:13:44,0,25,0,25
2023-05-25T21:25:31,0,25,0,25
2023-05-25T21:37:07,0,25,0,25
2023-05-25T21:48:43,0,25,0,25
2023-05-25T22:00:18,0,25,0,25
