time,enrolled,available,waitlisted,total
2023-05-25T01:22:11,0,25,0,25
2023-05-25T01:33:47,0,25,0,25
2023-05-25T01:45:31,0,25,0,25
2023-05-25T01:57:07,0,25,0,25
2023-05-25T02:08:43,0,25,0,25
2023-05-25T02:20:19,0,25,0,25
2023-05-25T02:31:53,0,25,0,25
2023-05-25T02:43:27,0,25,0,25
2023-05-25T02:55:00,0,25,0,25
2023-05-25T03:06:33,0,25,0,25
2023-05-25T03:18:12,0,25,0,25
2023-05-25T03:30:10,0,25,0,25
2023-05-25T03:41:48,0,25,0,25
2023-05-25T03:53:23,0,25,0,25
2023-05-25T04:04:58,0,25,0,25
2023-05-25T04:24:46,0,25,0,25
2023-05-25T04:36:23,0,25,0,25
2023-05-25T04:47:59,0,25,0,25
2023-05-25T04:59:35,0,25,0,25
2023-05-25T05:11:12,0,25,0,25
2023-05-25T05:22:48,0,25,0,25
2023-05-25T05:34:25,0,25,0,25
2023-05-25T05:46:01,0,25,0,25
2023-05-25T05:57:37,0,25,0,25
2023-05-25T06:09:13,0,25,0,25
2023-05-25T06:20:48,0,25,0,25
2023-05-25T06:32:23,0,25,0,25
2023-05-25T06:43:58,0,25,0,25
2023-05-25T06:55:33,0,25,0,25
2023-05-25T07:07:09,0,25,0,25
2023-05-25T07:18:44,0,25,0,25
2023-05-25T07:30:18,0,25,0,25
2023-05-25T07:41:54,0,25,0,25
2023-05-25T07:53:30,0,25,0,25
2023-05-25T08:05:05,0,25,0,25
2023-05-25T08:16:40,0,25,0,25
2023-05-25T08:28:24,0,25,0,25
2023-05-25T08:39:57,0,25,0,25
2023-05-25T08:51:29,0,25,0,25
2023-05-25T09:03:03,0,25,0,25
2023-05-25T09:14:35,0,25,0,25
2023-05-25T09:26:08,0,25,0,25
2023-05-25T09:37:40,0,25,0,25
2023-05-25T09:49:13,0,25,0,25
2023-05-25T10:00:47,0,25,0,25
2023-05-25T10:12:31,0,25,0,25
2023-05-25T10:24:04,0,25,0,25
2023-05-25T10:35:37,0,25,0,25
2023-05-25T10:47:10,0,25,0,25
2023-05-25T10:58:52,0,25,0,25
2023-05-25T11:10:25,0,25,0,25
2023-05-25T11:21:57,0,25,0,25
2023-05-25T11:33:30,0,25,0,25
2023-05-25T11:45:03,0,25,0,25
2023-05-25T11:56:47,0,25,0,25
2023-05-25T12:08:20,0,25,0,25
2023-05-25T12:19:53,0,25,0,25
2023-05-25T12:31:26,0,25,0,25
2023-05-25T12:42:59,0,25,0,25
2023-05-25T12:54:32,0,25,0,25
2023-05-25T13:06:15,0,25,0,25
2023-05-25T13:17:47,0,25,0,25
2023-05-25T13:29:21,0,25,0,25
2023-05-25T13:40:54,0,25,0,25
2023-05-25T13:52:27,0,25,0,25
2023-05-25T14:04:11,0,25,0,25
2023-05-25T14:15:45,0,25,0,25
2023-05-25T14:27:18,0,25,0,25
2023-05-25T14:38:51,0,25,0,25
2023-05-25T14:50:24,0,25,0,25
2023-05-25T15:02:08,0,25,0,25
2023-05-25T15:13:43,0,25,0,25
2023-05-25T15:25:17,0,25,0,25
2023-05-25T15:36:52,0,25,0,25
2023-05-25T15:48:26,0,25,0,25
2023-05-25T16:00:01,0,25,0,25
2023-05-25T16:11:46,0,25,0,25
2023-05-25T16:23:21,0,25,0,25
2023-05-25T16:34:56,0,25,0,25
2023-05-25T16:46:32,0,25,0,25
2023-05-25T16:58:08,0,25,0,25
2023-05-25T17:09:44,0,25,0,25
2023-05-25T17:21:31,0,25,0,25
2023-05-25T17:33:07,0,25,0,25
2023-05-25T17:44:42,0,25,0,25
2023-05-25T17:56:18,0,25,0,25
2023-05-25T18:07:55,0,25,0,25
2023-05-25T18:19:31,0,25,0,25
2023-05-25T18:31:06,0,25,0,25
2023-05-25T18:42:51,0,25,0,25
2023-05-25T18:54:27,0,25,0,25
2023-05-25T19:06:04,0,25,0,25
2023-05-25T19:17:40,0,25,0,25
2023-05-25T19:29:15,0,25,0,25
2023-05-25T19:40:51,0,25,0,25
2023-05-25T19:52:37,0,25,0,25
2023-05-25T20:04:12,0,25,0,25
2023-05-25T20:15:48,0,25,0,25
2023-05-25T20:27:25,0,25,0,25
2023-05-25T20:39:00,0,25,0,25
2023-05-25T20:50:35,0,25,0,25
2023-05-25T21:02:11,0,25,0,25
2023-05-25T21:13:47,0,25,0,25
2023-05-25T21:25:34,0,25,0,25
2023-05-25T21:37:10,0,25,0,25
2023-05-25T21:48:46,0,25,0,25
2023-05-25T22:00:21,0,25,0,25
2023-05-25T22:11:56,0,25,0,25
2023-05-25T22:23:32,0,25,0,25
2023-05-25T22:35:07,0,25,0,25
2023-05-25T22:46:54,0,25,0,25
2023-05-25T22:58:29,0,25,0,25
2023-05-25T23:10:07,0,25,0,25
2023-05-25T23:21:43,0,25,0,25
2023-05-25T23:33:19,0,25,0,25
2023-05-25T23:44:55,0,25,0,25
2023-05-25T23:56:32,0,25,0,25
2023-05-26T00:08:28,0,25,0,25
2023-05-26T00:20:07,0,25,0,25
2023-05-26T00:31:46,0,25,0,25
2023-05-26T00:43:25,0,25,0,25
2023-05-26T00:55:04,0,25,0,25
2023-05-26T01:06:44,0,25,0,25
2023-05-26T01:18:22,0,25,0,25
2023-05-26T01:30:00,0,25,0,25
2023-05-26T01:41:38,0,25,0,25
2023-05-26T01:53:26,0,25,0,25
2023-05-26T02:05:09,0,25,0,25
2023-05-26T02:16:46,0,25,0,25
2023-05-26T02:28:23,0,25,0,25
2023-05-26T02:40:03,0,25,0,25
2023-05-26T02:51:52,0,25,0,25
2023-05-26T03:03:32,0,25,0,25
2023-05-26T03:15:11,0,25,0,25
2023-05-26T03:26:52,0,25,0,25
2023-05-26T03:38:30,0,25,0,25
2023-05-26T03:50:09,0,25,0,25
2023-05-26T04:01:47,0,25,0,25
2023-05-26T04:13:35,0,25,0,25
2023-05-26T04:35:59,0,25,0,25
2023-05-26T04:47:40,0,25,0,25
2023-05-26T04:59:20,0,25,0,25
2023-05-26T05:11:02,0,25,0,25
2023-05-26T05:22:42,0,25,0,25
2023-05-26T05:34:20,0,25,0,25
2023-05-26T05:45:59,0,25,0,25
2023-05-26T05:57:38,0,25,0,25
2023-05-26T06:09:17,0,25,0,25
2023-05-26T06:20:56,1,24,0,25
2023-05-26T06:32:35,1,24,0,25
2023-05-26T06:44:14,1,24,0,25
2023-05-26T06:55:51,1,24,0,25
2023-05-26T07:07:30,1,24,0,25
2023-05-26T07:19:08,1,24,0,25
2023-05-26T07:30:55,1,24,0,25
2023-05-26T07:42:32,1,24,0,25
2023-05-26T07:54:09,1,24,0,25
2023-05-26T08:05:45,1,24,0,25
2023-05-26T08:17:21,1,24,0,25
2023-05-26T08:28:58,1,24,0,25
2023-05-26T08:40:34,1,24,0,25
2023-05-26T08:52:10,1,24,0,25
2023-05-26T09:03:46,2,23,0,25
2023-05-26T09:15:23,2,23,0,25
2023-05-26T09:26:59,3,22,0,25
2023-05-26T09:38:46,3,22,0,25
2023-05-26T09:50:22,3,22,0,25
2023-05-26T10:01:58,3,22,0,25
2023-05-26T10:13:35,3,22,0,25
2023-05-26T10:25:11,4,21,0,25
2023-05-26T10:36:47,4,21,0,25
2023-05-26T10:48:35,4,21,0,25
2023-05-26T11:00:11,4,21,0,25
2023-05-26T11:11:48,4,21,0,25
2023-05-26T11:23:24,4,21,0,25
2023-05-26T11:35:01,4,21,0,25
2023-05-26T11:46:47,4,21,0,25
2023-05-26T11:58:23,4,21,0,25
2023-05-26T12:09:59,4,21,0,25
2023-05-26T12:21:35,4,21,0,25
2023-05-26T12:33:11,4,21,0,25
2023-05-26T12:44:59,4,21,0,25
2023-05-26T12:56:34,4,21,0,25
2023-05-26T13:08:11,4,21,0,25
2023-05-26T13:19:46,4,21,0,25
2023-05-26T13:31:32,4,21,0,25
2023-05-26T13:43:09,4,21,0,25
2023-05-26T13:54:44,4,21,0,25
2023-05-26T14:06:20,4,21,0,25
2023-05-26T14:17:56,4,21,0,25
2023-05-26T14:29:43,4,21,0,25
2023-05-26T14:41:19,4,21,0,25
2023-05-26T14:52:56,4,21,0,25
2023-05-26T15:04:32,4,21,0,25
2023-05-26T15:16:10,4,21,0,25
2023-05-26T15:27:56,4,21,0,25
2023-05-26T15:39:32,4,21,0,25
2023-05-26T15:51:07,4,21,0,25
2023-05-26T16:02:44,4,21,0,25
2023-05-26T16:14:19,4,21,0,25
2023-05-26T16:25:55,4,21,0,25
2023-05-26T16:37:41,4,21,0,25
2023-05-26T16:49:16,4,21,0,25
2023-05-26T17:00:52,4,21,0,25
2023-05-26T17:12:29,4,21,0,25
2023-05-26T17:24:05,4,21,0,25
2023-05-26T17:35:40,4,21,0,25
2023-05-26T17:47:26,4,21,0,25
2023-05-26T17:59:02,4,21,0,25
2023-05-26T18:10:38,4,21,0,25
2023-05-26T18:22:13,4,21,0,25
2023-05-26T18:33:49,4,21,0,25
2023-05-26T18:45:24,4,21,0,25
2023-05-26T18:57:11,4,21,0,25
2023-05-26T19:08:46,4,21,0,25
2023-05-26T19:20:23,4,21,0,25
2023-05-26T19:31:59,4,21,0,25
2023-05-26T19:43:35,4,21,0,25
2023-05-26T19:55:10,4,21,0,25
2023-05-26T20:06:46,4,21,0,25
2023-05-26T20:18:31,4,21,0,25
2023-05-26T20:30:07,4,21,0,25
2023-05-26T20:41:43,4,21,0,25
2023-05-26T20:53:18,4,21,0,25
2023-05-26T21:04:54,4,21,0,25
2023-05-26T21:16:30,4,21,0,25
2023-05-26T21:28:07,4,21,0,25
2023-05-26T21:39:42,4,21,0,25
2023-05-26T21:51:29,4,21,0,25
2023-05-26T22:03:05,4,21,0,25
2023-05-26T22:14:41,4,21,0,25
2023-05-26T22:26:17,4,21,0,25
2023-05-26T22:37:53,4,21,0,25
2023-05-26T22:49:29,4,21,0,25
2023-05-26T23:01:06,4,21,0,25
2023-05-26T23:12:54,4,21,0,25
2023-05-26T23:24:30,4,21,0,25
2023-05-26T23:36:06,4,21,0,25
2023-05-26T23:47:43,4,21,0,25
2023-05-26T23:59:19,4,21,0,25
2023-05-27T00:10:57,4,21,0,25
2023-05-27T00:22:38,4,21,0,25
2023-05-27T00:34:16,4,21,0,25
2023-05-27T00:45:55,4,21,0,25
2023-05-27T00:57:34,4,21,0,25
2023-05-27T01:09:13,4,21,0,25
2023-05-27T01:21:02,4,21,0,25
2023-05-27T01:32:41,4,21,0,25
2023-05-27T01:44:20,4,21,0,25
2023-05-27T01:55:59,4,21,0,25
2023-05-27T02:07:37,4,21,0,25
2023-05-27T02:19:15,4,21,0,25
2023-05-27T02:30:52,4,21,0,25
2023-05-27T02:42:29,4,21,0,25
2023-05-27T02:54:05,4,21,0,25
2023-05-27T03:05:41,4,21,0,25
2023-05-27T03:17:20,4,21,0,25
2023-05-27T03:28:57,4,21,0,25
2023-05-27T03:40:34,4,21,0,25
2023-05-27T03:52:12,4,21,0,25
2023-05-27T04:03:51,4,21,0,25
2023-05-27T04:15:44,4,21,0,25
2023-05-27T04:38:19,4,21,0,25
2023-05-27T04:50:17,4,21,0,25
2023-05-27T05:01:56,4,21,0,25
2023-05-27T05:13:35,4,21,0,25
2023-05-27T05:25:14,4,21,0,25
2023-05-27T05:36:54,4,21,0,25
2023-05-27T05:48:33,4,21,0,25
2023-05-27T06:00:11,4,21,0,25
2023-05-27T06:11:49,4,21,0,25
